"",Job Function,Industry,Job Description,Segment,female,male
0,Human Resources,Construction,"Job Title: Human Resources Generalist Reports to: Director of Human Resources Type: Exempt, Full-Time Job Summary: The Human Resources Generalist is responsible for managing and serving our branch locations in the daily functions of the Human Resources Department. The HR Generalist will play an important role in the day-to-day operations of the HR Department, as well as support the full range of functions with the department including recruiting, intake & onboarding, HRIS Data management, benefits & leave administrations, disciplinary matters, and training. Duties/Responsibilities:




Support the People Operations functions including recruitment, retention, engagement, benefits administration, learning and development.
Maintains accurate and up-to-date human resources files, records, and documentation.
Act as the main point of contact for employee benefit related questions and issues.
Assist with advanced employee relations functions such as support and counseling, problem solving and dispute resolutions, review, and processing of termination requests, and conducting exit interviews.
Responsible for the recruitment workflow including reviewing resumes, screening candidates, and partnering with various other departments to ensure successful onboarding.
Conduct or assist with New Hire Orientation.
Support HR administrative tasks including entering new hire data, auditing employee information, and maintaining personnel files.
Responsible for weekly and monthly payroll processing thru ADP system.
Performs other duties as required. Required Skills/Abilities:
Ability to handle confidential matters with maximum discretion.
Excellent verbal and written communication skills for business correspondence, policies, and procedures.
Excellent organizational skills and attention to detail.
Superior time management skills with a proven ability to meet deadlines.
Strong analytical and problem-solving skills.
Skilled at conflict resolution.
Ability to adapt to the needs of the company and employees.
Ability to multi-task, prioritize, and adjust to quickly changing circumstances.
Thorough knowledge of employment and union related laws and regulations.
Proficient with Microsoft Office Suite (Outlook, Word, Excel, PowerPoint, Etc.).
Proficiency with company's HRIS (ADP) and talent management software and systems. Preferred Education and Experience:
Bachelor's degree in Human Resources, Business Administration, or related field preferred; equivalent experience considered
Three to five years of Human Resources experience required
Experience in a unionized environment, preferred.
Experience in Payroll and HRIS systems, specifically ADP, preferred. Licenses and Certifications:
Society for Human Resources Management Certification (SHRM-CP or SHRM-SCP), or Professional in Human Resources (PHR), or equivalent within 1 year
Valid Florida Driver's License. Physical Requirements:
Work is performed in a standard office environment with prolonged periods of sitting at a desk and working on a computer. Subject to standing, walking, bending, reaching, stooping, and lifting of objects up to 15 pounds at times.
May occasionally be exposed to dangerous machinery, extreme noise, and physical harm. Sims Crane & Equipment is proud to be an Equal Opportunity Employer/Drug and Alcohol-Free Workplace. All qualified applicants will receive consideration for employment without regard to status as a protected veteran or a qualified individual with a disability, or other protected status, such as race, religion, color, national origin, sex, sexual orientation, gender identity or age. Company Description Founded in 1959, Sims Crane & Equipment Co. has led the crane and rigging industry in Florida over 60 years with innovative safety practices and education, sophisticated technology and financial stability. Our clients can attest to the professionalism that is Sims Crane & Equipment. We offer a broad selection of equipment for heavy lifting and hauling applications for construction and industrial projects. Our customer service principles have been built around family values and nurturing client relationships. As a third-generation family-owned-and-operated business, those core values, along with knowledge, expertise, and dedication separate Sims Crane from the competition.




Founded in 1959, Sims Crane & Equipment Co. has led the crane and rigging industry in Florida over 60 years with innovative safety practices and education, sophisticated technology and financial stability. Our clients can attest to the professionalism that is Sims Crane & Equipment. We offer a broad selection of equipment for heavy lifting and hauling applications for construction and industrial projects. Our customer service principles have been built around family values and nurturing client relationships. As a third-generation family-owned-and-operated business, those core values, along with knowledge, expertise, and dedication separate Sims Crane from the competition. https://www.simscrane.com/
Show less ",1,0,0.15
1,"Design, Art/Creative, and Information Technology",Construction,"Allpoints Surveying is seeking an entry-level AutoCAD Drafter to join our growing team in Houston, TX . The ideal candidate will be self-motivated and detail-oriented with strong complex problem-solving capabilities. The AutoCAD Drafter is responsible for transforming initial rough product designs into working documents using computer-aided design (CAD). The Company: Since 1996, Allpoints Surveying has been a trusted advisor for high-volume Houston homebuilders by listening to their needs and tailoring solutions to exceed their expectations. Builders choose us time and time again because we beat the competition on delivery, accuracy and price while going above and beyond to bring innovative solutions. That trusted relationship drives Allpoints' 60+% market share in Houston. Allpoints has recently expanded into the Dallas/Ft. Worth and Austin/San Antonio areas and is rapidly becoming a dominant force in their homebuilding markets. The Texas expansion has fueled the need to hire motivated, talented employees to accommodate our explosive growth. We're looking for outstanding candidates that believe in our purpose to support that growth. To learn more about us check out our website Responsibilities:




Prepare detailed drawings for construction foundations, buildings, and structures
Operate AutoCAD equipment to produce designs, drawings, charts, forms, and records
Collaborate with other departments to interpret and explain drawings
Review rough sketches, drawings, specifications, and other data to ensure they conform to survey requirements
Bring potential problems and possible solutions to the attention of the responsible department
Other duties as assigned Requirements:
High school diploma or general education degree (GED) required
Exposure to AutoCAD software required
Certification from an accredited CAD program preferred
Experience with Microsoft Office Suite (Word, Excel, Access, and Outlook)
Excellent verbal and written communication skills
High degree of attention to detail
Ability to multi-task in a fast-paced work environment
Strong analytical and problem-solving skills Allpoints is a leading residential surveying company that works with top area and national homebuilders to produce surveys and other documents needed for all aspects of home construction. We pride ourselves in promoting a friendly, fast-paced work environment that encourages the sharing of ideas and information. Allpoints fosters growth and potential by providing our employees with the tools they require to reach any goal they set for themselves. Our benefits include Medical, Dental, & Vision Insurance, 401K with a company match, PTO, and a year-end profit share program. Allpoints is proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, color, national origin, gender, sexual orientation, gender identity, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.
Show less ",1,0,0
2,Administrative,Civil Engineering,"PRD is now looking for qualified candidates for the following jobs. PRD is a fast-growing land development Engineering firm with a wide range of experience in medical, commercial, educational, and residential projects. We are committed to customer service and honesty; we are looking for people who can work hard, have fun, and get the job done. Education: - High School graduate or GED - Bachelor's degree preferred Experience - Preferred 1-year administrative experience Job Description - The role of an administrator involves word processing, replying to email inquiries and composing correspondence, answering the telephone, filing, arranging meetings and appointments, and providing general assistance to the team. Company Description We see the bigger picture. Our specialized team has over fifty years of relevant experience in civil engineering services, structural administration services, and land and site development services throughout Texas. PRD's unique approach to problem-solving makes us a leader in the industry, while our culture makes our employees love coming to work every day.




We see the bigger picture. Our specialized team has over fifty years of relevant experience in civil engineering services, structural administration services, and land and site development services throughout Texas. PRD's unique approach to problem-solving makes us a leader in the industry, while our culture makes our employees love coming to work every day.
Show less ",1,0,0.47
3,Management and Manufacturing,Construction,"HIVE Construction, Inc. is seeking a self driven Site Superintendent to join our growing team. The Site Superintendent will be responsible for supervising all site activities, maintaining site safety as well as the project schedule. This individual will be tasked to proactively solve foreseeable problems as well as issues at hand. Work will be carried out as directed by the Project Manager and an open line of communication with the Project Manager is required to relay issues as well as update the progress of construction. Must be able to sufficiently coordinate subcontractor work and maintain HIVE Construction, Inc.'s quality of work while maintaining or exceeding the project schedule. This position is an immediate opening and HIVE Construction, Inc. is looking for an individual with the following prerequisites: JOB DESCRIPTION * Complete daily logs at the end of each work day * Provide progress photos on a weekly basis * Develop the project schedule with the Project Manager and maintain 3 week schedules on a weekly basis * Maintain site safety and hold subcontractors accountable to the same standards as HIVE Construction, Inc. * Coordinate subcontractor work to provide fluidity in construction progression and to avoid lapses in the schedule * Review subcontracts and understand the scope of work for each subcontractor * Coordinate with the project team (architect, engineer or client) as required while maintaining a professional business relationship * Maintain quality control of subcontractor's work throughout the duration of the project * Maintain job documentation * Communicate with the Project Manager on a daily basis, minimum, to update on work progression as well as relay any issues that may have arisen SKILLS/QUALIFICATIONS * Experience in ground up and T.I. construction with a focus in restaurants and retail * Proficient computer skills in Microsoft Outlook, Excel and Microsoft Project * Good written and oral skills * Good communication skills with project management and clientele INCENTIVES * This is a full time, salaried position. * Health Insurance * Truck allowance * Tools to perform your job efficiently (i.e. cell phone and laptop) Company Description HIVE Construction, Inc. has been in business since January of 2014 with an ownership group that has worked together for over 15 years. We have an extensive clientele base from years of experience and relationships. Please visit our website at hive-co.com for more information.




HIVE Construction, Inc. has been in business since January of 2014 with an ownership group that has worked together for over 15 years. We have an extensive clientele base from years of experience and relationships. Please visit our website at hive-co.com for more information.
Show less ",1,0,0
4,Management and Manufacturing,Construction,"Joint Construction, is currently seeking skilled framing carpenters for multi-family/commercial projects throughout the greater Madison area. Our ideal candidate will have knowledge of construction with rough carpentry experience. Requirements for the Carpenter * Rough framing carpentry experience (setting floor joist, framing walls, sheathing, etc.) * Knowledge of construction; commercial and multi-family construction * Able to read blueprints, specifications, and drawings is a plus * Good work ethic * Previous construction experience * Reliable transportation * Must have tools (tool belt, hammer, tape measure, basic carpentry tools) Responsibilities of the Carpenter * Ability to problem solve construction issues * Responsible for keeping and maintaining a clean work space * Ensure that safety is paramount on all job sites Employment type: Full time Pay rate: $22-$32/hr based on experience Company Description Joint Construction is a family owned construction services company, based out of Cottage Grove. We provide an employee centric atmosphere with focus on safety and employee satisfaction. We partner with many construction companies in the greater Madison area to ensure full-time year round work, competitive wages, and a great work environment.




Joint Construction is a family owned construction services company, based out of Cottage Grove. We provide an employee centric atmosphere with focus on safety and employee satisfaction. We partner with many construction companies in the greater Madison area to ensure full-time year round work, competitive wages, and a great work environment.
Show less ",1,0,0
5,Sales and Business Development,Construction,"Excellent opportunity to join the largest supplier and installer of artificial turf putting greens, synthetic grass, playground surfaces, golf tee line, multi sport courts, and exclusive line of Nicklaus Golden Bear Turf in the state of Florida. Southwest Greens of Florida is looking for the right candidate to excel in our Outside Sales position for southeast Florida. The representative responsibilities will include traveling the assigned territory to meet with potential clients, build accurate proposals through assigned software program and seeing a job through completion. The key to success in this role is establishing new contacts/relationships with landscape companies, landscape architects and custom home builders. Company Description Southwest Greens is a worldwide leader in synthetic turf distribution and installation. We are affiliated with Shaw Industries, a Berkshire Hathaway company. We have many long standing relationships and have been doing business in Florida since 2002.




Southwest Greens is a worldwide leader in synthetic turf distribution and installation. We are affiliated with Shaw Industries, a Berkshire Hathaway company. We have many long standing relationships and have been doing business in Florida since 2002.
Show less ",1,0,0
6,Management and Manufacturing,Construction,"HIVE Construction, Inc. is seeking a self driven Site Superintendent to join our growing team. The Site Superintendent will be responsible for supervising all site activities, maintaining site safety as well as the project schedule. This individual will be tasked to proactively solve foreseeable problems as well as issues at hand. Work will be carried out as directed by the Project Manager and an open line of communication with the Project Manager is required to relay issues as well as update the progress of construction. Must be able to sufficiently coordinate subcontractor work and maintain HIVE Construction, Inc.'s quality of work while maintaining or exceeding the project schedule. This position is an immediate opening and HIVE Construction, Inc. is looking for an individual with the following prerequisites: JOB DESCRIPTION * Complete daily logs at the end of each work day * Provide progress photos on a weekly basis * Develop the project schedule with the Project Manager and maintain 3 week schedules on a weekly basis * Maintain site safety and hold subcontractors accountable to the same standards as HIVE Construction, Inc. * Coordinate subcontractor work to provide fluidity in construction progression and to avoid lapses in the schedule * Review subcontracts and understand the scope of work for each subcontractor * Coordinate with the project team (architect, engineer or client) as required while maintaining a professional business relationship * Maintain quality control of subcontractor's work throughout the duration of the project * Maintain job documentation * Communicate with the Project Manager on a daily basis, minimum, to update on work progression as well as relay any issues that may have arisen SKILLS/QUALIFICATIONS * Experience in ground up and T.I. construction with a focus in restaurants and retail * Proficient computer skills in Microsoft Outlook, Excel and Microsoft Project * Good written and oral skills * Good communication skills with project management and clientele INCENTIVES * This is a full time, salaried position. * Health Insurance * Truck allowance * Tools to perform your job efficiently (i.e. cell phone and laptop) Company Description HIVE Construction, Inc. has been in business since January of 2014 with an ownership group that has worked together for over 15 years. We have an extensive clientele base from years of experience and relationships. Please visit our website at hive-co.com for more information.




HIVE Construction, Inc. has been in business since January of 2014 with an ownership group that has worked together for over 15 years. We have an extensive clientele base from years of experience and relationships. Please visit our website at hive-co.com for more information.
Show less ",1,0,0
7,Management and Manufacturing,Wholesale Building Materials,"Warehouse Associate - 1 st Shift Openings




Birmingham Fastener - Huntsville is looking for 1st Shift Warehouse Associates. We are excited to hear what talents YOU can bring to the table! If you think you have what it takes to join our fast paced, high stakes Fastener family, please take a look at the brief job descriptions below...




Basic Job Information: Full-time




Required Education: High School Diploma or Equivalent




Preferred Experience: General Warehouse Roles including Inventory Control, Packaging, Receiving, or Shipping




Job Summary: Birmingham Fastener Hanceville is currently hiring Warehouse Associates to join our fast paced, high stakes Fastener family. This position requires you to perform various warehouse duties, such as, inventory management, organizing stock, packing products, receiving, and shipping. This position will involve detailed record keeping, analyzing data/information, having the ability to work independently or in a team environment, critical thinking, and using good judgment in decision-making. Candidate must possess the ability to read and understand information/ideas presented in written form. Scanner, computer and inventory control experience are a plus.




Job Functions (Duties, Responsibilities, And Requirements)




The primary duties consist of (but are not limited to) the following:




Observe, follow and maintain a safe working environment.
Sort appropriately, receive and store incoming products.
Use order document to fulfil order using scanners and material handling equipment (when necessary) to select the appropriate product listed.
Inspect items for defects and report as required.
Count/verify stock using various methods including via scanner, scale, manually or using computer.
Verify inventory computations by comparing them to physical counts of stock and escalate discrepancies or errors.
Clean and maintain supplies, tools, equipment, and storage areas in order to ensure compliance with safety regulations.
Keep records on the use and/or damage of stock or stock handling equipment.
Follow all warehouse procedures and safety measures.




Position Type/Expected Hours Of Work




This is a full-time position. Hours are Monday through Friday, 7:00 a.m. to 4:00 p.m.




Pre-employment testing (including background**, drug screening and agility testing) will be required post offer.




Criminal conviction does not automatically disqualify any candidate.
Show less ",1,0,0
8,Management and Manufacturing,Construction,"General Description

The Assistant Superintendent’s primary job responsibility is to supervise the execution of Juneau’s projects in the field under the Project Superintendent.

Position Requirements

Associates or Bachelors degree in Construction Management preferred
2-5 years of experience on $40M+ commercial construction projects
Strong communication skills
OSHA 30
Technology proficiency required

Duties And Responsibilities

Direct and manage Juneau labor onsite
Cost management of labor, materials, and equipment on project
Leading member of onsite safety requirements and execution of safe practices in accordance with Juneau’s safety program
Execute all tasks within scope and according to contract documents
Develop detailed construction layout plan of site
Assist Project Superintendent with subcontractor coordination
Manage jobsite cleanliness
Execute Juneau’s QC Standards according to Quality Control manual
Supervise and train entry level Field Engineers

Reports To

Project Superintendent
Show less ",1,0,0.75
9,Management and Manufacturing,Wholesale Building Materials,"Plant Manager Rinker Materials, a Quikrete Company, is currently recruiting a Plant Manager for our precast concrete plant in the Florida Panhandle. The Plant Manager will provide overall leadership of precast concrete manhole production which includes supporting all aspects of a safe working environment, promoting continuous improvement of plant processes, maintenance of quality standards, and following company policies and procedures to always ensure a safe work environment. This position also ensures the plant operates cost effectively within customer and agency requirements and Rinker's operating and quality standards. This position reports to the Regional Precast Operations Manager. Relocation is required. ESSENTIAL FUNCTIONS: 1. Safety - Provide an environment and processes that optimizes safety and preserves the well-being of every employee at the plant. * Ensure Rinker's regulatory safety standards are understood and followed by all employees. * Ensure safety equipment is in sufficient supply and working properly. * Ensure safety audits occur and that deviations are followed up and resolved. * Ensure robust accident investigation process occurs. * Ensure maintenance on equipment and facilities occurs as required and needed. * Ensure the plant is clean and organized to promote safe and efficient operations. 2. Operations - Ensure the plant operates cost effectively within customer product expectations, governing agency regulations, and Rinker's operating procedures and quality standards. * Ensure daily work in the plant is completed to achieve the job specifications and time requirements. * Ensure Rinker's operations and quality standards are being consistently met throughout the plant. * Compress cycle times, lead times, and changeover times within areas in the plant to minimize waste. * Provide and execute a process for correcting and solving problems and improving existing methods in the plant. 3. Scheduling - Ensure the employees, materials and equipment are sufficient to accomplish the plants scheduled work. * Ensure each work area is properly staffed, with competent people, for the scheduled work * Ensure required material is available for the scheduled production work. * Ensure the equipment is being maintained and maximum up-time is achieved. * Ensure every Supervisor or Lead understands the work schedule and responsibilities for their respected area. * Maintain a system of open communication with Supervisors or Lead employees. 4. Performance Management - Provide leadership and create a positive work environment. These responsibilities will be carried out in accordance with the company's policies and procedures and applicable laws and regulations. Actions includes employment decisions, performance management, training, safety, onboarding, compliance, annual objective setting and employee development, planning, assigning and directing work, addressing complaints and resolving problems. 5. Administration - Provide data analysis and feedback to work areas that will improve execution within the plant. * Provide a visual reporting system to communicate work area performance. * Ensure company/operations information is clearly communicated to employees. * Follow-through to ensure reports and information are understood and used for those requesting/needing the data. * Maintain competence in Rinker's all business systems (JD Edwards (ERP system), Dispatch App, Reports Module, Microsoft Software, etc.). QUALIFICATIONS/ REQUIREMENTS: * 5 plus years' experience successfully managing a manufacturing plant or work center of equal or greater size in the concrete or similar industry. * Strong written and verbal communications skills and ability to present oneself and communicate in a professional, positive, and courteous manner. * Strong knowledge of production management in the concrete industry or equivalent. * Precast concrete manufacturing experience preferred. * Working knowledge of large machine operation, construction of infrastructure, and shipping and fulfillment. * Requires specific knowledge in a manufacturing or technical field. * Must be able to work hours beyond the normal workday as required by the business cycle, customer volume of business, and specific sales efforts underway. It has a moderate demand for tight deadlines. * Emotional Intelligence - Individual must be self-aware, have strong interpersonal skills, is adaptable, and able to collaborate with all levels from production employees to management level. * Results Oriented - Has sound planning skills, knows how to execute against respective action plans, and regularly meets or exceeds target in a timely and cost effective manner. * Demonstrated ability to provide direction, develop and lead a team, provide strategic direction, and inspire the team to achieve key goals in a timely and cost effective manner. Ability to apply problem solving techniques. * Ability to provide clear and concise verbal instructions along with the ability to




Rinker Materials – Concrete Pipe Division, a QUIKRETE Company, is one of the nation’s largest and leading manufacturers of concrete pipe and precast products. Founded in 1963 and acquired by QUIKRETE in 2017, Rinker Materials is an industry leader in safety, product innovation, technical expertise, high quality products, and customer service.
Show less ",1,0,0
