"",Job Function,Industry,Job Description,Segment,female,male
0,Management and Manufacturing,Higher Education,"We are women-owned and operated, with nearly 50 years of expertise as a leading environmental solutions provider, focused on infection prevention for complex facilities. As a local, privately held company, we are agile and can maneuver quickly to support the needs of our people and clients.




Our goal is to become a trusted partner, not outsourced vendor.




One of our greatest strengths is our Culture of Caring. From our CEO to the front-line staff, Servicon embodies our vision of creating healthy environments for people to thrive. This results in greater client satisfaction and healthier outcomes. Meticulous adherence to infection prevention standards interwoven with compassionate service delivery is the key to success.




Servicon focuses on three essential elements for establishing a Culture of Caring and Excellence: People, Programs, and Performance. These components represent our strong value alignment, positively impacting patient care, infection prevention, and throughput.




Directly responsible for cleaning, sanitizing, and maintaining all assigned areas using established practices and procedures according to company and client standards of quality and safety. May require frequent interaction with client.




Monitor and inspect assigned work area while performing duties and after duties have been completed to verify that all work has been done in compliance with site-specific procedures, scope of work, and Servicon standards.
Participate in training programs covering subjects such as safety regulations, procedures, efficient/cost-effective methods of cleaning, and equipment preventive maintenance.
Empty, clean, and damp-wipe all waste receptacles as well as remove waste paper and rubbish from the premises to designated areas.
Vacuum all rugs and carpeted areas in offices, lobbies, and corridors.
Hand dust and wipe clean all office furniture, file cabinets, fixtures, paneling, windowsills, air-conditioning diffusers, wall grilles, and all other horizontal surfaces.
Remove all finger marks and smudges from vertical surfaces, including doors, doorframes, light switches, private entrance glass, and partitions.
Damp-mop or clean any spillage in the office, stairwells, and public areas as required.
Keep janitor’s closet clean, neat, and in orderly condition.
Sweep or dust mop hard floor surfaces.
Other jobs and duties as identified or assigned as needed.
Interpersonal and leadership skills
Proficient verbal/written communication skills (Spanish a plus)
Problem solving skills
Time management skills
High school diploma or GED equivalent
2 years custodial cleaning experience or equivalent preferred




Some employees may required to be fully vaccinated against COVID-19 (14 days after final dose) prior to hire or have a qualifying legal exemption.




Hybrid work environment, where applicable
A friendly, respectful, energetic corporate culture that will allow you to thrive
Work in an environment where you can see the difference you make daily!
Safe harbor 401(k) with company matching (if applicable)
Employee Assistance Program (EAP)
Show less ",1,0.23,0
1,Management and Manufacturing,Higher Education,"We are women-owned and operated, with nearly 50 years of expertise as a leading environmental solutions provider, focused on infection prevention for complex facilities. As a local, privately held company, we are agile and can maneuver quickly to support the needs of our people and clients.




Our goal is to become a trusted partner, not outsourced vendor.




One of our greatest strengths is our Culture of Caring. From our CEO to the front-line staff, Servicon embodies our vision of creating healthy environments for people to thrive. This results in greater client satisfaction and healthier outcomes. Meticulous adherence to infection prevention standards interwoven with compassionate service delivery is the key to success.




Servicon focuses on three essential elements for establishing a Culture of Caring and Excellence: People, Programs, and Performance. These components represent our strong value alignment, positively impacting patient care, infection prevention, and throughput.




Directly responsible for cleaning, sanitizing, and maintaining all assigned areas using established practices and procedures according to company and client standards of quality and safety. May require frequent interaction with client.




Monitor and inspect assigned work area while performing duties and after duties have been completed to verify that all work has been done in compliance with site-specific procedures, scope of work, and Servicon standards.
Participate in training programs covering subjects such as safety regulations, procedures, efficient/cost-effective methods of cleaning, and equipment preventive maintenance.
Empty, clean, and damp-wipe all waste receptacles as well as remove waste paper and rubbish from the premises to designated areas.
Vacuum all rugs and carpeted areas in offices, lobbies, and corridors.
Hand dust and wipe clean all office furniture, file cabinets, fixtures, paneling, windowsills, air-conditioning diffusers, wall grilles, and all other horizontal surfaces.
Remove all finger marks and smudges from vertical surfaces, including doors, doorframes, light switches, private entrance glass, and partitions.
Damp-mop or clean any spillage in the office, stairwells, and public areas as required.
Keep janitor’s closet clean, neat, and in orderly condition.
Sweep or dust mop hard floor surfaces.
Other jobs and duties as identified or assigned as needed.
Interpersonal and leadership skills
Proficient verbal/written communication skills (Spanish a plus)
Problem solving skills
Time management skills
High school diploma or GED equivalent
2 years custodial cleaning experience or equivalent preferred




Some employees may required to be fully vaccinated against COVID-19 (14 days after final dose) prior to hire or have a qualifying legal exemption.




Hybrid work environment, where applicable
A friendly, respectful, energetic corporate culture that will allow you to thrive
Work in an environment where you can see the difference you make daily!
Safe harbor 401(k) with company matching (if applicable)
Employee Assistance Program (EAP)
Show less ",1,0.23,0
2,Education and Training,Primary and Secondary Education,"General Responsibilities

Under direction of the school principal, plan and provide for appropriate learning experiences for students. Provide an atmosphere and environment conducive to the intellectual, physical, social, and emotional development of individuals to ensure success for every student. Supervise students in a variety of school related settings. Monitor and evaluate student outcomes. Communicate and interact with students, parents, staff, and community. Develop, select, and modify instructional plans and materials to meet the needs of all students. Maintain appropriate records and follows required procedures and practices. Monitor appropriate use and care of equipment, materials, and facilities.

Essential Functions

Plan a program of study that, as much as possible, meet the needs, interests, and abilities of students.
On a regular and consistent basis, meets and instructs assigned classes in the locations and at the times designated.
Create a classroom environment that provides for student involvement in the learning process and enable each student to achieve learning objectives.
Provide an instructional program to meet the needs of all students.
Prepare for classes assigned and show written evidence of preparation upon request of immediate superior.
Guide the learning process toward the achievement of curriculum goals and in harmony with the goals, establish clear objectives for all lessons, units, projects and the like to communicate these objectives to students.
Establish learning objectives consistent with appraisal of student needs, requirements of VBCPS curriculum framework and knowledge of human growth and development.
Plan for and utilize instructional methods, resources and evaluation techniques which motivate and enable each student to achieve learning objectives.
Take all necessary and safety precautions to protect students, equipment, materials, and facilities.
Maintain accurate and complete records as required by law, VBCPS policy and administrative regulation.
Assist the administration in implementing all policies and rules governing student life and conduct and, for the classroom, develops reasonable rules of classroom behavior and procedure, and maintain order in the classroom in a fair and just manner.
Make provision for being available to students and parents for education-related purposes outside the instructional day when required or requested to do so under reasonable terms.
Establish relationships with colleagues, students, parents, and community which reflect recognition of and respect for every individual.
Plan and supervise purposeful assignments for teacher assistants and volunteers.
Appraise his/her own effectiveness and demonstrate successful application of skills and information acquired to increase effectiveness. Strive to maintain and improve professional competence.
Participate in school management and share responsibility for the total school program.
Attend staff meetings and serve on staff committees as required.
Perform other duties as required.

Knowledge, Skills And Abilities

Knowledge of VBCPS curriculum and techniques for integrating curriculum, VBCPS policies and effective instructional practices; thorough understanding of the teaching and learning process; ability to provide instruction that reflects multiple perspectives and multicultural education; ability to infuse technology into curriculum; ability to work effectively with administrators, colleagues, central office, school based staff, students, parents and community; excellent oral and written communication and human relations skills.

Education And Experience

Required: Bachelor's Degree in applicable field of education from an accredited college or university. Must have or be eligible for a teacher license from the Virginia Department of Education.

Physical Requirements

Must have the use of sensory skills in order to effectively communicate and interact with other employees and the public using the telephone and personal contact as normally defined by the ability to see, read, talk, hear, handle or feel objects and controls. Frequent sitting, walking, standing, bending, grasping, fingering, repetitive motion, and reaching. Occasional stooping and kneeling. Ability to lift up to 20 pounds frequently and up to 50 pounds rarely. Requires timely and regular adherence to established work schedules. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential tasks.

Special Requirements

Possession of a valid driver's license. Regular and reliable attendance is an essential function of this position.

How To Apply

Please see ""Job Posting Link"" below for a complete job description.

External Applicants: If you are interested in applying for this position, you must create an account. Please select ""Login and Apply"" from the bottom of this posting. After creating an account, please login, complete the online application, and apply for this job.

Eligible Internal Applicants: Follow these instructions to complete a transfer application. After creating an account, please complete the application and apply for this job.

Full Time or Part Time? Full Time

Job Posting Link https://vbschoolscom.finalsite.com/fs/resource-manager/view/90d40e60-754c-4f43-850b-cba99868cf30

Salary Range: From/To

Instructional Experience-Based Step Pay Scale

Salary will be based on job-related creditable years of full-time, verified work experience. Entry-level salary will be awarded at the time of hire. Upon the return of employment verification forms from the candidate's current and previous employers, the salary will be adjusted if creditable full-time experience is confirmed.

VBCPS offers a full range of benefits including health insurance, paid life insurance, paid sick/personal reasons leave, tuition reimbursement, professional development and membership in the Virginia Retirement System.

FTE 1.000

Start Date 2023-2024 School Yr

Instructional Experience-Based Step Pay Scale

Salary will be based on job-related creditable years of full-time, verified work experience. Entry-level salary will be awarded at the time of hire. Upon the return of employment verification forms from the candidate's current and previous employers, the salary will be adjusted if creditable full-time experience is confirmed.

VBCPS offers a full range of benefits including health insurance, paid life insurance, paid sick/personal reasons leave, tuition reimbursement, professional development and membership in the Virginia Retirement System.
Show less ",1,0.11,0.22
3,Education and Training,Primary and Secondary Education,"Position Description




POSITION TITLE: Teacher - Instructional Coach




Qualifications




Possession of an advanced educational degree (Master’s or above) and a license/certificate in support of curriculum




and/or technology integration in the core academic areas.




At least five (5) years of successful teaching experience.
Good attendance record.
Demonstrated leadership skills and abilities.
Proven ability to work cooperatively and effectively with colleagues, including creating and nurturing a professional




community of adult learners.




Ability to communicate effectively with teachers and administrators.
Proven organizational skills, self-directed with initiative.
Ability to engage in self-evaluation with regard to performance and assumes responsibility for own work performance.
Is able to accept constructive criticism/feedback.
Knowledge of Ohio’s Learning Standards, current technology, data analysis, and the formation of action plans.
Maintains a high level of ethical behavior and confidentiality of information.
Possesses the ability to be flexible and adaptable to changing situations.




REPORTS TO: Director of Curriculum




TERMS OF EMPLOYMENT: Pay and benefits provided according to the Teacher’s Negotiated Agreement.




JOB GOAL: To positively impact student achievement through support, training, coaching, and mentoring of instructional




staff.




Essential Job Functions




The Instructional coach will serve as part of the curriculum and instruction leadership team, providing embedded, on-going professional development for staff and administration, focusing on middle and high school.
The instructional coach’s primary focus will be to assist classroom teachers to successfully integrate effective strategies and technology to differentiate and enhance student learning.
Helps staff secure, analyze, and interpret data for promoting instructional improvement.
Models instructional and assessment strategies for staff in classrooms.
Makes regular classroom visits to support instructional and technological improvement.
Provides feedback to staff regarding implementation issues.
Participates in/and or leads regular professional development to improve knowledge and skills.
Helps develop and/or implement assessment systems that are aligned with the curriculum and instructional priorities.
Support the building/district with curriculum and technology initiatives.
Performs other duties as assigned.
Show less ",1,0,0
4,Management and Manufacturing,Education Administration Programs,"Embrace and promote the school system's mission, vision, beliefs, and goals
Promote good public relations for school and school system with the general public
Regular and punctual in attendance, follow correct procedure for recording daily attendance and submitting requests for leave of absence
Accept no other employment which interferes with the efficient and effective discharge of duties and responsibilities
Assist in developing written maintenance records for all vehicles owned by the school system 
Perform routine maintenance and service on vehicles and equipment, including video systems, at regularly- scheduled intervals  
Maintain service bay in a clean, neat, and safe manner
Properly use and care for tools, equipment, and material resources of the school system 
Request supplies and equipment needed to carry out duties and assigned projects  
Drive buses and transports students as needed  
Perform road tests of system vehicles as directed 
Perform road call duty as needed 
Respond promptly to call out in emergency situations  
Perform all mechanical maintenance services with priority on student and employee safety; remove from service any bus or other vehicle that is unsafe to operate  
Return buses or other vehicles to active service only after identified maintenance problems have been corrected  
Engage in work related training to increase knowledge and skills as directed and/or for advancement  
Perform duties in a courteous, professional manner  
Maintain appropriate confidentiality regarding school/workplace matters  
Demonstrate initiative in identifying potential problems and/or opportunities for improvement in areas of responsibility  
Report potential problems, unusual events, or work irregularities to appropriate administrative or supervisory personnel 
Respond to inquiries, requests, and constructive feedback in a timely and positive manner  
Maintain and submit reports, records, and correspondence in a timely and accurate manner  
Adhere to school system rules, administrative procedures, local Board policies, and state, federal, and local laws 
Prioritize tasks and use time wisely 
Perform other job-related duties as assigned by the Director of Operations




Reports To Director of Operations




Salary Range: From/To District Salary Schedule




Additional Job Information




See document for additional job information




Job Attachment View Attachment




See document for additional job information
Show less ",1,0,0
5,Education and Training,Higher Education,"Job Description

The Mechanical Engineering Advising program in the Department of Mechanical Engineering at Virginia Tech University is seeking an Education Administrator to provide administrative program support for both undergraduate and graduate advisors. This position will coordinate directly with the advisors to help with administrative tasks, among other duties. Responsibilities include enrollment and schedule coordination duties for undergraduate and graduate programs, recruitment, event planning, updating the websites, provide enrollment data to departmental administration, working with confidential student information, and providing general office support through telephone, email and in-person appointments.

Required Qualifications

Bachelor’s degree or equivalent level of training or experience; experience with software such as MS Office; must be detail oriented, with evidence of strong organizational and problem solving skills; must be self-motivated as well as flexible and creative in finding solutions for problems; must enjoy working with students and have a professional manner of communication; must be able to work effectively with a diverse population, including students, faculty, staff, parents, alumni, and prospective students and their families.

Preferred Qualifications

Knowledge of university policies and procedures related to registration, class scheduling, degree and graduation requirements; previous experience in academic or career advising; knowledge of Career Service practices including recruiting and placement practices and experience with Slate or other customer relations management (CRM) software; knowledge of student support services within higher education; and experience with the Banner Student system or other relational database.

Pay Band

4

Appointment Type

Restricted

Review Date

May 5, 2023

Additional Information

The successful candidate will be required to have a criminal conviction check.

About Virginia Tech

Dedicated to its motto, Ut Prosim (That I May Serve), Virginia Tech pushes the boundaries of knowledge by taking a hands-on, transdisciplinary approach to preparing scholars to be leaders and problem-solvers. A comprehensive land-grant institution that enhances the quality of life in Virginia and throughout the world, Virginia Tech is an inclusive community dedicated to knowledge, discovery, and creativity. The university offers more than 280 majors to a diverse enrollment of more than 36,000 undergraduate, graduate, and professional students in eight undergraduate colleges , a school of medicine , a veterinary medicine college, Graduate School , and Honors College . The university has a significant presence across Virginia, including the Innovation Campus in Northern Virginia; the Health Sciences and Technology Campus in Roanoke; sites in Newport News and Richmond; and numerous Extension offices and research centers . A leading global research institution, Virginia Tech conducts more than $500 million in research annually.

Virginia Tech does not discriminate against employees, students, or applicants on the basis of age, color, disability, sex (including pregnancy), gender, gender identity, gender expression, genetic information, national origin, political affiliation, race, religion, sexual orientation, or military status, or otherwise discriminate against employees or applicants who inquire about, discuss, or disclose their compensation or the compensation of other employees or applicants, or on any other basis protected by law.

If you are an individual with a disability and desire an accommodation, please contact Amanda Collins at mandamcg@vt.edu during regular business hours at least 10 business days prior to the event.
Show less ",1,0.2,0.2
6,Health Care Provider,Education Administration Programs,"Qualifications




Dyslexia interventionist refers to the teacher or individual who provides dyslexia-specific intervention. The dyslexia interventionist shall have completed a certification training course or shall have completed training in the appropriate implementation of the evidence-based dyslexia-specific intervention being provide.




Alabama teaching certificate preferred




General Duties




The interventionist will work as directed by the school administrator to instruct and support students in grades 4-8 exhibiting reading deficiencies via the school's adopted intervention curricula by:




Delivering prescriptive, explicit, systematic, structured, multi-sensory language instruction to students requiring dyslexia specific intervention at least four out of five days per week in a small group setting for 45 to 60 minutes daily
Analyzing and utilizing screening, diagnostic, and progress monitoring data to provide appropriate, targeted intervention to students with reading deficits
Participating in on-going professional learning in a variety of dyslexia-specific interventions that would support struggling readers and students with characteristics of dyslexia
Exhibiting strong organizational, communication, and interpersonal skills in order to collaborate effectively with teachers, administrators, and parents
Collaborating with the literacy coach and content teacher to ensure consistency in the use of reading strategies utilized during intervention and in the classroom
Monitoring the reading progress of students receiving intervention and make recommendations for the adjustment of instruction according to student-specific needs identified from progress monitoring
Demonstrating the ability to communicate effectively orally and in writing
Demonstrating strong computer skills to implement multiple and diverse programs in person or online and to analyze data




Salary Range: From/To Salary to be determined by degree and years of experience




Job Attachment View Attachment
Show less ",1,0,0
7,Education and Training,Education Administration Programs,"Applicants must hold or be eligible for a current Alabama teacher certificate in Elementary Education.




Reports To Natalie Mims, Interim Principal




Salary Range: From/To Salary will be according to the appropriate step and rank on the approved teacher salary schedule.




Job Attachment View Attachment
Show less ",1,0,0
8,Education and Training,Education Administration Programs,"Job Description

Position Title: Non-Instructional Aide

Position Type: Salaried ($21,875.00 annual) / Non-Exempt

Position Hours: Full-time; Monday – Friday; 40 Hours per Week

Length of Term/Employment: 190 workdays / At-will

Reports to: Campus principal

Position Mission: Provide support to any-and-all areas that directly and indirectly impact the effective operations of our Jubilee campuses, as directed by the campus administration team.

Position Minimum Qualifications

High School Diploma or GED.
At least 48+ semester hours at an Institute of Higher Education is highly preferred.
Special Knowledge/Skills:

Ability to work well with children.
Ability to follow verbal and written instructions.
Ability to communicate effectively.
Knowledge of general office equipment, safety equipment, and food service equipment.
Experience:

2-5 years of previous experience working with children in a school setting highly desired.
Job Duties/Responsibilities:

Fulfill duties as a substitute teacher as needed.
Supervises students in buildings and on school grounds as assigned.
Inspect lavatories, hallways, parking lots and other specific locations of the building and grounds on a regular basis.
Handles routine student concerns and minor disciplinary situations in accordance with school policy and procedures.
Assists school personnel during fire drills, building evacuations and other emergency situations as directed by the building principal or designee; makes certain the building is clear of students; assists with student management and performs other related tasks.
Ensure students maintain good order and discipline while transitioning between classes or other intended locations, as directed by administrators, teachers, or other staff.
Provide support to office personnel on an as-needed basis.
Perform all other duties as assigned.
Other:

Work hours will be determined by campus admin.
Adheres to all policies and procedures listed in the employee handbook.
Maintains a good working relationship with Jubilee Academies’ staff and parents.
Actively supports and participates in fundraising activities of Jubilee Academies.
Participates in staff development training programs to improve job performance.
Participates in faculty meetings, special events, and committee assignments.
Charter & Community Responsibilities:

Convey the charter’s mission to the public and encourage support in accomplishing the mission.
Illustrate understanding of Charter and community needs and begin activities to meet those needs.
Demonstrate use of productive and efficient skills to raise community and parent involvement.
Actively participate in student recruitment efforts.
Charter Atmosphere:

Encourage a constructive, thoughtful climate for learning.
Promote fairness of students and staff from all cultural backgrounds.
Communicate with students and staff in an effective manner that promotes and sustains the Jubilee culture.
Working Conditions:

Mental Demands/Physical Demands/Environmental Factors:
Maintain emotional control under stress.
Moderate and prolonged standing.
Stooping, bending, pulling, pushing, and lifting required.
Move small stacks of textbooks, media equipment, desks, and other classroom equipment and supplies.
The foregoing statements describe the general purpose and responsibilities assigned to this job and are not an exhaustive list of all responsibilities and duties that may be assigned or skills that may be required.
Show less ",1,0,0
9,Education and Training,Education Administration Programs,"Duties And Responsibilities




Regular and punctual attendance required
As assigned, work with individual students or small groups
Daily assist students with toileting, lifting, feeding or any required task
Learn and maintain knowledge of policies, routine record keeping and reports
Maintain confidentiality of sensitive data and information pertaining to individual students and/or overall program
May be reassigned during school year based on needs of the Special Education Department
Assume reasonable job-related tasks as assigned by the supervisor in order to meet the needs of the school




REQUIRED KNOWLEDGE, SKILLS, AND ABILITIES:




Abilitytoworkaneight(8)hourday
Ability to follow oral and written instruction
Ability to work independently with or without supervision
Knowledge of safety rules in the workplace
Ability to work with a significant diversity of individuals and perform effectively as a team member




PHYSICAL REQUIREMENTS TO PERFORM ESSENTIAL FUNCTIONS:




Lift and carry up to 100 pounds on a regular basis
Walk and stand 85% of work shift
Stoop, bend, twist, turn and reach on a regular basis
Adequate strength, dexterity and agility to perform all tasks assigned




Minimum Qualifications




Two years of accumulated college credits (48 semester hours) or a 2-year degree from an accredited college/university or successful completion of the Work Keys test
Experience working with school age children with various levels of physical, mental and behavioral needs
Ability to carry out tasks requiring moderate physical exertion and some heavy lifting
Background clearance through FBI and ABI processes
Ability to follow oral and written instructions




Start Date 2022-2023 SY




Duty Days 187




Reports To PRINCIPAL




Salary Range: From/To $21,768.00 Annually




Job Attachment View Attachment
Show less ",1,0,0
