"",Job Function,Industry,Job Description,Segment,female,male
0,Other,Telecommunications,"Tier 2 Customer Support Representative



Location: Remote







Type: Full Time, Hourly



FluentStream is a software-as-a-service (SaaS) company that simplifies and automates how businesses communicate with customers. Thousands of businesses across the country have replaced their legacy phone system with FluentStream’s modern, cloud-based communications platform. Our apps enable support, sales and other professionals to deliver an exceptional customer experience from any device or location. Our 80+ remote employees share a passion for teamwork, fast-paced challenges, flexibility and inclusion. We are proud to be consecutively recognized by Inc. 5000 as one of the fastest-growing private companies, and by BuiltIn as one of best companies to work for in the U.S.



As a member of the Customer and Partner Experience team, you’ll be on the front lines of all of our client communications. We pride ourselves in our “client happy at all costs” end-to-end experience for every single one of our users. This is not a volume-driven, metrics crazy call center.



About you:



Comfortable working through ambiguity and uncertainty in an ever-changing work environment
Have a great attitude
Enjoy working with people over the phone, email, and live chat
Have a passion for customer service
Comfortable in a fast-paced environment
Comfortable with technology and interest in learning our software
Non-traditional background are welcome to apply

Key responsibilities:



Inbound phone support
Email support
Chat support
Helpdesk technical support
Active involvement in ongoing training
Communication and escalations with 3rd party vendors

Qualifications:



At least 2 years of experience in a customer service-facing role.
Experience in a high-volume contact center
Experience with telecommunications preferred
Previous experience working from home
Ability to communicate and collaborate with a team and articulate your ideas
Some experience with Salesforce
High school diploma or GED required

Benefits:



Health, Dental, and Vision Insurance
401k plan
Remote work anywhere in the U.S.
Mac computers + work from home stipend to set up your home office
Participate in ownership of the company
Tuition Reimbursement Program
Discretionary PTO policy
Volunteer time off
Competitive paid parental leave
Pet Insurance
Optional team gatherings, celebrations, and plenty of fun virtual events

Compensation: $19.50/hr



At FluentStream, we are committed to building an environment where our employees feel included, valued, and heard. Our belief is that a strong commitment to diversity, inclusion, equity, and belonging enables us to move forward with our mission. We are dedicated to adding new perspectives to the team and encourage anyone to apply if your experience is close to what we are looking for.



Vaccine Mandate:



Employees working in this position will be required to be fully vaccinated against the COVID-19 virus, unless they qualify for a medical or religious exemption. Applicants will be required to show proof of vaccination status upon receipt of a conditional offer of employment. Please note the Company provides reasonable accommodations in accordance with applicable state, federal and local laws.







Show less ",1,0,0
1,Human Resources,Telecommunications,"Job Description




Carrollton Cable Training Manager




The training manager designs, plans, and implements plant training programs, policies, and procedures with the Safety, Operations, Continuous Improvement, and Human Resources, and Safety teams. Research new training techniques and suggest enhancements to existing training programs to meet the current or changing needs of the organization.




Minimum Education Required




Bachelor’s degree in business, human resources, or education




Minimum Experience Required




5 years in training and development or human resources environment




ADDITIONAL QUALIFICATIONS: (Preferred qualifications)




Training and Development Certification
Experience with Learning Management System’s (LMS)




Key Responsibilities




Mapping out and delivering training plans and schedules, designing and developing training programs (outsourced or in-house) including represented workforce review periods.
Choosing appropriate training methods per case (virtual, simulated, mentoring, on the job training, professional development classes, etc.)
Marketing available training opportunities to management and providing necessary information.
Map out annual training plans for management, HR, customer support and operations
Conduct organization-wide training needs assessment and identify skills or knowledge gaps that need to be addressed.
Design educational aids and materials
Assess instructional effectiveness and determine the impact of training on employee skills and KPIs.
Manage and maintain in-house training facilities and equipment.
Manages subordinate staff in the day-to-day performance of their roles.
Ensures that project/department milestones/goals are met and adhering to approved budget and logged into WAVE.
Manages all training records for ISO compliance.
SME for plant training records for audits.




Knowledge, Skills, Abilities




Proven ability to complete full training cycle (assess needs, plan, develop, coordinate, monitor and evaluate)
MS Office proficiency
Advanced organizational skills with the ability to handle multiple assignments
Strong written and verbal communication skills
Strong presentation skill
Works well under pressure
Ability to maintain confidentiality
Ability to collaborate with all levels of an organization
Show less ",1,0.34,0.34
2,Human Resources,Telecommunications,"Airtower Networks, named one of America’s Fastest-Growing Companies and one of the 10 Hottest Companies in Washington DC by Inc. Magazine, delivers total managed services and mobile connectivity for the commercial real estate, enterprise and government sectors. We are looking for a People Operations Coordinator to support our human resources functions.

If you’re looking for a career with a fast-growing company that's invested in your personal development, a solid compensation package growth potential, apply today! Please note - this is a hybrid position that requires occasional travel into the Washington DC office so proximity to the region is required.

Responsibilities

Performs customer service functions by answering employee requests and questions
Assists with the planning and coordination of Team Member recognition and engagement events
Makes photocopies; mails, scans, emails, and files documents; and performs other administrative functions on-site in our Washington, DC office on an intermittent basis
Assists or prepares correspondence as requested
Assists with the coordination of equipment and onboarding for new Team Members
Addresses and responds to employee Payroll, HRIS, Compensation and Benefits issues as appropriate
Oversee the organization's programs for employee health and safety issues to ensure legal and regulatory compliance
Maintains contact with all restricted and open WC cases
Other duties as assigned


Qualifications

Bachelor's degree preferred; Associates degree required
One to three years of HR generalist or administrative experience
Employee Health & Safety experience strongly preferred
High level of proficiency with cloud-based computer applications
Excellent organizational skills required
Good understanding of state and federal HR laws
Ability to maintain a high level of confidentiality
Completes work accurately and in a timely manner
Possesses good judgment skills
Ability to communicate effectively orally and in writing
Excellent interpersonal skills
Ability to work independently in a remote environment with occasional travel to our Washington, DC office


If you’re looking for a career with a fast-growing company that’s invested in your personal development, a solid compensation package and a huge opportunity to move up within an organization, please apply below.

About Airtower Networks

Airtower Networks designs, builds and manages next-generation indoor wireless networks — including Cellular, Public Safety, Wi-Fi, and Private LTE — in some of the largest cities in the country, including Washington D.C., San Francisco, and Los Angeles.

Company Core Values & Beliefs

Honesty
Customer Focus
Delivery Excellence
Working Hard
Staying Humble
Always Positive
Perpetual Learning
Attention to detail
Show less ",1,0,0.26
3,Human Resources,Telecommunications and Utilities,"Scope of Responsibility: Supports the hiring needs of the business by sourcing and selecting quality talent. Responsible for full-cycle recruiting of both manufacturing and professional positions.




Essential Duties:

Reviews applications, phone screens applicants, and schedules interviews
Coordinates new hire paperwork, schedules pre-employment screenings, and conducts orientation
Manages the applicant tracking system (ATS), HRIS databases, and time and attendance programs
Drives the selection of quality candidates based on business needs and culture to determine fit and reduce turnover
Provides administrative support for the Affirmative Action Plan utilizing Excel, HR database, and ATS
Assists HR Team in setting up employee activities and/or recognition events
Provides prompt, courteous, and accurate customer service to employees, applicants, and vendors/consultants
Ensures compliance with all HR-related state and federal laws and regulations, company policies, and procedures
Presents a professional image to employees
Maintains confidentiality
Additional duties as assigned




Position Requirements:

Bi-lingual in English and Spanish
2+ years of recruiting experience, including maintaining the applicant flow process preferably in a manufacturing environment
Excellent working knowledge of MS Word, Excel, and Outlook
Ability to uphold confidentiality to the utmost extent possible
Excellent written and oral communication skills in English
Demonstrates general knowledge of human resources issues and employment laws
Excellent comprehension and information retention
Ability to identify, define and resolve problems
Ability to effectively manage and prioritize competing priorities
Ability to resolve issues and deal with constraints
Possesses strong organizational skills and attention to detail
Regular and timely attendance is required
Ability to work well with people in a number of positions, from production to executive employees
Ability to plan, organize and multi-task in a fast-paced work environment




Sabre Wide Cultural Elements:

Integrity- We are integrous. We build trust and respect every day and it is the foundational value we stand tall on.
Commitment – We stay committed. We empower each other to take ownership of our goals and we execute together.
Innovation- We remain innovative. It’s in our nature to deliver the highest quality and best in class solutions.
Connection- We are connected. We connect our diverse cultures and will continue to connect the inclusive communities we serve.

Show less ",1,0.28,0
4,Other,Telecommunications,"☎ Community Phone

remote first and always

Community Phone is a venture-backed, Y-Combinator graduate with a simple mission: make the phone more powerful.

In the smartphone revolution, we've forgotten about the phone; it's been left behind technologically. It serves us spam calls or requires small business owners to learn technical concepts like VoIP (Voice over IP or internet calling).

In 2022 we grew our recurring revenue by over 400% while discovering profitable channels ready for optimization and scale.

Our team expanded from 17 people in 2022 to 70+ now. Our customers now include KFC, AT&T, dozens of state and local governments, and General Motors (as well as consumers around the US).

Our investors are the same early investors in companies like Reddit, DropBox, Airbnb, Twitch, and Lyft. Our culture is customer-centric and believes happy customers are the best salesforce on the planet! Our growth has been organic, and we’re growing the team to meet the demand.

💼 About The Role

We are looking to expand our support team and hiring Customer Support Representatives who love to delight our landline users.

💪🏼You will...

Track customer concerns, identifying trends, and driving calls
Work Cross-Functionally to remove customer obstacles
Ensure every customer has an extraordinary experience
Understand why customers wish to cancel and working on solutions to keep customers satisfied
Listen for opportunities to Upsell our customers on additional products and services that will save them money and solve their issues


🤩 You are...

Calm Under Pressure, excellent at establishing rapport, and comfortable chatting with a variety of people
Kind to your core
Able to Adapt quickly to change
Excellent in both Verbal and Written Communication skills
A Skilled Multitasker and Organizational by nature
Experience with Zendesk, Hubspot or similar technology


💰Compensation:

We are hiring globally and paying $1,040/month

📆 Shifts:

Our shifts are US timezone based, we are open every day from 9 am EST to 9 pm EST, you can expect to work on weekends on a rotating basis

💙 Community Phone Culture

Community Phone has a customer-obsessed culture. We are looking for team members who love our product and mission and see the remote first environment as a bonus.

Beyond the job description, here are some traits members of our team share:

We value Curiosity and learning in our employees. We promote open-mindedness, embrace mistakes, and encourage challenging questions for personal growth. We create a culture of continuous learning to empower our team to tackle challenges and excel in their roles.

Efficiency in everything. We operate lean, optimizing resources to improve our products and deliver a world-class customer experience. We prioritize value over excess, embodying a scrappy and resourceful spirit to achieve our mission and values.

We prioritize taking decisive action over deliberation, recognizing that building a world-class product requires pushing personal limits and taking risks. We believe that a Bias Toward Action is essential for achieving our goals and delivering exceptional results to our customers.

We strive for Transparency and prioritize open, Direct communication. This helps us resolve issues quickly and build strong relationships with our stakeholders.

We take our work seriously and see it as a reflection of who we are. We're always looking for ways to improve and are open to feedback. We approach our work with a sense of ownership and a desire to deliver the best possible results. By embodying a Founder Mindset, we're able to achieve our goals and create exceptional products.

We value a Caring Mentality. Our customers come first, and we collaborate to provide exceptional service. We prioritize teamwork over personal accolades, fostering a customer-focused culture that drives our success and promotes a supportive work environment.

Join our team and help us lead the market with delightful customer experiences and a supportive, collaborative work environment. If our values resonate with you, we would love to have you on board!

Our salary ranges are determined by role, level, and location.


Show less ",1,0,0
5,Other,Telecommunications,"We're hiring and are looking to connect with you immediately to support our Retail Client. * No Previous Experience Needed- Will Train * Training Begins, ASAP. * Earn $14.00 per hour * Make your own schedule We are looking for Independent (Work at Home Only) Contractors to assist us in continuing to provide excellent customer service to our clients. We help global brands provide a great experience to their customers, build customer loyalty, and grow their business. What You'll Do: * Handle customer inquiries and complaints * Provide information about the products and services * Troubleshoot and resolve product issues and concerns * Document and update customer records based on interactions * Maintain detailed and current knowledge of the company's products and services What You'll Need: * Ability to build rapport with clients * Ability to prioritize and multitask * Positive and professional demeanor * Excellent written and verbal communication skills * Have a quiet place to work without noise or distractions Required Qualifications: * Be a United States resident * Must be 18 years of age or older * High School Diploma or Equivalent * Pass Background Check Technical Requirements: * Desktop/Laptop with Windows 10 or higher * USB Noise Canceling Headset * Hardwired to Internet * Landline and Smartphone We are currently not hiring in the following states: California, Connecticut, Maryland, Massachusetts, New York, Oregon, and Wisconsin Company Description Jade of Spades Inc. is a completely remote call center, established in 2014. Jade of Spades Inc. is a fully remote customer support agency established in 2014. We source the best customer service professionals in the U.S. We set up our agents to be the best of the best and empower them for success. Independent Contractors joining Jade of Spades Inc. have found a work-life balance like no other, unrivaled flexibility and freedom from the traditional brick-and-mortar workplace. Join the Jade of Spades Team! We source the best agents in U.S.. We set up our agents to be the best of the best and empower them for success. Independent Contractors joining Jade of Spades Inc. have found a work-life balance like no other, unrivaled flexibility, and freedom from the traditional brick and mortar. Join the Jade of Spades Team!




Jade of Spades Inc. is a completely remote call center, established in 2014. Jade of Spades Inc. is a fully remote customer support agency established in 2014. We source the best customer service professionals in the U.S. We set up our agents to be the best of the best and empower them for success. Independent Contractors joining Jade of Spades Inc. have found a work-life balance like no other, unrivaled flexibility and freedom from the traditional brick-and-mortar workplace. Join the Jade of Spades Team! We source the best agents in U.S.. We set up our agents to be the best of the best and empower them for success. Independent Contractors joining Jade of Spades Inc. have found a work-life balance like no other, unrivaled flexibility, and freedom from the traditional brick and mortar. Join the Jade of Spades Team!
Show less ",1,0,0
6,Education and Training,Telecommunications,"Description

Position Location(s): You may be based remotely near any of Astound's major markets including San Marcos, TX, Chicago, IL, Lehigh Valley, PA, Princeton, NJ, Massachusetts, New York, Portland and Woodburn, OR, Seattle and Bothell, WA, Sacramento and Rocklin, CA. If you possess the right skills, we might be open to hiring remotely in other areas nationally as well.

Travel: Yes, up to 20% to market offices and/or field visits

Astound Broadband, the sixth-largest telecommunications provider in the United States, is a leading supplier of cutting-edge technology and communications services-and applicants like you make it all possible. To develop your career, we provide one-on-one training and coaching, a supportive work environment and the opportunity to represent a superior telecommunications company.

Additionally, we offer a robust benefits package, including rewards, recognition and employee discounts to ensure your continued success. With us, you'll stay empowered to do your best work by creating astounding possibilities for local communities and beyond.

Position Overview

Astound Broadband is currently searching for a Trainer and Curriculum Consultant! Reporting to the Sr. Manager of Learning and Development, you will identify opportunities around leadership skills, sales, product, etc., and implementing training solutions to address these areas utilizing a variety of delivery methods (i.e. face-to-face, e-learning, webinars, etc.). You will become the go-to person for learning and development in your markets, while also supporting national compliance and DE&I initiatives.

A Day in the Life of the Trainer and Curriculum Consultant:

Collaborate with stakeholders to identify gaps and develop targeted training
Act as a consultant and make recommendations on internal and external training initiatives in accordance with the Company's Leaders as Teachers program
Produce and implement leadership development plans including but not limited to coaching, classroom training, mentorship, etc.
Develop and deliver Residential and Business Services training and design curriculums and content in partnership with SMEs across the organization
Select the most appropriate training strategies by leveraging a variety of learning platforms, e.g., virtual, classroom, e-learning, etc.
Calculate the costs and benefits of training programs & analyze ROI
Design, develop and deliver corporate- and Market-wide business solutions and compliance training
Create E-learning courses on variety of technical/soft skills topics for delivery through the Learning Management System
Coach Subject Matter Experts (SMEs) on course development and presentation delivery skills
Application of adult learning theory and instructional design processes (ADDIE)
Maintain class documentation, including registration, evaluations, and feedback via LMS
Position will have up to 20% travel to our local field markets to provide training
Perform other duties as assigned by the Senior Manager

What You Bring To The Table

5+ years of direct training and facilitation experience (i.e: sales/technical/leadership)
Experience developing training for classroom, virtual, and online
Excellent written and oral communications skills
Excellent presentation, project management, and organizational skills a must
ATD Training Certificate a plus
Proficiency with Microsoft Office Suite and ability to learn new programs
Must have the ability to communicate effectively with all levels in the organization
Must be able to work in a standard office environment and at field locations
Must have ability to operate standard office equipment

Education And Certifications

Bachelor's degree or equivalent experience

We're Proud To Offer a Comprehensive Benefits Package Including

Competitive compensation
401k with employer match and immediate vesting
Paid parental leave
Tuition reimbursement program
Employee discount program
Entrepreneurial yet established and growing organization where you can make a true impact!
And more!

The base salary range in WA, CA, CO and NY for this position is $75,000 - 90,000, plus opportunities for bonus and benefits, if applicable. The base pay range represents the low and high end of the hiring range for this job. Actual pay will vary and may be above or below the range based on various factors including but not limited to relevant skills, experience, and capabilities. It is specific to the states listed above and may not be applicable to other locations.

Diverse Workforce / EEO

Astound Broadband is proud to be an Equal Opportunity Employer. We embrace, support, and thrive on each other's differences to maximize the experience of our teammates and our community. We are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law.

The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 CFR 60-1.35(c)

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
Show less ",1,0,0.23
7,Education and Training,Telecommunications,"Job Details

Description

Position Location(s): You may be based remotely near any of Astound's major markets including San Marcos, TX, Chicago, IL, Lehigh Valley, PA, Princeton, NJ, Massachusetts, New York, Portland and Woodburn, OR, Seattle and Bothell, WA, Sacramento and Rocklin, CA. If you possess the right skills, we might be open to hiring remotely in other areas nationally as well.

Travel: Yes, up to 20% to market offices and/or field visits

Astound Broadband, the sixth-largest telecommunications provider in the United States, is a leading supplier of cutting-edge technology and communications services—and applicants like you make it all possible. To develop your career, we provide one-on-one training and coaching, a supportive work environment and the opportunity to represent a superior telecommunications company.

Additionally, we offer a robust benefits package, including rewards, recognition and employee discounts to ensure your continued success. With us, you’ll stay empowered to do your best work by creating astounding possibilities for local communities and beyond.

Position Overview

Astound Broadband is currently searching for a Trainer and Curriculum Consultant! Reporting to the Sr. Manager of Learning and Development, you will identify opportunities around leadership skills, sales, product, etc., and implementing training solutions to address these areas utilizing a variety of delivery methods (i.e. face-to-face, e-learning, webinars, etc.). You will become the go-to person for learning and development in your markets, while also supporting national compliance and DE&I initiatives.

A Day in the Life of the Trainer and Curriculum Consultant:

Collaborate with stakeholders to identify gaps and develop targeted training
Act as a consultant and make recommendations on internal and external training initiatives in accordance with the Company's Leaders as Teachers program
Produce and implement leadership development plans including but not limited to coaching, classroom training, mentorship, etc.
Develop and deliver Residential and Business Services training and design curriculums and content in partnership with SMEs across the organization
Select the most appropriate training strategies by leveraging a variety of learning platforms, e.g., virtual, classroom, e-learning, etc.
Calculate the costs and benefits of training programs & analyze ROI
Design, develop and deliver corporate- and Market-wide business solutions and compliance training
Create E-learning courses on variety of technical/soft skills topics for delivery through the Learning Management System
Coach Subject Matter Experts (SMEs) on course development and presentation delivery skills
Application of adult learning theory and instructional design processes (ADDIE)
Maintain class documentation, including registration, evaluations, and feedback via LMS
Position will have up to 20% travel to our local field markets to provide training
Perform other duties as assigned by the Senior Manager

What You Bring To The Table

5+ years of direct training and facilitation experience (i.e: sales/technical/leadership)
Experience developing training for classroom, virtual, and online
Excellent written and oral communications skills
Excellent presentation, project management, and organizational skills a must
ATD Training Certificate a plus
Proficiency with Microsoft Office Suite and ability to learn new programs
Must have the ability to communicate effectively with all levels in the organization
Must be able to work in a standard office environment and at field locations
Must have ability to operate standard office equipment

Education And Certifications

Bachelor’s degree or equivalent experience

We're Proud To Offer a Comprehensive Benefits Package Including

Competitive compensation
401k with employer match and immediate vesting
Paid parental leave
Tuition reimbursement program
Employee discount program
Entrepreneurial yet established and growing organization where you can make a true impact!
And more!

The base salary range in WA, CA, CO and NY for this position is $75,000 - 90,000, plus opportunities for bonus and benefits, if applicable. The base pay range represents the low and high end of the hiring range for this job. Actual pay will vary and may be above or below the range based on various factors including but not limited to relevant skills, experience, and capabilities. It is specific to the states listed above and may not be applicable to other locations.

Diverse Workforce / EEO

Astound Broadband is proud to be an Equal Opportunity Employer. We embrace, support, and thrive on each other’s differences to maximize the experience of our teammates and our community. We are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law.

Qualifications

Skills

Behaviors

:

Motivations

:

Education

Experience

Licenses & Certifications

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities

The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)
Show less ",1,0,0.22
8,Administrative,Telecommunications,"We are seeking an Administrative Assistant to join our team! You will perform clerical and administrative functions in order to drive company success. Responsibilities:




Draft correspondences and other formal documents
Plan and schedule appointments and events
Greet and assist onsite guests
Answer inbound telephone calls
Develop and implement organized filing systems
Perform all other office tasks Qualifications:
Previous experience in office administration or other related fields
Ability to prioritize and multitask
Excellent written and verbal communication skills
Strong attention to detail
Strong organizational skills
Show less ",1,0,0
9,Information Technology,Telecommunications,"Description As our FTTH Technician, you will be one of the initial points of contacts for our customers ensuring they experience a seamless installation process ensuring the highest level of customer experience is exceeded by providing an ultra-high-speed internet service. What we will train you to do * Cabling testing and documentation (all media types) * Installation, maintenance, and troubleshooting of fiber optic systems and networks. * Working with optical fiber, etc. including performing all cable pulling, suspension, fiber terminating, and testing in accordance with the National Electrical Code (NEC) and other local regulations. * Working as part of a collaborative team to ensure premiere service to our business and residential customers Requirements * Excellent teamwork ability and customer service skills * Basic computer & home networking skills; basic electronic audio/video knowledge is helpful * Ability to properly use all tools and equipment necessary to perform assigned tasks-including Drills, Cable Cutters, Hammer Drill * A high standard of work ethics with an ability to perform all work in a neat and quality manner * Ability to adhere to safety guidelines and requirements including wearing all forms of PPE * Ability to work in adverse conditions including all weather conditions * Must have great work ethic and be trainable * Work aloft and in close spaces up to 30ft in ladder, or hand climb utility poles using gaffs; work in manholes. * Must be able to stoop, kneel or crouch for long periods of time. Must be able to lift 50 pounds and carry 25 pounds consistently. * Willingness to work flexible schedules including weekends, holidays and evenings * Valid Florida Driver License is required, pre-employment drug test, security license verification * High school diploma or GED preferred; college or technical/vocational school a plus * Ability to read a print and follow color coordinated routings Benefits * Dynamic company culture with diverse growth opportunities. * Peace of mind - Fully paid health insurance coverage for you and your family. * Time for yourself - 4 weeks Paid Time Off (PTO). * Learning and development to fuel career and personal growth. Company Description Wire 3 is dedicated to creating a world class internet experience for our customers. We believe that high-speed, reliable internet is the lifeblood of our digital world. We are Central Florida's only 100% fiber-optic internet service provider, and we take that seriously. While internet service is what we charge for, what we provide is piece of mind. What does that mean? We take pride in having local employees, local customer service, and a team focused on partnering with the residents of the communities we serve. Are you ready to join our team and make a difference getting the residents the best, fastest, and most cost-effective internet access in the country? We are looking for energetic, collaborative, and customer focused talent with the ability to engage with prospective customers. Come join one of the fastest growing teams in Florida, where you can be a part of a movement where your voice is heard. Every single one of our employees is a shareholder in our company, and personally invested in the team's success.




Wire 3 is dedicated to creating a world class internet experience for our customers. We believe that high-speed, reliable internet is the lifeblood of our digital world. We are Central Florida’s only 100% fiber-optic internet service provider, and we take that seriously. While internet service is what we charge for, what we provide is piece of mind. What does that mean? We take pride in having local employees, local customer service, and a team focused on partnering with the residents of the communities we serve. Are you ready to join our team and make a difference getting the residents the best, fastest, and most cost-effective internet access in the country? We are looking for energetic, collaborative, and customer focused talent with the ability to engage with prospective customers. Come join one of the fastest growing teams in Florida, where you can be a part of a movement where your voice is heard. Every single one of our employees is a shareholder in our company, and personally invested in the team’s success.
Show less ",1,0,0
