"",Job Function,Industry,Seniority,Job Description,Segment,female,male
0,Marketing,"Technology, Information and Internet",Associate,"About Baird & Warner Real Estate

Over the last decade, Baird & Warner was named a Chicago Tribune Top Workplace eight times in a row. But we didn’t get there by accident — behind every great company is a culture created by the professionals who work there. Throughout our rich history, one thing has remained true: we believe that when you give people the support they need, amazing things can happen. That’s why at Baird & Warner we empower you to be independent, to grow in your career, to do the right thing by your colleagues and your community, and to have a true work/life balance. We truly care about making our team feel part of something bigger by sharing a single purpose — making it easier for homebuyers and sellers to realize their real estate dreams.

Job Summary

The primary role of the Marketing Communications Copywriter covers copywriting and marketing communications support across the entire Baird & Warner family of services and brands within its business units in Residential Sales, Key Mortgage and Title Services, as well as at the corporate level. This role identifies, develops and delivers corporate and promotional communications across all messaging media to internal and external audiences through all media, including collateral, direct mail, digital campaigns, press releases, and Internet and intranet sites, as well as Baird & Warner’s social media platforms, including Facebook, Twitter, Instagram, and LinkedIn. The Marketing Communications Copywriter is passionate about the power of well-crafted and impactful messaging, and works just as well individually and as part of a group within a supportive, creative environment that respects work/life balance. This person has excellent written and verbal communication skills, well-developed time and project management abilities, a contagious positive attitude, and a strong work ethic.

Essential Duties And Responsibilities

(Other duties may be assigned)

Strong communicator and copywriter able to distill business initiatives and competitive advantages into well-articulated communications that stress benefits over features.
Responsible for generating a continuous stream of content for internal and external communications and deploying that content across a variety of channels.
Helps maintain content on public-facing websites, as well as various printed and electronically deployed collateral materials.
With the senior copywriter’s assistance, translate creative direction and copy points from creative briefs into engaging and effective content.
Proofs copy for consistency and accuracy.
Proven ability to check and re-check to ensure all prior revisions are in place.
Ensures compliance with Baird & Warner’s brand guidelines and voice.
Writes and maintains content and upholds guidelines for Baird &Warner’s intranet.
Writes and initiates copy for Baird & Warner award submissions and lists entries.
Assists with copy for Uniquely Branded projects, a Baird & Warner program which provides agents a way to develop their personal brand.


Qualifications

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Ability to quickly adopt and embody Baird & Warner’s brand voice across all communications copywriting.
Outstanding oral and written communication, and presentation skills.
Knowledge of AP Style recommended.
Strong business acumen with solid time and project management skills.
Highly detail-oriented with exceptional and proactive follow-through.
Social media experience with Facebook, Twitter, Instagram, Linkedin, and blogging.
Proficiency in both Mac and Microsoft operating systems.
Flexible and able to work with little direction in a fast-paced, entrepreneurial environment, managing multiple projects.
Experience with Google Suite (Mail, Docs, Sheets, Slides) is highly desired.
Solid advertising copywriting experience is ideal.
Knowledge of the real estate industry is a plus.
Experience using analytics is a plus.
Experience working with media or journalism contacts is a plus.


Education and Experience

Bachelor’s degree in marketing, communications, or related field is required.
Minimum of three to five years in marketing, integrated communications or ad agency environment.


Physical Demands

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Access to an automobile may be necessary to support certain field office events.

Work Environment

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Show less ",1,0,0.14
1,Human Resources,"Technology, Information and Internet",Associate,"About Verdant Specialty Solutions

Verdant Specialty Solutions is a global specialty chemical company. Its customers include world-leading personal care and home care brands, energy solutions providers, and industrial companies. Verdant’s vision is to be the go-to provider of batch specialty surfactant-based chemistry for applications in the consumer and industrial markets. Based in Houston, the company has nine locations in the US and Europe. Verdant’s international team of 280 employees are committed to safety, quality, and supply reliability.

Why Join Verdant?

Opportunities for growth Verdant is a fast-growing company that has the spirit of a small business. The company was formed in May 2021, so every employee plays an important role in culture and performance. It offers a dynamic ‘start up’ atmosphere with opportunities for professional growth.

Committed to safety Despite having the spirit of a small business, Verdant rivals larger companies in its commitment to safety. Verdant prides itself on industry-leading environmental, safety, health and quality standards. At Verdant, there is no priority higher than safety

About the position Verdant Specialty is seeking to fill a Human Resources role for our corporate offices located in downtown Houston, Texas. This is a full-time, exempt position. This position will have general HR, payroll and benefits duties for multiple branches.

Functional Responsibilities

Maintain and update employee records, managing HR documents and employee electronic records (e.g. employment, and onboarding paperwork, etc.) and updating internal databases.
Perform regular database audits to ensure data accuracy and alignment of systems.
Process/respond to employment verifications and unemployment claims in a timely manner.
Analyze current HR processes and procedures and recommend improved methods.
Liaise with third party service providers and process invoices for temporary placements and temp to hire employees.
Coordinate with onsite contact at each site re: onboarding
Supports Verdant employment policies and procedures including EEO/Discrimination, Sexual Harassment, Discipline, etc.
Assist with recruiting talent for US entities.
Perform pre-employment background checks and drug screens for candidates who have been made a conditional offer of employment.
Prepare and send routine correspondence and notices internally and externally.
Employee relations – assist HR Director with scheduling investigations and gathering documentation for disciplinary actions.
Onboarding from recruiting process. Interview, offer, pre-employment drug screening, physical and background check. Establish start date and communicate an informative orientation. This requires communication with candidates, recruiters, managers, and directors.
Orientation of new employees – Communicate history of company, review highlights of company handbook including policies/procedures, benefits enrollment, payroll schedule and navigation of HCM platform.
Process 8 full-cycle payroll per month for U.S. operations and maintain electronic employee records in our HRIS ADP and Financial systems (new hires, promotions, transfers, terminations, job and personal changes).
Maintain and updates ADP WFN with any changes to employee data including job title changes, pay changes, active/termination status, supervisor changes, benefit changes, etc. ensuring proper documentation.
Review electronic timesheets for exceptions, attendance, paid time off, unpaid leaves.
Process approved Short Term Disability payments.
Process 401k contributions and uploads to 401k provider.
Process wage garnishments and child support orders.
Process year end W-2s and ACA forms
Ensure employees are assigned to the correct cost centers and that wages are assigned to the correct pay codes.
Ensure the accuracy of all benefits enrollments in the HRIS and Employee Navigator (Benefits in Hand) to provide vendors with accurate eligibility information.
Perform quality checks of benefits-related data.
Assist employees regarding benefits claim issues and plan changes.
Distribute all benefits enrollment materials and determines eligibility.
Enroll employees with carriers and process life status changes.
Respond to benefits inquiries from managers and employees on plan provisions, benefits enrollments, status changes and other general inquiries.
Process and administers all leave-of-absence requests and disability paperwork: medical, personal, disability and FMLA.
Process benefits enrollments, changes, and terminations in WFN and Benefits in Hand.
Effectively interpret FMLA and ADA implications as they relate to leaves of absences/disabilities.
Prepare benefits invoices and submit to AP for timely payment with proper back up. (medical, dental, Life, AD&D, STD/LTD, Critical Illness, HSA, FSA, etc)
Respond to 401(k) inquiries from managers and employees relating to enrollments, plan changes and contribution amounts. Manages the annual catch-up contribution enrollment.
Provide necessary reports for allocation/billing charges.
Communicate, educate, and counsel employees on various employee benefit programs, including health care (medical, dental, vision, and prescription), flexible spending accounts, life, short-term disability insurance, and 401(k).
Participate in annual open enrollment educational meetings.
Other duties as required in HR department.
Less than 5% travel required for benefits open enrollment meetings/onsite contact


Requirements

Associates degree in HR or related field, preferred (experience and/or other training/certification may be substituted for the education)
5+ years of HR, payroll and benefits experience required.
Experience implementing or integrating payroll/benefits preferred
Experience and understanding of multi-state payroll jurisdictions preferred.
Experience with processing payroll with rotating shifts, preferred.
Exceptional attention to details and accuracy.
Strong Microsoft Suite experience.
Strong knowledge and experience with benefits administration. Employee Navigator experience is a plus
Strong knowledge and experience with payroll/HRIS systems. ADP Workforce Now experience a plus.
Strong communication skills
Flexibility and adaptability


Benefits

Competitive and comprehensive health, dental and vision benefits through Cigna.
Generous matching 401k plan
Flexible Spending Account (FSA)
Health Savings Account with employer contribution and yearly roll over (cannot be combined with FSA)
Health advocacy and services
Company paid life insurance
Company paid short term disability insurance
Paid Vacation and Holidays
Employee Assistance Program
Other company paid programs including identity theft resolution, travel assistance, will preparation, discounts on gym membership and equipment, massage therapy, nutrition programs and smoking cessation.
Show less ",1,0,0
2,Marketing and Sales,"Technology, Information and Internet",Associate,"The Marketing Coordinator will be a hybrid office/remote role that will report directly to Green Power Energy’s Vice President of Marketing. The Marketing Coordinator will be responsible for tasks related to content creation, social media management, brand management, and more. The overall goal of the position is to assist in generating more business while building the brand, maintaining our reputation, and following our Core Values. Green Power Energy and the solar industry at large are poised for significant growth and the right candidate will be joining the Marketing Team in an exciting work environment.

Responsibilities:
Social Media Coordinator. Create and schedule weekly content. Create content in Canva using original ideas and other content created through collaboration with other team members to incorporate customer photos, videos, drone footage, product offerings, promotions, announcements, and more. Social media content creation includes but is not limited to:
Instagram squares
Social media reels
Social media stories
Customer case studies
Original photos
Additional Content Creation:
Sales decks. Green Power Energy utilizes several customer guides and sales decks which require maintenance and updates through the year.
Flyers. Create flyers in Canva for promotions, sales, events, and more.
Case Studies. It is the goal of Green Power Energy to create at least one new case study every month. The marketing coordinator will interview interested customers while following a company provided template. Assistance can be provided in the accompanying customer and installation photos.
Videos. Simple reels and with the assistance of the Vice President of Marketing more substantial videos like vlogs, animated explainer videos, and customer interviews.
Create and schedule email and text marketing campaigns. At the direction and with the support of the Vice President of Marketing, create and design the marketing campaigns using an all in one marketing platform like Mailchimp. Responsible for organizing the email and text marketing lists and campaigns while monitoring the customer journey and ensuring compliance.
Manage online listings. Ensure consistency across all platforms in regards to descriptions, hours of operation, and photos. Provide updated posts and photos where available and necessary. Respond to customer messages in a timely manner. This includes responding to quote requests from Google My Business, Facebook, Yelp, and others.
Respond to customer reviews in a timely manner and promote the collection of new reviews across our online listings. Green Power Energy may offer promotions to customers for posting reviews. In which case, the Marketing Coordinator will be responsible for making and tracking those payments.
Send e-gift cards to customers for various promotions while tracking and recording promotion payments both completed and pending.
Send referral payments which are to be made twice monthly and push notifications on Green Power Energy’s app.
Manage physical marketing materials. Responsible for the organization and inventory of marketing material inventory across Green Power Energy’s three office locations. In addition to maintaining the inventory, the Marketing Coordinator will be responsible for ordering additional materials as needed. These materials can range all the way from trade show displays to sunglasses.
Coordinating and staffing shows and events. Green Power Energy will set up displays at several festivals, events, and trade shows throughout the year. These events may take place in NJ, CT, PA, or TX. It will be the responsibility of the Marketing Coordinator to staff, set up for, and coordinate these events. Travel accommodations will be provided as needed.
Update Green Power Energy’s marketing budget with items related to the Marketing Coordinators job roles in a prompt manner.
Manage Green Power Energy’s Calendly accounts. This includes updating descriptions, and notifications, thank you pages, and ensuring constant “availability” of appointments to new website visitors.
Manage company email signatures and headshots using an intuitive online tool. That means making sure everyone has one that is correct and creating signatures and headshots for new hires.
Submit our yearly application to SolarPowerWorld magazine. An industry publication which ranks solar companies nationwide.
Responsible for the interior decorating of our office locations. Typically this would include creating unique photo walls and implementing decals and various creative items into the decor.
Job roles can evolve beyond what is listed here. It may include more or less depending on Green Power Energy’s workload and the determined skills of the Marketing Coordinator.


Requirements

Proficiency with graphic design software such as Canva.
Proficiency with posting on social media platforms such as Facebook, TikTok, Instagram, Twitter, and Linkedin.
Outstanding creative skills.
Excellent verbal and written communication skills with an emphasis on confidence in communicating with customers.
Exceptional organizational skills. Job tasks will be well defined, organized, and tracked using online marketing collaboration tools. This is for both the benefit of the employee and their manager. It should be clear what you have to work on, what is expected, and when it should be completed.
Ability to work independently, while managing multiple tasks and projects.
Highly motivated individual. We are looking for someone to take what we have described above and expand on it. We want someone who comes to us with ideas, shows a passion for the job, and a desire to accomplish goals.


Benefits

W-2 Employee
401k matching program
Paid Time Off (Vacation, Sick & Public Holidays)
Health Care Plan (Medical, Dental & Vision)
Show less ",1,0,0
3,"Art/Creative, Quality Assurance, and Writing/Editing",Entertainment Providers,Associate,"Job Title: Editor

Employer: Mitú

Reports to: Editor in Chief

Location: Remote - Preferred candidate in the Greater New York area

Classification: Independent Contractor




About mitù:

For 10 years mitú has been the leading digital media company dedicated to inspiring, representing and super-serving U.S. Latinos. As a platform built for Latinos by Latinos, mitú is committed to representing both the collective and unique experiences of the 200% generation - 100% American and 100% Latino - through their multiple touch points in video, editorial, social, media, and research.




About the Role:

This is a part-time (25 hours per week) freelance role with the option for full-time if it is a mutual fit.

Hourly Rate: $31 - $35




Responsibilities:

Proofread text and correct spelling, grammar, and punctuation errors
Verify factual correctness of information, such as dates and statistics
Check text for style, readability, and adherence to editorial policies
Rewrite text to improve clarity and readability
Collaborate with the EIC on an editorial calendar for evergreen online content, quarterly content and special projects as assigned
Collaborate with EIC to ensure consistency in our brand voice across all brands on the O&O
Collaborate with EIC to develop ongoing editorial hubs that align to key moments throughout the year, designed to be brand friendly and secure sponsorships
Brainstorm articles that will inspire and engage readers and prompt shareability
Stay ahead of popular trends and events that could activate new content ideas
Serve as point of contact should EIC be out of reach




Qualification Requirements:

Impeccable grammar and editing skills are a must
Knowledge of digital copyright best practices and vulnerabilities is a must
Experience editing stories for a digital or social media publisher is a must
Internet addict: you know what trends are taking over social media, and you know what will click with our audience
Degree in Journalism, Literature, Creative Writing, Marketing,
Communications, or Digital Media preferred
A passion for increasing the Latinx presence in digital media and entertainment
Excellent interpersonal communication skills
Clear communicator via email and Slack; ability to effectively collaborate remotely. Candidates located in the Eastern Time Zone preferred.




Preferred Skills:

Fluent/Intermediate Spanish is helpful, but not required
Experience publishing on WordPress




Additional Information:

GoDigital Media Group is committed to creating an inclusive work environment that reflects the diversity of our community. We are an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to their race, ethnicity, religion, gender, sexual orientation, age or disability status.

Show less ",1,0,0
4,Other,"Banking, Executive Offices, and Accounting",Associate,"Rol: Apoyar en la actualización de información de los clientes jurídicos como personales existentes y nuevos que cuentan con los productos de la empresa, con el fin de validar la documentación pertinente según políticas y procedimientos establecidos.




Funciones




Cumplir con el programa de actualización de información de clientes persona natural y jurídica.
Crear y registrar los nuevos clientes y firmantes en el respectivo sistema.
Realizar y presentar estadísticas e informes a la gerencia.
Registrar en el sistema las instrucciones precisas de las condiciones de manejo y costos que tendrá cada tipo de cuenta.
Mantener la base de clientes actualizada.
Revisar que toda la documentación de vinculación para personas naturales y jurídicas esté completa y bien diligenciado con el fin de dar cumplimiento a los procedimientos y políticas establecidas por la empresa.
Ejecutar el manejo de las novedades para los depósitos a plazo fijo (renovaciones, cancelaciones, aumentos y disminuciones).
Show less ",1,0,0
5,Other,"Technology, Information and Internet",Associate,"About Tava

Tava Health is a venture-backed telemedicine startup that partners with employers to provide convenient, high-quality, accessible mental health care to employees and their families.

As we continue to grow, our ability to support and delight our customers is critical. As a Customer Success Manager (CSM) at Tava, you will help us refine how we partner with Human Resources and Benefits leaders to ensure that their employees are receiving the maximum value out of their therapy benefit.

What We Are Looking For

We are looking for a Support Associate to ensure our clients and providers are successful. When a client is matched with a provider on our platform, a lot of thoughtful orchestration takes place behind the scenes to make both the client and provider journeys feel seamless.

In this role, you will work closely with our operations team, giving you unique exposure to business operations, as well as provider and customer success. Because we are a startup, we are looking for someone willing to learn on the job who is highly organized, dependable, self-driven, low-ego, and excellent interpersonally.

Responsibilities

Act as the initial support contact for our clients and providers.
Provide thoughtful/empathetic phone, email, and chat communication to clients and providers.
Assist clients with navigating their clinical journey from sign-up to completion of therapy, including follow-up to help clients schedule appointments.
Advocate for clients and providers by capturing feedback and working cross-functionally, ensuring their needs and concerns are communicated internally.
Provide troubleshooting and technical support to both clients and providers.
Escalate concerns appropriately and in a timely manner.
Exhibit a high level of familiarity with our applications and their functionality.
Answer onboarding-related questions of new providers, as necessary.
De-escalate dissatisfied clients and providers and, when applicable, quickly elevate internally.
Manage various operational tasks associated with supporting/tracking clients and providers.
Process provider offboarding and assist with connecting clients with new providers.
Act as initial contact for clients referred through insurance directories and assist clients with payer-related questions.
Verify client eligibility and communicate changes to eligibility in a timely manner.


Requirements

Low-ego, customer-centric attitude
Outstanding written and verbal communication
High attention to detail/accuracy
Self-motivated team player who thrives in multi-tasking environment and can adjust priorities
Strong de-escalation skills (and ability to discern when to escalate a concern or complaint)
Bonus: Exposure to health insurance industry and past experience in customer-facing, project management, behavioral health, communications, or other roles with demonstrated ability to increase customer satisfaction


All of that said, we are open-minded about who we hire for this role. We’re looking for someone who is invigorated by our mission and this specific opportunity, not just someone who simply checks all the boxes. As long as you are smart, disciplined, and persistent enough to quickly learn on the job, please apply!

WHY YOU’LL LIKE WORKING WITH US

Enjoy working remotely (anywhere in the contiguous 48 US states) in this full-time, salaried position. Tava offers a highly competitive benefits package including parental leave, plenty of paid holidays and PTO, medical, dental, and vision insurance, and (of course) a generous mental health benefit.

Tava is an Equal Opportunity Employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran, marital, or disability status.


Show less ",1,0,0
6,Design,"Technology, Information and Internet",Associate,"Please note that we are currently hiring for April & May 2023 start dates**


The design assistant role at COUPAR is a key role within our organization. As the design assistant, you will be working closely with the design team to implement the project design in collaboration with the Principal and Lead/Managing designers. This role assists in all aspects of the design process from sourcing FF&E, developing schedules, processing work orders, developing client presentations, working in AutoCAD and some administrative responsibilities.

Responsibilities

Manage tasks within 2-3 projects simultaneously with an eye for detail
Maintain all project information in Basecamp with daily updates
Assist with presentation preparation through the use of Powerpoint
Gather detailed information and quotes for preparation of accurate design proposals
Create and prepare proposals for client submission
Assist Associate and Lead Designers with various design and administrative tasks related to all phases of high end interior design from initial planning through to project completion
Review project plans and understand project scope, completion schedules and other related documents
Develop AutoCAD plans, including but not limited to: floor plans, furniture plans, elevations, and reflected ceiling plans
Maintain up to date knowledge of products and materials available on the market
Maintain and develop vendor database and accounts
Assist with sample return, sample pulls and materials library organization
Assist Design Team with the following but not limited to: Studio Designer, Designer Link, Ivy, and Harvest time input and order tracking
Organize and maintain client FF&E binders
Interface with vendors via phone calls, emails, and shop visits to coordinate production and completion of orders
Ability to resolve project problems and respond appropriately to vendor concerns with tact and efficiency
Attendance or coordination of project site visit, vendor site measures, and furniture inspections
Maintain excellent organization of project files, samples, and orders
Track assigned tasks, appointments, and correspondence with detailed follow-through to reach completion
Coordinate and assist with onsite project installations, which may include picking up and returning supplies, managing supply inventory lists, and creating and managing deinstallation punch list
Proactively engage in the design process by managing up to Design Associate and Lead Designers
Accurately and thoroughly document and manage time per company guidelines, inputting into Quickbooks and client softwares by the communicated deadlines


Requirements

1 - 2 years of Interior Design internship or assistant level professional experience
Positive attitude with eagerness to grow both professionally and personally
A creative problem solver - Looks at problems as opportunities
Highly productive and organized with thorough attention to detail
Multitasking extraordinaire
Dependable and punctual
Effectively communicates with the team and vendors
Ability to work both as a team & independently, taking direction with minimal supervision
Strong administrative skills and a foundation in following processes and procedures
Professional demeanor and sound judgment
High EQ - Does not take things personally and is open to feedback
Ability to be coached and learn alternate ways of approaching issues
Degree in Interior Design or Interior Architecture a plus
Proficiency in AutoCAD, Adobe Photoshop/Illustrator, and MS Office is a plus
Proficient in any 3D rendering platforms and/or the ability to hand render is a plus
Knowledge of Quickbooks Online, Studio Designer or Basecamp is a plus
Having access to a vehicle is a plus


How to Apply:

We offer the chance to be an integral part of a growing firm, to implement programs for some of the industry's most exciting firms, and to work alongside a team of experienced design professionals and marketing strategists. If you are interested in hearing more about this opportunity, we would love to hear from you!

Please submit your cover letter, resume and portfolio to the email provided.

(Resumes without a personalized cover letter will not be considered.)

No phone calls, please.

Benefits

Being an associate at Coupar will give you access to work with the top 1% of the residential design firms in the Bay Area/Silicon Valley. You will be exposed the proven design process that has made Coupar the most successful and fastest growing design consulting and marketing firm in the industry. Coupar employees have gone on to work with top designers and founded their own companies. One year at Coupar can give you more connections and experience than three years in a traditional firm. Coupar offers competitive pay and healthcare coverage, paid time off and holidays, an employee contribution 401K plan and a great work space in the San Francisco Design Center.

*Starting position $25 per hour (Does not include benefits package and PTO Accrual)*

The Company

Coupar's focus for over a decade is to act as a catalyst for design professionals ready to take their company to the next level. Our San Francisco Design Center-based professionals work in lieu of – or in conjunction with – your team allowing you to dynamically grow your business with minimal overhead. As a tightly knit team, we can leverage the integrations between design, PR, marketing, and operations to ensure our clients’ projects and business run smoothly.
Show less ",1,0.12,0
7,Administrative,"Technology, Information and Internet",Associate,"Looking for a talented multi-tasker to take responsibility for managing a busy office at a fast-growing company. We are looking for someone who is comfortable managing day-to-day operations, completing projects as assigned and connecting with maintenance. As a growing team at a new company we need someone who is willing to create a collaborative environment for everyone to thrive in.

This job is directly responsible for:

Ordering and re-stocking the kitchen.
Receiving packages, mail and other internal communications.
Welcoming new employees to the team.
Planning and coordinating offsite team meetings and retreats.
Planning and coordinating onsite team events.
Coordinating travel for current employees and prospective hires.
Connecting with maintenance for office fixes and upgrades.
Additional projects as assigned.


Requirements

Team player and collaborator is required. This position will require building connections and maintaining relationships so the ability to connect with others is essential.
Excellent communicator - both written and verbally.
Enjoys organizing and values attention to detail.
Aptitude for software and general technology - proficient in MS office and Google Suite products and will need to set-up workstations for newcomers, etc.
Self-starter, able to work independently on projects and deliver results in a timely manner.
Previous experience in office management or other administrative roles preferred.


Benefits

Comprehensive benefits (medical, vision, and dental insurance)
Employee discount program
Fully stocked kitchen
401K plan
FSA & commuter benefits


This is a full-time role based in Seattle, WA. Please note, we will not consider applicants outside the immediate area.

Interested parties are encouraged to include a cover letter detailing why you think you could be a great fit, along with links to your portfolio, work samples, and an updated resume. Thanks, and we look forward to hearing from you.
Show less ",1,0.35,0
8,Other,Hospitals and Health Care,Associate,"Company Description




When you come to the University of Maryland St. Joseph Medical Center, you’re coming to more than simply a beautiful 37-acre, 218-bed suburban Baltimore, Maryland campus. You’re embarking on a professional journey that encourages opportunities, values a team atmosphere, and makes convenience and flexibility a priority. Joining our team of healthcare professionals means you’ll be contributing to a locally and nationally recognized institution. UM St. Joseph has been recognized by The Leapfrog Group as a grade ‘A’ hospital and by U.S. News & World Report as #3 in both the state and Baltimore Metro area, making UM St. Joseph the highest-ranking community hospital in Maryland. In addition, we’ve been consistently recognized as a top employer by Baltimore magazine.




Job Description




I. General Summary




The Executive Assistant reports to the Administrative Supervisor of the Administration department and provides administrative support to multiple Vice President’s/Executive-level staff. The Executive Assistant works to ensure that their Executives are properly prepared for all meetings and activities, are kept informed of all pertinent and critical information with the utmost discretion, and, that the Executive’s calendars are monitored and maintained for accuracy in order to help support the Executive’s with meeting deadlines and goals for their division and the organization.




II. Principal Responsibilities And Tasks




The following statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not to be construed as an exhaustive list of all job duties performed by personnel so classified.




Manages and executes multiple projects at one-time, as assigned by the Executive’s.
Oversees and maintains an accurate calendar for the Executive’s, schedules meetings/conference calls, plans special events, and, screens requests from external customers to evaluate the critical nature of meeting requests.
Prepares the Executives in advance of meetings and events by collaboratively reviewing the Executive’s schedule during one-one-meetings, print and collate meeting materials, and effectively communicate urgent issues directly to the Executive’s in a timely manner in order to keep them informed of any and all changes.
Works closely with key hospital stakeholders to coordinate and execute conference room set up, catering needs, and, audio/visual equipment support for the Executive’s meetings and events.
Works closely with the Executive’s leadership team to provide administrative support and guidance, on an as-needed basis.




Qualifications




III. Education and Experience




Bachelor’s / Associate’s / Technical Degree in Business Management, Marketing or Secretarial Science (Preferred).
Or, equivalent relevant work experience in lieu of degree.
4 -6 years of Administrative Assistant/Secretarial experience (Required)
High School Diploma or GED (Required)




IV. Knowledge, Skills And Abilities




Proficient skill set in the following Microsoft Office applications – Outlook, Word, Excel and PowerPoint.
Knowledge of Skype or Skype for Business (preferred).
Proficient written and verbal communication skills.
Knowledge of correct English usage, grammar, spelling and punctuation.
Reliable, self-motivated, positive, respectful and trustworthy.
Willingness to undertake new responsibilities, participate in continuing education programs and be flexible with, and, supportive of change.




Additional Information




All your information will be kept confidential according to EEO guidelines.
Show less ",1,0,0.2
9,Customer Service,Hospitals and Health Care,Associate,"Company Description

Privia Health™ is a technology-driven, national physician enablement company that collaborates with medical groups, health plans, and health systems to optimize physician practices, improve patient experiences, and reward doctors for delivering high-value care in both in-person and virtual settings. The Privia Platform is led by top industry talent and exceptional physician leadership, and consists of scalable operations and end-to-end, cloud-based technology that reduces unnecessary healthcare costs, achieves better outcomes, and improves the health of patients and the well-being of providers.

Job Description

Title: Billing Resolution Specialist - 12:30-9:00pm EST SHIFT

Employment Type: FTE

Exemption Status: Non-Exempt

Location: Remote

Hours: 12:00pm-9:00pm EST

Pay: $18.75hr

Overview Of The Role

The Billing Resolution Specialist is an integral part of ensuring the resolution of Privia patient billing queries and Care Center staff queries, showing care and concern. In this role, the coordinator will research incoming patient calls using our database to reconcile, resolve, and ensure clear communication for all billing and payment related inquiries. Additionally, this role will support our Care Centers

Primary Job Duties

Answer high volume, inbound phone calls from patients, utilizing a cloud based phone system.
Educate our patients on patient financial responsibility surrounding deductibles, copays, and coinsurance.
Confidently inform and collect patient balances using Privia financial policy guidelines.
Research, identify and resolve patient billing queries using athena EMR database.
Successfully meet all call center productivity and quality standards.


Qualifications

High School Diploma required
1+ year of full time experience in a call center customer service environment preferred; remote work experience preferred
Familiar using software such as G-Suite products
Availability to work an 8 hour shift between the hours of 12pm - 9pm EST, Monday through Friday
Must provide accessibility to secure, quiet work space with direct high-speed internet connection to effectively work remotely
Has an understanding and the ability to comply with all HIPAA rules and regulations


Interpersonal Skills & Attributes

Excellent written and verbal communication
Ability to interact with fellow employees and key stakeholders in a professional manner
Ability to work collaboratively
Multi-tasker, able to juggle multiple tasks at the same time.
Ability to work independently and with a team in a fast-paced and high volume environment with emphasis on accuracy and timeliness
Highly organized, high energy, and a productive person with a fanatical attention to detail
Analytical mind and are always looking for ways to improve a recurring process.


Colorado, New York, New Jersey, California and Washington Residents Only: The salary range for this role is $17hr to $18.75hr in base pay and exclusive of any bonuses or benefits. The base pay offered will be determined based on relevant factors such as experience, education, and geographic location.

Additional Information

Technical Requirements (for remote workers):

In order to successfully work remotely, supporting our patients and providers, we require a minimum of 5 MBPS for Download Speed and 3 MBPS for the Upload Speed. This should be acquired prior to the start of your employment. The best measure of your internet speed is to use online speed tests like https://www.bing.com/search?q=speedtest. This gives you an update as to how fast data transfer is with your internet connection and if it meets the minimum speed requirements. Work with your internet provider if you have questions about your connection. Employees who regularly work from home offices are eligible for expense reimbursement to offset this cost.

All your information will be kept confidential according to EEO guidelines.

﻿Technical Requirements (for Remote Workers)

In order to successfully work remotely, supporting our patients and providers, we require a minimum of 5 MBPS for Download Speed and 3 MBPS for the Upload Speed. This should be acquired prior to the start of your employment. The best measure of your internet speed is to use online speed tests like https://www.speedtest.net/. This gives you an update as to how fast data transfer is with your internet connection and if it meets the minimum speed requirements. Work with your internet provider if you have questions about your connection. Employees who regularly work from home offices are eligible for expense reimbursement to offset this cost.

Privia Health is committed to creating and fostering a work environment that allows and encourages you to bring your whole self to work. Privia is a better company when our people are a reflection of the communities that we serve. Our goal is to encourage people to pursue all opportunities regardless of their age, color, national origin, physical or mental (dis)ability, race, religion, gender, sex, gender identity and/or expression, marital status, veteran status, or any other characteristic protected by federal, state or local law.
Show less ",1,0,0
