"",Job Function,Industry,Seniority,Job Description,Segment,female,male
0,"General Business, Management, and Business Development",Entertainment Providers,Executive,"Every great story has a new beginning, and yours starts here.




Welcome to Warner Bros. Discovery... the stuff dreams are made of.




Who We Are...




When we say, ""the stuff dreams are made of,"" we're not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD's vast portfolio of iconic content and beloved brands, are the storytellers bringing our characters to life, the creators bringing them to your living rooms and the dreamers creating what's next...




From brilliant creatives, to technology trailblazers, across the globe, WBD offers career defining opportunities, thoughtfully curated benefits, and the tools to explore and grow into your best selves. Here you are supported, here you are celebrated, here you can thrive.




Your New Role




Warner Bros. Discovery seeks a People & Culture Business Partner to support production across the Animation groups.




The Production People & Culture team provides hands-on People & Culture support to cast and crew working on productions across Warner Bros. Discovery content businesses. The People & Culture Partners on the Production People & Culture team will work primarily in production environments directly supporting the people that make our content. The goal is t o be a recognizable and trusted P&C Partner to all personnel working on a Warner Bros. Discovery production. As a trusted P&C Partner to production, the main objective is to ensure and support a respectful, inclusive, safe, and positive work environment, allowing people to thrive and do their best work.




Your Role Accountabilities




Initial People & Culture point of contact for production cast and crew; serves as on-set/on-site People & culture presence for productions, both locally and on distant location.
Responds to production-related inquiries regarding crew/cast concerns.
Provides advice, coaching, counseling, and training to proactively create/maintain an inclusive, respectful, and safe work environment.
Assesses production training needs and works with Production Learning to provide recommended training resources and sessions to cast and crew.
Embodies our culture through behavior and interactions, and champions inclusion and diversity on the set.
Conducts surveys to gauge cultural climate and makes recommendations for appropriate action based on findings.
Partners with People Relations, Labor Relations and Employment Legal to deliver People & Culture solutions on people related issues.
Partners with Safety and COVID Compliance Officers to support COVID policies and protocols, including tracking and tracing.
Keeps abreast of People & Culture trends/practices, legislation, and requirements to effectively manage and communicate to production workers.
Travels to productions on location when needed; last minute travel may be required.
Creates presentation decks, charts, graphs, and various materials, as needed.
Manages special projects, as assigned.




Qualifications & Experience




A Bachelor's Degree within a related field, preferred.
A minimum of 6 years of experience within Human Resources, preferably in a generalist, employee relations or training role, or a combination of the three.
Experience working in a television and/or film production environment, is highly desirable.
A collaborative leadership style with the ability to influence others into action and to think creatively about solutions.
Able to work independently and as part of a collaborative team.
Current knowledge of applicable federal and local legislation and regulations pertinent to production. populations, ensuring compliance.
High ethical standards with demonstrated experience handling highly sensitive information.
Passion for this business; driven to accomplish and meet objectives.
Ability to travel - 25% of the role.




The ideal candidate will be flexible, focused, with a 'can-do' attitude and the ability to thrive in a fast-growing and fast-paced challenging environment. They will have a collaborative leadership style with the ability to build relationships with cast and crew and influence others into action and to think creatively about solutions. They should be confident in communicating with all levels of production personnel, including, Producers, Directors, and high-profile cast.




How We Get Things Done...




This last bit is probably the most important! Here at WBD, our guiding principles are the core values by which we operate and are central to how we get things done. You can find them at www.wbd.com/guiding-principles/ along with some insights from the team on what they mean and how they show up in their day to day. We hope they resonate with you and look forward to discussing them during your interview.




The Legal Bits...




In compliance with local law, we are disclosing the compensation, or a range thereof, for roles in locations where legally required. $72,240.00 - $134,160.00 salary per year. Other rewards may include annual bonuses, short- and long-term incentives, and program-specific awards. In addition, Warner Bros. Discovery provides a variety of benefits to employees, including health insurance coverage, an employee wellness program, life and disability insurance, a retirement savings plan, paid holidays and paid time off (PTO).




Warner Bros. Discovery embraces the opportunity to build a workforce that reflects the diversity of our society and the world around us. Being an equal opportunity employer means that we take seriously our responsibility to consider qualified candidates on the basis of merit, without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.




If you're a qualified candidate with a disability and you need a reasonable accommodation in order to apply for this position, please contact us at recruitadmin@wbd.com.
Show less ",1,0,0.78
1,Human Resources,Medical Practices,Executive,"Overview

Dental Care Alliance is currently seeking dynamic leader on the forefront of Training & Development.  The ideal candidate will re-energize our programming to promote individual learning, development and engagement, while creating an environment that fosters the skill -building to ensure we positively impact the patient experience and drive business results. We are seeking a passionate people leader with a history of creating a culture of learning and development in a growing organization.  The Vice President is responsible for providing leadership and executing strategy in achieving DCA brand promise.

Responsibilities

Analyze the learning needs and assess skills gaps in the organization to refresh our learning strategy, update current programming , and ensure our training objectives align with organizational KPI's.
Plan, develop, and provide training and staff development programs, utilizing the latest industry trends, delivery methods and technologies.
Develop and organize training collateral , multimedia visual aids, and other educational materials.
Develop testing and evaluation procedures to ensure employees are adequately learning the desired lesson and skills.
Collaborate with Senior Leaders to support the organization’s values and company culture and embed them in critical organizational processes.
Will mentor, coach and provide guidance to support the learning objectives of the organization.
Will integrate new learning technologies into the organization.
Other duties as consistent with this role.

Work Environment

This candidate will operate remotely in their home office , or work on-site in our Sarasota, Florida Support Center.

Physical Demands

The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. While performing the duties of this job, the employee is regularly required to talk or hear . The employee frequently is required to stand; walk; use hands to finger, handle or feel; and reach with hands and arms. This position requires 30% - 40% travel. This position requires the ability to occasionally lift products and supplies, up to 20 pounds.

Competencies

Managing Change – Demonstrate support for innovation and for organizational changes to improve region’s success. Establish structures and processes to plan and manage implementation of change.
Strategic Mindset – Seeing ahead to future possibilities and translating them into breakthrough strategies. Anticipate future trends and implications accurately. Creates competitive strategies that show a clear connection between vision and action.
Attention to Communication – Ensure important information is shared with area and/or office managers as appropriate. Keep Regional VP informed about progress and problems to avoid surprises. Ensure regular and consistent communication takes place through multiple channels ( i.e. oral, written, etc.)
Manages Complexity – Making sense of complex, high quality and sometimes contradictory information to effectively solve problems. Acquires data from multiple and diverse sources when solving problems. Evaluates pros and cons, risks and benefits of different solution potions.
Forward Thinking – Ability to anticipate implications and consequences of situations and take appropriate action. Notice trends in the industry and develop plans to prepare for opportunities or problems.
Plans & Aligns – Planning and prioritizing work to meet commitments aligned with organizational goals. Sets objectives to align with broader organizational goals. Anticipates and adjusts effective contingency plans.
Communicates Effectively – Developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences. It is effective in a variety of communication settings: one-on-one, small and large groups or amount diverse styles and position levels. Provides timely and helpful information to others across the organization.
Action Oriented – Taking on new opportunities and tough challenges with a sense of urgency, and enthusiasm. Identifies and seizes new opportunities.
Collaborates – Building partnerships and working collaboratively with others to meet shared objectives. Partners with others to get work done. Gains trust and support of others

Qualifications

Qualifications/ Training:

Bachelor’s degree required; Master's related field preferred.
Training and development certifications, SHRM, Talent Development
7 years of experience in training and development required.
DDI, SHRM, AIHR, ICP-AHR, CPTM, COLF, APTD or other Talent Development/Training Certifications highly preferred
Dentistry or health-care experience preferred.
Experience in creating strong partnerships with leaders and the ability to influence without authority
Superior process improvement skills.
Ability to engage, internally and externally.
Excellent communication skills, including the confidence to engage with executive level audiences.
Show less ",1,0,0.15
2,Management and Manufacturing,Advertising Services,Executive,"The Company




ColorArt LLC, a Marketing.com company, is one of the nation's premier print and digital marketing groups. With more than 30 production facilities in the US and Canada (and growing!), we provide comprehensive digital marketing services, commercial printing, warehousing & fulfillment, direct mail marketing, sign manufacturing & fabrication, and promotional products.




We are expanding at warp speed and are adding to our team – from our sales office and shop floor locations to our remote online team members. We are a diverse, creative, and passionate crew who is always looking to discover and implement fresh, innovative ideas and make some pretty amazing things.




Job Summary




The Regional Vice President of Operations is responsible for strategically partnering with Leadership and overseeing department operations within a Region, ensuring efficiency at all times. This individual will be responsible for participating in creating the Company's Vision, Mission, and Goals, and implementing them in the areas where they are assigned.




The Regional Vice President of Operations is accountable for setting budgets and plans, forecasts, devising strategies to boost sales, and evaluating facility and department performances. As the Regional Vice President, they must monitor all business’s growth and progress in their region, encouraging them to reach new heights.




The Regional Vice President of Operations is responsible for upholding the profitability and values of the Company by leading business operations. These duties include consulting with Senior Leadership Personnel to determine business goals or initiatives, visiting with Directors or Department Managers to relay information about company needs and reviewing operational data to evaluate organizational performance and implementing actions to improve performance.




The Regional Vice President of Operations will report directly to the Chief Operating Officer and may serve as a liaison between the Chief Operating Officer and Mid-Management Leaders.




Roles And Responsibilities




Leading the Site Leaders and teams and operations of the Company.
Budgeting for multiple projects, including monitoring and controlling costs.
Work closely with Human Resources to implement and refine company policies and procedures.
Guiding, directing and evaluating the work of management and executive team members
Creating and implementing a strategic plan
Leveraging company output to improve ranking in the competitive field
Tackling unforeseen issues and troubleshooting
Representing the company for external and internal events
Monitoring the competitive landscape and attending industry events to stay abreast of new initiatives and ways to stay ahead
Identifying, training and developing leaders within the company and setting them on a path for management.
Assisting with Acquisition integrations to drive optimal efficiency




Basic Qualifications




Bachelor’s or master’s degree in business administration and/or company’s industry.
Excellent interpersonal and public speaking skills.
10 to 15 years of managerial experience.
Proven strategic planning and budgeting experience.
Demonstrated experience setting, monitoring and meeting quarterly and annual goals.
Experience building and scaling teams and systems.
Problem-solving skills.
An entrepreneurial spirit.




Preferred Skills




As a Senior Leader, the Regional Vice President of Operations will have a minimum of 10 years of experience as a Manager. Additionally, Excellent Public Speaking and Communication Skills along with a Professional Appearance and Demeanor are critical for this role.




Our Company offers a competitive salary and comprehensive benefits package including but not limited to medical, dental, vision, life insurance, short & long-term disability, 401k, PTO, and Company-paid holidays.




We’re an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.




Show less ",1,0,0.18
3,Management and Manufacturing,Advertising Services,Executive,"The Company




ColorArt LLC, a Marketing.com company, is one of the nation's premier print and digital marketing groups. With more than 30 production facilities in the US and Canada (and growing!), we provide comprehensive digital marketing services, commercial printing, warehousing & fulfillment, direct mail marketing, sign manufacturing & fabrication, and promotional products.




We are expanding at warp speed and are adding to our team – from our sales office and shop floor locations to our remote online team members. We are a diverse, creative, and passionate crew who is always looking to discover and implement fresh, innovative ideas and make some pretty amazing things.




Job Summary




The Regional Vice President of Operations is responsible for strategically partnering with Leadership and overseeing department operations within a Region, ensuring efficiency at all times. This individual will be responsible for participating in creating the Company's Vision, Mission, and Goals, and implementing them in the areas where they are assigned.




The Regional Vice President of Operations is accountable for setting budgets and plans, forecasts, devising strategies to boost sales, and evaluating facility and department performances. As the Regional Vice President, they must monitor all business’s growth and progress in their region, encouraging them to reach new heights.




The Regional Vice President of Operations is responsible for upholding the profitability and values of the Company by leading business operations. These duties include consulting with Senior Leadership Personnel to determine business goals or initiatives, visiting with Directors or Department Managers to relay information about company needs and reviewing operational data to evaluate organizational performance and implementing actions to improve performance.




The Regional Vice President of Operations will report directly to the Chief Operating Officer and may serve as a liaison between the Chief Operating Officer and Mid-Management Leaders.




Roles And Responsibilities




Leading the Site Leaders and teams and operations of the Company.
Budgeting for multiple projects, including monitoring and controlling costs.
Work closely with Human Resources to implement and refine company policies and procedures.
Guiding, directing and evaluating the work of management and executive team members
Creating and implementing a strategic plan
Leveraging company output to improve ranking in the competitive field
Tackling unforeseen issues and troubleshooting
Representing the company for external and internal events
Monitoring the competitive landscape and attending industry events to stay abreast of new initiatives and ways to stay ahead
Identifying, training and developing leaders within the company and setting them on a path for management.
Assisting with Acquisition integrations to drive optimal efficiency




Basic Qualifications




Bachelor’s or master’s degree in business administration and/or company’s industry.
Excellent interpersonal and public speaking skills.
10 to 15 years of managerial experience.
Proven strategic planning and budgeting experience.
Demonstrated experience setting, monitoring and meeting quarterly and annual goals.
Experience building and scaling teams and systems.
Problem-solving skills.
An entrepreneurial spirit.




Preferred Skills




As a Senior Leader, the Regional Vice President of Operations will have a minimum of 10 years of experience as a Manager. Additionally, Excellent Public Speaking and Communication Skills along with a Professional Appearance and Demeanor are critical for this role.




Our Company offers a competitive salary and comprehensive benefits package including but not limited to medical, dental, vision, life insurance, short & long-term disability, 401k, PTO, and Company-paid holidays.




We’re an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.




Show less ",1,0,0.18
4,Management and Manufacturing,Advertising Services,Executive,"The Company




ColorArt LLC, a Marketing.com company, is one of the nation's premier print and digital marketing groups. With more than 30 production facilities in the US and Canada (and growing!), we provide comprehensive digital marketing services, commercial printing, warehousing & fulfillment, direct mail marketing, sign manufacturing & fabrication, and promotional products.




We are expanding at warp speed and are adding to our team – from our sales office and shop floor locations to our remote online team members. We are a diverse, creative, and passionate crew who is always looking to discover and implement fresh, innovative ideas and make some pretty amazing things.




Job Summary




The Regional Vice President of Operations is responsible for strategically partnering with Leadership and overseeing department operations within a Region, ensuring efficiency at all times. This individual will be responsible for participating in creating the Company's Vision, Mission, and Goals, and implementing them in the areas where they are assigned.




The Regional Vice President of Operations is accountable for setting budgets and plans, forecasts, devising strategies to boost sales, and evaluating facility and department performances. As the Regional Vice President, they must monitor all business’s growth and progress in their region, encouraging them to reach new heights.




The Regional Vice President of Operations is responsible for upholding the profitability and values of the Company by leading business operations. These duties include consulting with Senior Leadership Personnel to determine business goals or initiatives, visiting with Directors or Department Managers to relay information about company needs and reviewing operational data to evaluate organizational performance and implementing actions to improve performance.




The Regional Vice President of Operations will report directly to the Chief Operating Officer and may serve as a liaison between the Chief Operating Officer and Mid-Management Leaders.




Roles And Responsibilities




Leading the Site Leaders and teams and operations of the Company.
Budgeting for multiple projects, including monitoring and controlling costs.
Work closely with Human Resources to implement and refine company policies and procedures.
Guiding, directing and evaluating the work of management and executive team members
Creating and implementing a strategic plan
Leveraging company output to improve ranking in the competitive field
Tackling unforeseen issues and troubleshooting
Representing the company for external and internal events
Monitoring the competitive landscape and attending industry events to stay abreast of new initiatives and ways to stay ahead
Identifying, training and developing leaders within the company and setting them on a path for management.
Assisting with Acquisition integrations to drive optimal efficiency




Basic Qualifications




Bachelor’s or master’s degree in business administration and/or company’s industry.
Excellent interpersonal and public speaking skills.
10 to 15 years of managerial experience.
Proven strategic planning and budgeting experience.
Demonstrated experience setting, monitoring and meeting quarterly and annual goals.
Experience building and scaling teams and systems.
Problem-solving skills.
An entrepreneurial spirit.




Preferred Skills




As a Senior Leader, the Regional Vice President of Operations will have a minimum of 10 years of experience as a Manager. Additionally, Excellent Public Speaking and Communication Skills along with a Professional Appearance and Demeanor are critical for this role.




Our Company offers a competitive salary and comprehensive benefits package including but not limited to medical, dental, vision, life insurance, short & long-term disability, 401k, PTO, and Company-paid holidays.




We’re an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.




Show less ",1,0,0.18
5,"Other, Information Technology, and Management",IT Services and IT Consulting,Executive,"Description




Contractor will provide heavy industrial services such as manual receiving of trailers at International DC (IDC) locations and building pallets of large items such as patio furniture and TV’s and Air Conditioners that require intense physical effort and may involve operation of MHE(Material Handling Equipment).




MHE may include manual or electric pallet jack.




This will typically require familiarity with a warehouse or distribution environment, ability to operate a pallet jack and ability to lift to 75 pounds, and good reading, writing, and communication skills.




May be sent home early on occasion depending on volume of workload .
Show less ",1,0,0
6,Human Resources,Insurance,Executive,"Brightway Insurance is one of the largest and fastest growing personal lines agencies in the United States. Our model of distributing insurance through our trusted network of franchised agents allows policyholders to benefit from a broad set of insurance products (e.g., home, auto, umbrella, etc.) from top-rated national, regional, and niche carriers.

Brightway’s success led to a private equity investment in December 2021 that has infused the company with financial and human capital, including an executive team of highly respected insurance leaders with strong track records cultivating emerging companies. We are looking for a Chief Human Resource Officer (CHRO) to add to this team and mission of Brightway. We are focused on enhancing the growth trajectory while retaining Brightway’s entrepreneurial and collaborative culture.

CHRO Mission

Enable Brightway’s (BWI) ambitious growth plans by delivering the required skills and capabilities at every level of the organization. Lead the design of an organization structure that fosters speed of execution and ensures role clarity, establishes rules of engagement, facilitates decision-making, and promotes accountability. Build an employee experience and employer brand that attracts and retains the right person to the right role at the right time. Develop BWI’s leaders and managers to build lean, high-performing teams, and to skillfully guide their teams through BWI’s culture change and business transformation efforts. Drive a culture of results, innovation, collaboration, accountability, celebration, and service to customers.

Executing This Mission Requires

A detailed and thorough assessment of BWI’s talent needs and an execution plan to deliver the right person to the right role at the right time.
A programmatic effort to evolve the organizational structure across all businesses and functions.
A high-performing HR team with a proven ability to recruit top talent, create high-performing cultures and use a facts-and-data approach to assess organizational health.
A set of organizational offerings that attract and retain talent (total rewards, high-performing managers, etc.).
A highly effective internal communications program to ensure all BWI’s employees feel connected to their work, understand the future, and always know what to deliver.

Requirements

Bachelor's degree in related field, Master’s degree preferred. PHR required, SPHR preferred. Ability to travel to the Brightway (BWI) home office in Jacksonville, FL for regular meetings.
Show less ",1,0,0.27
7,Information Technology,Internet Publishing,Executive,"Excess Telecom, An Affordable Connectivity Program Service Provider




About Excess Telecom




Excess Telecom is a leading national provider of mobile broadband services through the Affordable Connectivity Program (“ACP”). With subscribers nationwide, we offer market leading services providing underserved communities with subsidized access to the internet via mobile devices. As a high growth company, we are looking for an executive level leader to add to our growing team with a commitment to ensuring all subscribers receive the best possible service and experience with Excess Telecom.  




Position Overview




We are currently seeking an experienced and detail-oriented Vice President of Information Systems who would like to work for an industry leading provider dedicated to changing wireless forever and connecting our customers’ world together.




The Vice President of Information Systems will oversee the planning, development, implementation, maintenance, and security of the company’s information systems and processes including computer, communication, and office systems. We are looking for someone who can plan and develop IT policies to support strategies set by management, make purchases, and draft budgets for these changes. The VP of Information Systems will analyze the requirements of other departments and implement technology where you see fit while doing industry research and advocating for additional resources to implement new technology. The VP of Information and Systems will also identify when technology upgrades are needed and optimize systems when possible. The VP of Information and Systems will monitor equipment and software to ensure optimal performance and make or request repairs as required. Other responsibilities include hiring and managing top quality staff.




Responsibilities




Establishes the strategic direction of the company’s information systems (IS); executes this strategy in collaboration with company leadership.
Directs and coordinates professional services such as systems analysis and design, feasibility studies, and programming of information, communication, and office automation systems.
Identifies and recommends innovative technologies and services that will improve efficiency, processes, and operations; reviews requests for additional services and upgrades, assessing the costs and benefits to the organization.
Approves the purchase, rent, lease, license, or other acquisition of hardware, software, or services needed to meet company needs.
Monitors and reports progress on development projects, resource utilization, and production performance to executive leadership.
Ensures the integrity and reliability of computerized information systems, communication systems, and office systems including the security of data acquired and stored.
Facilitates preparation of project plans and proposals, outlining project objectives, IS requirements, and analytical and programming staffing requirements for proposed systems.
Maintains pace with technological progress, economic change, and company needs by directing continual improvements of IS staff, equipment, and procedures.
Prepares, implements, and executes IS budget.
Performs other duties as assigned.




Job Requirements




Bachelor's degree in Business Administration, Operations Research, or Computer Science, or equivalent training and experience required.
At least ten years of experience in a technical role required, with significant leadership experience preferred.
Excellent verbal and written communication skills.
Excellent organizational skills and attention to detail.
Strong analytical and problem-solving skills.
Strong supervisory and leadership skills.
Thorough understanding of IS policies and procedures.
Thorough understanding of or the ability to quickly master technology used in the organization.
Proficient with Microsoft Office Suite or related software.




Job Type: Full-time




Pay: $147,000- $200,000




Benefits:




Health insurance
Dental insurance
Vision insurance
Flexible schedule




Schedule:




Ability to work remote
Monday through Friday




Powered by JazzHR




S2z97paSo7
Show less ",1,0,0.18
8,Marketing and Sales,Staffing and Recruiting,Executive,"Head of Marketing (CMO)




**BEAUTY EXPERIENCE IS A MUST**




About the Company:

Our client is one of the world’s largest perfumery and cosmetics lines with over 3,600 locations in Brazil with their collections featured in over 600 locations across the world. They are expanding sales into the US, specifially Sephora and Ulta.




Company selling points:

Been around 45 years
Cruelty free
Great impact on nature - reduced waste by 150%
6th beauty brand most sustainable brand globally




Overview:

Head of Marketing for entire business
6 direct reports spanning from PR/influencer team, creative, copywriters, CRM and media.
10+ years marketing experience
English fluent and PT/ES is a very big plus.
Beauty experience - minimum 5 yrs in solid brand/company.
Good toggle between creative and analytics.
Solid marketing background.
Entrepreneur mindset – build from ground up
Ideally NY metro area or Florida
$170k range + bonus
Full health/medical (Fortune500 level), Dental/Vision, plenty of holidays, 401k match plan etc.
Show less ",1,0,0
9,Management and Manufacturing,Motor Vehicle Manufacturing,Executive,"CRASH CHAMPIONS

Collision Repair-General Manager

CHAMPIONS DO MORE

Welcome to our story. It’s a tale of being different. Obsessing over details. It’s the product of patience, and steadily honing our craft before setting out to innovate the industry we all love.

Today, Crash Champions is home to a collection of team members driven by a deeply-rooted purpose and guided by a powerful principle: Here, We Do More.

It’s the Crash Champions DNA and it’s the mark of who we are. Above everything, we believe in what we do; and we hold fast to the conviction of why we do it. We serve our customers and business partners with an unexpected level of personal and professional service to build trust at every touch point.

BECAUSE WE BELIEVE

THE DIFFERENCE IS TRUST

Essential Functions

Responsible for the overall leadership and management of the facility

Monitor and maintain company targets and standards for performance and growth

Manage a shop that by all standards (especially, KPI’s, Customer Service, Quality and Profitability) is in the top 10% of the industry

Model and holds team accountable for providing the highest level of customer service in the industry and living the Crash Champions Total Sales Attitude (TSA) every day

Recruit, manage and develop employees for future growth within our organization

Measures quality standards by performing in-process and final quality checks

Facilitates and nurtures relationships with insurance accounts, agents and customers

Excels in a fast paced, competitive work environment while ensuring positive employee morale

Creating and instilling a sense of urgency with the team to exceed goals

Ensure that the shop is maintained, organized, and looks good inside and out

Benefits

Competitive pay

401K with company match

Medical/Vision/Dental Insurance

Responsibilities

Meet or exceed location revenue goals and other KPIs: Manage the front and back of shop from vehicle intake through delivery to ensure a high level of shop throughput, production quality and efficiency, such that the location meets or surpasses KPIs

Labor assignment and production management: Responsible for assigning repair jobs to Body Technicians and prioritizing vehicles for teardown or paint

Teammate support: Support teammates during peak times by receiving customers, checking-in vehicles and writing estimates as needed

Monitor and attain production goals and standards: Ensure all repairs are in line with Service King and I-Car quality standards, all repairs are billed accurately and correctly, and back of shop PPE protocol is upheld for teammate safety

Complete shop payroll and staffing in a timely manner: Ensure production staff adheres to punch-in/out guidelines and flag-hour procedures for weekly payroll processing and manage staff PTO, vacation or leave

Manage daily production flow: Communicate with team (Body Technicians, Repair Planners, Shop Assistants) to ensure production is moving as needed to meet delivery requirements

Write DRP complaint estimates (as needed): Write complete estimates after full disassembly and damage discovery, update CEï¿½s estimates as needed, and lock final estimates

Team acquisition, coaching and development: Responsible for understanding all teammate position requirements, interviewing and hiring the best candidates for roles based on skills and experience, and providing individual teammate performance coaching, feedback and support for growth/progression opportunities

Core Competencies

Additional responsibilities as assigned Competencies:

Teamwork - Builds strong relationships and works collaboratively with others to meet shared goals; Strengthens relationships by promoting mutual trust and supporting teammates.

Accountability - Holds self and others accountable to meet and exceed commitments; Focuses on quality results, monitors progress, learns from mistakes, and strives for improvement.

Results Driven - Can be counted on to drive pace to achieve results and consistently meet or exceed expectations; Executes priorities with a focus on critical work to achieve targeted goals.

Sound Judgment - Makes good decisions by analyzing the situation, leveraging experience, and using available information; Objectively evaluates problems, discovers root causes, and works toward timely resolution.

Customer Focus - Maintains a relentless focus on customers and is committed to the continuous improvement of services; Keeps internal and external customers in mind at all times and strives to proactively address customer concerns and needs.

Leadership Competencies

Model the Way - Be authentic to the Crash Champion Values, ï¿½The Crash Champions Wayï¿½; Be the example by aligning your behaviors in a way that shows others how to act.

Inspire a Shared Vision - Challenge yourself and your team by creating bold objectives that excite and inspire; Create a personal connection between a teammateï¿½s goals, your teamï¿½s goals and Service Kingï¿½s Vision.

Challenge the Process - Be the owner of the process committed to constant improvement both personally and collectively as a team; Look for new ways to get things done effectively and learn from mistakes.

Enable Others to Act - Develop your talent by ensuring teammates are engaged, challenged, and growing; Share power and responsibility by involving your team on routine and important tasks and decisions.

Encourage the Heart - Recognize hard work and reward success; Build strong relationships by caring about your team and celebrating both large and small victories.

Specialized Competencies

Analytical Ability - Ability to work with a large number of details and data; Ability to analyze and challenge details, data and facts prior to decision making in order to repeatedly make accurate decisions

Attention to Detail - Ability to process detailed information effectively and consistently

Multi-tasking - Ability to work on and successfully complete many different tasks or projects at the same time

Stress Management - Ability to perform under pressure and in adversity

Time Management - Ability to analyze workload, assign priorities and maintain focus on tasks at hand in order to efficiently get work done

Written and Verbal Communication - Ability to provide clear, concise information in writing, via phone or in-person

Position Requirements

Basic/Required:

Knowledge of Collision Industry including high-level knowledge of insurance procedures and requirements for a variety of carriers

Aptitude in decision-making and problem solving

Ability to lead and work collaboratively with others to meet shared objectives

Demonstrated ability to meet deadlines and achieve successful results

Proficient knowledge and use of estimating software

Proficient with Computers and other technology

Valid driverï¿½s license required

Legally authorized to work in the United States

Preferred

Bilingual (Spanish)

I-Car certification

Previous experience working in CCC ONE Total Repair Platform

Crash Champions provides equal employment and affirmative action opportunities to applicants and employees without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability.
Show less ",1,0,0.19
