,Job Function,Industry,Seniority,Job Description,Segment,female,male
0,Other,Education Administration Programs,Not Applicable,"Duty Days 187




Salary Range: From/To Teacher Salary Schedule




Endorsements




Spanish




Additional Job Information




This position is for the 23/24 school year.




Job Attachment View Attachment




This position is for the 23/24 school year.
Show less ",1,0,0
1,Education and Training,Education Administration Programs,Mid-Senior level,"The Concord School District is seeking an exceptional instructional leader with the right combination of vision, energy and experience to fill the Assistant Principal position at Concord High School. Concord High School supports approximately 1,500 students in grades 9-12 through the strong commitment and efforts of 220 +/- faculty and staff members. The successful candidate will assist in the supervision of all professional, paraprofessional, and support personnel; will help building administration shape a vision of academic success for all students; will promote an atmosphere where Concord’s diversity is recognized and celebrated; will help to manage human resources responsibly, efficiently and in a collaborative manner; will enforce high standards for excellence with students, teachers, staff and other stakeholders; will align school resources and prioritize activities to achieve maximum results based on vision and goals. Competitive salary range of $127,144 - $135,912, commensurate w/experience, generous fringe benefits.

Our Ideal Candidate Will Have

NH certification as a principal
Master’s degree in administration
Demonstrated ability in high school instruction
Demonstrated ability as an educational leader
Show less ",1,0,0
2,Education and Training,Higher Education,Associate,"Company Description




At Nearpod, we believe teaching is the most important job in the world. Every day, we reach students through our learning platforms on Nearpod.com and Flocabulary.com. We have diverse backgrounds, but a shared goal of putting teachers and students first in everything that we do. We have won numerous awards including EdTech Digest’s 2018 Company of the Year. Recently, we were acquired by Renaissance to support the shared mission of accelerating learning for all. We’re looking for people with a lot of hustle, a lot of empathy, and a desire to do something meaningful. We've adopted a remote-first culture, and our diverse team is based across the US.




Job Description




Nearpod is currently experiencing demand and growth across our portfolio of offerings. Part of that growth includes a suite of curriculum products including Nearpod Math, Nearpod EL, Nearpod Social Studies and others. This is an exciting opportunity where you can showcase your knowledge, drive demand, enable the sales team, all while building deep partnerships with District administrators.




A National Academic advisor will work alongside Enablement, Sales Leaders and Sales Reps to build pipeline and drive revenue in our Curriculum Programs, which include Math as the main priority (Social Studies, English Language Learning, and 21st Century). They will deliver customized presentations, demonstrating curriculum solutions that support their strategic initiatives. While each National Academic Advisor will focus on 1-2 curriculum solutions, it’s possible that we will ask you to adapt and cover other core subject areas as needed.




Primary Responsibilities:




Drive revenue growth through pre-sales product presentations with districts and passionate educators across the United States. This includes product presentations, trial kick offs, or major webinars.
Work with our enablement team, pulling from a deep understanding of curricular instruction across the K-12 spectrum, to provide internal presentations or enablement resources so that sales reps can run discovery, do presentations & nurture sales trials.
Support the strategic needs of sales and marketing, informing decision-making based on your interaction with customers, current knowledge of relevant state and federal legislation, and personal knowledge of best-practices for curriculum integration in a digital world.
Attend tradeshows, conferences, or other sales/marketing events




National Academic Advisors consistently exhibit exceptional skills in:




Implementing K-12 curriculum
Planning, preparing, and speaking publicly in multiple formats (verbal, written, via video/phone)
Listening and identifying customer needs to improve product positioning and facilitate solution selling
Reacting quickly to situations in context and adjusting presentations quickly
Building positive relationships with internal and external customers




Develop and/or maintain current knowledge of:




Educational initiatives and concerns including assessment, curriculum, and instruction.
Competitor features and comparisons
Product content, design, technical background, operation, and use cases
Current industry and pedagogical trends in K-12 math or social studies
State and federal legislation which may impact our go-to-market strategy as it relates to curriculum products
Go To Market strategies and initiatives
Qualifications




Required Skills & Experience:
Minimum 5 years of District Level experience with Curriculum and/or EdTech
Math background required
District Level coordinator, administrator, or director experience
English Language Learning Certification preferred
Ability to communicate persuasively with districts
Outstanding presentation and written/spoken communication skills
A compassionate approach to working with customers at various stages of the sales or post-sales journey
Masters degree preferred
Technical Skills:
A basic understanding of email, calendar, and chat software
Experience working with presentation software such as Microsoft PowerPoint, Google Slides
Experience working with remote communication tools such as Zoom, Microsoft Teams, Google Meet, or GoToMeeting preferred.
Ability to travel up to 50% of the time
Lives within 1 hour of a regional airport




Additional Information




Employment Requirements: Must be authorized to work in the U.S. without restrictions




We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.




$90,400 min to $135,700 max. This range is not including significant variable compensation and is based on national market data. The range may vary by experience and cost of living.




Benefits:




World Class Benefits: Medical, Prescription, Dental, Vision, Telehealth
Health Savings and Flexible Spending Accounts
401(k) and Roth 401(k) with company match
Paid Vacation and Sick Time Off
13 Paid Holidays
Parental Leave (20 total weeks with 14 weeks paid) & Milk Stork program
Tuition Reimbursement
Life & Disability Insurance
Well-being and Employee Assistance Programs




Frequently cited statistics show that some women, minorities, individuals with disabilities, and protected veterans, may only apply to roles if they meet 100% of the qualifications.




At Renaissance, we encourage all applications! Roles evolve over time, especially with innovation, and you may be just the person we need into the future. We hope you're open to learning new skills to grow with us. Make our team, your team!




Renaissance is an equal opportunity employer and does not discriminate with respect to any term, condition or privilege of employment based on race, color, religion, sex, sexual orientation, gender identity or expression, age, disability, military or veteran status, marital status, or status of an individual in any group or class protected by applicable federal, state, or local law.




At Renaissance our mission is: “To accelerate learning for all children and adults of all ability levels and ethnic and social backgrounds, worldwide.” Inherent in that guiding principle is dedication to serving all identities by recognizing the importance of Diversity, Equity, and Inclusion (DEI) in our organization, our work and our products.




Renaissance also provides reasonable accommodations for qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state and local laws. If an accommodation is needed to participate in the job application or interview process, please contact Talent Acquisition.
Show less ",1,0.11,0
3,Administrative,Research Services,Entry level,"We are seeking a talented and detail-oriented individual to join our team as a Remote Office Coordinator. As a Remote Office Coordinator, you will play a vital role in ensuring the smooth and efficient operation of our office. This is an entry-level position that requires a high level of organizational skills, strong communication, and a proactive approach to problem-solving. The ideal candidate is self-motivated, works well independently, and thrives in a fast-paced environment.

Responsibilities

Manage and maintain office operations including administrative support, procurement, and facility management
Support the HR team with employee onboarding, payroll administration, and benefits administration
Coordinate travel arrangements and manage expense reports
Plan and execute company events, including team building activities and off-site meetings
Manage office equipment and supplies inventory
Support the marketing team with coordination of trade shows and events
Maintain and organize records and files

Qualifications

Bachelor's degree in Business Administration or related field
1+ years of experience in an administrative support role
Excellent communication and interpersonal skills
Strong problem-solving skills
Proficient in Microsoft Office Suite and Google Suite
Ability to work independently with minimal supervision
Comfortable working remotely and able to multitask

Benefits

Competitive salary
Health, dental, and vision insurance
401k plan with company match
Flexible work schedule
Remote work

We are looking for someone who is passionate about providing exceptional service, has a positive attitude, and is excited about the opportunity to join a growing company. If you are looking for an exciting and rewarding career, apply today!
Show less ",1,0,0.4
4,Administrative,Higher Education,Entry level,"Details




Open Date 03/15/2023




Requisition Number PRN34222B




Job Title Administrative Assistant




Working Title Administrative Assistant




Job Grade D




FLSA Code Nonexempt




Patient Sensitive Job Code? No




Standard Hours per Week 40




Full Time or Part Time? Full Time




Shift Day




Work Schedule Summary




VP Area U of U Health - Academics




Department 00728 - U of U Medical Group




Location Anywhere Utah




City Salt Lake City, UT




Type of Recruitment External Posting




Pay Rate Range $21.63 - $25.00




Close Date




Open Until Filled Yes




Job Summary




The Administrative Assistant provides administrative support to multiple departments within the University of Utah Medical Group. Primary tasks include: meeting scheduling, managing multiple staff calendars, and participating in meetings as needed. Financial responsibilities include: supply ordering, travel registration, and reimbursement. Understanding of basic budgeting principles is required, and knowledge of University policies is preferred. Must be highly organized and able to reliably manage numerous tasks with competing priority.




We Have




An inclusive and collaborative team dynamic
Professional development opportunities tailored to your individual goals
Work hard, play hard culture
Work from home flexibility




You Have




The skills to effectively communicate and collaborate internally and with stakeholders
Proficiency in Microsoft Office Suite programs
Ability to prioritize self-directed work
Organization and time management




Responsibilities




Essential Functions




Assists department with business planning and goal setting.
Assists with the development of department budgets.
Schedules, plans and coordinates work actions of support staff.
Maintains budget records, such as reconciling accounts and preparing expenditure statements.
Collects, organizes and analyzes data for specialized reports.
Coordinates the collection and preparation of operating reports.
Assists with the implementation of department and University policies and procedures.
Provides administrative support to upper level department management by scheduling appointments, coordinating meetings and conferences and maintaining and ordering office supplies.




Problem Solving




This position is responsible for solving office problems such as payroll or accounts payable issues, solving staff, faculty




and student problems or directing them to someone whom can and supervisory and personnel issues. Plans and




expedites the flow of work while ensuring the smooth operation of the office under the pressure of frequent interruptions




and changes in priorities.




Work Conditions




Nearly continuously: office environment




Work Environment And Level Of Frequency Typically Required




Nearly Continuously: Office environment.




Physical Requirements and Level of Frequency that may be required




Nearly Continuously: Sitting, hearing, listening, talking.




Often: Repetitive hand motion (such as typing), walking.




Seldom: Bending, reaching overhead.




Minimum Qualifications




Associate degree in business or equivalency (2 years related work experience may be substituted for 1 year of education) and three years full-time secretarial experience required. Demonstrated human relations and effective written and verbal communication skills required. Knowledge of basic bookkeeping practices and direct supervisory experience preferred.




Applicants must demonstrate the potential ability to perform the essential functions of the job as outlined in the position description.




Preferences




Type Benefited Staff




Special Instructions Summary




Additional Information




The University of Utah values candidates who have experience working in settings with students from diverse backgrounds and possess a strong commitment to improving access to higher education for historically underrepresented students.




Individuals from historically underrepresented groups, such as minorities, women, qualified persons with disabilities and protected veterans are encouraged to apply. Veterans’ preference is extended to qualified applicants, upon request and consistent with University policy and Utah state law. Upon request, reasonable accommodations in the application process will be provided to individuals with disabilities.




The University of Utah is an Affirmative Action/Equal Opportunity employer and does not discriminate based upon race, ethnicity, color, religion, national origin, age, disability, sex, sexual orientation, gender, gender identity, gender expression, pregnancy, pregnancy-related conditions, genetic information, or protected veteran’s status. The University does not discriminate on the basis of sex in the education program or activity that it operates, as required by Title IX and 34 CFR part 106. The requirement not to discriminate in education programs or activities extends to admission and employment. Inquiries about the application of Title IX and its regulations may be referred to the Title IX Coordinator, to the Department of Education, Office for Civil Rights, or both.




To Request a Reasonable Accommodation For a Disability Or If You Or Someone You Know Has Experienced Discrimination Or Sexual Misconduct Including Sexual Harassment, You May Contact The Director/Title IX Coordinator In The Office Of Equal Opportunity And Affirmative Action




Director/ Title IX Coordinator




Office of Equal Opportunity and Affirmative Action ( OEO /AA)




383 University Street, Level 1 OEO Suite




Salt Lake City, UT 84112




801-581-8365




oeo@utah.edu




Online reports may be submitted at oeo.utah.edu




For more information: https://www.utah.edu/nondiscrimination/




To inquire about this posting, email: employment@utah.edu (%20employment@utah.edu) or call 801-581-2300.




The University is a participating employer with Utah Retirement Systems (“URS”). Eligible new hires with prior URS service, may elect to enroll in URS if they make the election before they become eligible for retirement (usually the first day of work). Contact Human Resources at (801) 581-7447 for information. Individuals who previously retired and are receiving monthly retirement benefits from URS are subject to URS’ post-retirement rules and restrictions. Please contact Utah Retirement Systems at (801) 366-7770 or (800) 695-4877 or University Human Resource Management at (801) 581-7447 if you have questions regarding the post-retirement rules.




This position may require the successful completion of a criminal background check and/or drug screen.




https://safety.utah.edu/safetyreport This report includes statistics about criminal offenses, hate crimes, arrests and referrals for disciplinary action, and Violence Against Women Act offenses. They also provide information about safety and security-related services offered by the University of Utah. A paper copy can be obtained by request at the Department of Public Safety located at 1658 East 500 South.
Show less ",1,0.21,0
5,Administrative,Higher Education,Entry level,"CSUN strives to be a destination workplace, where everyone understands that they belong to a community that is vital in advancing student success and providing exemplary service to all stakeholders. We foster an environment of success, both for our students and our employees. We have a relentless passion for celebrating diversity, equity, and inclusion as well as being an employer of choice. You will also have the opportunity to realize your own personal goals and be recognized for the work you do, and enjoy the unique value the CSUN community can offer. If this sounds like you, you’ve come to the right place. Learn more: https://www.csun.edu/about-csun .




Major Duties




Under general supervision, the Administrative Support Assistant performs a variety of administrative functions, including serving as receptionist, responding to in-person and phone inquiries, takes phone messages, and opening and distributing mail, photocopies, and files. The incumbent oversees student assistants, allocates work, and coordinates the ordering textbooks and desk copies.




Organizes and processes student evaluations of faculty, performs record keeping, maintains department grades, incompletes, and grade changes.
Acts as Travel Claim Assistant by processing travel claims and reimbursements, orders supplies, creates online chargebacks and requisitions for services, equipment and furniture, and maintains supply inventory.
Oversees procurement card purchases and online reviews, assists with planning and organizing department events, schedules room reservations for events and places catering orders.
Performs other duties as assigned.
NOTE: To view the full position description including all of the required qualifications copy and paste this link into your browser: https://bit.ly/3JLMxsG




Qualifications




Equivalent to three (3) years of full-time, general office clerical work that has provided the applicant with the knowledge and abilities listed.
Equivalent to full-time college or university education/vocational school training in business or job-related field may be substituted for up to two (2) years of the required experience on a year for year basis.




Knowledge, Skills, & Abilities




Thorough knowledge of correct English grammar, spelling, and punctuation; and office methods and basic filing systems procedures and practices.
Ability and specialized skills to: organize, coordinate, and prioritize multiple tasks; learn, identify, and independently interpret and apply a variety of complex policies and procedures; review and resolve routine clerical problems; work in a busy environment with frequent interruptions.
Ability and specialized skills to: communicate effectively both orally and in writing; prepare and draft memoranda and correspondence; keep moderately complex records and files; establish and maintain cooperative working relationships; operate standard office equipment, and software.




Pay, Benefits, & Work Schedule




The university offers an excellent benefits package, including but not limited to: medical, dental, vision, retirement & savings, tuition waiver and more.
Classification/grade: 1032 / Admin Support Assistant / 2
The anticipated HIRING RANGE: $3338 - $3433 per month, dependent upon qualifications and experience. The salary range for this classification is: $3338 - $4913 per month.
HOURS: Full Time; 40 hours per week; Monday through Friday.
REG: This is a Regular position with a one-year probationary period.
The position is currently hybrid (4 days in office, 1 day remote); however, this is subject to change based on student and/or operational needs.




General Information




Applications received through March 30, 2023, will be considered in the initial review and review of applications will continue until position is filled.
This position is a sensitive position as designated by the CSU.
A background check (including a criminal records check) must be completed satisfactorily. Failure to satisfactorily complete the background check may affect the application status of applicants or continued employment of current CSU employees who apply for the position.
The person holding this position may be considered a 'mandated reporter' under the California Child Abuse and Neglect Reporting Act and is required to comply with the requirements set forth in CSU Executive Order 1083 as a condition of employment.
In accordance with the California State University (CSU) Out-of-State Employment Policy, the CSU is a state entity whose business operations reside within the State of California and prohibits hiring employees to perform CSU-related work outside of California.
Candidates should apply by completing the CSUN on-line application. To submit an application and for more detailed information on the application and hiring process, please visit this link: www.csun.edu/careers
CSU requires faculty, staff, and students who are accessing campus facilities to be immunized against COVID-19 or declare a medical or religious exemption from doing so. Any candidates advanced in a currently open search process should be prepared to comply with this requirement. To learn more visit our Matadors Forward site: https://www.csun.edu/matadors-forward/faculty-and-staff-fall-guidelines




Equal Employment Opportunity




CSUN is an Equal Opportunity Employer and prohibits discrimination on the basis of race, color, ethnicity, religion, national origin, age, gender, gender identity/expression, sexual orientation, genetic information, medical condition, marital status, veteran status, and disability. Our nondiscrimination policy is set forth in CSU Executive Order 1096. Reasonable accommodations will be provided for applicants with disabilities who self-disclose by contacting Recruitment Services at 818-677-2101.
Show less ",1,0,0
6,Education and Training,Education Administration Programs,Entry level,"Positions That May Be Hired From This Vacancy

Teacher - Grade Kindergarten

Teacher - Grade 1

Teacher - Grade 2

View available positions

https://www-oes.stjohns.k12.fl.us/vacancies/
Show less ",1,0,0
7,Education and Training,Primary and Secondary Education,Entry level,"Summer Program Aides (IAs and PCAs)




June 26, 2023 - July 20, 2023




Plus/prep/training day required prior to 6/26/2023 and one prep day post 7/20/2023




Position Summary: Support of the Grades 1-5 summer educational program as directed by the classroom teacher.




Mondays through Thursdays 8:45 AM - 12:15 PM







Duties And Responsibilities




Assist individual students
Reinforce academic instruction
Assist in the management of student behavior
Assist in scoring student tests and checking student work
Assist in production and processing of classroom materials
Monitor bus loading




Required Qualifications And Experience




2 years postsecondary study (48 college credits) OR Associate Degree or higher OR be “qualified by exam” through State Credentialing




Ability to relate to children in instructional settings




Ability to work with students who use various instructional aides, wheelchairs or other types of physical assistance




Ability to related to staff in a positive manner




Physical Demands




Ability to work in classroom and school environment for extended periods of time including, but not limited to, sitting, standing lifting, bending and reaching

Location: Davis Elementary School

Position Duration: June 26, 2023 to July 20, 2023

Pay Rate: $1,290 Stipend for 16 days
Show less ",1,0,0
8,Education and Training,Education Administration Programs,Entry level,"Major Responsibilities And Duties




District Level




Identify and manage external partnerships to provide CTE internships and work-based learning, including paid or unpaid student experiences.
Development partnerships to include travel for internships during the fall and spring semesters.
Ensure full state compliance in work-based learning programs.
Ensure that all Champions are properly identified and placed in desired pathways.
Assist with certification and dual credit opportunities for CTE programs and Pathway Career Clusters
Demonstrate knowledge and understanding of CTE pathways.
Connect with local and statewide Career Integration Specialists to maximize workforce partnerships and student placements.
Stay current on all state and federal required mandates associated with our CTE program, attending state training on program changes.
Monitor all data associated with Champions, including ACT, PreACT, and ACT WorkKeys results as they affect growth goals and accountability.
Work with team members on activities and projects related to Career and Technical Education and District Level improvement targets and goals.
Manage/identify applicable grants.




School Level




Provide quarterly updates to the School Leadership Team regarding student placement for internships, work-based learning, and apprenticeships.
Ensure development of reporting tools to monitor Champions in apprenticeships.
Provide technical assistance to schools in relation to developing and/or revising career pathways including industry certifications or credentials, articulated credit and dual credit.
Coordinate with campus administrators, Dept. Chairs to develop and improve the CTE pathways.
Manage Powerschool Student Graduation Plans and Pathways declarations.
Certify completion of the flight plan/pathway prior to graduation.




Supplemental Instructional Duties




Conduct CTE teacher observations and provide feedback to teachers that will enhance their lessons and ensure the continued growth and development of ELL Champions.
Provide instructional support for the CTE pathway partner instructors.
Plan and execute professional development sessions at the district and school level as a supplement to teacher development to work with CTE Champions.
Conduct parent and family events to create opportunities for families of Champions to become aware of work-based learning and internships.
Seek and provide instructional resources to teachers, school and district level leaders that go beyond what is required by law.
Qualifications




Education And Knowledge




Bachelor's degree
Master's degree preferred
Certified teacher with CTE or work-based learning experience
Preferred experience and network with workforce and industries




Skills




Excellent communication, interpersonal, and organizational skills
Experience collaborating with team members and providing constructive and instructive feedback
Articulate professional demeanor with strong self-confidence and initiative
Ability to work both on broad-based strategy and everyday details
Ability to exercise excellent judgment in decision-making
Ability to be flexible and adapt to changing priorities
Ability to synthesize knowledge and present it to stakeholders in a comprehensive manner
Ability to interpret policy, procedures, and data
Independent, self-starter with a strong focus on student development
Proven written and verbal communication skills
Strong organizational and planning skills
Possession of a passionate and loving attitude toward all children
Responsiveness; Follow-up and follow-through with Champions, families, and faculty members is essential
Proficiency in Microsoft Office applications (Word, Excel, PowerPoint, and Outlook)
Proficiency using computers, printers, copy machines, and fax machines




Additional Information




At AAHS we are a fast-paced, energetic team with passionate people who are leading a movement to cultivate their best working environment, as such we provide the following: Generous PTO/Professional Development, PEEHIP/RSA Wellness Days & Take Flight Fridays (leave at 1:30 on Friday once per month), and Performance bonuses.




Job Posting Link careers.alaahs.org




Job Attachment View Attachment
Show less ",1,0,0.18
9,Education and Training,Education Administration Programs,Entry level,"Positions That May Be Hired From This Vacancy

Teacher - Grade 3

Teacher - Grade 4

Teacher - Grade 5

View available positions

https://www-oes.stjohns.k12.fl.us/vacancies/
Show less ",1,0,0
