,Job Function,Industry,Seniority,Job Description,Segment,female,male
0,Project Management and Information Technology,Retail,Mid-Senior level,"Job Title: Talent Acquisition Manager

Reports to: Senior Manager, Talent Acquisition

Job Location: Los Angeles, CA

Job Class: Exempt




About SHEIN

SHEIN Distributes SHEIN's products in the U.S. Founded in 2012, SHEIN is a leading global online retailer with operations in Guangzhou, Singapore and Los Angeles, along with other key markets. SHEIN reaches consumers across more than 150 countries and regions around the world. We place a premium on choice, delivering more than 6,000 new fashion, beauty and lifestyle products daily with more than 600,000 items available. Our mission is to help people express their individuality through the latest trends that are accessible and affordable. To learn more about SHEINTo learn more about SHEIN follow us @us.shein.com,sheingroup.com, Instagram.com/sheinofficial, Instagram.com/shein_us, youtube.com/shein.




Position Summary

Our Talent Acquisition Manager will manage a team of 2 and be a strategic advisor to then and the U.S and Singapore HQ department managers they support. This role will manage a full cycle desk, managing about 5-8 individual roles at a time, with a KPI expectation of hiring a min of 4-6 a month. You will be expected to post on your personal linked in page and the company page weekly. This role will also lead the efforts in creating the benchmark for compensation as well as create a job description library for each department they support.




Responsibilities:

Directly manage 2 Senior Talent Acquisition Partners.
Manage a full cycle recruiting desk, 5-8 individual roles.
Assist with weekly reporting and vendor management.
You will also own the SHEIN Technology company Linked in content page and other IT vendor relationships.
Help with strategizing department improvements.
Meet 2-3 times a week with counterparts at HQ.
Build strong relationships across teams and serve as a partner before, during, and after the recruiting process.
Strategize multiple methods of building talent pipelines and execute tactical research, referral exposure and sourcing campaigns.
Contribute to making improvements in the recruiting process and training our hiring teams on how to best adapt to it.
Effectively communicate the company culture and roadmap to a broad range of candidates, prospects, and industry professionals.
Audit teams ATS submissions and weekly new hire process flows for each candidate.
Be our brand ambassador by providing a best-in-practice interviewing experience to all candidates.




Skills and Qualifications

8 years managing a full cycle desk in a corporate and or agency environment.
Have an additional 2-3 year’s experience managing 2-3 recruiters in a fast-paced high-pressured start up corporate environment.
Must be agile with excellent communication skills.
Ability to work late and have 2-3 calls a week after hours with Singapore HQ.
Must have excellent attention to detail and great excel skills.
Highly networked within the apparel industry and be a Linked in expert.
Ability to work cross-functionally and transition seamlessly whether recruiting for technical or non-technical roles across any department.
Must be tenacious, goal-oriented with a successful track record of being a top performer!
This role will be Hybrid until transitioning to FT in house in July 2023.




SHEIN Distribution is an equal opportunity employer committed to a diverse workplace environment.




Salary: $106,000.00 min- $125,000.00 max annually.

Show less ",1,0,0
1,Marketing and Sales,Restaurants and Retail,Mid-Senior level,"Full Remote anywhere in the United States




Potbelly Sandwich Shops, where Good Vibes and Great Careers are a way of life! Come Build the Potbelly Nation with us.




Potbelly got its start in 1977 as a small antique store that turned into a lines-out-the-door neighborhood sandwich shop. Before you knew it, we were serving up delicious food in a fun environment at more than 400 shops across the United States.




We continue to wake up every day with one goal: Make people happy through good vibes and delicious craveable food. Put those awesome ingredients together, and there’s no telling what we’ll cook up next!







The Manager of Social Media plays a critical role in leading the social strategy, social voice and social engagement for the brand. This role will require a storyteller who is up-to-date on the latest social media trends as well as new platforms and features, engaging and connecting with the company’s core audience. A successful candidate will have a deep understanding of social media, someone with a proven-track record of planning, delivering and reporting on a range of social media campaigns, across various social platforms and successful demonstration of building the organic social footprint for the brand. This individual will have a proven track record of creating and deploying engaging content that drives measurable results for the brand. The ideal candidate will have a deep understanding of social media with an emphasis on Facebook, Instagram, Twitter, TikTok and YouTube.




This position reports to the Director of Brand Marketing.




Potbelly looks for creative, innovative and results oriented individuals who thrive in a fast-paced environment. Our marketing professionals need to demonstrate strong analytical skills and an ability to flex with changing needs. Our marketers are team players, comfortable with ambiguity and passionate about delivering results. Strong communication skills, both written and oral, are paramount for the position. The position will require cross-functional interaction and will give exposure to all aspects of a growing business.




EXPERIENCE, EDUCATION AND BEHAVIORS

Bachelors Degree in Marketing or related
5+ years of progressive experience in Social Media marketing and brand advertising
Proven experience in setting social media strategy and content direction.
Possess exceptional social media marketing and project management skills
Previous agency or fast paced QSR/FCR/Retail driven environment experience is preferred
Extensive experience leading social media channels for large scale organizations with large social footprint
Working knowledge of social media management tools
Strong communications skills; ability to effectively communicate information and contribute innovative ideas in written and verbal format
Demonstrated initiative, critical thinking, decision-making, and problem-solving skills, with the ability to thrive in a fast-paced, dynamic environment
Proficiency in MS Office (Outlook, Word, Excel, PowerPoint), Adobe Professional, and internet browser software is required
Ability to handle confidential and sensitive information
Lead and behave according to the Potbelly Values and uphold the Potbelly Advantage







We’re an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, or disability status.

Show less ",1,0.2,0.2
2,"Supply Chain, Marketing, and Advertising",Restaurants and Retail,Director,"Full Remote anywhere in the United States




Potbelly Sandwich Shops, where Good Vibes and Great Careers are a way of life! Come Build the Potbelly Nation with us.




Potbelly got its start in 1977 as a small antique store that turned into a lines-out-the-door neighborhood sandwich shop. Before you knew it, we were serving up delicious food in a fun environment at more than 400 shops across the United States.




We continue to wake up every day with one goal: Make people happy through good vibes and delicious craveable food. Put those awesome ingredients together, and there’s no telling what we’ll cook up next!




The Director of Brand Marketing is responsible for managing the Potbelly brand, developing strategies and delivering tactics that drive profitable traffic and revenue growth. This position is responsible for ensuring the brand positioning is reflected across all touchpoints, developing a robust brand calendar, delivering compelling brand creative and maximizing online engagement with the Potbelly customer. This role is expected to work closely with the Director of Insights and Innovation to ensure the customer voice is at the center of the marketing strategy and subsequent tactics. This role will lead brand communications including creative development and social media platforms.

This position reports to the Chief Marketing Officer and works closely with the senior marketing team to define, manage and activate the brand strategy.

Potbelly looks for creative, innovative and results oriented individuals who thrive in a fast-paced environment. Our marketing professionals need to demonstrate strong analytical skills and an ability to flex with changing needs. Our marketers are team players, comfortable with ambiguity and passionate about delivering results. Strong communication skills, both written and oral, are paramount for the position. The position will require cross-functional interaction and will give exposure to all aspects of a growing business.




EXPERIENCE, EDUCATION AND BEHAVIORS

Bachelors Degree in Marketing or related
7+ years of progressive experience in brand marketing; QSR, FCR or Retail preferred.
5+ years of people management experience with a proven track record of coaching and developing high performing teams.
Relevant experience in brand marketing
Proven track record of developing brand strategy, building campaigns and executing marketing plans that drive tangible business results.
Strong communications skills; ability to effectively communicate information and contribute innovative ideas in written and verbal format.
Demonstrated initiative, critical thinking, decision-making, and problem-solving skills, with the ability to thrive in a fast-paced, dynamic environment.
Ability to build strong relationships with partners and franchisees.
Ability to influence senior leaders in the organization and across different cross functional groups.
Proficiency in MS Office (Outlook, Word, Excel, PowerPoint), and internet browser software is required; Adobe Professional experience preferred.
Ability to handle confidential and sensitive information.
Lead and behave according to the Potbelly Values and uphold the Potbelly Advantage

We’re an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, or disability status.

Show less ",1,0.2,0.2
3,"Design, Art/Creative, and Information Technology",Retail,Entry level,"Photo Retoucher (85% remote, ~15% on set as needed)

Projected start date: late January - early February 2023

General job info: The Digital Retoucher is responsible for retouching Images for School House Creative Production clients with a focus on beauty and product imagery. Works closely with the Art Directors and Post Producer to assure post-production standards are met and remain consistent through revisions and quality control.

Responsibilities

Retouch a variety of beauty, health & wellness categories, including product still life, in hand, product textures, and on figure

Collaborates and communicates well with Directors, Photographers, and Designers throughout project lifecycle

Partner with key members Creative Production department in order to consistently elevate brand imagery

Use technical skills to achieve high end retouching, compositing and color matching for all imagery

Utilize multi-layered non-destructive editing processes

Knowledge of actions, standard file structure, masks, and clipping paths

Works quickly and efficiently in a deadline driven, high-volume environment

Team player with the ability to maintain relationships within a small department and with multiple business partners

Maintain organization of ongoing projects and archived materials

Facilitate work hand-off and delegate to freelancers in support of Post Producer

May be required to act as Digital Technician on set in NYC

Requirements

3 years of digital photo retouching experience, with an emphasis on beauty and product imagery

Proficient in Adobe Creative Suite - Photoshop and Bridge

Must have an unparalleled level of attention to detail

Self-sufficient problem solver willing to take initiative, but can take direction within a small team

Must have excellent verbal and written communication skills to communicate effectively across team and departments when completing assignments

Must be reliable, have time management skills and be well organized

Must have the ability to multi-task and manage multiple projects in order to meet deadlines

Knowledge of Airtable is a plus

Slack Experience Preferred

Ability to provide portfolio

To be considered for final interview stage applicants will be required to complete 2-3 images to a R3, final delivery stage.

Benefits

Medical, dental and vision benefits

Unlimited PTO

PLEASE SUBMIT

Resume

Portfolio

Availability

Salary Range : $75,000 - $85,000
Show less ",1,0,0
4,Sales and Business Development,Retail,Mid-Senior level,"is a craft cannabis brand and a smokewear label born in Seoul and raised in California. Our mission is to globalize cannabis by serving great, reliable highs and illustrating narratives that contextualize and de-stigmatize the plant. We are a team of product-oriented, mission-driven creatives and midnight tokers. As a team comprised of immigrants, LGBTQIA+, and people of color, we are committed to building an industry and community that reflects everyone, not just the lucky few.

We are looking for a Cannabis Brand Ambassador to help us grow our presence in dispensaries and build our community with retailers and budtenders. We are looking for someone bold, creative, and action-oriented to travel to collectives in the coastal Santa Barbara area and teach customers and staff about our brand.

Job Duties

Represent Sundae School in a positive and professional manner at retail stores and events within the Cannabis industryHost demos/PADs to get the word out about our product line, upcoming SKUs, and events

Maintain expert-level knowledge of our products and be able to effectively articulate that to new and returning consumers

Help develop customer success strategies to drive sales and growth within existing account

Provide insight to trends seen in the Southern California cannabis field market

Requirements

Be able to work independently and have strong follow-through; ambitious, self-motivated with a strong sense of integrity

Have reliable transportation and be able to regularly commute to retailers in a timely fashion

Clear and consistent communication and organization is prerequisite; great ability to work with people of various personalities

Weekend availability

Passion for cannabis education

Some Sales Experience Required

Some experience working in the cannabis industry preferred, but not required

Must be at least 21 years old

Benefits

Salary: $18/hour
Show less ",1,0,0
5,Other,Retail,Entry level,"Description & Requirements

who we are

lululemon is an innovative performance apparel company for yoga, running, training, and other athletic pursuits. Setting the bar in technical fabrics and functional design, we create transformational products and experiences that support people in moving, growing, connecting, and being well. We owe our success to our innovative product, emphasis on stores, commitment to our people, and the incredible connections we make in every community we're in. As a company, we focus on creating positive change to build a healthier, thriving future. In particular, that includes creating an equitable, inclusive and growth-focused environment for our people.

About This Team

The People Experience Centre (PEC) provides an elevated and truly global service delivery experience. We support our people with information, transactional assistance and issue resolution in a caring, competent and convenient way using digital channels where possible and human channels where needed.

a Day In The Life

Responds to ticket enquiries from employees utilizing specialized knowledge of lululemon's people systems, processes, and programs.
Collaborates with cross-team and cross-functional partners to resolve enquiries and co-create knowledge documentation.
Processes employee data changes within HRIS.
Administers P&C programs and processes.
Continually looks for opportunities to improve knowledge base content and processes and to clarify roles & responsibilities.
Trains and coaches new PEC team members.
Delivers on ad hoc assignments.

Qualifications

Post-secondary degree in Human Resources or Business Administration.
1-2yrs experience in a HR operations or customer service role.
Experience supporting the workforce with enquiries about people processes and systems.
Experience with Workday, Avature, Docebo and ServiceNow an asset.
Solid analytical and problem-solving skills.
Experience analyzing ticket data for trends and opportunities.
Strong attention to detail.
Well-honed interpersonal and communication skills (written and verbal).
Flexible and able to handle multiple priorities, using strong organizational and time management skills.
Take ownership and follow through on tasks.
Strong skills with Microsoft Office suite of applications.

must haves

Acknowledge the presence of choice in every moment and take personal responsibility for your life.
Possess an entrepreneurial spirit and continuously innovate to achieve great results.
Communicate with honesty and kindness and create the space for others to do the same.
Lead with courage, knowing the possibility of greatness is bigger than the fear of failure.
Foster connection by putting people first and building trusting relationships.
Integrate fun and joy as a way of being and working, aka doesn’t take yourself too seriously.

Compensation And Benefits Package

For California, Washington, and NYC Applicants: lululemon’s compensation offerings are rooted in a pay-for-performance philosophy that recognizes exceptional individual and team performance. The typical hiring range for this position in California, Washington, and NYC is from  $50,000 – $65,000  annually; the base pay offered is based on market location and may vary depending on job-related knowledge, skills, experience, and internal equity. As part of our competitive Total Rewards offering, permanent employees in this position may be eligible for our competitive annual bonus offering.

At lululemon, investing in our people is a top priority. We believe that when life works, work works. In addition to our competitive Total Rewards offering, we also have personal and professional development offerings. Our offerings recognize our teams for their performance and support whole person development, including support for employees on how to grow their career:  

Extended health and dental benefits, and mental health plans
Paid time off
Savings and retirement plan matching
Generous employee discount
Fitness & yoga classes
Parenthood top-up
Extensive catalog of development course offerings
People networks, mentorship programs, and leadership series (to name a few)

Note: Availability of the incentive programs, benefits, and perks may be subject to your location & employment type and may have certain eligibility requirements. The Company reserves the right to alter these incentive programs, benefits, and perks in whole or in part at any time without advance notice.
Show less ",1,0,0
6,Management and Manufacturing,Wholesale,Entry level,"Preferred Qualifications

Prior experience working in multiple departments in a distribution center.
Previous experience operating material handling equipment.
Ability to understand written material.


Job Summary

Works in multiple departments within a distribution center, including case pick, shipping, receiving, returns, loading, order processing, and replenishment. Operates material handling equipment to move inventory within the facility.

Major Tasks, Responsibilities, And Key Accountabilities

Uses material handling equipment to locate and deliver products, supplies, and equipment to designated areas.
Assists with staging and loading orders into trucks for customer delivery.
Verifies quantity and quality of incoming products from vendors and distribution centers.
Uses packing list information to collect items for customer orders, including building and wrapping pallets of products.
Examines and inspects stock items for wear and defects and notifies management of inventory issues.
Returns misplaced products to proper storage areas.
Maintains a clean working environment in accordance with company safety policies.
Performs inventory control functions as needed.


Nature and Scope

Refers complex, unusual problems to supervisor.
Under general supervision, exercises some judgment in accordance with well-defined policies, procedures, and techniques. Work typically involves regular review of output by a senior coworker or supervisor.


Work Environment

Typically located in a comfortable environment but with regular exposure to factors that may cause noticeable discomfort or a moderate risk of accident or illness, such as temperature extremes, moving machinery, loud noises, and fumes.
Ability to lift and carry up to 50 pounds in a physical environment. Ability to stand for periods of time up to and exceeding 60 minutes. Ability to make repetitive movements, such as using a 10-key or calculator, bending, or squatting.
No travel required.


Education And Experience

HS Diploma or GED strongly preferred. Specialized skills training/certification may be required. Generally 2-5 years of experience in area of responsibility.


Equal Employment Opportunity

HD Supply is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Show less ",1,0,0
7,Management and Manufacturing,Retail,Entry level,"Are you Stinkin’ Awesome?




Do you want a job that provides opportunities for growth and advancement within the company? How about a job that offers competitive benefits? Or maybe a job that allows you to have fun and interact with an awesome team? If so, apply at Stinker Stores! Founded in 1936, Stinker and its Fearless mascot Polecat Pete, have been an Idaho icon for 85 years. Stinker offers great career opportunities in 110 locations in 3 western states, Idaho, Colorado & Wyoming: a Distribution Company – Arrowrock Supply, and a Fuel Transportation company – Westpoint Transportation. If you’re an employee who values growth and opportunity within a company, then come grow with us. You never know where a job can take you!




Why work for Stinker?




Competitive Wag
As a Stinker Stores employee, you are eligible for DailyPay, a voluntary benefit that allows you to access your pay when you need it.
Benefits for all employees: 401k with a discretionary 25% match AND Profit Sharing upon completion of eligibility requirements.
Benefits: Medical, Dental, Vision, Flexible Spending Account, 6 Paid Holidays and Paid Time Off (begins accruing immediately!)
On the job training and endless opportunities for growth and advancement




We want to invest in you! We are more than a c-store, we are your next career opportunity in Idaho, Colorado, or Wyoming.




Job Duties




Prep food product for the day.
Cook food in various utensils or grillers.
Assist other cooks and staff and deliver food in a fast-paced environment.
Learn hot/cold times and temperatures for each food item.
Operate kitchen machinery, slicer, mixers, fryers, fryer safety, packaging machine.
Receive and inspect product in. Accurately package and label product. (Food dating)
Follow HACCP programs including verification and documentation of product.
Follow daily cleaning schedules and sanitation procedures.
Maintain inventory and proper rotation of product.
Ensure all food and other items are stored properly




Job Location: Stinker Store #218 located at 2232 E Richards Street, Douglas, WY 82633




Work Hours: Full-Time (30-40 hours/week)




Shifts: 8:00 AM to 2:00 PM & 2:00 PM to 9:00 PM




Days: Days and times may vary including weekends




Requirements: Must be at least 18 years old; Complete online Food Safety Class before the first 90 days of employment.




To stay up to date on your application status and new job postings, Stinker Stores encourages all applicants to opt in to receive text messages!




Please visit stinker.com/careers for more information about Stinker Stores and the opportunities we offer!




Stinker is an Equal Opportunity Employer. We E-Verify through ADP.
Show less ",1,0,0
8,Engineering and Information Technology,Retail,Entry level,"Seasons Rehab and Healthcare Center is seeking a Floor Tech to join our awesome team!

Floor Tech Job Summary: To perform day-to-day floor cleaning activities under the direction and supervision of the Housekeeping and Laundry Supervisor to assure the facility is maintained in a safe, clean and comfortable manner.

Floor Tech Duties, include but are not limited to:

Perform day-to-day floor cleaning functions and specific tasks in accordance with daily work assignments and established floor tech procedures.
Clean front porch and surrounding area, picking up trash, cigarette butts, empty trash cans and take trash to trash receptacle.
Dust mopping, wet mopping and buffing of assigned floors.
Cleaning walls, rails, doors, behind doors, and baseboards.
Follow facility established safety and infection control practices when performing tasks and using equipment and supplies.
Maintain work areas in a clean and safe manner. Report all hazardous conditions and equipment to the housekeeping and laundry supervisor. Floor tech should report maintenance issues to the maintenance supervisor in accordance with established facility protocols.
Floor tech must report all accidents/incidents to your supervisor immediately. (Note: such occurrences must be reported on the shift in which they occur. In absence of supervisor, notify charge nurse).
Maintain CONFIDENTIALITY of all resident information.
Honor the resident’s personal and property rights at all times. Turn in all found articles to your supervisor.
Attend departmental and staff meetings, in-service educational and orientation classes and on-the-job training programs, as scheduled or called.


All other duties as assigned by supervisor.
Show less ",1,0,0
9,Purchasing,Retail,Entry level,"Overview Parts Authority, founded in 1972, is a leading national distributor of automotive replacement parts, tools/equipment and transmissions. Headquartered in Long Island, New York, Parts Authority is rapidly expanding, and today has more than 200 locations servicing customers in New York, New Jersey, Pennsylvania, Maryland, Washington DC, Virginia, Ohio, Georgia, Florida, Texas, Arizona, California, Oregon and Washington. Parts Authority has grown through both organic initiatives and acquisitions. Over the past several years Parts Authority has acquired over a dozen companies as part of its expansion strategy. Parts Authority's catalog of over 3 million parts covering more than 125 million applications, ensures our customer partners receive the parts they want, when they want them. What makes Parts Authority different is OUR TEAM. Parts Authority has a team of professionally trained, experienced counter people to assist in finding the right parts and the right brand for each application. Parts Authority carries the best brands in the business for domestic and import vehicles. AC Delco, Motorcraft, Denso, Bosch, KYB, Monroe, Gates, Dorman and Exide are just a few of the more than 400 suppliers from around the world, that Parts Authority partners with to bring our customer partners the best parts. Each team member plays a vital role in our success. We are rapidly expanding and looking for candidates to join our family! So, if you enjoy full-time employment with the opportunity for advancement, look no further. Join our Parts Authority Team today as a Cashier. Hourly Rate $16.50 Responsibilities The Cashier is responsible for ensuring professional, accurate transactions with customers. We only want dynamic, career-minded people who are willing to dedicate themselves to this job.




Ring in customer transactions
Deal with customers in a courteous and professional manner
Lend out money as necessary and manage petty cash
Accurately handle invoices and ensure that drivers mark bills as ""Paid""
Account for cash/credit/check transactions
Work with countermen and store managers to keep them aware of issues with customers
Locate missing funds if there is a problem with the register balance
Will be assigned other duties as needed Qualifications
1-2 years of retail experience
Experience handling cash preferred
1 year of customer service experience preferred Some of the benefits of being a part of our growing Parts Authority family:
Health Insurance
Life Insurance
Dental/Vision Insurance
Flexible Spending Plan
Paid Holidays, Sick/Personal Days and Vacation
Profit Sharing/401 (k) Plan
Employee Discounts on Merchandise We are an Equal Opportunity Employer. We consider applicants for all positions without regard to race, color, creed, religion, sex, national origin, age, disability, marital status, sexual orientation, gender identity, citizenship status, presence of a non-job-related medical condition or handicap, or any other legally protected status.
Show less ",1,0,0
