,Job Function,Industry,Seniority,Job Description,Segment,female,male
0,Human Resources,"Transportation, Logistics, Supply Chain and Storage",Mid-Senior level,"Job Title: Human Resources Manager



JOB SUMMARY:



The H.R. Manager is directly responsible for the overall administration, coordination and evaluation of the human resource function. Serves as confidential administrator and advisor to the HR Director and work’s in collaboration with its Hiring Managers at the organization. Work assignments conducted under minimal supervision, may be complex in nature and contain sensitive information regarding employees, finances, and personal matters.   The salary range for this position is $110,000 - $120,000/yr.



 ESSENTIAL DUTIES AND RESPONSIBILITIES:



Administering appropriate company background check and pre-employment drug screen



Support managers and employees on inquiries relating to HR policies and procedures



Possess strong interpersonal and communication skills (verbal and written)



Partnering with hiring managers to determine staffing needs



Develops training and performance management program that ensures all employees are familiar with their job responsibilities, as well as relevant legal and safety requirements



Creates and updates compensation strategy through market analysis and pay surveys



Handles investigation and resolution of employee issues, concerns, and conflicts



Ensures all employment practices comply with federal, state and local regulations



Process workers compensation, injury/illness



Completing timely reports on employment activity



Maintains employee records



Detailed oriented, excellent follow-through, a strong sense of urgency, accomplish many detail-oriented tasks simultaneously and time management



Ability to maintain confidentiality



Strong work ethic and works well under pressure



Ensures planning, monitoring, and appraisal of employee results by training managers to coach and discipline employees; hearing and resolving employee grievances; counseling employees, supervisors, managers and/or executives



Works with recruitment in talent acquisition process.



Other duties may apply



 REQUIRED SKILLS / ABILITIES:



Phone Skills, Recruiting, Interviewing Skills, People Skills, Supports Diversity, Employment Law, Results Driven, Professionalism, Organization



Proficiency in Microsoft Office applications and Human Resources Information Systems (HRIS), including Ultimate Software,



EDUCATION AND EXPERIENCE:



Experience with creating a culture of engagement, collaboration and teamwork



Bachelor’s Degree in Human Resources, Business or related field of study



5+ years’ experience in Human Resources Management and Recruiting is required



 PHYSICAL REQUIREMENTS:



Prolonged periods of sitting at a desk and working on a computer.



Must be able to lift 15 pounds at times. 



Must be able to access and navigate each department at the organization’s facilities.



Must be able to successfully pass a drug test and criminal background check.



About us:



The DeWitt Companies is a fourth-generation, family-owned operation whose mission is to provide world-class transportation services to households, businesses, and military personnel around the globe.



https://www.thedewittcompanies.com/ccpa/
Equal Opportunity Employer







Show less ",1,0,0.24
1,Management and Manufacturing,Truck Transportation,Executive,"The VP of Global Supply Chain is responsible for supply chain optimization. Ensures operations plans satisfy customer and financial objectives and that materials and services acquired meet or exceed cost, quality and delivery requirements. The VP of Global Supply Chain possesses the ability to translate the company vision into a vision for Supply Chain strategies. The VP of Global Supply Chain works closely with other enterprise functions; specifically, Customer Service, Sales, Manufacturing, Product Marketing, Quality, Engineering, Finance and Senior Management. Areas of Focus * Manage and develop the people, processes and systems supporting supply chain * Advanced understanding of factories, complex supply chains and inventory planning * Understanding of ERP systems, MRP systems and fundamental cost accounting theory * Ability to deal with ambiguity while providing positive outcomes and minimizing risks. Responsibilities Direct Material Purchasing * Select and develop supply base with best combination of technology, cost and quality needed to meet business objectives * Lead negotiating strategy to optimize results * Address shortfalls and mitigates risks. Ensure efficient supply chain to support manufacturing. * Develop negotiation strategies that deliver against business objectives. * Administer and manage supplier contracts to ensure compliance externally and internally. * Develop and maintain stable, sustainable relationships with C-level executives at strategic suppliers. * Ensure capacity is allocated/available to support all business needs. * Assess Enterprise Risk as it relates to managing the supply base and ensure risk is minimized. Indirect Material Purchasing * Analyze spend on indirect material and services * Establish internal partnerships to develop and implement appropriate sourcing strategies. * Drive corporate wide adoption of formal procurement policies. * Leverage the total spend to achieve lowest total cost. New Product Introduction Sourcing * Partner with Engineering to ensure new product bill of materials costs achieve target. * Create balance between preferred suppliers and new suppliers. * Influence product life cycle decisions. * Actively monitor product end of life activities to optimize service levels. * Influence and align suppliers' manufacturing and technology roadmaps with the company vision. Operations Planning * Ensure ERP/MRP processes and strategies align with the fulfillment plan and produce optimal material acquisition and control strategies. * Own the Sales, Inventory and Operations Planning (SIOP) process from an Operations perspective. * Ensure Master Schedule supports product availability strategy and the corporate financial plan without violating capacity constraints. Basic Qualifications * Bachelor's degree in a business or technical discipline * 15 years of experience with 10 years of management experience * Willing to travel Preferred Qualifications * MBA with a focus in Operations or Supply Chain Management * Understanding of interactions between Supply Chain Management and other internal functions (Product Development, Manufacturing Plan Execution, Financial Planning and Customer Order Fulfillment) * Lean/Six Sigma experience, certification would be a bonus Cv to resumesATpermantechDOTcom Salary range 225 -285 base+ DOE + benefits Company Description The Best career move you'll ever make.




The Best career move you'll ever make.
Show less ",1,0,0.22
2,Administrative,"Transportation, Logistics, Supply Chain and Storage",Entry level,"R.A.S. Logistics is a leader in the logistics industry providing final mile delivery services and we continue to grow thanks to the experience and excellent customer service of our staff. We are currently recruiting for additional Office Administrators in our Pittston, PA facility.




Office Administrator responsibilities include communicating with delivery teams and customers, maintaining organization of the office and delivery documents, and providing high levels of customer service.




Office Administrator requirements include the ability to remain professional and courteous, excellent verbal and written communication skills, strong organizational skills, and previous customer service experience is a plus.




We will train you on all the specifics of the position!




R.A.S. Logistics provides excellent pay and benefits including insurance on the 1 st of month after 60 days through Anthem Blue Cross Blue Shield, retirement plan participation on the 1 st of month after 90 days with company match, free company provided life and disability insurance.




R.A.S. Logistics is proud to be an Equal Opportunity employer.
Show less ",1,0,0
3,Human Resources,Truck Transportation,Mid-Senior level,"Human Resource Generalist A nation-wide, well establish corporation seeks a Human Resource Generalist to work full time in our corporate headquarters. Focus: To administer human resources policies in a fair and consistent manner that is compliant with federal, state, and local laws. Responsibilities: -Recruiting- Advertise, interview, and conduct background checks, coordinate drug screens, and recommend candidates for hire -Administer company benefits plan- Enroll newly eligible employees, act as liaison between employees and carrier, coordinate the payment of all related invoices -Employee review tracking- Work with company managers to ensure timely and effective delivery of performance reviews to all employees -On-boarding- Ensure all new-hire paperwork is complete in accordance with company policy and state and federal laws, complete entering of employees and changes into the HR system -Maintain company handbook- Review and update as regulations, laws, and company policies change -Review HR systems- Review all processes within the department for efficiency and accuracy -Administrative functions within the HR department- Run reports, prepare invoices, answer inquiries, and other duties as assigned Qualifications: Bachelor's Degree in Human Resources Competent computer skills, including Microsoft Office Suite Familiarity with ISO format a plus Understanding of HR disciplines and sensitivity of confidential information Strong written and verbal communications skills Ability to interact with employees at all levels Strong attention to detail Please send salary requirements with resume. Benefits include medical, prescription, vision, dental, and 401(k) along with vacation, sick and holiday pay. An Equal Opportunity Employer M/F D/V Company Description McCollister's Global Services is one of the largest logistics and warehousing providers in the country, providing high-value product transportation, wireless inventory-controlled warehousing, and household goods moving and storage. McCollister's has several fleets including high-end auto transportation, fitness distribution, aerospace, heavy haul, and nationwide warehousing/storage.




McCollister's Global Services is one of the largest logistics and warehousing providers in the country, providing high-value product transportation, wireless inventory-controlled warehousing, and household goods moving and storage. McCollister's has several fleets including high-end auto transportation, fitness distribution, aerospace, heavy haul, and nationwide warehousing/storage.
Show less ",1,0,0.29
4,Administrative,"Transportation, Logistics, Supply Chain and Storage",Entry level,"R.A.S. Logistics is a leader in the logistics industry providing final mile delivery services. We are currently recruiting for an Office Administrator in our Maryville, TN facility. R.A.S. partners with multiple name brand companies in diverse markets and we pride ourselves on exceeding customer expectations.




Office Administrator responsibilities include but are not limited to the following.




Maintain organization of the office and delivery documents
Assist where needed with office tasks
Contact customers and notify of product availability
Reschedule customer deliveries when required
Assemble route paperwork
Communicate with delivery teams




Office Administrator requirements include the following.




Ability to remain professional and courteous with customers and co-workers
Excellent verbal and written communication skills
Exceptional team player with the confidence and integrity to earn customer and internal confidence quickly
Previous customer service experience preferred
Knowledge of Microsoft Office and Windows based applications
Strong organizational skills
Flexibility to work additional hours, if needed




Office Administrator benefits include the following.




Excellent base wage
Insurance available 1 st of month after 60 days; Retirement plan available 1 st of month after 90 days; Retirement match provided after 1 year
Affordable Anthem BCBS Medical, Dental and Vision Insurance.
Company provided life insurance and additional voluntary life insurance available.
Company provided short and long term disability.
Excellent 401k match of 100% on first 3% then 50% on next 2%




R.A.S. Logistics is proud to be an Equal Opportunity employer.
Show less ",1,0,0
5,Administrative,Truck Transportation,Entry level,"These Duties Include




The Administrative Support Assistant I is a permanent, full-time position used by various agencies throughout the State.\ \ Employees in this class may perform a variety of clerical duties.




Filing documents
Sorting mail
Typing documents,
Proofreading documents
Making copies
Greeting and directing the public,
Issuing licenses or vital statistics certificates
Taking telephone messages
Posting records
Making simple calculations.
Typing skills are required for some but not all jobs in this classification




\
Show less ",1,0,0
6,Human Resources,Truck Transportation,Entry level,"Help Help Requirements Conditions of Employment




You must be a U.S.Citizen and eligible for consideration.
You must meet specialized experience to qualify.
Required documents must be submitted by the closing date.
Submit application and resume online by 11:59 PM EST on the closing date.




Conditions Of Employment




SELECTIVE SERVICE: Males born after 12/31/1959 must be registered for the Selective Service.
PCS/RELOCATION/RECRUITMENT: Permanent Change of Station (PCS), Relocation, and Recruitment Incentive authorization varies by position/selection.
TIME-IN-GRADE: Federal applicants must have served 52 weeks at the next lower grade in the competitive or excepted service in the executive branch to satisfy time-in-grade restrictions contained in 5 CFR 300, Subpart F.
PROBATIONARY PERIOD: You must complete a one-year probationary period (unless already completed).
TELEWORK ELIGIBILITY: This position is approved for occasional telework. The number of telework days approved is determined by the agency policy, emergency situations, the approval of your immediate supervisor, and if applicable, approval of additional officials. You are required to report to the office on a regular basis since this is not a full-time telework position or approved as a remote work position.




Qualifications




To determine which grade(s) you are eligible for, review the following grade specific details. You will be asked questions as part of your application but make sure to verify how you meet this experience in your resume or you may be deemed ineligible.




For the GS-06:On Experience, you must have at least one year of experience, equal or equivalent to the GS-05 grade level, which included:




Experience providing support related to human resources programs such as responding to internal staff inquiries to resolve personnel and payroll issues and researching human resources policy and procedures and preparing necessary documents; AND
Experience using software programs (e.g., Microsoft Office) and automated systems to initiate, track, and complete personnel related actions.




For the GS-07:On Experience, you must have at least one year of experience, equal or equivalent to the GS-06 grade level, which included:




Experience providing technical support to human resources programs such as reviewing and processing personnel actions, so they comply with rules, regulations, and automated system requirements; researching and responding to customer inquiries on human resources policies; and developing solutions to resolve customer and operational issues; AND
Experience using software programs (e.g., Microsoft Office) and automated systems to initiate, track, and complete personnel related actions.




KNOWLEDGE, SKILLS AND ABILITIES (KSAs): Your qualifications will also be evaluated on the basis of your level of knowledge, skills, abilities and/or competencies in the following areas:




Interpersonal - Shows understanding, friendliness, courtesy, tact, empathy, concern, and politeness to others; develops and maintains effective relationships with others; may include effectively dealing with individuals who are difficult, hostile, or distressed; relates well to people from varied backgrounds and different situations; is sensitive to cultural diversity, race, gender, disabilities, and other individual differences.
Customer Service- Anticipates and meets the needs of both internal and external customers. Delivers high-quality products and services; is committed to continuous improvement.
Computer Skills - Uses computers, software applications, databases, and automated systems to accomplish work.




For all types of consideration, experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.




All applicants must meet all qualification requirements by the closing date of this announcement.




Education




Additional Information




Given our continuing need for professionals in this field, we will routinely review applications and refer candidates for potential interviews multiple times during the open period of the announcement. Following these dates, we will contact qualified applicants to schedule interviews. We will give equal consideration to all applications we receive. This announcement may close earlier or be extended, NTE a total of 1 year.




This announcement may be used to fill additional positions if similar vacancies occur within 90 days of the issue date of the referral certificate.




Read more




Help Help A career with the U.S. government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Opens in a new window Learn more about federal benefits .




Review our benefits




Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time or intermittent. Contact the hiring agency for more information on the specific benefits offered.
Show less ",1,0,0.13
7,Administrative,"Transportation, Logistics, Supply Chain and Storage",Entry level,"R.A.S. Logistics is a leader in the logistics industry providing final mile delivery services and we continue to grow thanks to the experience and excellent customer service of our staff. We are currently recruiting for an Office Administrator in our Neenah, WI facility.




Office Administrator responsibilities include but are not limited to the following.




Communicate with delivery teams and customers
Maintain organization of the office and delivery documents
Provide high levels of customer service




Office Administrator requirements include the following.




Ability to remain professional and courteous
Excellent verbal and written communication skills
Previous customer service experience
Knowledge of Microsoft Office and Windows based applications
Strong organizational skills
Flexibility to work additional hours, if needed




Office Administrator benefits include the following.




Excellent base wage
Insurance available 1 st of month after 60 days; Retirement plan available 1 st of month after 90 days; Retirement match provided after 1 year
Affordable Anthem BCBS Medical, Dental and Vision Insurance.
Company provided life insurance and additional voluntary life insurance available.
Company provided short and long term disability.
Excellent 401k match of 100% on first 3% then 50% on next 2%




R.A.S. Logistics is proud to be an Equal Opportunity employer.
Show less ",1,0,0
8,"Supply Chain, Purchasing, and Manufacturing","Transportation, Logistics, Supply Chain and Storage, Industrial Machinery Manufacturing, and Computers and Electronics Manufacturing",Mid-Senior level,"Whirlpool Corporation (NYSE: WHR) is committed to being the best global kitchen and laundry company, in constant pursuit of improving life at home. In an increasingly digital world, the company is driving purposeful innovation to meet the evolving needs of consumers through its iconic brand portfolio, including Whirlpool, KitchenAid, Maytag, Consul, Brastemp, Amana, Bauknecht, JennAir, Indesit and Yummly. In 2021, the company reported approximately $22 billion in annual sales, 69,000 employees, and 54 manufacturing and technology research centers.

FORTUNE consistently recognizes Whirlpool Corporation as one of the World’s Most Admired Companies. Our values are the driving force behind everything we do. Integrity, Respect, Inclusion & Diversity, One Whirlpool, and the Spirit of Winning propel our teams to excellence. Get to know us and see what it's like to be part of a company that is in constant pursuit of improving life at home.







This role in summary

Whirlpool is seeking a qualified candidate for the role of Procurement Manager, Commodity Management at our Benton Harbor location. The position is in the Commodity Management space within Whirlpool's Global Strategic Sourcing organization, and specifically under the Heating Elements Global Commodity. The role reports directly to the Global Heating Elements Commodity Senior Manager based in Benton Harbor. The Manager is expected to manage the total performance of his/her commodities and supplier portfolio.

This role is responsible to develop and execute the commodity strategy, deliver financial results for the commodity, drive the sourcing process, supplier negotiations, and leading supplier selection for current and future businesses. You are also expected to support cross-functional stakeholders and key initiatives to achieve operational excellence and product leadership.




Employees in this role can work a hybrid schedule of three core days in the office and two days remote. This enables employees to come together to collaborate in person and gives employees the added flexibility to work remotely




Your responsibilities will include




Provide strategic and operational leadership for Global commodity spend
Develop and manage the business relationship between Whirlpool and its suppliers of Heating Elements components
Lead contract negotiations, supplier issue resolution, supplier cost reductions, and purchase order creation and management processes for NAR Heating Elements.
Support the execution of sourcing and supplier strategies for Global Heating Elements, working closely with other regions to drive global alignment and synergies
Identify, develop, and execute projects for Global Heating Elements considering product leadership, cost, quality, safety, and/or risk mitigation.
Evaluate suppliers on cost, quality, delivery, and other information to determine the viability of suppliers
Forecast financials every month for your assigned commodity(ies).
Support the requirements of various process partners (such as Engineering & Technology, Product Development, Marketing, etc.)
Drive extraordinary results in meeting critical revenue, cost, quality, delivery, and service objectives
Ensure high levels of customer satisfaction are accomplished in all work streams







Minimum requirements




Bachelor’s Degree
4+ years’ experience in supply chain or procurement







Preferred skills and experiences




Bachelor’s degree in Supply Chain, Business, or Engineering
4+ years of experience in Purchase Order creation and Management
Demonstrated practical use of supplier management and sourcing principles
Negotiation, conflict resolution, and management skills
Build strong rapport and relationships with internal process partners and suppliers
Analytical and computer-related skills
Project management skills
Manage and prioritize multiple key activities







Connect with us and learn more about Whirlpool Corporation




See what it's like to work at Whirlpool by visiting Whirlpool Careers. Additional information about the company can be found on Facebook, Twitter, LinkedIn, Instagram and YouTube.




At Whirlpool Corporation, we value and celebrate diversity. Whirlpool Corporation is committed to equal employment opportunity and prohibits any discrimination based on race or ethnicity, religion, sex, pregnancy, gender expression or identity, sexual orientation, age, physical or mental disability, veteran status, or any other category protected by applicable law.

Show less ",1,0.16,0.48
9,Distribution and Supply Chain,Truck Transportation,Entry level,"Put Yourself in the Driver's Seat. At FBM we believe that safe, qualified Drivers are a skilled group of individuals. They masterfully help to move materials and products within the job sites, and they are an important part to our overall team operation. Drive and Thrive - Professional Driving that Fits Your Life We hope your driving career continues to be a long and a safe one. As you make decisions about your career, consider professional driving that fits your life with FBM. Come join our great family of drivers and be home daily! Essential Functions/Qualifications:

Valid Driver's License with clean record is required.
CDL License is preferred, but not required.
The ability to inspect trucks daily and verify that they are loaded and secured properly when leaving the facility in accordance with Company and D.O.T. standards.
Arrive to work on time when scheduled.
The ability to unload, protect, move and stage materials as specified by customer directive.
Attend and participate in all required company training programs.
Operate forklift and other company vehicles and equipment as trained and instructed.
Frequent heavy lifting 100lbs
Must be able to pass a drug test
Work in a team environment
Conform to all safety rules and regulations of the Company and OSHA standards.
Must attend and participate in all required meetings in relation to material delivery and overall company
Display leadership and may be requested to direct and supervise within their department.
Basic understanding and knowledge of operation of a forklift and other equipment.
Basic understanding and knowledge of building materials
Support our company values in the stated areas of Safety, Customer Focus, Teamwork, Integrity and being a Company of Choice for both employees and customers.
Other duties may be assigned FBM Benefits
Offer Competitive pay
Excellent benefits including: Medical, Dental, Vision, and 401K plans
Well-maintained equipment About Foundation Building Materials Foundation Building Materials (FBM) is a leading North American distributor of building materials focused on meeting and exceeding the needs of local construction trades with best-in-class products and services. Based in California, FBM has more than 4,500 employees in more than 250 locations across the U.S. and Canada. FBM's core values - safety first, a focus on customers and team members, honesty and integrity - form the foundation for an outstanding customer experience that is recognized across the industry. FBM promotes an equal employment opportunity workplace with respect to all categories protected under applicable State and Federal law.
Show less ",1,0,0
