,Job Function,Industry,Seniority,Job Description
0,"Design, Art/Creative, and Information Technology",Construction,Entry level,"The Kelly Group is seeking an experienced Draftsman for its Lafayette, Indiana, facility. Candidates should have a minimum of 3 years of experience, preferably in work related to industrial contracting and sheet metal/structural steel fabrication, and a keen attention for detail.




This position requires the ability to perform these essential duties:




Take field measurements and transfer them into fabrication drawings
Utilize CAD equipment and drafting packages to prepare clear, complete and accurate working plans and detail drawings from detailed or rough sketches
Read and interpret blueprints, technical drawings, schematics and other sketches
Check dimensions, analyze materials and consider relation of various parts to whole structure of project
Interact effectively with customers, project managers, engineers and fabricators




Other Preferred Qualifications Sought Include




Associate's degree in engineering, drafting, design, graphic arts or a related field
Proficiency using SOLIDWORKS, AutoCAD, Autodesk and Microsoft Office software




The Kelly Group offers a complete benefits package, including a 401(k) plan and health, life and dental insurance.




EEO STATEMENT




The Kelly Group is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, gender identity, sexual orientation, genetic information, national origin, protected veteran status, disability status or any other characteristic protected by law.
Show less "
1,"Design, Art/Creative, and Information Technology",Construction,Entry level,"Busy construction firm specializing in high end residential and commercial construction is looking for a designer/drafter. Qualified candidate:




Must be proficient in AutoCad
Must be proficient in Sketchup and/or Revit
Photoshop experience is a plus
Will use Microsoft Office, Outlook, Excel, and Word
Will be able to take field measurements and translate them into working drawings
Will be documenting job site conditions and features with photographs and sketches
Will conduct product and material searches in relation to projects
Knowledge of cabinetry and woodworking drawings a plus.
Have knowledge of design and trends
Have space planning skills.
Possess strong verbal, written and interpersonal communication skills as candidate will meet with clients, architects, engineers, superintendents, and employees.
Have great attention to detail and the ability to organize documents
Will work on multiple projects with the ability to assess and prioritize tasks, projects and demands in a calm and efficient manner. Candidate must be able to troubleshoot challenges with positivity and enthusiasm. They must take pride in producing models and drawings that accurately convey design and construction intent.
Will create and design plans based on client needs
Will assist in the permitting process via field measurements, obtaining material Notice of Acceptances & specs, drawing plans for submittal
Have a clean driving record. We are an equal opportunity employer and maintain a drug free workplace. Please email resume for consideration. Company Description We are state certified and focus on high end residential and commercial remodels, new construction and service.




We are state certified and focus on high end residential and commercial remodels, new construction and service.
Show less "
2,Management and Manufacturing,Construction,Entry level,"Interested in an outstanding opportunity to become part of a team with a stellar reputation as a community engaged Employer of Choice?

Established in 1905, Consigli has grown over the last 100 years from a local fourth generation family business into one of the largest construction managers and general contractors in the Northeast and Mid-Atlantic regions. In 2018, we transitioned to 100-percent employee-ownership.

Nationally ranked as one of Forbes Best Midsize Employers in 2021 and 2022 and as one of the Best Places to Work by the Boston Globe, the Washington Post, the Hartford Business Journal, and MaineBiz, our culture draws raw talent from college interns to seasoned veterans with substantial years of experience in their field. We credit empowerment, innovation and “thinking great” for our continual growth and success. Most important, we are thankful for our employees and are proud to have one of the most exciting project portfolios in the business.

Assistant Superintendent

The Assistant Superintendent will assist the Superintendent with managing all construction activities on the project site while ensuring compliance with contract documents including the internal policies and procedures related to the project. This role will help administer and monitor the project safety program; perform daily job site walks and manage select self-perform labor and subcontractor operations to ensure work is completed in accordance with quality standards.

Required Skills

Assistant Superintendents with daily on-site supervision of large commercial construction projects to assure projects are developing according to plans, budgets, and schedules.
Understands building plans and specifications.
Communicating daily with subcontractors, general laborers, clients, owners, etc.
Daily management of construction traders and subcontractors.
Safety standards checks and constant enforcement of safety standards.
Self-starter with ability to set goals and tasks with strong leadership skills.

Required Experience

Bachelors’ degree in Construction Management with 0-3 years’ experience in the construction industry or related fields.
Prior professional experience (internship or full time work) strongly preferred.
Strong interest in Field Operations and on-site management within a construction setting required.
Knowledge of safety standards preferred.
Strong leadership skills with the ability to set goals and meet deadlines.

An Affirmative Action / Equal Opportunity Employer

Consigli provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.
Show less "
3,Management and Manufacturing,Construction,Entry level,"Hays and Sons is a full service Disaster Restoration company with over 40 years' experience providing service to our customers during their time of need! We are looking for an experienced Estimator to join our Muncie team. Job duties include: * Development of accurate material take offs from field inspection and use of Matterport software * Utilize Xactimate to develop pricing to ensure optimal margins through material breakouts and other methods of design to optimized profit * Ensure quality servicing of adjusters and customers by monitoring key indicators and reports * Optimal customer communication and service throughout duration of project * Build and maintain relationships with adjusters and key referral sources * Perform thorough inspection within two business days after receiving lead * Provide all necessary details to remote estimator for accurate estimate creation * Assist project managers in the development of budgets, change orders and other items pertinent to assigned jobs * Participate every 6 weeks in on-call rotation Hays+Sons values our employees and we want to ensure that they receive top-notch benefits, not only for our industry, but overall. We offer the following benefits for our full time employees: * Medical, Dental and Vision * Health Savings Account option with Matching Contribution * 401k with matching Contribution * Short and Long Term Disability * Employee Assistance Program (EAP) * TrueU Development Courses for Employee and Family * Term Life and Supplemental Life Insurance * Paid time off and paid holidays * 4 hours of wellness time per month * Company phone, vehicle and laptop If you are interested in joining a fast-paced, ever-growing, family owned disaster restoration company, we would love to hear from you! Qualifications * 2+ years of experience (preferred) * Strong organizational and project management skills * Industry knowledge and ability to read blueprints * Detail-oriented and strong communication skills Company Description Hays and Sons is a full service disaster restoration company. We have been in the business of rebuilding lives for 40 years. Recently voted Top Places to Work in 2022. We currently have 8 locations spread throughout the state of Indiana and one office in Cincinnati, Ohio. If you are interested in joining a fun, fast-paced, independently owned disaster restoration company, we would love to hear from you!




Hays and Sons is a full service disaster restoration company. We have been in the business of rebuilding lives for 40 years. Recently voted Top Places to Work in 2022. We currently have 8 locations spread throughout the state of Indiana and one office in Cincinnati, Ohio. If you are interested in joining a fun, fast-paced, independently owned disaster restoration company, we would love to hear from you!
Show less "
4,Administrative,Construction,Entry level,"Send Resume to: career@cantoniplumbing.com Cantoni Plumbing is seeking to hire an Office Clerk to work in our Corona Office. The Office Clerk will be responsible for filing, scheduling, data entry, obtaining supplies. Support the day-to-day operations and its departments toward the success of the organization. Requirements: Candidate must be organized, have excellent written and verbal communication skills. Must have basic computer skills. This is a great foot in the door into the fascinating construction industry and learn all the sections of what goes on behind the scenes of the plumbing industry. Bilingual is a plus. Responsibilities include the following: ¨ Answer phones and greet office visitors ¨ Create reports and data entry into various applications. ¨ Gather contract documents, assemble file folders and store for compliance ¨ Data entry & tracking into company database and several software programs ¨ Safety paperwork and implementation ¨ Collect and audit 1st aid kits and fire extinguishers ¨ Inventory of office supplies, safety PPE and tools tracking ¨ Maintain all kitchen and restroom goods are always replenished. ¨ Pull city license and maintain current records ¨ Participate in the coordination and tasks of company events, meetings, or celebrations ¨ Collect mail correspondence, sort, and distribute within departments. Shipping of any external mailings. ¨ Recruit and screen for field personnel of job openings ¨ All related special projects or duties assigned by management or business demands. Click the link to find out more about Cantoni Plumbing: www.cantoniplumbing.com Schedule: M-Thurs, 8 a.m. -4:30 p.m., Fri, 7:30 a.m. -4 p.m. Benefits of working at Cantoni Plumbing, Inc: * Competitive hourly rate. We know your time and hard work is valuable. * Vacation and sick time. * 401K with company match. * Exceptional Health/Dental/Vision Insurance Benefits for you and your immediate family * Paid Life Insurance * Employee Referral Bonus * Monday - Friday regular work schedule * Opportunities for career development and advancement within the same company. Let us help you reach your goals within your career. Cantoni Plumbing, is an equal opportunity employer. We do not discriminate in hiring or employment against any individual on the basis of race, color, gender, national origin, ancestry, religion, physical or mental disability, age veteran status, sexual orientation, gender identity or expression, marital status, pregnancy, citizenship, or any other factor protected by anti-discriminatory laws. Company Description Commercial & Light Industrial Plumbing Subcontractor who specializes in : Laboratories, Medical Facilities, Office Buildings, Food Industry, and Tilt-ups.




Commercial & Light Industrial Plumbing Subcontractor who specializes in : Laboratories, Medical Facilities, Office Buildings, Food Industry, and Tilt-ups.
Show less "
5,Engineering and Information Technology,Civil Engineering,Entry level,"FWH Associates is seeking a civil engineer to join our engineering team in Toms River, NJ. Workload will include residential, commercial, and institutional projects. You will work on various aspects of land development including site feasibility, storm water management, grading and drainage design, utility design, soil erosion, sediment control, roadway design and more. You may also work on permitting research, due diligence, application, and reports. Company Description FWH Associates delivers innovative solutions for residential and commercial projects, from initial investigations to full-scale design and execution. FWH also has a company Principal who oversees operations in each major discipline. We do not outsource or delegate our supervisory functions, ensuring that you receive better performance and the personal touch that only in-house company professionals can provide. FWH Associates offers a multi-disciplinary approach to clients with a full range of engineering, architectural, landscape architectural and environmental services.




FWH Associates delivers innovative solutions for residential and commercial projects, from initial investigations to full-scale design and execution. FWH also has a company Principal who oversees operations in each major discipline. We do not outsource or delegate our supervisory functions, ensuring that you receive better performance and the personal touch that only in-house company professionals can provide. FWH Associates offers a multi-disciplinary approach to clients with a full range of engineering, architectural, landscape architectural and environmental services.
Show less "
6,Management and Manufacturing,Construction,Entry level,"Interested in an outstanding opportunity to become part of a team with a stellar reputation as a community engaged Employer of Choice?

Established in 1905, Consigli has grown over the last 100 years from a local fourth generation family business into one of the largest construction managers and general contractors in the Northeast and Mid-Atlantic regions. In 2018, we transitioned to 100-percent employee-ownership.

Nationally ranked as one of Forbes Best Midsize Employers in 2021 and 2022 and as one of the Best Places to Work by the Boston Globe, the Washington Post, the Hartford Business Journal, and MaineBiz, our culture draws raw talent from college interns to seasoned veterans with substantial years of experience in their field. We credit empowerment, innovation and “thinking great” for our continual growth and success. Most important, we are thankful for our employees and are proud to have one of the most exciting project portfolios in the business.

Assistant Superintendent

The Assistant Superintendent will assist the Superintendent with managing all construction activities on the project site while ensuring compliance with contract documents including the internal policies and procedures related to the project. This role will help administer and monitor the project safety program; perform daily job site walks and manage select self-perform labor and subcontractor operations to ensure work is completed in accordance with quality standards.

Required Skills

Assistant Superintendents with daily on-site supervision of large commercial construction projects to assure projects are developing according to plans, budgets, and schedules.
Understands building plans and specifications.
Communicating daily with subcontractors, general laborers, clients, owners, etc.
Daily management of construction traders and subcontractors.
Safety standards checks and constant enforcement of safety standards.
Self-starter with ability to set goals and tasks with strong leadership skills.

Required Experience

Bachelors’ degree in Construction Management with 0-3 years’ experience in the construction industry or related fields.
Prior professional experience (internship or full time work) strongly preferred.
Strong interest in Field Operations and on-site management within a construction setting required.
Knowledge of safety standards preferred.
Strong leadership skills with the ability to set goals and meet deadlines.

An Affirmative Action / Equal Opportunity Employer

Consigli provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.
Show less "
7,Marketing and Sales,Civil Engineering,Mid-Senior level,"Clymer Farner Barley, Inc (CFB) is looking for a Marketing, Social Media and Recruiting Manager to provide support to our growing company with minimal supervision. The ideal candidate will support the company mission, policies, practices, procedures, and exhibit a commitment to excellence and collaboration. This person must be able to prioritize, handle sensitive information with confidentiality and meet deadlines. The ideal candidate will be innovative, committed, and use independent judgment to organize a diversified workload. Essential Functions * Oversee the company website including handling updates and additional content. * Oversee the company google accounts. * Oversee the company's LinkedIn and Instagram accounts. * Create and manage a social media content calendar to ensure it aligns with current marketing, recruiting, and company brand. * Create marketing material for new business and recruiting needs. * Build relationships with current and prospective clients and teaming partners. * Maintain marketing inventory for company anniversaries, marketing, and recruiting events. * Work in conjunction with HR to plan for and attend recruiting events and career fairs. * Build relationships with recruiting sources such as high schools, colleges/universities, and vocational schools. * Follow up with potential employees. * Plan company quarterly events. Benefits: * Competitive Salary * Health Insurance (100% employer paid) * Paid Time Off * 7 Paid Holidays * Long Term Disability (100% employer paid) * Life Insurance Policy (100% employer paid) * Villages Charter School Eligible * 401(K) with 4% match Company Description Clymer Farner Barley, Inc is an Engineering, Surveying, and GIS firm with offices in Wildwood, Ocala, and Clearwater.




Clymer Farner Barley, Inc is an Engineering, Surveying, and GIS firm with offices in Wildwood, Ocala, and Clearwater.
Show less "
8,Management and Manufacturing,Construction,Entry level,"YONKERS CONTRACTING COMPANY has an immediate opening for a Scheduler with 7+ years' experience creating detailed project schedules in Oracle P6 for mid and large scale industrial, mechanical, commercial and transit projects, as well as experience with heavy, highway, bridge, and civil projects. Summary: This position is responsible for developing and maintaining detailed construction schedules for mid to large scale construction projects, including but not limited to bridges, highways, airports, railways, and rail stations, treatment and processing plants, including building structures, pump stations, power substations and dams. Key responsibilities include: * Develop and maintain critical path schedules in P6, Including the development of bid, and baseline schedules, and the performance of periodic schedule updates in accordance with the owner/client specifications. * Articulate and review the schedules with the project team * Monitor and update construction progress in the schedule, identify, track and assist in the resolution of construction issues/conflicts. * Responsible for creating cost and resource loaded schedules by gathering and validating data and incorporating the data into the project schedules. * In addition to being responsible for scheduling/update analysis reports, the scheduler will be expected to prepare and articulate clear and concise narratives reports in accordance to owner and/or contract requirements. * Perform delay analyses including time impact, and contemporaneous analyses as well as lost productivity analyses. * Preform and assist in the development, preparation and writing of claims and time extension requests. Essential Qualifications: * Proficiency with Primavera P6 * Must have an extensive understanding of the development and maintenance of detailed construction schedules, inclusive of the entire construction process from procurement, construction, close-out, equipment, installation, and commissioning activities. * The qualified candidate must have an understanding and the ability to apply engineering, procurement, and construction terminology, concepts and relationships. * Must be able to read and interpret construction plans, and documents * Experience working on Projects for such or similar agencies as the New York State DOT, Connecticut DOT, New York State Thruway Authority, Westchester County, New York City Authorities and Agencies, Port Authority and Port Authority Divisions, Triborough Bridge and Tunnel Authority, Tri-State Area Transit Agencies, and New Jersey public agencies * Microsoft Office (Excel/Word a must) and comfortable learning new systems * Excellent problem solving, communication, time management and organizations skills * Ability to multi-task, and be a self-starter * Function effectively as part of a team * Degree in Engineering/Civil Engineering or Construction Management and background in construction required. A background in civil, and heavy construction preferred * Must be fully vaccinated for COVID-19 as defined by the CDC and state health authorities Additional Knowledge and Skills (Preferred) * Ø Building Information Modeling (BIM) * Ø Revit * Ø Portfolio Physical Demands Include but are not limited to : * Close visual acuity to perform activity such as: reading construction plans, preparing and analyzing data and figures * Pre-Construction walk-through * Occasional travel to and from job sites, must be able to walk a construction site which includes a variety of physical conditions such as proximity to moving mechanical parts, moving vehicles, electrical current, scaffolding and high places. Company Description ABOUT US Yonkers Contracting Company (Yonkers) is a general contractor focused on building infrastructure projects for public and private clients. A well-established construction organization, Yonkers possesses the technical, financial, and managerial strength built over seventy five years of continuous operation. Our core business lines encompass highways, bridges, rail, transit, water/wastewater and energy/environmental projects, and commercial developments. Yonkers works within all project delivery frameworks, including general contracting and design-build. Bringing the best solution to meet the specific project needs comes from experience. Yonkers' breadth of experience -from simple to complex and small to large projects - enables us to match construction methods and technologies to each project's objectives. Yonkers has a proven ability to lead multi-faceted teams to complete complex projects on aggressive schedules. Yonkers' solution-focused experience combined with our sizable equipment fleet creates the synergy that results in quality projects, delivered on-time and on-budget safely. Yonkers Contracting Company, Inc. (the ""Company"") is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, gender, gender identity




ABOUT US Yonkers Contracting Company (Yonkers) is a general contractor focused on building infrastructure projects for public and private clients. A well-established construction organization, Yonkers possesses the technical, financial, and managerial strength built over seventy five years of continuous operation. Our core business lines encompass highways, bridges, rail, transit, water/wastewater and energy/environmental projects, and commercial developments. Yonkers works within all project delivery frameworks, including general contracting and design-build. Bringing the best solution to meet the specific project needs comes from experience. Yonkers’ breadth of experience –from simple to complex and small to large projects – enables us to match construction methods and technologies to each project’s objectives. Yonkers has a proven ability to lead multi-faceted teams to complete complex projects on aggressive schedules. Yonkers’ solution-focused experience combined with our sizable equipment fleet creates the synergy that results in quality projects, delivered on-time and on-budget safely. Yonkers Contracting Company, Inc. (the “Company”) is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, creed, religion, sex, sexual orientation, gender, gender identity, age, national origin, ethnicity, citizenship status, alienage, marital or partnership status, familial status, caregiver status, pregnancy and related medical conditions, status as a veteran or active military service member, disability, predisposing genetic characteristics, genetic information, status as a victim of domestic violence, sexual violence, or stalking, credit history, salary history, unemployment status, protected political activities, or any other characteristic protected by federal, state, or local law, and the Company follows the requirements of applicable law with regard to non-discrimination on the basis of prior criminal conviction and prior arrest. Equal Opportunity Employer – minorities/females/veterans/individuals with disabilities/sexual orientation/gender identity
Show less "
9,"Design, Art/Creative, and Information Technology",Construction,Entry level,"MOSAIC Design + Build is a growing residential design and remodeling firm looking for just the right candidate to join our award-winning team. Candidate must be a team player looking for a career rather than a job. Ideal candidate will be a good fit with our current team and interested in providing only the highest quality work product. Interested candidates will learn about residential construction through mentorship and jobsite exposure. Job Description: * Assist with the development of competent and creative 2D and 3D design for presentations to the Client. * Measure existing spaces, documenting plans and 3d spaces accurately. Make accurate notes, records, sketches and measurements as needed at these meetings. * Prepare plans, elevations and 3-D renderings to company standards as required by project objectives and appropriate to the design phase in process. * Prepare design revisions and assist in pricing exercises with lead Architectural Designer according to company protocol. * Prepare or assist in preparation of construction drawings and work with the Lead Architectural Designer to integrate them into the project Construction Package. * Communicate and work with/assist Clients during project construction as needed. * Assist Designers with the purchasing of finish materials for construction projects. * Work with Designers on the maintenance of design software, design billings, and design protocols. * Schedule and organize Trade Site Visits to assist with Trade walk-throughs and understanding of each project. * Attend industry events as appropriate to networking and advancement of knowledge as it improves company design performance and enhances MOSAIC'S position in the industry and community. When agreed upon, MOSAIC shall provide partial or full funding for these activities. * Attend and participate in company meetings and maintain a 360-degree view of MOSAIC activities. * Visit jobsites during construction as appropriate to stay in touch with the lifespan of MOSAIC projects and to connect with production staff and activities. * Pursue industry continuing education and certification opportunities with the assistance of MOSAIC as approved. Company Description MOSAIC Design + Build is a very collaborative company where everyone is on the same team working toward shared goals. Our work is process oriented, creative and of high quality. We take care of one another, our clients and trade partners.




MOSAIC Design + Build is a very collaborative company where everyone is on the same team working toward shared goals. Our work is process oriented, creative and of high quality. We take care of one another, our clients and trade partners.
Show less "
