,Job Function,Industry,Job Description
0,Finance and Sales,Banking,"Job Details




Description




SUMMARY: Processes a variety of customer transactions at a teller window. Recognizes customer needs and recommends products, services, or assistance of other bank employees or departments, to consistently deliver a superior level of customer service.




ESSENTIAL DUTIES and RESPONSIBILITIES include, but are not limited to the following:




Strong knowledge of bank products and services, with the ability to recognize customer needs, and cross-sell bank products.
Participate in bank’s referral program, and utilizes any applicable technology and/or programs to effectively show results
Operate and balance a terminal and cash drawer daily.
Accept and process the following transactions: savings, checking, and Holiday Savings account, loan payments, SDB rental payments, sells money orders/official checks, and any type of cash withdrawal.
Accept checks for cashing in accordance to FNB check handling procedures
Participate and successfully complete all required training courses.
Willingness to be flexible with a strong desire to create a work environment conducive to teamwork.
Willingness to perform additional branch duties and responsibilities, outside the realm of processing transactions.
Handle all cash, customer transactions, and customer information in accordance with FNB Security Policy and Procedures.
Flexibility with work schedules to accommodate branch staffing requirements in order to service needs, in addition to working in multiple branches within a district
Maintain a position of trust and responsibility by keeping all customer business and personal information confidential
Accept responsibilities and projects as assigned by a supervisor to add value for Farmers National Bank
Must be able to work in a team environment, in a positive manner, with coworkers and the public
Complete all mandatory and elective training, including BSA (Bank Secrecy Act) and Anti-Money Laundering procedures. Maintain compliance with all appropriate rules and regulations.
Regular, predictable attendance is an essential requirement of this position
Other duties as assigned




EDUCATION And/or EXPERIENCE




High School diploma or General Education degree (GED)
Proven cash handling experience
Must possess basic computer skills and knowledge, use a calculator, typewriter, phone, fax machine, and other office equipment.
Customer service and/or sales experience on any level.




Farmers National Banc Corp. is an Equal Opportunity Employer: disability/veteran
Show less "
1,Finance and Sales,Banking,"Job Details




Description




SUMMARY: Processes a variety of customer transactions at a teller window. Recognizes customer needs and recommends products, services, or assistance of other bank employees or departments, to consistently deliver a superior level of customer service.




ESSENTIAL DUTIES and RESPONSIBILITIES include, but are not limited to the following:




Strong knowledge of bank products and services, with the ability to recognize customer needs, and cross-sell bank products.
Participate in bank’s referral program, and utilizes any applicable technology and/or programs to effectively show results
Operate and balance a terminal and cash drawer daily.
Accept and process the following transactions: savings, checking, and Holiday Savings account, loan payments, SDB rental payments, sells money orders/official checks, and any type of cash withdrawal.
Accept checks for cashing in accordance to FNB check handling procedures
Participate and successfully complete all required training courses.
Willingness to be flexible with a strong desire to create a work environment conducive to teamwork.
Willingness to perform additional branch duties and responsibilities, outside the realm of processing transactions.
Handle all cash, customer transactions, and customer information in accordance with FNB Security Policy and Procedures.
Flexibility with work schedules to accommodate branch staffing requirements in order to service needs, in addition to working in multiple branches within a district
Maintain a position of trust and responsibility by keeping all customer business and personal information confidential
Accept responsibilities and projects as assigned by a supervisor to add value for Farmers National Bank
Must be able to work in a team environment, in a positive manner, with coworkers and the public
Complete all mandatory and elective training, including BSA (Bank Secrecy Act) and Anti-Money Laundering procedures. Maintain compliance with all appropriate rules and regulations.
Regular, predictable attendance is an essential requirement of this position
Other duties as assigned




EDUCATION And/or EXPERIENCE




High School diploma or General Education degree (GED)
Proven cash handling experience
Must possess basic computer skills and knowledge, use a calculator, typewriter, phone, fax machine, and other office equipment.
Customer service and/or sales experience on any level.




Farmers National Banc Corp. is an Equal Opportunity Employer: disability/veteran
Show less "
2,Finance and Sales,Banking,"Job Details




Description




SUMMARY: Processes a variety of customer transactions at a teller window. Recognizes customer needs and recommends products, services, or assistance of other bank employees or departments, to consistently deliver a superior level of customer service.




ESSENTIAL DUTIES and RESPONSIBILITIES include, but are not limited to the following:




Strong knowledge of bank products and services, with the ability to recognize customer needs, and cross-sell bank products.
Participate in bank’s referral program, and utilizes any applicable technology and/or programs to effectively show results
Will be expected to meet specific referral goals on a weekly, monthly, quarterly and/or yearly basis
Operate and balance a terminal and cash drawer daily.
Accept and process the following transactions: savings, checking, and Holiday Savings account, loan payments, SDB rental payments, sells money orders/official checks, and any type of cash withdrawal.
Accept checks for cashing in accordance to FNB check handling procedures
Participate and successfully complete all required training courses.
Willingness to be flexible with a strong desire to create a work environment conducive to teamwork.
Assist with various duties associated with money shipments/orders, etc.
Willingness to perform additional branch duties and responsibilities, outside the realm of processing transactions.
Handle all cash, customer transactions, and customer information in accordance with FNB Security Policy and Procedures.
Motivation to make outbound sales calls to current and prospective clients.
Flexibility with work schedules to accommodate branch staffing requirements in order to service needs
Maintain a position of trust and responsibility by keeping all customer business and personal information confidential
Accept responsibilities and projects as assigned by a supervisor to add value for Farmers National Bank
Must be able to work in a team environment, in a positive manner, with coworkers and the public
Other duties as assigned




EDUCATION And/or EXPERIENCE




High School diploma or General Education degree (GED)
Proven cash handling experience
Must possess basic computer skills and knowledge, use a calculator, typewriter, phone, fax machine, and other office equipment.
Customer service and/or sales experience on any level.




Farmers National Banc Corp. is an Equal Opportunity Employer: disability/veteran
Show less "
3,Finance and Sales,Banking,"Job Details




Description




SUMMARY: Processes a variety of customer transactions at a teller window. Recognizes customer needs and recommends products, services, or assistance of other bank employees or departments, to consistently deliver a superior level of customer service.




ESSENTIAL DUTIES and RESPONSIBILITIES include, but are not limited to the following:




Strong knowledge of bank products and services, with the ability to recognize customer needs, and cross-sell bank products.
Participate in bank’s referral program, and utilizes any applicable technology and/or programs to effectively show results
Operate and balance a terminal and cash drawer daily.
Accept and process the following transactions: savings, checking, and Holiday Savings account, loan payments, SDB rental payments, sells money orders/official checks, and any type of cash withdrawal.
Accept checks for cashing in accordance to FNB check handling procedures
Participate and successfully complete all required training courses.
Willingness to be flexible with a strong desire to create a work environment conducive to teamwork.
Willingness to perform additional branch duties and responsibilities, outside the realm of processing transactions.
Handle all cash, customer transactions, and customer information in accordance with FNB Security Policy and Procedures.
Flexibility with work schedules to accommodate branch staffing requirements in order to service needs, in addition to working in multiple branches within a district
Maintain a position of trust and responsibility by keeping all customer business and personal information confidential
Accept responsibilities and projects as assigned by a supervisor to add value for Farmers National Bank
Must be able to work in a team environment, in a positive manner, with coworkers and the public
Complete all mandatory and elective training, including BSA (Bank Secrecy Act) and Anti-Money Laundering procedures. Maintain compliance with all appropriate rules and regulations.
Regular, predictable attendance is an essential requirement of this position
Other duties as assigned




EDUCATION And/or EXPERIENCE




High School diploma or General Education degree (GED)
Proven cash handling experience
Must possess basic computer skills and knowledge, use a calculator, typewriter, phone, fax machine, and other office equipment.
Customer service and/or sales experience on any level.




Farmers National Banc Corp. is an Equal Opportunity Employer: disability/veteran
Show less "
4,Finance and Sales,Banking,"Job Details




Description




SUMMARY: Processes a variety of customer transactions at a teller window. Recognizes customer needs and recommends products, services, or assistance of other bank employees or departments, to consistently deliver a superior level of customer service.




ESSENTIAL DUTIES and RESPONSIBILITIES include, but are not limited to the following:




Strong knowledge of bank products and services, with the ability to recognize customer needs, and cross-sell bank products.
Participate in bank’s referral program, and utilizes any applicable technology and/or programs to effectively show results
Operate and balance a terminal and cash drawer daily.
Accept and process the following transactions: savings, checking, and Holiday Savings account, loan payments, SDB rental payments, sells money orders/official checks, and any type of cash withdrawal.
Accept checks for cashing in accordance to FNB check handling procedures
Participate and successfully complete all required training courses.
Willingness to be flexible with a strong desire to create a work environment conducive to teamwork.
Willingness to perform additional branch duties and responsibilities, outside the realm of processing transactions.
Handle all cash, customer transactions, and customer information in accordance with FNB Security Policy and Procedures.
Flexibility with work schedules to accommodate branch staffing requirements in order to service needs, in addition to working in multiple branches within a district
Maintain a position of trust and responsibility by keeping all customer business and personal information confidential
Accept responsibilities and projects as assigned by a supervisor to add value for Farmers National Bank
Must be able to work in a team environment, in a positive manner, with coworkers and the public
Complete all mandatory and elective training, including BSA (Bank Secrecy Act) and Anti-Money Laundering procedures. Maintain compliance with all appropriate rules and regulations.
Regular, predictable attendance is an essential requirement of this position
Other duties as assigned




EDUCATION And/or EXPERIENCE




High School diploma or General Education degree (GED)
Proven cash handling experience
Must possess basic computer skills and knowledge, use a calculator, typewriter, phone, fax machine, and other office equipment.
Customer service and/or sales experience on any level.




Farmers National Banc Corp. is an Equal Opportunity Employer: disability/veteran
Show less "
5,Finance and Sales,Banking,"Job Details




Description




SUMMARY: Processes a variety of customer transactions at a teller window. Recognizes customer needs and recommends products, services, or assistance of other bank employees or departments, to consistently deliver a superior level of customer service.




ESSENTIAL DUTIES and RESPONSIBILITIES include, but are not limited to the following:




Strong knowledge of bank products and services, with the ability to recognize customer needs, and cross-sell bank products.
Participate in bank’s referral program, and utilizes any applicable technology and/or programs to effectively show results
Operate and balance a terminal and cash drawer daily.
Accept and process the following transactions: savings, checking, and Holiday Savings account, loan payments, SDB rental payments, sells money orders/official checks, and any type of cash withdrawal.
Accept checks for cashing in accordance to FNB check handling procedures
Participate and successfully complete all required training courses.
Willingness to be flexible with a strong desire to create a work environment conducive to teamwork.
Willingness to perform additional branch duties and responsibilities, outside the realm of processing transactions.
Handle all cash, customer transactions, and customer information in accordance with FNB Security Policy and Procedures.
Flexibility with work schedules to accommodate branch staffing requirements in order to service needs, in addition to working in multiple branches within a district
Maintain a position of trust and responsibility by keeping all customer business and personal information confidential
Accept responsibilities and projects as assigned by a supervisor to add value for Farmers National Bank
Must be able to work in a team environment, in a positive manner, with coworkers and the public
Complete all mandatory and elective training, including BSA (Bank Secrecy Act) and Anti-Money Laundering procedures. Maintain compliance with all appropriate rules and regulations.
Regular, predictable attendance is an essential requirement of this position
Other duties as assigned




EDUCATION And/or EXPERIENCE




High School diploma or General Education degree (GED)
Proven cash handling experience
Must possess basic computer skills and knowledge, use a calculator, typewriter, phone, fax machine, and other office equipment.
Customer service and/or sales experience on any level.




Farmers National Banc Corp. is an Equal Opportunity Employer: disability/veteran
Show less "
6,Finance and Sales,Banking,"Job Details




Description




SUMMARY: Processes a variety of customer transactions at a teller window. Recognizes customer needs and recommends products, services, or assistance of other bank employees or departments, to consistently deliver a superior level of customer service.




ESSENTIAL DUTIES and RESPONSIBILITIES include, but are not limited to the following:




Strong knowledge of bank products and services, with the ability to recognize customer needs, and cross-sell bank products.
Participate in bank’s referral program, and utilizes any applicable technology and/or programs to effectively show results
Will be expected to meet specific referral goals on a weekly, monthly, quarterly and/or yearly basis
Operate and balance a terminal and cash drawer daily.
Accept and process the following transactions: savings, checking, and Holiday Savings account, loan payments, SDB rental payments, sells money orders/official checks, and any type of cash withdrawal.
Accept checks for cashing in accordance to FNB check handling procedures
Participate and successfully complete all required training courses.
Willingness to be flexible with a strong desire to create a work environment conducive to teamwork.
Assist with various duties associated with money shipments/orders, etc.
Willingness to perform additional branch duties and responsibilities, outside the realm of processing transactions.
Handle all cash, customer transactions, and customer information in accordance with FNB Security Policy and Procedures.
Motivation to make outbound sales calls to current and prospective clients.
Flexibility with work schedules to accommodate branch staffing requirements in order to service needs
Maintain a position of trust and responsibility by keeping all customer business and personal information confidential
Accept responsibilities and projects as assigned by a supervisor to add value for Farmers National Bank
Must be able to work in a team environment, in a positive manner, with coworkers and the public
Other duties as assigned




EDUCATION And/or EXPERIENCE




High School diploma or General Education degree (GED)
Proven cash handling experience
Must possess basic computer skills and knowledge, use a calculator, typewriter, phone, fax machine, and other office equipment.
Customer service and/or sales experience on any level.




Farmers National Banc Corp. is an Equal Opportunity Employer: disability/veteran
Show less "
7,Finance and Sales,Banking,"Job Details




Description




SUMMARY: Processes a variety of customer transactions at a teller window. Recognizes customer needs and recommends products, services, or assistance of other bank employees or departments, to consistently deliver a superior level of customer service.




ESSENTIAL DUTIES and RESPONSIBILITIES include, but are not limited to the following:




Strong knowledge of bank products and services, with the ability to recognize customer needs, and cross-sell bank products.
Participate in bank’s referral program, and utilizes any applicable technology and/or programs to effectively show results
Will be expected to meet specific referral goals on a weekly, monthly, quarterly and/or yearly basis
Operate and balance a terminal and cash drawer daily.
Accept and process the following transactions: savings, checking, and Holiday Savings account, loan payments, SDB rental payments, sells money orders/official checks, and any type of cash withdrawal.
Accept checks for cashing in accordance to FNB check handling procedures
Participate and successfully complete all required training courses.
Willingness to be flexible with a strong desire to create a work environment conducive to teamwork.
Ability to prepare money shipments/cash orders/ manifest, etc.
Willingness to perform additional branch duties and responsibilities, outside the realm of processing transactions.
Handle all cash, customer transactions, and customer information in accordance with FNB Security Policy and Procedures.
Motivation to make outbound sales calls to current and prospective clients.
Flexibility with work schedules to accommodate branch staffing requirements in order to service needs
Maintain a position of trust and responsibility by keeping all customer business and personal information confidential
Accept responsibilities and projects as assigned by a supervisor to add value for Farmers National Bank
Must be able to work in a team environment, in a positive manner, with coworkers and the public
Ability to open and close the branch following proper security procedures
Authorization to sign official checks and CD’s, not to exceed $25,000 and to complete teller overrides.
Complete all mandatory and elective training, including BSA (Bank Secrecy Act) and Anti-Money Laundering procedures. Maintain compliance with all appropriate rules and regulations.
Regular, predictable attendance is an essential requirement of this position
Other duties as assigned




EDUCATION And/or EXPERIENCE




High School diploma or General Education degree (GED)
Minimum of one (1) year experience as a bank teller and proven cash handling experience (Three (3) years’ experience as a bank teller highly preferred)
Above average teller with the ability to accept and give exceptions; reasoning and problem solving skills and the desire to oversee and assist others
Supervisory and sales experience highly preferred
Must possess basic computer skills and knowledge, use a calculator, typewriter, phone, fax machine, and other office equipment.




Farmers National Banc Corp. is an Equal Opportunity Employer: disability/veteran
Show less "
8,Project Management and Administrative,Banking,"About Us: Piermont Bank is a tech-enabled digital commercial bank founded in 2019 to change the face and pace of banking. It provides an unprecedented experience that blends the best of banking and agile Fintechs. At Piermont, we are purpose-driven, focused on creating and delivering banking products relevant to today’s digital economy. We are the go-to Bank for the SMBs, including Commercial Real Estate and the fintech ecosystem. For more information, visit www.piermontbank.com.




We are seeking an Executive Assistant/Project Manager to be a proactive business partner to our CEO and Founder while scheduling meetings; reviewing documents, prioritizing deliverables, responding to emails; answering and returning phone calls; organizing documents; maintaining records; taking notes at meetings, and any other administrative tasks that help the executive perform their job. Serve as a liaison between the CEO and clients, and internal partners.




As an Executive Assistant/Project Manager supporting the Founder and CEO, you will be playing a primary role in the efficient organization and operation of Piermont Bank!




About the Role:

Providing onsite and virtual administrative support for CEO, including managing and maintaining calendar, booking rooms and resources, preparing materials, coordinating logistics for speaking engagements, and reporting expenses.
Establish production pipeline meetings, weekly one-on-ones with the CEO’s direct reports, monthly and quarterly meetings with senior executives, the Board of Directors, meetings with Regulators (FDIC, DFS), External auditors, and meeting materials submission.
Coordinate and plan all aspects of the logistical organization of Senior Leadership Meetings, conferences, and all-hands town halls: develop agendas and materials.
Scheduling and coordinating agenda and logistics for complex external client and partner meetings involving executives from multiple organizations, including coordinating catering and room setup needs and being the onsite coordinator for events.
Maintaining calendar and daily schedules in a proactive, forward-thinking fashion for the supported executive.
Working under specific direction and independently to fulfill and anticipate scheduling and workflow needs for the supported executive.
Greeting guests of the supported executives, including business partners, and interviewing candidates.
Assisting in the creation, formatting, and distribution of agendas, PowerPoint presentations, capturing notes and key takeaways, and other materials for both internal and external meetings
Supporting the creation of written communications and campaigns, including newsletters, business updates, employee recognition, and other.
Lead and coordinate all projects across the various departments, acting as the point of contact and ensure all projects and responsible parties stay on the outlined timeline.
Assistance with specific team project work, reporting as needed.




About You:

Bachelor’s Degree or equivalent work experience.
At least five years of experience in an administrative role in an office environment.
Excellent organizational skills with keen attention to detail.
Strong time-management skills and an ability to organize and coordinate multiple concurrent projects from start to finish.
Excellent written and verbal communication skills.
Advanced proficiency with Microsoft Office Suite (Outlook, Word, PowerPoint, Excel, and Teams).
Ability to multitask, prioritize, adapt to change, and work well in an entrepreneurial environment.
Hard-working and reliable.




The hiring range for this position is $70,000 to $110,000 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s job-related knowledge, skills, and experience, among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered.




Piermont Bank is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. We do not discriminate based upon race, religion, color, national origin, political affiliation, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability or other applicable legally protected characteristics.

Show less "
9,Other,Banking,"Call Center Representative




Remote Capable - ability to be remote will be based on training completion and performance.




Part-Time- 20-29/hrs/week




Starting salary - $17.77 to $22/hour, actual rate will depend on experience.




Who Are We?




AmeriCU is a not-for-profit credit union based in Rome, NY with assets in excess of $2.5 Billion and serving a membership base of over 150,000 members across Central New York, the United States, and beyond. For 70+ years we have been committed to our members, our employees, and our communities. In 2022 we were once again recognized as one of the Best Companies to Work for in New York State, and most recently AmeriCU has once again been recognized as one of the Best Credit Union’s in America by Forbes. This year, only 3.4% of all credit unions earned the recognition of being a best-in-state credit union. In New York, 4 credit unions qualified for the honor - AmeriCU is #2 in NYS.




The Position




AmeriCU Credit Union is in search of a Call Center Representative who aligns directly with our mission to provide our members with the right financial services to live life, dream big, and achieve financial success, and our vision to be the most admired organization in every community we serve. You will serve members by determining requirements; answering inquires; resolve problems; fulfilling requests; maintaining member account data. Manage and expand relationships with members and potential members by providing professional and quality member service and sales that meets or exceeds member expectations. Demonstrate clear verbal and written communication via; telephone, email, chat, and/or video chat.




What You’ll Do




As a Call Center Representative your primary responsibilities will include:




Manage a high volume of inbound/outbound calls in a timely manner.
Determine requirements by working with member or businesses.
Answer inquiries by listening and clarifying desired information; research, locate and provide information.
Resolve problems by clarifying issues and exploring answers and alternative solutions; implement solution. Seek assistance from supervisor and/or other division specialists as needed and maintain contact then reply to the members in a timely manner. “Own it and see it through.”
Fulfill requests by clarifying desired information; complete transactions; forward requests.
Process loan applications and open accounts over the phone; provide loan decisions to member. Maintain thorough knowledge of the underwriting guidelines and procedures.
Build sustainable relationships and engage members by providing a superior level of service and support.
Maintain knowledge of and adhere to all applicable compliance/operational risk controls in accordance with credit union or regulatory standards and policies, with particular attention to the Bank Secrecy Act, (BSC) and the SAFE Act.




Come grow with us!




In Addition, We Offer The Following Benefits




Whether you are just starting out or have been working in your field already, we offer opportunities for growth and advancement. It is our goal to hire employees who will provide exceptional service to our members and who value giving back and supporting the communities we serve.




Competitive rates on our Medical, Dental and Vision plans




Generous contribution to your Health Savings Account, if you choose to enroll in one of AmeriCU’s High Deductible Health plans




Paid Holidays




Paid Time off – Vacation, Personal or Sick and Birthday




Employee Appreciation Events




401(k) Matching after 1 year of employment




Employee Assistance Program




Tuition Reimbursement for Full-time employees after 1 year of employment




Life Insurance & Accidental Death & Dismemberment Insurance, free to all Full-time employees




Enhanced Short Term Disability – at no cost to you!




Get to know us more by clinking on the links below. See why YOU should choose AmeriCU!




https://www.americu.org/in-our-community/




https://www.americu.org/why-americu/
Show less "
