Job Title,Company Name,Date,Job Link
People and Culture Manager,Equal Justice USA,4/3/23,https://www.linkedin.com/jobs/view/people-and-culture-manager-at-equal-justice-usa-3552404522?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=aftdyYtFDgj5TPVZLh%2B0kA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Media and Communications Coordinator II,City of Virginia Beach,3/28/23,https://www.linkedin.com/jobs/view/media-and-communications-coordinator-ii-at-city-of-virginia-beach-3555364926?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=2XU%2B%2Bax6ZMPi%2FHtEXkAQmA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
C. E. A.,California Department of Conservation,3/10/23,https://www.linkedin.com/jobs/view/c-e-a-at-california-department-of-conservation-3518681247?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=pmDheKr6wWXOYEnKNRDEGw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Administrative Officer,USDA,3/16/23,https://www.linkedin.com/jobs/view/administrative-officer-at-usda-3532988497?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=4cKuY6EvonT4R7cVEzd2rw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
C. E. A.,California Department of Conservation,3/10/23,https://www.linkedin.com/jobs/view/c-e-a-at-california-department-of-conservation-3518680684?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=0DGyxzMahNuGVP0gFcDR6g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
CRIMINAL INTELLIGENCE ANALYST,City of Chicago,3/26/23,https://www.linkedin.com/jobs/view/criminal-intelligence-analyst-at-city-of-chicago-3552247175?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=phqcYabKq4HF1YJI2kpF9g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Media Assistant/Associate,The Encompass Group,4/3/23,https://www.linkedin.com/jobs/view/media-assistant-associate-at-the-encompass-group-3548423326?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=J8VcDP2957bFXCVVcd9Ciw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Secretary I,State of Nebraska,2/18/23,https://www.linkedin.com/jobs/view/secretary-i-at-state-of-nebraska-3529245564?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=x%2F2hO5k0XpPoSEOnNyLQWg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Secretary.,"US Army, Test & Evaluation Command",2/13/23,https://www.linkedin.com/jobs/view/secretary-at-us-army-test-evaluation-command-3517053120?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=EOg0qWNdxzA2VDoi73kxhA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Communications Intern,City of Philadelphia,3/17/23,https://www.linkedin.com/jobs/view/communications-intern-at-city-of-philadelphia-3525765480?refId=24HLIY2eNqakD63xVtt0Gw%3D%3D&trackingId=OWdpcdv96klL8m9z%2F%2B%2Bc4g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
