Job Title,Company Name,Date,Job Link
Senior Administrative Assistant - Remote,UnitedHealthcare,4/4/23,https://www.linkedin.com/jobs/view/senior-administrative-assistant-remote-at-unitedhealthcare-3556914269?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=%2BABGiwpOhInTA8OnvnG6tg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Customer Experience Program and Training Manager,"Destination Pet, LLC",4/4/23,https://www.linkedin.com/jobs/view/customer-experience-program-and-training-manager-at-destination-pet-llc-3556948438?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=sxNFGUuPUHYDzegVARkWdQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Director of Patient Experience,"YuzuYello, an IPG Health Company",4/4/23,https://www.linkedin.com/jobs/view/director-of-patient-experience-at-yuzuyello-an-ipg-health-company-3556947738?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=CGbqw68zKkcGw%2BLxSN30QQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Quality Assurance Analyst - Remote,Lifepoint Health®,4/4/23,https://www.linkedin.com/jobs/view/quality-assurance-analyst-remote-at-lifepoint-health%C2%AE-3556894470?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=ddoRBUKk4DwrOepo49Tzzw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Patient Coordinator,CooperSurgical,4/4/23,https://www.linkedin.com/jobs/view/patient-coordinator-at-coopersurgical-3556917203?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=GwS%2F4U5DlX5aiFGubvkiDg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Patient Services Specialist (Remote),HealthMark Group,4/4/23,https://www.linkedin.com/jobs/view/patient-services-specialist-remote-at-healthmark-group-3556674299?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=JSL4kMmGhaK8Bj%2BKqtetUw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
"85670 - Talent Acquisition Partner- Non-Clinical (Personnel Representative), HR Operations/Gotham",NYC Health + Hospitals,4/4/23,https://www.linkedin.com/jobs/view/85670-talent-acquisition-partner-non-clinical-personnel-representative-hr-operations-gotham-at-nyc-health-%2B-hospitals-3556840320?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=P7icJimiMMhhPcdG84AVug%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Supervisor Customer Service - National Remote,UnitedHealth Group,4/4/23,https://www.linkedin.com/jobs/view/supervisor-customer-service-national-remote-at-unitedhealth-group-3556911443?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=%2BUF8b7m4lxiEk4PR7iNcgw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Director of Training - Fully Remote,Center for Social Dynamics,4/4/23,https://www.linkedin.com/jobs/view/director-of-training-fully-remote-at-center-for-social-dynamics-3556912878?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=F5wd0U%2BeN0%2BToMVcp2HGAA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Project Manager,University of Maryland Medical System,4/4/23,https://www.linkedin.com/jobs/view/project-manager-at-university-of-maryland-medical-system-3556818780?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=BcGMD%2FVx2EqNd%2FYUqRBNQw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Director of Onboarding,Steer Health,3/20/23,https://www.linkedin.com/jobs/view/director-of-onboarding-at-steer-health-3556901744?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=Cem9IODuMto%2Bpfyg%2BNGJ0A%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Remote Coder III - Inpatient - Part Time 24 Hours,Physicians Regional Healthcare System,3/10/23,https://www.linkedin.com/jobs/view/remote-coder-iii-inpatient-part-time-24-hours-at-physicians-regional-healthcare-system-3556857090?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=RP4f3b4Zeif1HXwlMJxBjA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Recruiter - Remote (West Coast Preferred),"Surgery Partners, Inc",3/16/23,https://www.linkedin.com/jobs/view/recruiter-remote-west-coast-preferred-at-surgery-partners-inc-3556909905?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=96d41zLN18WPIoedciof4g%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Mental Health Tech - Training Provided $21 - $25 / HR,Maxim Healthcare Services (Home Care),4/3/23,https://www.linkedin.com/jobs/view/mental-health-tech-training-provided-%2421-%2425-hr-at-maxim-healthcare-services-home-care-3556848806?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=88X%2BUfY%2BtZmyCbcP8bHyOg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Healthcare Recruiter,Maxim Healthcare Services (Home Care),4/4/23,https://www.linkedin.com/jobs/view/healthcare-recruiter-at-maxim-healthcare-services-home-care-3556897533?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=R3x0q0xQkkgXGNFiNYv8bA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Customer Service Agent - Starting at $17.00/hour - Remote,Prime Therapeutics,4/4/23,https://www.linkedin.com/jobs/view/customer-service-agent-starting-at-%2417-00-hour-remote-at-prime-therapeutics-3556864896?refId=04Pp6X3VGCbG8NNiUs8uIQ%3D%3D&trackingId=GuH9gBoWJyyZcom2Gmh4ow%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
