,Job Function,Industry,Seniority,Job Description
0,Human Resources,Telecommunications,Entry level,"Brief Description

The HR Administrator will support a variety of Human Resource functions within the HR department. This position will act as a point of contact for both employees and managers who reach out to HR via email or phone with questions related to HR & Benefits. This position will perform administrative duties such as maintaining employee files and other HR paperwork, data entry, file maintenance, planning functions, assisting with travel plans, etc.

ESSENTIAL DUTIES & RESPONSIBILITIES include the following; other duties may be assigned:

Serves as the first point of contact for employees with questions, issues, suggestions or concerns.
Assist in managing HR Inbox and answers basic policy questions and requests for information regarding benefits and pay; escalates more complex questions and issues to the HR Team as appropriate
Participates in HR projects and initiatives
Assists HR Team in hosting virtual hiring events
Coordinates and assists in communication of employee events
Assists with day-to-day operations of HR functions and duties
Assists with updating and communicating HR policies and procedures, such as employee handbook.
Assist in the collection of new hire paperwork as well as required benefit documentation
Hosts virtual weekly new employee orientation.
Assists in offer letter creation, background check ordering, and tracking of the new hire process
Helps maintain organization for the HR team: filing, updating documents & other informational resources as needed
Assist with benefit billing and reconciliation such as pet insurance
Other duties as assigned


Requirements

Associate degree in HR-related field required, Bachelor’s preferred
1 year of experience in administrative human resources role desired but not required; or a combination of education and experience
Ability to handle multiple tasks simultaneously while delivering continuous results
Ability to maintain the accuracy, integrity, and confidentiality of sensitive company and employee data
Strong attention to detail
Superior organization, prioritizing, and self-motivation skills
Strong computer skills with the Microsoft Office Suite including Excel
Prior experience and familiarity with HR systems, ie: HRIS database and Applicant Tracking System
Strong verbal, written, and interpersonal communication skills
General knowledge of employment laws and practices
Proven record of dependability and reliability; Ability to work independently with general direction
Ability to utilize good judgment


KGPCo is an Equal Opportunity Employer – M/F/Veteran/Disability/Sexual Orientation/Gender Identity
Show less "
1,Human Resources,Telecommunications,Mid-Senior level,"Job Summary

The main goal of this position is to facilitate classroom learning, team meetings, and on-line sessions through a variety of delivery methods. This is an entry level position that requires 1 year of training experience and up to 3 years of experience in the functional area or business unit.

Major Duties And Responsibilities

Facilitate learning to develop participants' skill sets. This includes classroom instruction, team meetings, and on-line Learning debriefs

Manage the classroom and participants during training by tracking attendance, addressing inappropriate behavior and documenting performance, both strengths and development needs

Perform all administrative duties including class and lab preparation, schedule administration, and participant record maintenance (e.g., test scores, evaluations and attendance)

Perform all LMS prerequisite requirements and post-training duties including evaluation

Follow facilitator guide to lead learners through appropriate activities, discussions and debriefs

With support of facilitator guide, provide feedback to learners to aid with knowledge transfer and behavior change

Pursue development opportunities focused facilitation, learner engagement and classroom management excellence

Shadow training end-users to gain deeper understanding of how training translates in the business

Coach learners on specific skills within a role, process or system

Perform other duties as requested

Required Qualifications

Required Skills/Abilities and Knowledge

Ability to read, write, speak and understand English

Critical thinking and analytical skills

Ability to prioritize and organize effectively

Ability to communicate orally and in writing in a clear and straightforward manner

Ability to communicate with all levels of management and company personnel

Ability to deal with the public in a professional manner

Ability to effectively utilize Microsoft Office applications (Word, Excel, PowerPoint, Outlook)

Familiarity with different learning approaches

Feels comfortable presenting/training groups of individuals online and in person

Required Education

Associate’s degree or equivalent combination of training and/or work experience

Required Related Work Experience And Number Of Years

Training delivery experience in a formal or informal setting - 1

Experience or equivalent in the functional area and or business unit - 3

WORKING CONDITIONS

Office environment

HTR313 327039 327039BR


Show less "
2,"Marketing, Public Relations, and Writing/Editing",Telecommunications,Entry level,"Location: RemoteJob Type: ContractCompensation Range: $38 - 48 per hourWe are seeking a highly creative and talented Copywriter to join our client's team!As Copywriter, you will be responsible for producing compelling and engaging content for various mediums, including but not limited to websites, social media, email campaigns, advertisements, and print materials.

This role will work closely with the marketing team to develop and execute effective marketing campaigns that promote our brand and drive engagement. Responsibilities:Develop and write clear, concise, and creative copy for a variety of mediums.Collaborate with the marketing team to develop and execute effective marketing campaigns.Conduct research and stay up-to-date with industry trends to inform content creation.Edit and proofread copy to ensure accuracy, clarity, and consistency.Manage multiple projects simultaneously and meet deadlines.Contribute to brainstorming and strategy sessions to develop innovative ideas.Understand and adhere to brand guidelines and tone of voice.Participate in the development and implementation of SEO strategies.

Qualifications

Bachelor's degree in English, Journalism, Communications, Marketing, or related field.3+ years of experience as a copywriter or in a related role.Strong portfolio showcasing a variety of written work across multiple mediumm.Excellent written and verbal communication skills.Ability to collaborate with cross-functional teams and manage multiple projects simultaneously.Proficient in Microsoft Office and Google Suite.Familiarity with SEO best practices and web analytics tools.Attention to detail and ability to deliver high-quality work under tight deadlines.Skills:Content DevelopmentEditingWritingBloggingInteractive/Web Copywriter (3 years of experience is preferred) JOBID: 1001531 Opportunity Employer: Race, Color, Religion, Sex, Sexual Orientation, Gender Identity, National Origin, Age, Genetic Information, Disability, Protected Veteran Status, or any other legally protected group status.At Cella, we welcome people of all abilities and want to ensure that our hiring and interview process meets the needs of all applicants.

If you require a reasonable accommodation to make your application or interview experience a great one, please contact HRsupport@randstadusa.com.Pay offered to a successful candidate will be based on several factors including the candidate's education, work experience, work location, specific job duties, certifications, etc.

In addition, Randstad offers a comprehensive benefits package, including health, an incentive and recognition program, and 401K contribution (all benefits are based on eligibility).

For certain assignments, Covid-19 vaccination and/or testing may be required by Cella's client or applicable federal mandate, subject to approved medical or religious accommodations.

Carefully review the job posting for details on vaccine/testing requirements or ask your Cella representative for more information.PandoLogic. Keywords: Copywriter, Location: Cherry Hill, NJ - 08002


Show less "
3,Human Resources,Telecommunications,Mid-Senior level,"At Altaeros, our mission is to connect people, machines and data, no matter where in the world they are located. We leverage cutting edge autonomy and advanced aerospace technology to build the most effective aerial platform available. Our SuperTowers are used to deliver high speed, low-cost broadband to underserved communities, build IIoT networks to monitor industrial sites or crop health, provide an elevated vantage point for first responders fighting wildfires or other natural disasters, and any number of other applications. With our first products shipping in 2021, we are thrilled for you to join the Altaeros team during this exciting phase of growth. As People Operations Manager you will be responsible for overseeing the end-to-end employee experience at Altaeros. In this role you will have significant influence on people-related best practices, as well as short-term and long-term people strategies. Our work environment is fast-paced and dynamic, with an emphasis on collaboration; we work together to find solutions to solve some of the world's biggest challenges, and we like to have fun while doing it. At Altaeros, we believe you do your best work when you are trusted to operate with a high level of respect, initiative and personal responsibility. Our team members enjoy a highly flexible work schedule. Compensation includes salary, equity, and great benefits including unlimited paid time off, health, dental and life insurance, as well as 401k. Within your first 6 months you will: * Lead full-cycle recruitment efforts * Payroll and Administration: run bi-monthly payroll utilizing strong attention to detail and excel skills, track leaves of absences and time off programs, maintain employee records, etc. * Benefits & Compensation: create, update, and manage competitive benefits and compensation processes * Handle all employee onboarding and offboarding * Revamp our annual review process with an eye towards professional development and our company values * Collaborate with leadership to develop employment policies and practices that reflect company culture and legal regulations * Partner with managers and executive team on internal relations matters and resolutions * Employee Engagement and Relations: foster high levels of retention and strong psychological safety by remaining a trusted and levelheaded resource to all members of the team while demonstrating integrity and creativity * Work cross functionally with stakeholders including finance, IT, legal, marketing, operations, safety, and engineering Qualifications: * 3+ years of experience in People Operations * Demonstrable experience across People Operations functional areas including employee engagement, employee relations, training and development, performance management, compliance, payroll and benefits * Self-motivating, highly organized and detail-oriented; you can handle multiple projects and dynamic priorities without missing a beat * Solid understanding of employment laws and compliance * High level of integrity and confidentiality; you will be the confidant to members of our team * A ""Startup Attitude"": quick learner, passionate, nimble, and adaptable- you get creative when the answer is not obvious Company Description Altaeros strives to build a diverse, inclusive environment, where everyone is proud to bring their full selves to bear on the problems we are tackling, regardless of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability. We value the diversity of perspectives that comes with a diverse team, and encourage applications from candidates of all identities and backgrounds, including those who are traditionally underrepresented in technology startups.




Altaeros strives to build a diverse, inclusive environment, where everyone is proud to bring their full selves to bear on the problems we are tackling, regardless of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability. We value the diversity of perspectives that comes with a diverse team, and encourage applications from candidates of all identities and backgrounds, including those who are traditionally underrepresented in technology startups.
Show less "
4,Human Resources,Telecommunications,Mid-Senior level,"Job Description




Carrollton Cable Training Manager




The training manager designs, plans, and implements plant training programs, policies, and procedures with the Safety, Operations, Continuous Improvement, and Human Resources, and Safety teams. Research new training techniques and suggest enhancements to existing training programs to meet the current or changing needs of the organization.




Minimum Education Required




Bachelor’s degree in business, human resources, or education




Minimum Experience Required




5 years in training and development or human resources environment




ADDITIONAL QUALIFICATIONS: (Preferred qualifications)




Training and Development Certification
Experience with Learning Management System’s (LMS)




Key Responsibilities




Mapping out and delivering training plans and schedules, designing and developing training programs (outsourced or in-house) including represented workforce review periods.
Choosing appropriate training methods per case (virtual, simulated, mentoring, on the job training, professional development classes, etc.)
Marketing available training opportunities to management and providing necessary information.
Map out annual training plans for management, HR, customer support and operations
Conduct organization-wide training needs assessment and identify skills or knowledge gaps that need to be addressed.
Design educational aids and materials
Assess instructional effectiveness and determine the impact of training on employee skills and KPIs.
Manage and maintain in-house training facilities and equipment.
Manages subordinate staff in the day-to-day performance of their roles.
Ensures that project/department milestones/goals are met and adhering to approved budget and logged into WAVE.
Manages all training records for ISO compliance.
SME for plant training records for audits.




Knowledge, Skills, Abilities




Proven ability to complete full training cycle (assess needs, plan, develop, coordinate, monitor and evaluate)
MS Office proficiency
Advanced organizational skills with the ability to handle multiple assignments
Strong written and verbal communication skills
Strong presentation skill
Works well under pressure
Ability to maintain confidentiality
Ability to collaborate with all levels of an organization
Show less "
5,Administrative,Telecommunications,Entry level,"We are seeking an Administrative Assistant to join our team! You will perform clerical and administrative functions in order to drive company success. Responsibilities:




Draft correspondences and other formal documents
Plan and schedule appointments and events
Greet and assist onsite guests
Answer inbound telephone calls
Develop and implement organized filing systems
Perform all other office tasks Qualifications:
Previous experience in office administration or other related fields
Ability to prioritize and multitask
Excellent written and verbal communication skills
Strong attention to detail
Strong organizational skills
Show less "
6,Education and Training,Telecommunications,Mid-Senior level,"Description

Position Location(s): You may be based remotely near any of Astound's major markets including San Marcos, TX, Chicago, IL, Lehigh Valley, PA, Princeton, NJ, Massachusetts, New York, Portland and Woodburn, OR, Seattle and Bothell, WA, Sacramento and Rocklin, CA. If you possess the right skills, we might be open to hiring remotely in other areas nationally as well.

Travel: Yes, up to 20% to market offices and/or field visits

Astound Broadband, the sixth-largest telecommunications provider in the United States, is a leading supplier of cutting-edge technology and communications services-and applicants like you make it all possible. To develop your career, we provide one-on-one training and coaching, a supportive work environment and the opportunity to represent a superior telecommunications company.

Additionally, we offer a robust benefits package, including rewards, recognition and employee discounts to ensure your continued success. With us, you'll stay empowered to do your best work by creating astounding possibilities for local communities and beyond.

Position Overview

Astound Broadband is currently searching for a Trainer and Curriculum Consultant! Reporting to the Sr. Manager of Learning and Development, you will identify opportunities around leadership skills, sales, product, etc., and implementing training solutions to address these areas utilizing a variety of delivery methods (i.e. face-to-face, e-learning, webinars, etc.). You will become the go-to person for learning and development in your markets, while also supporting national compliance and DE&I initiatives.

A Day in the Life of the Trainer and Curriculum Consultant:

Collaborate with stakeholders to identify gaps and develop targeted training
Act as a consultant and make recommendations on internal and external training initiatives in accordance with the Company's Leaders as Teachers program
Produce and implement leadership development plans including but not limited to coaching, classroom training, mentorship, etc.
Develop and deliver Residential and Business Services training and design curriculums and content in partnership with SMEs across the organization
Select the most appropriate training strategies by leveraging a variety of learning platforms, e.g., virtual, classroom, e-learning, etc.
Calculate the costs and benefits of training programs & analyze ROI
Design, develop and deliver corporate- and Market-wide business solutions and compliance training
Create E-learning courses on variety of technical/soft skills topics for delivery through the Learning Management System
Coach Subject Matter Experts (SMEs) on course development and presentation delivery skills
Application of adult learning theory and instructional design processes (ADDIE)
Maintain class documentation, including registration, evaluations, and feedback via LMS
Position will have up to 20% travel to our local field markets to provide training
Perform other duties as assigned by the Senior Manager

What You Bring To The Table

5+ years of direct training and facilitation experience (i.e: sales/technical/leadership)
Experience developing training for classroom, virtual, and online
Excellent written and oral communications skills
Excellent presentation, project management, and organizational skills a must
ATD Training Certificate a plus
Proficiency with Microsoft Office Suite and ability to learn new programs
Must have the ability to communicate effectively with all levels in the organization
Must be able to work in a standard office environment and at field locations
Must have ability to operate standard office equipment

Education And Certifications

Bachelor's degree or equivalent experience

We're Proud To Offer a Comprehensive Benefits Package Including

Competitive compensation
401k with employer match and immediate vesting
Paid parental leave
Tuition reimbursement program
Employee discount program
Entrepreneurial yet established and growing organization where you can make a true impact!
And more!

The base salary range in WA, CA, CO and NY for this position is $75,000 - 90,000, plus opportunities for bonus and benefits, if applicable. The base pay range represents the low and high end of the hiring range for this job. Actual pay will vary and may be above or below the range based on various factors including but not limited to relevant skills, experience, and capabilities. It is specific to the states listed above and may not be applicable to other locations.

Diverse Workforce / EEO

Astound Broadband is proud to be an Equal Opportunity Employer. We embrace, support, and thrive on each other's differences to maximize the experience of our teammates and our community. We are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law.

The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 CFR 60-1.35(c)

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
Show less "
7,Education and Training,Telecommunications,Mid-Senior level,"Job Details

Description

Position Location(s): You may be based remotely near any of Astound's major markets including San Marcos, TX, Chicago, IL, Lehigh Valley, PA, Princeton, NJ, Massachusetts, New York, Portland and Woodburn, OR, Seattle and Bothell, WA, Sacramento and Rocklin, CA. If you possess the right skills, we might be open to hiring remotely in other areas nationally as well.

Travel: Yes, up to 20% to market offices and/or field visits

Astound Broadband, the sixth-largest telecommunications provider in the United States, is a leading supplier of cutting-edge technology and communications services—and applicants like you make it all possible. To develop your career, we provide one-on-one training and coaching, a supportive work environment and the opportunity to represent a superior telecommunications company.

Additionally, we offer a robust benefits package, including rewards, recognition and employee discounts to ensure your continued success. With us, you’ll stay empowered to do your best work by creating astounding possibilities for local communities and beyond.

Position Overview

Astound Broadband is currently searching for a Trainer and Curriculum Consultant! Reporting to the Sr. Manager of Learning and Development, you will identify opportunities around leadership skills, sales, product, etc., and implementing training solutions to address these areas utilizing a variety of delivery methods (i.e. face-to-face, e-learning, webinars, etc.). You will become the go-to person for learning and development in your markets, while also supporting national compliance and DE&I initiatives.

A Day in the Life of the Trainer and Curriculum Consultant:

Collaborate with stakeholders to identify gaps and develop targeted training
Act as a consultant and make recommendations on internal and external training initiatives in accordance with the Company's Leaders as Teachers program
Produce and implement leadership development plans including but not limited to coaching, classroom training, mentorship, etc.
Develop and deliver Residential and Business Services training and design curriculums and content in partnership with SMEs across the organization
Select the most appropriate training strategies by leveraging a variety of learning platforms, e.g., virtual, classroom, e-learning, etc.
Calculate the costs and benefits of training programs & analyze ROI
Design, develop and deliver corporate- and Market-wide business solutions and compliance training
Create E-learning courses on variety of technical/soft skills topics for delivery through the Learning Management System
Coach Subject Matter Experts (SMEs) on course development and presentation delivery skills
Application of adult learning theory and instructional design processes (ADDIE)
Maintain class documentation, including registration, evaluations, and feedback via LMS
Position will have up to 20% travel to our local field markets to provide training
Perform other duties as assigned by the Senior Manager

What You Bring To The Table

5+ years of direct training and facilitation experience (i.e: sales/technical/leadership)
Experience developing training for classroom, virtual, and online
Excellent written and oral communications skills
Excellent presentation, project management, and organizational skills a must
ATD Training Certificate a plus
Proficiency with Microsoft Office Suite and ability to learn new programs
Must have the ability to communicate effectively with all levels in the organization
Must be able to work in a standard office environment and at field locations
Must have ability to operate standard office equipment

Education And Certifications

Bachelor’s degree or equivalent experience

We're Proud To Offer a Comprehensive Benefits Package Including

Competitive compensation
401k with employer match and immediate vesting
Paid parental leave
Tuition reimbursement program
Employee discount program
Entrepreneurial yet established and growing organization where you can make a true impact!
And more!

The base salary range in WA, CA, CO and NY for this position is $75,000 - 90,000, plus opportunities for bonus and benefits, if applicable. The base pay range represents the low and high end of the hiring range for this job. Actual pay will vary and may be above or below the range based on various factors including but not limited to relevant skills, experience, and capabilities. It is specific to the states listed above and may not be applicable to other locations.

Diverse Workforce / EEO

Astound Broadband is proud to be an Equal Opportunity Employer. We embrace, support, and thrive on each other’s differences to maximize the experience of our teammates and our community. We are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law.

Qualifications

Skills

Behaviors

:

Motivations

:

Education

Experience

Licenses & Certifications

Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities

The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c)
Show less "
8,Administrative and General Business,Telecommunications,Associate,"A successful, rapidly growing telecom company located in Woodmere, NY is looking for an Executive Assistant to support the COO. The office has 60 employees and a positive culture. The dress code is casual – jeans OK. The role is in office Mon-Thurs and remote on Fridays. They are in the process of putting health benefits in place and will reimburse the cost of benefits until then.

About the Job:

¨ Screen incoming phone calls delivering detailed, timely messages to the appropriate parties

¨ Maintain an ever-changing calendar

¨ Prepare and maintain a master list of all clients

¨ Assist in the customer sales and ordering process

¨ Maintain a list of all vendors

¨ Schedule and organize meetings, including arranging meeting spaces, equipment, and refreshments

¨ Prepare reports using MS Office and other software programs

¨ Manage and maintain databases, spreadsheets, and other documents, ensuring accuracy and completeness of the information

¨ Organize and maintain filing systems, both electronic and paper-based.

¨ Process expense reports including tracking receipts, and reimbursements

¨ Maintain office supplies and equipment, ordering new supplies as needed

About You:

¨ Minimum of 2 years of experience in a related support position

¨ AA degree or higher from a college or university

¨ Excellent Microsoft Office skills (Word, Excel, PowerPoint and Outlook)

¨ CRM knowledge and experience a plus

¨ Ability to maintain confidentiality and discretion in handling sensitive information.

¨ Polished, professional demeanor

¨ Proactive go-getter; no task is too big or too small

¨ Outstanding communication skills

Salary, Benefits, Paid Vacation – Unlimited PTO

Show less "
9,"Design, Art/Creative, and Information Technology",Telecommunications,Entry level,"Position Summary

We are looking for a creative and energetic Production Artist to create and manage creative projects for our corporate marketing department. Your role will be to take on designs, ensure accuracy and prepare them for print or digital publication. To be successful in this position, you should combine strong creative and technical skills to format various images and illustrations. You should have an eye for detail, be a quick leaner and have good communication skills. Ultimately, you will ensure our print and digital designs meet high quality standards and fill in where needed. This position reports to our Corporate and Brand Marketing Manager.

Essential Functions

Reasonable Accommodations Statement

To perform this job successfully, an individual must be able to perform each essential function and basic duty satisfactorily. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions and basic duties.

Essential Functions Statement(s)

Collaborate closely with manager and designers
Assist design team with producing print, packaging, advertising, shipping and digital graphics
Make various formats of supplied artwork production-ready and resolve any artwork issues that arise during production
Print, cut, and mount projects as needed
Create and manipulate graphics through Adobe Creative Suite apps such as Illustrator, Photoshop, and InDesign
Use great design skills to develop sales materials, packaging, social media graphics, online image content, and corporate literature.
Review and proof graphic materials before the projects are marked as complete
Create PDFs for print and review
Assess project specifics and creating a final product that adheres to those requirements
Collaborate with the design team staff to define design goals
Following development timelines to ensure projects are completed on time.
Troubleshooting any problems with the design team and the printer.
Cataloging produced images and graphics for future projects.
Strong analytical skills, excellent verbal and written communication skills, and the ability to handle multiple projects in a fast-paced environment.
Staying up to date with new production techniques and trends through research and education.
Provide physical assistance on Photo Sessions when needed

Position Qualifications

Education

High School Graduate or General Education Degree (GED)
A Bachelor’s Degree in Design, Art, Marketing or other related positions is preferred
Significant course work in graphic design, print production, visual arts or a related field, along with an outstanding portfolio and experience that demonstrates clear knowledge of print production and design, may suffice in the absence of a degree

Experience

Two plus years of Graphic Design experience.
Two plus years of Adobe Photoshop experience.
Two plus years of Adobe Illustrator experience.
Two to four years related experience in a similar role preferred.
Proven work experience as a production artist, graphic designer, or similar.
Strong inherent knowledge of layout, color, grids, icons, typography, margins and proportion with the ability to apply all to your work.
A portfolio of completed graphics and designs.
In-depth knowledge of printing processes and software applications, including FlightCheck, Adobe Creative Suite, and MS Office.
Strong analytical, time management, and multitasking skills.
Experience with digital content, such as social media, online advertising, and email campaigns.
Excellent written and verbal communication skills.
Familiarity with wide format printers is preferred
Respond to critiques and changes with a positive attitude, then make revisions accurately and efficiently.

Computer Skills

Computer literate in a Microsoft Windows environment.
Adobe Creative suite (Photoshop, Illustrator, InDesign).
Basic level of experience using Microsoft Word. Must have the ability perform functions such as composing, editing, naming and saving documents, formatting text, and printing.
Basic level of experience using Microsoft Outlook. Must have the ability to perform functions such as composing, sending, forwarding and replying to incoming e-mail, attaching computerize files, and utilizing calendar and task reminders.
Basic level of experience using Internet Explorer or other web browsers. Must have the ability to perform functions such navigating through websites via hyperlinks and searching websites using various search engines and boomerang searches.
General knowledge of how to use a calculator, scanner, copy machine, fax machine, printer, telephone and various standard office equipment.

Other Requirements

Photography skills preferred but not required.
Primary language used to perform this job is English.
Proficiency in any foreign language such as Spanish and French is a plus.
Show less "
