,Job Function,Industry,Seniority,Job Description
0,Human Resources,Retail,Director,"Description




As a Fortune 50 company with more than 350,000 team members worldwide, Target is an iconic brand and one of America's leading retailers. Working at Target means the opportunity to help all families discover the joy of everyday life. Caring for our communities is woven into who we are, and we invest




in the places we collectively live, work and play. We prioritize relationships, fuel and develop talent by creating growth opportunities, and succeed as one Target team. At our core, our purpose is ingrained in who we are, what we value, and how we work. It’s how we care, grow, and win together.




Target Human Resources, Pay & Benefits, is well known for its signature ability to build the very best teams, and we infuse our work with Target’s distinctive retail brand by continuously experimenting, evolving and innovating. With the chance to positively impact over 350,000 people worldwide in our stores, distribution centers and headquarters, you’ll be a strategic partner to both the leaders and team members who elevate and nurture the Target guest experience. Our dynamic, passionate and responsive team comprises specialized people-professionals from several diverse disciplines. We operate behind the scenes to create a progressive culture of value, respect, reward and professional advancement. Working within Pay and Benefits you’ll provide expertise and support to ensure that Target continues to provide competitive compensation and benefit offerings that help us stand out in the sea of other places candidates can choose.




Your Responsibilities Include




Leads the Well-being team to assess current state and strategically design and implement an ecosystem of innovative well-being programs, policies and practices that reinforce our vision, honor our company values, and align to overall corporate/HR strategy to achieve our desired competitive position in the marketplace
Coaches, mentors, and inspires the team to take positive actions and accountability for their assigned work.
Maintains deep knowledge of the competitive benefits market landscape. Serves as a champion for innovation in the well-being space.
Designs innovative solutions by considering employee insights, external benchmarks, company values, and cost considerations.
Serves as the lead contact and partner for Benefits Brokers/Consultants and vendor partners to ensure the suite of offerings are crafted competitively and delivered efficiently and effectively with the highest levels of service.
Prepares annual budgets and assesses administrative costs and pricing of benefit programs and recommends cost containment strategies when necessary.
Uses data and analytics to continually monitor program and strategy effectiveness and proactively identifies areas for evolution, improvement or reinvestment
Partner with engagement/communications partners to develop tools and communication vehicles that increase engagement and understanding of well-being programs and the value they deliver to new and existing employees as well as external audiences
Work cross-functionally with appropriate teams to drive effective change management
Partner with peers across the organization to deliver well-being programs and position team to serve as the center of excellence for all employee well-being activities across Target




Knowledge And Skills You Bring To The Organization




8-10 years progressive HR benefits experience leading all aspects of benefits strategy, design, administration, and compliance in a fast-paced, high-growth environment
Proven experience translating vision into strategy for designing, implementing, managing, and measuring successful well-being programs
Proven experience executing against complex multi-year business plans
Demonstrated people management skills and experience in developing and growing talent
Proven ability to manage consultants to drive innovation, manage scope and reporting, and drive strategy development roadmaps and enterprise change management plans
Ability to work in a matrixed environment and influence stakeholders across the enterprise to achieve defined outcomes
Must possess organizational awareness and adeptness in maneuvering through complex stakeholder engagement plans
Excellent project management, presentation, and written communication skills
Ability to communicate complex topics effectively




This position may be considered for a Remote or Hybrid work arrangement based on Target’s needs.  A Hybrid work arrangement means the team members core role will be a blend of virtual and onsite at a Target location. A Remote work arrangement means the team member works full-time from home or an alternate location that’s not a Target location, does not have a desk at their primary HQ work location and may travel to HQ up to 4 times a year. Work duties cannot be performed outside of the country of the primary work location, unless otherwise prescribed by Target. The salary range is :$123,100.00 USD - $221,600.00 USD. Pay is based on several factors which may include, but are not limited to education, work experience, certifications, labor markets, etc. In addition to your salary, Target cares about and invests in you as a team member, so that you can take care of yourself and your family. Target offers eligible team members and their dependents comprehensive health benefits and programs, which may include medical, vision, dental, life insurance and more, to help you and your family take care of your whole selves. Other benefits for eligible team members include 401(k), employee discount, short term disability, long term disability, paid sick leave, paid national holidays, and paid vacation. Find competitive benefits from financial and education to well-being and beyond at https://corporate.target.com/careers/benefits.




Americans With Disabilities Act (ADA)




Target will provide reasonable accommodations (such as a qualified sign language interpreter or other personal assistance) with the application process upon your request as required to comply with applicable laws. If you have a disability and require assistance in this application process, please visit your nearest Target store or Distribution Center or reach out to Guest Services at 1-800-440-0680 for additional information.
Show less "
1,Human Resources,Alternative Medicine,Director,"Summary

The role of the Human Resources Coordinator is to support the Human Resources Team in the day-to day management of policy, processes and programs related to all facets of human resources.

Responsibilities:

· Payroll administration including review of timecards, payroll processing bi-weekly.

· HRIS administration – data entry of new hires, changing/updating existing employees’ information.

· Updating internal announcements via electronic employee communication system.

· Complete required paperwork and processes for cannabis agent registration.

· Provide clerical and administrative support to HR team in Michigan and other states.

· Conduct background checks and process agent applications as required by each state.

· Compile and update employee records

· Respond to 1st level employee questions regarding payroll, benefits, policies, etc.

· Generate various HR reports as needed.

· Performs other incidental and related duties as required and assigned.

Requirements/Experience/Education:

High School Diploma required; Bachelor’s Degree preferred.
Minimum 2- 3 years previous Human Resources experience required.
Minimum 2 years’ experience with payroll.
Ability to multi-task, prioritize and maintain confidentiality.
Well organized and self-directed individual; team player
Demonstrated capability to interface and maintain effective relationships with all employees.
Adept at handling sensitive employee relations matters.

Show less "
2,Other,Non-profit Organization Management,Director,"DEPARTMENT: Operations

REPORTS TO: Branch Director

Position Summary

Responsible for planning, directing, supervising and evaluating Club athletic programs to line up with, correspond to and support Area/Branch strategy.

KEY ROLES: (Essential Job Responsibilities)

Plans and oversees the administration of designated Clubhouse athletic programs and activities:

Establishes Clubhouse program objectives consistent with organizational goals and mission.
Oversee and at times demonstrate the provision of day-to-day program activities in accordance with established standards, goals, safety, and health requirements
Helps develop external partnerships within the sports, fitness, and recreation core area
Ensures that members are encouraged to participate in a variety of program areas/activities and receive instruction and constructive feedback to develop skills in programs area(s).
Demonstrates leadership to assure conduct, safety and development of members.
Ensure the evaluation of Club programs on a continual basis and ensures programs/activities respond to member needs and address their gender and cultural diversity.
Control Clubhouse athletic program and activity expenditures within approved budget and manage inventory
Increase visibility of Club athletic programs via posting of daily schedule, announcements of upcoming sporting events.
Other duties as assigned by Supervisor.

SKILLS/KNOWLEDGE REQUIRED: (Education, experience, skills required)

Four year degree from an accredited college or university or education/experience equivalency.
Minimum of five years’ work experience in a Boys and Girls Club or similar organization planning and supervising activities based on the developmental needs of young people, or equivalent experience.
MS Office and web competency.
Possess a valid driver’s license.
Training and experience in athletic activities (must be documented).
Current CPR and First Aid certifications.
Ability to supervise program assistants and make scheduling assignments.
Ability to coordinate multi-faceted athletic program of teaching skills, setting up intramural and summer camp teams.
Knowledge and skills in officiating team and individual sports and the ability to teach these skills to staff and members of all ages.

Physical Requirements/Work Environment

Ability to demonstrate athletic drills as it relates to various sports involving the children; ability to travel to various clubs; ability to lift at least 25 pounds; ability to move and demonstrate repetitive motion without assistance.

Bgcgw Statements

EEO

BGCGW is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.

COVID – 19

(UPDATED) 2022

Boys & Girls Clubs of Greater Washington has adopted a COVID-19 Mandatory Vaccination Policy to protect its employees, the children and youth we serve, their families, and our community.

The above statements are intended to describe the general nature and level of work being performed by the individual(s) assigned to this position. They are not intended to be an exhaustive list of all duties, responsibilities, and skills required. Management reserves the right to modify, add, or remove duties and to assign other duties as necessary. In addition, reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of this position.

12 PM-8 PM Monday-Friday School Year

9:30 AM-6:00 PM Monday-Friday Summer
Show less "
3,Supply Chain,Restaurants,Director,"WHO WE ARE

We’re not in the wing business. We’re in the flavor business. It’s been our mission to Serve the World Flavor since we first opened in 1994, and we’re just getting started. 1997 saw the opening of our first brand partner operated Wingstop location, and by 2002 we had served the world one billion wings. It’s flavor that defines us and has made Wingstop one of the fastest growing brands in the restaurant industry.

Above all else – our success is largely due to our people and our core values, or what we call The Wingstop Way of being entrepreneurial, service-minded, fun and authentic. We believe having a strong people foundation centered on these collective values creates a crave-worthy culture and talented team, as well as ensures our brand is poised for accelerated growth. We all win together.




YOUR IMPACT

Director of Supply Chain Management is a key member of the Wingstop SC Leadership team. This leader is the end-to-end Customer Supply Collaboration Director. Working directly with the 3rd party distribution partners, Category Managers, and Wingstop supply chain to develop end-to-end solutions to improve service and lower cost to serve. The purpose of the role is to execute the supply chain strategy and ensures execution to support the business objectives. Collaborates with stakeholders to identify and maintain resources to establish & provide an effective distribution network, best-in-class service, and logistics management support to supply chain. The Director of Supply Chain Management works with the Operations, Finance, and Category Teams to manage inbound logistics, distribution network planning, and act as Program Management Office (PMO) leader on strategic projects.







WHAT YOU’LL DO

Business Planning: Develop SC business plan (strategy, roadmap, and measurement) and ensure alignment with the Corporate Business Plan in order to achieve business objectives Communicate the agreed strategic initiatives to all SC and cross functional teams (Operations, Finance, et al) to build employee trust and support

Logistics: Replenishment, Transportation Procurement,

Inbound Transportation Planning & Execution, Warehouse Management, Supply Chain Intelligence

3rd Party Distribution Management: Evaluate adequacy and drive network optimization to match business growth aspirations for least landed cost.

Supply Chain PMO: PMO in a procurement organization to improve resource allocation and prioritization? More precisely regarding a Center of Excellence focusing on tools and processes of a procurement organization.

This work will bring consistent standards, tools and a common intake channel, while also allowing me to ensure activity is aligned to the most critical items on our roadmap

The role will be in charge of prioritizing and following up on all procurement projects, including saving program, Value Engineering (VE), alternative sources, and also tools and processes. Focusing on standardizing procedures, processes, systems, reporting, data structures, talent management etc. have specialist project managers who are deployed to deliver specific projects in different categories. Manage SC Technology Roadmap with IT teams to deploy best in class Supply Chain, Procurement, and advanced planning tools- Predictive Order Placing – generate suggested order.

National Sales Forecasting/Inventory Planning: Gather information and develop baseline of sales planning /forecasting to support the intelligent business decisions. Gather information, partner and translate demand planning to achieve regional inventory and logistics requirements

Supply Chain Planning: Manage inventory placement and cost of stocked raw material, work in process, and finished goods to minimize the inventory investment while still meeting the expectation of goods/material availability.

Develop internal distribution plan of finished goods to customers (key account, MTP, modern trade) to fulfill the sales goals set forth in your forecasts. Manage overall supply chain performance in defining performance measurement, gathering performance information, and analyzing the past performance to determine progress toward specific defined business objectives. Identify area for improvement, develop improvement program and monitor the implementation to increase process efficiency, cost effectiveness, or increase productivity

People Management: Manage subordinates and develop capability through setting and reviewing subordinates’ performance target, regular coaching and ensuring implementation of Performance Development Plan (PDP)

Business Improvement Prepare, monitor, control the annual team budget to ensure expenditure is in line with the Business Plan

Cost Management Prepare, monitor, control the annual team budget to ensure expenditure is in line with the Business Plan




ESSENTIAL SKILLS:

The key areas of my focus include:

- Driving growth and scaling supply chain

- Assembling high-performance teams

- Making Wingstop operationally efficient

- Defining and executing a Supply Chain plan

- Packaging, preparing and executing a capital strategy

- Background is made up of equal parts Supply Chain and Logistics, strategy and execution.




WHO YOU ARE

Min. bachelor’s degree from any disciplines
Min. 10 years of working experience in Supply chain, preferably from FMCG Company / Multinational Company. Of these, 5 years should be in senior manager level.




HUMBLE: You feel there is always opportunity to further your personal and professional growth.

HUNGRY: You have a fire in you to keep pursuing excellence. You have strong business knowledge and an analytical mindset, easily managing tasks and projects across business lines, experience managing/building teams, and building relationships with external vendors.

SMART: You have a high degree of emotional intelligence and a thirst for knowledge. You have the aptitude to work both independently and collaboratively, the talent to apply sound, strategic thinking and analysis to address a variety of business circumstances, and the capability to produce high-quality, detail-oriented work within a fast-paced environment.




A DAY IN THE LIFE

So, what does ‘all in a day’s work’ look like to a Wing Expert in this role? Your day could shape up somewhat like this:

Frequent use of a computer and other technology essential to the successful completion of your everyday role responsibilities, often in a seated position.
Routine need to shift priorities among simultaneous projects, while upholding quality and sense of urgency.
Frequent use of mental energy while expressing or exchanging ideas and information with cross-functional colleagues, Brand Partners, and extended Wingstop team.
Verbal, written and oral ability to deal independently with internal customers and external resources, including technical writing and presentation skills.
Frequent physical demands include sitting, standing, walking, lifting, pushing, pulling, stooping, and bending.

Wingstop provides equal opportunities for everyone that works for us and everyone that applies to join our team, without regard to sex or gender, gender identity, gender expression, age, race, religious creed, color, national origin, ancestry, pregnancy, physical or mental disability, medical condition, genetic information, marital status, sexual orientation, any service, past, present, or future, in the uniformed services of the United States (military or veteran status), or any other consideration protected by federal, state, or local law.

Show less "
4,Other,Non-profit Organizations,Director,"Community Veterinary Partners is looking for a Veterinarian to join our team as the Director of University Relations! The Director of University Relations is responsible for building and implementing programs that mutually benefit veterinary students, Community Veterinary Partners, and Veterinary University and Veterinary technology programs. The Director of University Relations will build relationships with key Universities, veterinary students, Community Veterinary Partners (CVP) support center, and our individual practices. By collaborating with universities and our partner hospitals students will gain direct exposure to the CVP network. This is a remote role with 15% travel to veterinary schools and CVP practices. Travel may be more frequent during the school year. ESSENTIAL DUTIES & RESPONSIBILITIES * Accurately represent CVP's mission of providing joy to families by providing the best possible care for the pets they love * Professionally and accurately portray the CVP brand and core values emphasizing the priorities of care and people * Assist in the development and oversight of University Engagement, Student Experience, and Mentorship Initiatives for CVP * Develop relationships with veterinary colleges and their students * Create, maintain, and oversee programs for veterinary students with a focus on student jobs, student ambassadors, veterinary externships, and distributive model CVM programs * Measure and monitor student participant program satisfaction * Develops and often delivers on-campus or virtual educational programs for students * Oversee and attend career events at CVMs/SVMs * Interviews, hires, and develops relationships with veterinary student ambassadors * Interviews, hires, and supports veterinary student colleagues * Lead development of programming and support for veterinary technology programs which mirrors opportunities available for veterinary students * Partners with Regional Directors, lead DVMs and hospital teams to foster a culture of turning veterinary learners into CVP veterinary practitioners and leaders * Assist in the development and implementation of mentorship programs within CVP * Provide mentorship to those most recent to the veterinary profession * Participate in budget development as it relates to the CVP University Relations Initiative * Partner with Recruiting to build a future hire database and facilitate seamless communication between potential veterinary team members and CVP hospitals * Collaborate with Operations and HR to identify and communicate hiring trends within the industry * Enhance the veterinary industry knowledge of the CVP Support Center, as needed * Collaborate with Marketing to develop CVP materials and initiatives that accurately reflect veterinary student programs and the veterinary industry at large * Participate and present at leadership calls, including monthly CVP support leadership calls, quarterly Lead Veterinarian calls, every other week Ops calls, and weekly Cross-Functional Team meetings. * Attend regional Practice Manager meetings, as needed PREFERRED EDUCATION & EXPERIENCE The ideal candidate for this position will have been in a veterinary practice leadership position and have had experience working with veterinary educational institutions. A Doctor of Veterinary Medicine (DVM) degree, or the equivalent, from an accredited University. Community Veterinary Partners. is committed to equal opportunity in employment. It is the Company's policy that equal employment opportunity be provided without regard to age, race, color, sex, religion, national origin, sexual orientation, disability, covered veteran status, or any other status protected by law Company Description CVP's mission is to bring joy to families by providing the best care possible for the pets they love. We know that when veterinary professionals have what they need to thrive, pets thrive too. That's what CVP is all about: building a community that provides extraordinary care for all its members, no matter how many legs (or wings) they may have. CVP knows what's important to people and making sure they have what they need so they can focus on delivering great care is our priority. At the end of the day, we're more than just pet people. We're pet people people. More information is available at www.cvpco.com.




CVP's mission is to bring joy to families by providing the best care possible for the pets they love. We know that when veterinary professionals have what they need to thrive, pets thrive too. That’s what CVP is all about: building a community that provides extraordinary care for all its members, no matter how many legs (or wings) they may have. CVP knows what's important to people and making sure they have what they need so they can focus on delivering great care is our priority. At the end of the day, we’re more than just pet people. We’re pet people people. More information is available at www.cvpco.com.
Show less "
5,Management and Manufacturing,Shipbuilding,Director,"Must relocate to Vonore, TN! General Description of Position: The Director of Manufacturing has leadership responsibility for the boat manufacturing plant and all associated activities. Duties include schedule and budget attainment, managing and evaluating the performance and skills of direct reports, setting goals, training and continuous improvement in the following areas: Lean manufacturing, process control, Kaizen, value streams, safety, operational efficiencies. Develops recommendations for capital expenditures, ensures manufacturing data and metrics are accurately developed, collected, analyzed and reported to drive continuous improvement. Oversees hiring, training, performance management, and provides leadership and coaching to ensure a well-trained, motivated and goal-oriented work force. Duties:




Directs the activities of all manufacturing operations
Monitors and controls manufacturing budgetary expenditures in areas of responsibility
Reviews operations and works with others to resolve production and processing problems
Recommends and coordinates procedures for facility and equipment maintenance or modification, including the replacement of machines
Supervises Production Managers in areas of scheduling, productivity, efficiency and employee safety
Promotes and demonstrates workplace safety
Supports and drives continuous improvement
Ensures that all environmental policies are to be enforced Education & Work Experience: Bachelor's degree in Engineering, Business or related field of study and demonstrated successful management experience in a manufacturing environment, preferably at an original equipment manufacturer (OEM) level. Experience in cost reduction, Lean manufacturing principles, design for manufacturability, project management and team building. Must be a consensus builder with the ability to work across departmental boundaries to solve problems and accomplish organizational goals. Excellent written and verbal communication skills are required. Must be able to work in a team atmosphere along with the ability to hold staff accountable and set appropriate targets. Key attributes include the following:
Master Motivator
Problem Solver
Process Thinker
Great Communicator
Employee Advocate Environmental Conditions: Works in both office and plant environment. Office environment has controlled temperature, humidity and noise levels. Plant environment varies with outside temperature and noise levels vary in different production areas. Effective near vision or near vision accommodation is required. Talking and hearing are required. Minimal bending, stooping, walking, and stair climbing are required as is lifting items of moderate weight. MasterCraft quality standards and safety rules and regulations are mandatory. Travel: Minimal travel required.
Show less "
6,Education and Training,Education Administration Programs,Director,"23-24 School Year Opening




POSITION TITLE: Assistant Principal




CONTRACT: 210 Days




QUALIFICATIONS: The successful candidate will have an active Alabama educational administrator certificate and minimum three years experience as a classroom teacher.




REPORTS TO: Principal




JOB GOALS: To serve as the professional assistant leader of the school. To work, under the direction of the principal, with staff, students, and community to ensure a high-quality educational program.




Performance Responsibilities




Assists in providing effective leadership in planning, developing, implementing, and evaluating the instructional program.
Assists in interpreting and implementing Individualized Education Plans, essential federal and state laws/regulations, local board policies, school safety plans, and assessments that influence instructional outcomes.
Prepares and analyzes student data (ex, Student Incident Reports (SIR, parental involvement, audits.) and assists with social-emotional learning, student behavior and discipline plans.
Assists the principal in personnel functions including, but not limited to: annual employee evaluations, classroom observations/walkthroughs, staffing, planning professional development needs, and progressive discipline.
Assists the principal in securing, maintaining, and managing material resources.
Assists in developing and adherence to continuous improvement plans.
Assists the principal in assuming responsibility for scheduling.
Assists in ensuring that students receive appropriate placement and services.
Plans and accomplishes personal professional growth and demonstrates professional ethics.
Demonstrates proficiency in written and oral communication.
Assists in providing professional growth opportunities for staff.
Assists in communicating and clarifying the school's mission to students, staff, and community.
Assists in providing a safe, orderly environment that facilitates teaching and learning.
Assists in providing a climate of high expectations for staff and students.
Assists in other areas as assigned by principal.




Reports To Elementary School Principal




Job Posting Link i3academy.bamboohr.com/careers/5




Job Attachment View Attachment
Show less "
7,Management and Manufacturing,Education Administration Programs,Director,"See Attached Vacancy Notice And Job Description




Start Date July 1,2023




Duty Days 250




Reports To Superintendent




Salary Range: From/To Salary will be paid based on the Board approved maintenance salary schedule with a supervisor supplement




Additional Job Information




See Attached Vacancy Notice And Job Description




Job Attachment View Attachment
Show less "
8,"Manufacturing, Engineering, and Business Development","Appliances, Electrical, and Electronics Manufacturing, Transportation, Logistics, Supply Chain and Storage, and Wholesale Import and Export",Director,"Do you have international work experience? Are you from another country and are looking to succeed in the states? A growing industry leader is looking for leaders to have an impact on a global expansion. This is an opportunity to pave your own way and define your future in a newly created position that will reward your language experience while testing your leadership skills. Quit worrying about career stability and receive the recognition you deserve while leading a highly functioning team that will reward you for your contributions.




If you have the following, we want to hear from you:

The ability to work both internationally and in the US.
P&L experience
Foreign language skills
Proven track record of leadership experience
The ability to travel internationally for work
Dual citizenship is a strong plus.




Some benefits to you:

Industry leading compensation: ranging from $200,000 to $500,000 commensurate with seniority, work history, and skillset.
Comprehensive benefits: industry leading medical, dental, vision, and life insurance plus extensive perks.
Extensive growth potential. This is an international expansion where you will be able to put your stamp of ownership on a growing operation.




Preferred qualification:

15+ years of leadership experience
5+ years of managing P&L
A background in operations, logistics, supply chain, or manufacturing




Job Summary:

A U.S. based, industry leader is expanding its manufacturing operations in multiple regions, internationally. This is an opportunity to be responsible for the operational success of this expansion in manufacturing and logistics. This is an opportunity to put your stamp of ownership on a growing operation. If you have strong language skills, have at least a US Green Card, and retain international citizenship or work permits, this is an opportunity to explore.




All qualified applicants will receive consideration for employment without regard to the individual's race, color, sex, national origin, religion, age, disability, and genetic information, status as a military veteran or any other characteristic protected by applicable law.

Show less "
9,Other,Non-profit Organization Management,Director,"REPOST******** Previous applicants need not apply. Your application is under consideration JOB TITLE:

Director of People & Culture

DEPARTMENT: People and Culture REPORTS TO: Chief People and Culture Officer Salary Range: $130,000 - $150,000. FLSA: Exempt About the Center The Center for NYC Neighborhoods (the “Center”) promotes and protects affordable homeownership in New York so that middle- and working-class families are able to build strong, thriving communities. Established by public and private partners, the Center meets the diverse needs of homeowners throughout New York State by offering free, high-quality housing services. The Center’s current projects support our policy goals and help to keep homeownership affordable by responding to the ongoing effects of the foreclosure crisis, the rising cost of homeownership, predatory scams, rising sea levels, and more extreme weather. Position Summary Reporting to the Chief People and Culture Officer, the Director of People and Culture will conduct strategic and tactical human resources functions, as well as oversight of the Center’s day-to-day administrative functions which include Information Technology, Office Management, and Facilities. This position will work closely with senior management to develop the Center’s people and culture strategy and improve HR processes. This person will be responsible for administrative and human resources topics, including talent and performance management, ensuring compliance with Federal, State and local regulations, and collaborating with senior management on best employment practices. The successful candidate will be an experienced supervisor and project manager. This is a hybrid role intended for candidates within commuting distance from our office.

Responsibilities: Strategic Policy and Procedures

Management, oversight, and development of best practices, policies, procedures, guidelines, and tools to meet HR-related needs. Learning and Development
Identify and design (skill gap analysis and other performance data insights) to create a Learning and Development plan to upskill the organization including: Leadership Training, Competency Mapping, Coaching, Career Pathing, Succession planning, and related training Talent Acquisition
Based on data insights, improve and lead a talent acquisition strategy that includes talent pipelines, and selection practices designed to recruit and hire a quality workforce Employee Relations
Recommend and improve employee relations strategies necessary to establish a positive employer-employee relationship and promote a high level of employee engagement and motivation Culture and Engagement
Develop and execute employee-centered programs, e.g., recognition, team building/ bonding and engagement and retention Provide recommendations based on Engagement and Pulse survey data to enhance staff engagement Performance Management
Based on data and debrief insights monitor and recommend changes or enhancements to the current performance management system in order to maintain a high-performance culture Benefits- Monitor Benefits Programs to ensure industry-leading, cost-effective employee benefits programs and benefit-related products and services Compensation and Rewards
Lead the Comp analysis program and make recommendations to ensure our comp philosophy remains competitive and equitable PEO/Vendor Management
Manage relationships with PEO vendors to ensure we are maximizing our partnerships as well as monitoring and recommending insights for the continuous improvements of all HR lifecycle people-related processes, e.g., performance, training, engagement, onboarding, and offboarding, etc. HR Operations Policies and Procedures
Day-to-day management of all HR lifecycle activities, e.g., payroll administration, benefits, onboarding, and offboarding leave administration, professional development, and HR compliance Learning and Development
Design and deliver periodic compliance-related training and recommend external sources for appropriate skill development as appropriate. Deliver professional development, and leadership development, and provide insights for all Talent Acquisition
Implement, and lead the talent acquisition workstream that includes robust sourcing and selection practices and onboarding procedures designed to recruit and hire a quality workforce Payroll and Leave Administration
Manage semi-monthly payroll including timely and accurate submission of timesheets, requests for paid time off and leaves of absence, and ad-hoc reports Employee Relations
Effective management of all employee-related internal investigations Culture and Engagement
Administer and collect data for Engagement and Pulse Surveys and prepared high-level insights and reports Performance Management
Lead the performance evaluation program cycle, as well as any promotions, compensation decisions, and associated administration rewards. Enhance the current performance management system HR Technology
Maximize HR technology systems so that it is easy to use, easy to scale, and add value and satisfaction for the Center’s internal stakeholders. Benefits and Leave Administration
In conjunction with the PEO, drive administration of the Center Benefits program and Leave Administration HR Data Analytics
Collect data and present analysis to support trends across all people-related processes, e.g., performance, training, engagement, onboarding, and offboarding. Administration and Facilities In collaboration with the Chief People and Culture Officer and oversight of all office management functions in the day-to-day administrative and facilities needs of staff, including management of the administrative team, which is responsible for the following: Procurement and maintenance of office equipment and supplies Liaise with IT consultant on service tickets Oversee maintenance Protocol and repairs of office facilities Plan and manage space allotments and office equipment for current, incoming, and exiting staff. Participate in other projects as assigned Skills and Qualifications Bachelor's Degree or higher in Human Resources, Industrial Relations, or Organizational Psychology, Organizational Development, Law, or related fields Minimum of 10
12 preferred years of experience in Human Resources disciplines with a proven track record of success as a Human Resources generalist at the Director level Outstanding project and process management skills Ability to communicate effectively between multiple stakeholders Ability to drive results in a fast-paced organization Experience supporting and supervising and developing staff Must be proactive with a demonstrated commitment to continuous process improvement Knowledge of employment laws, risk management, and compliance best practices Ability to maintain confidentiality and impartiality High proficiency with Microsoft Office especially, Excel Strong project management and data analytic skills Excellent writing skills Proficiency with communicating in multiple mediums, e.g., Excel, PowerPoint Decks, Training Manuals, Communication plans, Scripts, Q&A documents Knowledge of Payroll systems, HRIS, Time & Attendance systems, Salesforce, Fiscal policies, and procedures Demonstrated commitment to diversity, equity, and inclusion

Preferred behavioral strengths : Demonstrate ownership by showing initiative, acting conscientious, and putting team results above individual accomplishments Demonstrate a Growth Mindset through resilience, engaging in expansive thinking, and showing curiosity Works collaboratively by demonstrating the ability to work in teams, exhibiting emotional intelligence, and having positive energy Salary We offer a competitive salary and a comprehensive benefits package.

Application To apply for this position, please apply with a resume and a cover letter with salary requirements. Only those candidates selected for an interview will be contacted. Applicant review will continue until the position is filled. We thank you for your interest in career opportunities with the Center for NYC Neighborhoods. No phone calls, please . Application Deadline Accepting resumes until the position is filled. The Center strongly encourages Section 3 residents to participate in this hiring effort. Information to determine if you are a Section 3 resident can be obtained by contacting recruitment@cnycn.org . Persons requiring reasonable accommodation to participate in this hiring effort are requested to Contact the HR team at (646) 786-0082 or by email at recruitment @cnycn.org The Center for NYC Neighborhoods is an equal opportunity employer. We recruit, hire, upgrade, train, and promote for all positions and job classifications without regard to race, color, religion, creed, gender, national origin, age, physical or mental disability, marital, veteran or disabled veteran status, sexual orientation, or any other status as a member of any other legally protected group or activity. To learn more, visit cnycn.org Powered by JazzHR
Show less "
