Industry,Female_Employee_Percentage,Male_Employee_Percentage
Automotive,0.34,0.66
Automotive,0.39,0.61
Automotive,0.37,0.63
Automotive,0.29,0.71
Automotive,0.34,0.66
Automotive,0.36,0.64
Automotive,0.34,0.66
Automotive,0.36,0.64
Automotive,0.36,0.64
Automotive,0.34,0.66
Automotive,0.34,0.66
Automotive,0.31,0.69
Automotive,0.21,0.79
Automotive,0.42,0.58
Automotive,0.26,0.74
Automotive,0.32,0.68
Automotive,0.34,0.66
Automotive,0.43,0.57
Automotive,0.31,0.69
Automotive,0.28,0.72
Automotive,0.36,0.64
Automotive,0.31,0.69
Automotive,0.44,0.56
Automotive,0.36,0.64
Automotive,0.41,0.59
Automotive,0.30,0.70
Automotive,0.39,0.61
Automotive,0.36,0.64
Automotive,0.36,0.64
Automotive,0.39,0.61
Automotive,0.36,0.64
Automotive,0.44,0.56
Automotive,0.37,0.63
Automotive,0.20,0.80
Automotive,0.30,0.70
Automotive,0.35,0.65
Automotive,0.30,0.70
Automotive,0.25,0.75
Automotive,0.21,0.79
Automotive,0.39,0.61
Automotive,0.42,0.58
Automotive,0.31,0.69
Automotive,0.36,0.64
Automotive,0.26,0.74
Automotive,0.65,0.35
Automotive,0.32,0.68
Automotive,0.20,0.80
Automotive,0.37,0.63
Automotive,0.34,0.66
Automotive,0.42,0.58
Automotive,0.31,0.69
Automotive,0.49,0.51
Automotive,0.45,0.55
Automotive,0.44,0.56
Automotive,0.33,0.67
Automotive,0.19,0.81
Automotive,0.28,0.72
Automotive,0.21,0.79
Automotive,0.32,0.68
Automotive,0.31,0.69
Automotive,0.27,0.73
Automotive,0.18,0.82
Automotive,0.22,0.78
Automotive,0.26,0.74
Automotive,0.19,0.81
Automotive,0.39,0.61
Automotive,0.34,0.66
Automotive,0.24,0.76
Automotive,0.39,0.61
Automotive,0.34,0.66
Automotive,0.27,0.73
Automotive,0.35,0.65
Automotive,0.23,0.77
Automotive,0.41,0.59
Automotive,0.38,0.62
Automotive,0.33,0.67
Automotive,0.27,0.73
Automotive,0.34,0.66
Automotive,0.37,0.63
Automotive,0.22,0.78
Automotive,0.24,0.76
Automotive,0.30,0.70
Automotive,0.35,0.65
Automotive,0.28,0.72
Automotive,0.33,0.67
Automotive,0.31,0.69
Automotive,0.22,0.78
Automotive,0.37,0.63
Automotive,0.54,0.46
Construction,0.30,0.70
Construction,0.18,0.82
Construction,0.33,0.67
Construction,0.39,0.61
Construction,0.49,0.51
Construction,0.44,0.56
Construction,0.57,0.43
Construction,0.14,0.86
Construction,0.21,0.79
Construction,0.49,0.51
Construction,0.27,0.73
Construction,0.22,0.78
Construction,0.24,0.76
Construction,0.19,0.81
Construction,0.25,0.75
Construction,0.17,0.83
Construction,0.43,0.57
Construction,0.39,0.61
Construction,0.54,0.46
Construction,0.35,0.65
Construction,0.44,0.56
Construction,0.13,0.87
Construction,0.27,0.73
Construction,0.28,0.72
Construction,0.25,0.75
Construction,0.35,0.65
Construction,0.30,0.70
Construction,0.24,0.76
Construction,0.30,0.70
Construction,0.45,0.55
Construction,0.49,0.51
Construction,0.28,0.72
Construction,0.25,0.75
Construction,0.21,0.79
Construction,0.46,0.54
Construction,0.19,0.81
Construction,0.24,0.76
Construction,0.29,0.71
Construction,0.17,0.83
Construction,0.47,0.53
Construction,0.29,0.71
Construction,0.30,0.70
Construction,0.26,0.74
Construction,0.25,0.75
Construction,0.20,0.80
Construction,0.18,0.82
Construction,0.29,0.71
Construction,0.47,0.53
Construction,0.40,0.60
Construction,0.27,0.73
Construction,0.27,0.73
Construction,0.19,0.81
Construction,0.16,0.84
Construction,0.37,0.63
Construction,0.35,0.65
Construction,0.24,0.76
Construction,0.29,0.71
Construction,0.21,0.79
Construction,0.43,0.57
