,Job Function,Industry,Seniority,Job Description
0,Information Technology and Engineering,Retail,Entry level,"Become a Part of the NIKE, Inc. Team

NIKE, Inc. does more than outfit the world’s best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At NIKE, Inc. it’s about each person bringing skills and passion to a challenging and constantly evolving game.

NIKE is a technology company. From our flagship website and five-star mobile apps to developing products, managing big data and providing leading edge engineering and systems support, our teams at NIKE Global Technology exist to revolutionize the future at the confluence of tech and sport. We invest and develop advances in technology and employ the most creative people in the world, and then give them the support to constantly innovate, iterate and serve consumers more directly and personally. Our teams are innovative, diverse, multidisciplinary and collaborative, taking technology into the future and bringing the world with it.

WHO ARE WE LOOKING FOR?

We’re looking for a business operations specialist to help drive business operations and processes for our Technology Operations Business Operations & Enablement (BOE) team. The role strives to make the core components of what makes Tech Ops run as a business simple and easy. This role drives operational plans and process improvements for the Tech Ops team. This role partners with managers, multi-functional partners, and the team to ensure operational processes are followed, information is consistent and operational efficiencies identified.

In addition to process and operational skills and experience, the candidate needs to be able to strongly collaborate multi-functionally, approach work with a continuous improvement attitude, think strategically, drive clarity, understand the technology industry, and be a problem solver. Detail orientation, decisiveness, and the ability to partner are a must.

WHAT WILL YOU WORK ON?

If this is you, you’ll be working with the Tech Ops Business Operations Manager as a key member of the business operations team. The BOE’s primary charge is to make it easy to run our business. Everything you do will be in the spirit of simplification and accuracy of process and information to ensure data-driven decisions. We aim to minimize firefighting. You’ll complete, improve and develop internal processes and deliver distinct projects as required to optimize the efficacy, agility, and impact of the organization. We partner with the rest of the BOE to develop and lead processes to operate and mature the Tech Ops org. You’ll partner multi-functionally with the team, partners, and central teams to develop and adapt plans to address challenges or changing initiatives. You’ll forecast resource and capacity needs and partner with Finance to develop financial reports and planning for the org. You’ll solve, be challenged to think differently, and evolve processes for the betterment of the organization.

WHO WILL YOU WORK WITH?

In this role, you’ll work with teammates at all levels of the organization. You’ll be on a team that is accountable for operational excellence, financial responsibility, people operations and strategy. You’ll work with your peers and other members of the BOE to deliver operational excellence and collaborate across the board to improve and detail accountabilities and responsibilities in our multi-functional operating model. And you’ll collaborate with peers in other BOEs across Global Technology to continuously improve and provide continuity in operations. You’ll collaborate with the Manager, Business Operations, and partner with Tech Ops management, Human Resources, Finance, Talent & Acquisition and Global Operations team partners.

WHAT YOU WILL BRING?

Bachelor's degree or equivalent combination of education, training, and experience
Business operational background, including financial savvy, human resource, and process development experience
3+ years of Customer service experience
Process documentation and governance
Analytical and critical thinking skills
Effective verbal & written communication skills
Compelling use of storytelling to influence & engage others
Ability to adapt and lead through times of change
Solid project management abilities; capable of prioritizing and balancing multiple projects simultaneously, under tight time timelines and within budget parameters.


NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world.

NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.

]]>


Show less "
1,Management and Manufacturing,Retail,Mid-Senior level,"Atuará nas atividades internas e demais funções pertinentes ao cargo. Necessário conhecimento na área de atuação.

Beneficios

Formação Acadêmica:

Não informado

Experiência

Salário:

A combinar

Cargo

Analista de Campo

Empresa

Iguaçu Máquinas

Comércio de máquinas agrícolas.

Ramo

Comércio Varejista
Show less "
2,Engineering and Information Technology,Retail,Entry level,"REPORTS TO: Director of Environmental Services

SUMMARY OF RESPONSIBILITIES: The Floor Care Person is responsible for ensuring the cleanliness of all floor areas in the facility. Must have the ability to read and write, and follow oral directions.

ESSENTIAL DUTIES AND RESPONSIBILITIES:

Ensures that all floor areas are cleaned daily using proper cleaning techniques
Ensures that all spills are cleaned up in a timely manner.
Maintains dining room floors appropriately.
Assists in other areas of the department as needed.
Demonstrates safe and proper techniques for chemical/cleaning solution use.
Maintains regular, reliable, and consistent attendance at the worksite as directed by supervisor.


QUALIFICATIONS:

Must have two years experience stripping and waxing and possess above average knowledge of proper cleaning techniques of floors and other surface areas..
Must be able to relate to residents and staff in a courteous and diplomatic manner under all circumstances.
Must be able to work flexible hours, including every other weekend.


4 4. Must successfully complete thorough background screen.

Must be able to meet the physical demands of the position.


Show less "
3,Human Resources,"Retail Apparel and Fashion, Retail, and Retail Luxury Goods and Jewelry",Not Applicable,"

The Human Resources Assistant will assist in the daily functions and activities within the HR department. This candidate will be an integral point person and provide support for the various employees and stores across the country. Responsibilities and scope of work include HR administration and recruitment.

Key Responsibilities

HR Administration


Respond to internal and external HR related inquiries or requests and provide assistance
Strong understanding of all company policies and handbooks in order to effectively communicate policies and guidelines to employees
Complete employment verifications
Oversee onboarding of all new employees including initiating correct system access and set up
Act as HR point person for all new hires to ensure a smooth transition into the business
Train employees to use Paycom
Maintain employment files and e-records


Recruitment


Manage the recruitment process – posting jobs, reviewing resumes, facilitate and coordinate initial interviews, and check reference checks
Make recommendations on recruitment ideas and initiatives
Attend recruitment fairs as needed


Experience and Skills:


1-2 years’ HR retail/fashion recruitment experience is required
Knowledge of human resources processes and best practices
Strong ability in using MS Office (MS Excel in particular)
Experience with Paycom is a plus
Ability to work with ATS software
Understanding of sourcing tools, like resume databases and online communities
Familiarity with social media recruiting
Well-developed interpersonal, verbal, and written communication skills.
Ability to work in a fast-paced, agile environment with multiple overlapping priorities.
Must be flexible, compassionate, and seek to be innovative in their approach to problem solving.
A highly motivated individual with a strong sense of ownership and responsibility and the ability to converse with all levels both internally and externally.
Must be energetic and self-motivated. Willing to do whatever is required to get the job done. 
Show less "
4,"Sales, Customer Service, and Business Development","Architecture and Planning, Design Services, and Wholesale",Mid-Senior level,"Director of Sales | Natural Stone | Atlanta, GA




We are currently seeking a dynamic sales leader to join our client’s luxury brand. This individual will be a talented, creative, and effective sales executive who has experience in driving success for a luxury brand.




In this role, the leader is responsible for all aspects of financial performance in the showroom including sales, margins, and expenses. In addition, they must provide daily sales leadership and motivation to sales representatives coordinating goals and forecasts, as well as utilizing sales strategies to increase sales from existing customers and acquisition of new accounts, while maintaining profit margins. Join this luxury brand as they continue its growth!




Qualifications

Bachelor’s degree in business administration, sales, design, architecture, or related field
8+ years of progressive sales leadership
8+ years of managerial and sales management experience
Previous experience in interior design, architectural design/products, kitchen/bath/stone industry is a plus
Must have strong communication skills with the ability to mentor, guide and manage sales team
A track record of driving and developing long-term sales strategies, plus the ability to manage multiple projects and initiatives in order to maintain a highly profitable business
An effective leader with a proven ability to motivate, manage and develop a team
A proven ability to develop, cultivate and maintain relationships with both internal and external customers
A need to focus on details, follow-up, and the personal drive to meet and exceed goals




Compensation and Benefits

Competitive Annual Salary + Bonus Structure + Full Benefits Package
Benefits include: medical/dental/vision (covered 95% by the employer), 401K with match, disability insurance, life insurance, paid time off, and more.




For immediate review and consideration, contact: Justin Robertson - Justin@InteriorTalent.com




For all active Interior Talent job listings, please visit Jobs.InteriorTalent.com




Why work with Interior Talent?

OUR CLIENTS hire us to FIND YOU
Exclusively focused on the Architecture and Design industries
We work with the DECISION MAKERS – Owners, Principals, Directors, and HR
CONFIDENTIALITY & PROFESSIONALISM: We assist with the entire process so that looking into a new opportunity is DISCRETE and CONFIDENTIAL – we highly value your current position and will never do anything that would bring your future into jeopardy
EXPERTISE: In the industry since 2003
We are your advocate and WE GET IT – we know making a career decision is difficult and we’re here for you throughout the whole process

www.InteriorTalent.com

Show less "
5,Management and Manufacturing,Retail,Entry level,"Wage$18.00 an hour




This is a full time position at our Rohrerstown Road Fresh Foods, requiring day and weekend availability, 730am-4pm.




Attention food lovers, are you ready to do what you love?




We have job opportunities at Stauffers of Kissel Hill! Why is this a perfect fit for you?




Your passions are ours too!




Stauffers of Kissel Hill is a local and family owned company that values




teamwork, respect, integrity, commitment, and service. We promote our team from




within our own company and will teach you with on the job training and leadership classes.




Team Member Benefits Include




Weekly Pay10% Employee DiscountEmployee Referral BonusMedical/Vision/DentalCareer GrowthHoliday Benefits




Assists with the development and implementation of new product ideas.
Decorates specialty cakes and works with seasonal cake events.
Has knowledge of current inventories and ordering systems to assist with the ordering of supplies as needed.
Mixes cakes, icing and other items as needed.
Produces correct quantities of products, according to sales projections from week to week.
Records best selling cakes and notifies management.
Responsible for the proper production of bakery goods, in the absence of bakers, department asistants and/or management.
Cleans department area, including equipment, containers, storage areas, aisles, and displaycases; keeping products and supplies well organized. .
Operates price scale with knowledge of current prices. Prices or changes price tags on merchandise referring to price list and in coordination with scan department.
Receives, opens, and unpacks cartons and crates of merchandise, checking invoice against items received. Promptly clears floor of all restocking equipment and debris.
Sets and signs displays of merchandise to attract customers and promote sales.
Takes and processes customer orders according to customer request ensuring that product is ready on time.
Takes inventory or examines merchandise on a regular basis, to identify items needing to be reordered or replenished.
Previous cake decorating experience necessary.
While performing the duties of this job, employees are regularly exposed to hot temperatures while working around kitchen equipment.
The employee must regularly lift and /or move up to 25 pounds and frequently lift and/or move up to 50 pounds.
The employee must be at least 18 years old.
Show less "
6,Management and Manufacturing,Retail,Entry level,"Wage$18.00 an hour




This is a part time cake decorator position at our Rohrerstown Fresh Foods, requiring flexible day, evening, and weekend availability.




Attention food lovers, are you ready to do what you love?




We have job opportunities at Stauffers of Kissel Hill! Why is this a perfect fit for you?




Your passions are ours too!




Stauffers of Kissel Hill is a local and family owned company that values




teamwork, respect, integrity, commitment, and service. We promote our team from




within our own company and will teach you with on the job training and leadership classes.




Team Member Benefits Include




Weekly Pay10% Employee DiscountEmployee Referral BonusCareer Growth




Assists with the development and implementation of new product ideas.
Decorates specialty cakes and works with seasonal cake events.
Has knowledge of current inventories and ordering systems to assist with the ordering of supplies as needed.
Mixes cakes, icing and other items as needed.
Produces correct quantities of products, according to sales projections from week to week.
Records best selling cakes and notifies management.
Responsible for the proper production of bakery goods, in the absence of bakers, department asistants and/or management.
Cleans department area, including equipment, containers, storage areas, aisles, and display cases; keeping products and supplies well organized. .
Operates price scale with knowledge of current prices. Prices or changes price tags on merchandise referring to price list and in coordination with scan department.
Receives, opens, and unpacks cartons and crates of merchandise, checking invoice against items received. Promptly clears floor of all restocking equipment and debris.
Sets and signs displays of merchandise to attract customers and promote sales.
Takes and processes customer orders according to customer request ensuring that product is ready on time.
Takes inventory or examines merchandise on a regular basis, to identify items needing to bereordered or replenished.
While performing the duties of this job, employees are regularly exposed to hot temperatures while working around kitchen equipment.
The employee must regularly lift and /or move up to 25 pounds and frequently lift and/or move up to 50 pounds.
The employee must have previous cake decorating experience.
The employee must be at least 18 years old.
Show less "
7,Other,Retail,Entry level,"Job Description

In this Customer CARE Specialist 2 role, you will be the voice of Nordstrom and/or Nordstrom Rack, fielding real-time calls in a virtual, call center environment from customers across the country. The ideal Customer CARE Specialist is caring and compassionate, enthusiastic, solutions-oriented and committed to providing outstanding service to all our customers.

This role is a fully remote, work from home position. Candidate location restrictions apply. Nordstrom can offer remote employment of this position in: Nevada

Shifts:

Full-time. Shift times will vary upon business need. Schedule flexibility, including nights, weekends, and holidays, is required.

Paid! Training:  

Orientation: 1 week (Tuesday – Friday) 7:00AM – 4:00PM PST

Training: 3 weeks (Monday – Friday) 7:00AM – 4:00PM PST (Attendance at training is required)

 

Pay: Pay range for this position in Nevada: $16.60 - $17.05

Work from Home Subsidy! $50/month 


A day in the life…

Act as a Brand Ambassador for the Nordstrom company, providing world-class service to all Customers
Successfully troubleshoot and resolve all customer service inquiries or issues via incoming phone/email and/or chat contacts
Provide Customers with critical service and product information, ensuring customer satisfaction
Process orders and enter data into order entry system
Track customer packages
Other duties as assigned


You own this if you have…

6+ months experience within a customer service-focused environment, such as contact center, retail, hospitality, or food and beverage (preferred)
The ability to meet the Nordstrom and Nordstrom Customer CARE Work from Home Guidelines and expectations
Excellent communication skills
The ability to work in a fast-paced environment and demonstrate a high sense of urgency
Understanding of computer systems and troubleshooting issues with minimal assistance
Ability to work a set schedule (scheduled start, stop, breaks and lunches), including nights, weekends, and holidays, with required overtime as business needs; flexibility required during peak times
A quiet, distraction free, secure home workspace  
The ability to work your entire shift using a computer while stationed at a desk, wearing a headset, and turn on the camera when requested by leadership
Wired, high-speed Internet, Modem or Router w/ Ethernet Port – Thin client must connect directly (No Satellite Internet or Wi-Fi)


We’ve got you covered…

Our employees are our most important asset and that’s reflected in our benefits. Nordstrom is proud to offer a variety of benefits to support employees and their families, including:

Medical/Vision, Dental, Retirement and Paid Time Away
Life Insurance and Disability
Merchandise Discount and EAP Resources


A few more important points...

The job posting highlights the most critical responsibilities and requirements of the job. It’s not all-inclusive. There may be additional duties, responsibilities and qualifications for this job.

Nordstrom will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.

Applicants with disabilities who require assistance or accommodation should contact the nearest Nordstrom location, which can be identified at www.nordstrom.com.

© 2022 Nordstrom, Inc

Current Nordstrom employees: To apply, log into Workday, click the Careers button and then click Find Jobs.

Pay Range Details

The pay range(s) below are provided in compliance with state specific laws. Pay ranges may be different in other locations.

Nevada: $16.50-$28.00 hourly
Show less "
8,Purchasing,Retail,Entry level,"Essential Job Functions




Ensure efficient and courteous customer service at all times in support of the company mission to ""Run the Best Store in Town!""
Maintain a positive attitude; create an atmosphere of friendliness and fun through flexibility and teamwork.
Generate a positive, friendly, and fun working environment with a customer first initiative by greeting and speaking to customers, provide prompt, courteous, and efficient customer service.
Prepare and produce ""Quality"" food & products to meet or exceed our customer & company expectations
Decorate specialty cakes, including use of photo cake computer
Decorate cupcakes and cookies
Maintain cookie and cake cases
Take telephone order for food and specialty cakes
Maintain table cakes
Assist in proper rotation and dating of Food Service products
Responsible for maintaining product inventory and ordering
Keep display case, workstation, and area around workstation neat and clean
Make sure that all special cake orders are ready for delivery to customer at or before time
Food Service Associates should expect to be cross trained in multiple areas with varying responsibilities. Qualifications:
Must be 18 years of age or older
Food Service experience a plus, but not required
Ability to meet standard Physical, Mental, and Visual demands
Ability to understand and follow verbal and/or written instructions, perform routine and repetitive tasks and have constant contact/interaction with various levels of individuals on a daily basis
Ability to attend on-site work during scheduled shifts to adhere to company time and attendance policies Benefits of working for Food City: 401(k) with company match, Employee Stock Ownership Plan, Weekly Pay Checks with Direct Deposit, Company paid Life and Disability Insurance, Medical Plan with wellness benefits, Dental Plan, Paid Holidays, Paid Vacations, Associate Offers, and so much more! About Food City: Food City is a privately held, family-owned company with a driving mission to ""run the best store in town."" Dedicated to giving back to the communities we serve, we encourage our associates to get involved with their local civic organizations. We consider our associates to be our greatest asset. Over 13% of the company is currently owned by our associates through our employee stock ownership plan, promoting tremendous pride in the services and products we provide. Whether your passion is baking, accounting, or trucking, Food City has a promising career opportunity for you. We offer flexible schedules to ensure our associates have ample time to spend with family and friends. If you're looking for a great career or the opportunity to try something different, consider becoming part of the Food City family. .
Show less "
9,Sales and Business Development,Retail,Entry level,"We are seeking an experienced and highly motivated E-commerce Associate to join our team! This is an exciting, multifaceted opportunity to be an integral part of our growing Ecommerce team. You will be exposed to products, systems and operations on a daily basis in a fast-paced environment. The ideal candidate will have a proven track record in managing the day-to-day operations of an e-commerce business. This position will be responsible for managing all day-to-day aspects of our e-commerce operations including, but not limited to, product listing, pricing, inventory management, order fulfillment, customer service, and marketplace management. Responsibilities




Manage product listings across multiple e-commerce marketplaces
Ensure pricing accuracy and competitiveness across all marketplaces
Oversee inventory management and order fulfillment to ensure timely and accurate delivery of products to customers
Address customer inquiries and resolve issues in a timely and professional manner
Analyze and report on key performance indicators to inform decision-making and drive business growth
Develop and maintain relationships with e-commerce marketplace representatives to maximize sales and improve the customer experience
Continuously improve and streamline e-commerce processes to increase efficiency and reduce costs
Send merchandise to photographer. Ensure images accurately reflect the merchandise Qualifications
3+ years of experience in e-commerce operations or related field
Familiarity with e-commerce marketplaces such as Amazon, eBay, and Walmart
Proficient in Microsoft Excel, Word, and Outlook
Strong analytical and critical thinking skills
Excellent communication and interpersonal skills
Proven ability to manage projects and prioritize competing deadlines
Ability to work well in a fast-paced, team-oriented environment If you have a passion for e-commerce and are driven to succeed, we want to hear from you. Apply today to join our dynamic team!
Show less "
