Job Title,Company Name,Date,Job Link
Talent Acquisition Manager,SHEIN Distribution Corporation,4/4/23,https://www.linkedin.com/jobs/view/talent-acquisition-manager-at-shein-distribution-corporation-3556918332?refId=jOh3ih1uzyFjOAuvZ0kECA%3D%3D&trackingId=7k4VBYOP7dXvSQFj%2B0qmyA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Manager of Social Media,Potbelly Sandwich Works,4/4/23,https://www.linkedin.com/jobs/view/manager-of-social-media-at-potbelly-sandwich-works-3556968276?refId=jOh3ih1uzyFjOAuvZ0kECA%3D%3D&trackingId=ycCOs16PgYnUfQj09HInCQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Director of Brand Marketing,Potbelly Sandwich Works,4/4/23,https://www.linkedin.com/jobs/view/director-of-brand-marketing-at-potbelly-sandwich-works-3556963112?refId=jOh3ih1uzyFjOAuvZ0kECA%3D%3D&trackingId=Xa1TzFl1SLxCLfAqYd4PKg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Photo Retoucher - School House,Fortress Brand,4/4/23,https://www.linkedin.com/jobs/view/photo-retoucher-school-house-at-fortress-brand-3556893217?refId=jOh3ih1uzyFjOAuvZ0kECA%3D%3D&trackingId=k6JIF2feDMKcBMrf2kWkRg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Cannabis Brand Ambassador,Sundae School,3/22/23,https://www.linkedin.com/jobs/view/cannabis-brand-ambassador-at-sundae-school-3556906133?refId=jOh3ih1uzyFjOAuvZ0kECA%3D%3D&trackingId=cFrYUPQmOeCX15%2B40XFYOg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
People Experience Support (USA),lululemon,4/4/23,https://www.linkedin.com/jobs/view/people-experience-support-usa-at-lululemon-3556988922?refId=jOh3ih1uzyFjOAuvZ0kECA%3D%3D&trackingId=8mgrbkINZvZqQEETuX%2FA8g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Driver Helper,HD Supply,4/4/23,https://www.linkedin.com/jobs/view/driver-helper-at-hd-supply-3556962120?refId=jOh3ih1uzyFjOAuvZ0kECA%3D%3D&trackingId=zGidXHUtltkzf3xngwJWFQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Cook,"Stinker Stores, Inc.",3/24/23,https://www.linkedin.com/jobs/view/cook-at-stinker-stores-inc-3556930955?refId=jOh3ih1uzyFjOAuvZ0kECA%3D%3D&trackingId=412mKkJ5nXNT7GE3FmbGDg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Floor Tech,Luxor Healthcare,3/28/23,https://www.linkedin.com/jobs/view/floor-tech-at-luxor-healthcare-3556951076?refId=jOh3ih1uzyFjOAuvZ0kECA%3D%3D&trackingId=JVD9jda5RlJaU541LyvzEw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Cashier,The Parts Authority,4/1/23,https://www.linkedin.com/jobs/view/cashier-at-the-parts-authority-3556851655?refId=jOh3ih1uzyFjOAuvZ0kECA%3D%3D&trackingId=PmY5yVGAehq0qGoV1IJS8g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
