,Job Function,Industry,Seniority,Job Description,Segment,female,male
0,Marketing and Sales,Personal Care Product Manufacturing and Manufacturing,Internship,"Job: Junior Marketing Associate (12 Month Internship)

Location: New York – New York

Country/Region: USA

Come and be a part of the exciting and dynamic world of L'Oréal USA as a Junior Marketing Associate! The L'Oréal USA 12-Month Junior Marketing Associate (JMA) internship program allows creative visionaries and strategic thinkers to enhance their marketing knowledge in a fast-paced and hands-on environment. The JMA program is paid internship opportunity for candidates who have graduated with a degree within the last 12 months and is able to work 40 hours per week.

We are looking for a Junior Marketing Associate to join the larger CeraVe US Marketing team in the Dermatological Beauty Division of L’Oreal USA. This position will be part of the brand’s Communications team with the goal of amplifying the brand’s earned Influencer and Advocacy efforts. This includes a heavy focus on influencer relationship building and executing our year-long seeding strategy and increasing our 1:1 touchpoints with editors, influencers and medfluencers. This position will report to the Senior PR Manager and work collaboratively with the Assistant Influencer Manager, and cross functionally with the US marketing team, digital teams, as well as external agencies (PR, influencer, and partnership agencies…) 

Roles And Responsibilities

PR And Earned Influencer

Manage always on and timely influencer gifting and seeding to build brand relationships with content creators, dermatologists and press
Liaise with agency partners to support PR Mailer and Seeding strategy from ideation to delivery to increase brand touchpoints
Manage all upkeep of internal PR/Celebrity/Influencer/VIP lists
Leverage Traackr for social listening to vet and identify up and coming influencers for brand engagement via upcoming mailers and/or PR event attendance
Ongoing industry trend analysis to identify ways to drive increased awareness and brand love within PR and influencer
Partner with PR agency on all evergreen and tentpole activation strategy and execution
Support team product orders, restocks etc for mailers, events, tentpole activations

Reporting & Analysis

Deliver weekly PR reporting to CeraVe leadership and internal cross-functional teams
Run monthly competitive analysis on overall competing brands activations and considerations to share with digital/marketing team

Job Qualifications

BA/BS in Marketing, Communications, Journalism or related field
Self-starter able to adapt quickly to changes in priorities and problem-solve
Able to prioritize and manage time effectively, and to balance competing demands and priorities in a very fast-paced environment
Strong communication and collaboration skills
Excellent written skills
Extremely personable with interpersonal skills
Advanced proficiency in Microsoft applications including PowerPoint, Word and Excel required. Proficiency in Adobe Creative Suite InDesign, Photoshop required
Proficiency on social platforms (Instagram, Tik Tok, YouTube) required
Beauty experience and interest in fields related to skincare and health strongly preferred
KPI reporting/analysis experience strongly preferred

What’s In It For You

Salary Range: $25-$27.50 per hour (The actual compensation will depend on a variety of job-related factors which may include geographic location and education)
Hybrid Work Policy (3 Days in Office, 2 Days Work from Home)
Flexible Time Off (Paid Company Holidays, Volunteer Time, Summer Fridays & More!)
Access to Company Perks (VIP Access to L’Oréal’s Internal Shop for Discounted Products)
Learning & Development Opportunities for Career Progression (Unlimited Access to E-learnings, Lunch & Learn Sessions, Mentorship Programs, & More!)
Employee Resource Groups (Think Tanks and Innovation Squads)
Access to Mental Health & Wellness Programs 

#DDIR #DDEIR

We are an Equal Opportunity Employer and take pride in a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, sexual orientation, national origin, age, marital or veteran status, medical condition or disability, or any other legally protected status.

If you require a reasonable accommodation to complete an application for a recognized disability under applicable law, please email USApplicationAccommodation@support.lorealusa.com. Please note this email will only respond to specific requests for assistance completing the application as a request for accommodation for a disability. All others will not be considered.
Show less ",1,0,0
1,"Marketing, Public Relations, and Writing/Editing",Internet Publishing,Internship,"Location: Remote




Reports to: Senior Director - Marketing & Communications




Travel Requirements: Occasional




Salary Range:$19.25 - $26.45 per hour




Join us in our mission to empower low-income, first-generation college, and underrepresented high school students to identify and pursue higher education opportunities. At College Advising Corps (CAC), we believe that every student deserves the opportunity to enter and complete higher education and work to support their journey as they navigate the complex processes of admissions, financial aid, and enrollment.




Through our university affiliates, CAC matches advisers from our corps of recent college graduates with under-resourced high schools to help students find and pursue their best higher education path. CAC near-peer advisers are embedded into low-income, underserved high schools for a 1–2-year service engagement or work virtually as full-time college advisers that serve all students.




Our work is not just a vocation. It is a mission. Higher education remains the most effective and sustainable path to boost economic mobility, transform lives, and increase civic engagement to drive a more equitable society. By increasing access we are changing the life trajectories of young people nationwide. Learn more at https://collegeadvisingcorps.org.




Employment Benefits Overview




College Advising Corps aims for equity and inclusion to be at the core of what we do, both in the community and within the organization. By valuing traits such as transparency, humility, and grace, we work to motivate our employees to be collaborative and mission-focused no matter what their job is.




As an employee in our virtual workforce, below are some of the offerings that you will enjoy.




100% company-paid medical and dental benefit premiums
75% of premiums paid for employee dependents
Monthly, non-taxable, stipend to offset both internet and cell-phone expenses
Full employer match at 3% contribution to 401k retirement fund (additional matching for employee contributions up to 5%)
Up to ten (10) company-recognized holidays
Accrue up to two (2) weeks of vacation and up to two (2) weeks of sick leave annually




Position Summary




In this entry-level position, the Communications Associate provides support for both internal and external communications, and marketing activities. This non-exempt role works at the direction and under the supervision of the Marketing & Communications leader, and in partnership with various internal stakeholders.




Duties And Responsibilities




Support Marketing/Communications and Advancement team with writing and editing communications for all audiences, including university partners, advisers, adviser alumni, donors, funders, and more.
Help to create and send e-newsletters and other digital and print materials to donors and supporters.
Support and promote College Advising Corps’ internal community networking platform, CAC Connect, by
Posting announcements and stories
Assist in the recruitment of CAC Alumni and current Advisers to the platform
Update resource folders monthly
Contribute to the drafting, budgeting, creation and dissemination of bi-weekly newsletter
Write and post content for all CAC social media accounts, under the direction of and in coordination with Marketing & Communications leader.
Assist in updating WordPress websites and regularly monitor websites’ health.
Assist in tracking social media analytics.
Contribute input and ideas to marketing and communications strategies.


Qualifications And Experience

All employees of College Advising Corps are expected to possess and exhibit the following consistently:

A dedication to an interdisciplinary, collaborative approach to work
Passion for supporting the organization’s mission and for maintaining programmatic excellence
Proven success working with individuals of diverse backgrounds
Ability to manage multiple projects and assignments simultaneously, often with competing deadlines
Communication skills that allow for productive sharing, debate, and exchange of information and ideas, whether verbally or in writing
Willingness to engage digitally in establishing rapport and growing relationships with colleagues in a virtual work environment


Former CAC Advisers are strongly encouraged to apply!

In order to perform successfully as a Communications Specialist, you must be a results-driven individual with at least 1 year of experience (or an internship) in communications or journalism. The ideal candidate will hold a bachelor's degree in Communications (or a related field) and will also have/be:

Exceptional writing skills, including knowledge of AP style
Facility with all forms of social media
Experience using Adobe Creative Suite, including InDesign and Photoshop, is preferred
Ability to read, analyze and interpret a variety of instructions and procedures
Connected and current with industry best practices


Physical Requirements

Prolonged periods sitting at a desk and working on a computer.
Ability and willingness to travel.
Must be able to lift up to 15 pounds at times.


Powered by JazzHR

DK7kwcr6Bj
Show less ",1,0,0.14
2,Analyst,Spectator Sports,Internship,"Chicago Fire Football Club is a Major League Soccer team that was founded in 1997 and is Chicago’s ambassador to the global sport of soccer. The Club returned to Soldier Field as well as opened a new 50,000 square foot office in the heart of the city. With tremendous growth and expansion, the Club is laying the foundation for an audacious and ambitious vision that will transform the brand and the success of the Club in the coming years.




Internship Overview:

Chicago Fire Football Club is seeking a dedicated Junior Data Analyst Intern join our team for the 2023 season! This paid program provides individuals with the opportunity to work on meaningful projects that contribute to the organization's success while developing their personal and business acumen. The individual selected will gain invaluable work experience through interesting project assignments, meetings with Club employees across the organization, and various events (such as Chicago Fire matches at Soldier Field).

The Junior Analyst program aims to expose aspiring sports professionals to the experience of working on an analytics team in a sport front office. This position will report to the Manager of Business Strategy & Analytics and contribute to project work defined by our department pillars: CRM, Data Engineering, and Analytics & Research. In addition, the Junior Analyst will be a key contributor within our marketing automation tool (Salesforce Marketing Cloud), contributing to projects centering around dynamic audience segmentation, marketing automations, and assisting in overall Customer Journey implementation.




The Junior Analyst will be required to work in-office throughout the duration of the program. This is a part-time position that will not exceed more than 30 hours per week.




Job Responsibilities:

Identify business and technical requirements for solutions and translate to accurate answers, valuable insights, on-time information, and actionable conclusions
Systematically assess the quality and completeness of available data
Assist in audience segmentation and general technical process asks within customer journeys
Use an analytics-driven approach in solving business problems
Build processes to increase efficiencies across technology platforms
Collaborate with team in the creation of data visualizations and reports that will be used to communicate insights




Qualifications:

Perusing a bachelor’s or master’s degree in business, information systems, mathematics, or a related field
Practical experience with analytics tool(s): Python, R, SAS, SQL, etc.
Base knowledge of data visualization software like Tableau or Power BI
Advanced working knowledge of Excel; Strong Power Point skills
Knowledge of CRM systems is a preferred but not required
Attention to detail and organizational skills with ability to meet firm deadlines
Excellent interpersonal and communication skills, both written and verbal
Ability to work autonomously and use excellent judgment in escalating issues to supervisors
Willingness to learn in a fast-paced, entrepreneurial, high-performing work environment
Must be fully vaccinated and boosted for COVID-19




Please Note:

Chicago Fire Football Club is committed to fostering, cultivating, and preserving a culture of diversity, equity, accessibility, and inclusion. Our diversity initiatives start with the recruitment and selection process; therefore, we’d like to welcome all diverse candidates to apply to opportunities within our Club.

Chicago Fire Football Club is committed to providing an equal employment opportunity and maintaining a workplace for employees and applicants for employment that is free from discrimination. The Club does not discriminate in employment opportunities or practices on the basis of race, color, religion, sex (including pregnancy), national origin, ancestry, ethnicity, citizenship, age, veteran or military status, disability, sexual orientation, sexual orientation or expression, marital status or any other characteristic protected by law. This policy governs all aspects of employment, including hiring, promotion, compensation, discipline, termination, and access to benefits and training.

If, because of a medical condition or disability, you need a reasonable accommodation for any part of the application process, please contact the Human Resources Department at hr@chicagofirefc.com to let us know the nature of your request and your contact information.




MLS Privacy Policy:

By clicking apply, you agree to the terms of the MLS Privacy Policy.

Show less ",1,0,0.15
3,Marketing and Sales,Internet Publishing,Internship,"Do you enjoy…




Enjoy diving in to projects but also stepping back and looking at the big picture?
Creating marketing materials that convince website visitors to turn into customers?
Regularly analyzing content performance and community engagement to optimize editorial planning and social media strategy?
Leaning into curiosity and turning big ideas into marketing strategies?




If you’re nodding your head and thinking, “That’s me!”, then we need you to join our team as Marketing Coordinator.




At Lucky Orange, we know how daunting it can be for business owners, advertising and marketing agencies and website operators to figure out why people aren’t converting on their website. We create “A ha!” and “Oh wow!” moments for our customers by helping them understand how visitors are interacting with their website so they can create better online customer experiences that help close the sale or generate leads.




Our platform helps our customers uncover insights that allow them to increase website conversion rates and solve hidden user experience challenges. We help the people who use our platform interact directly with their customers to answer questions, resolve issues and keep them coming back for more.




As our newest marketer, you'll help us increase the number of prospects moving through each phase of our user journey. This position focuses on the development and promotion of educational content in support of new customer acquisition and existing customer retention. This role requires a strong mix of analytical and creative skills, with the ability to constantly seek ways to provide value to our customers.




What’s a day in the life like?




Putting customers first is always our priority, but we’re known for having a relaxed, playful environment at Lucky Orange. On a typical day, you’ll find our team members helping customers, devising growth strategies, writing code and working with partners. We’re a work family that likes to take time to get to know one another better, challenge each other to a round of Mario Party or Super Smash Bros and recognize one another for a job well done.




As the newest Marketing Coordinator on our team, your day will likely include:




Performing copywriting duties for all channels (blog posts, content downloads like eBooks, automated customer emails, video scripts, etc.)
Regularly using SEO and AI writing tools to help increase content quality and pace of output
Designing and building templates and tools that help people better manage their websites and businesses
Managing all social media channels (TikTok, Instagram, Facebook, Twitter, YouTube) including community management, publishing and creative development tasks
Optimizing existing blog content to meet SEO and readability goals
Assisting with the management of email marketing campaigns, initiatives and oversight including management of email testing and development
Creating educational and promotional video assets in our in-house studio
Working out of our office in Overland Park, Kan. (This role is not eligible for a remote working arrangement.)
Working collaboratively with other team members on the development of webinar materials, presentations and other marketing collateral




What does it take?




Bachelor’s degree in Marketing, Advertising or Communications or equivalent work experience
Superb writing ability with published professional examples
Familiarity with social media management
Strong creative intuition and an ability to translate ideas into content
Excellent time management and prioritization
Outstanding interpersonal communication skills
Experience working in a self-driven environment
Proficiency in Microsoft Office applications
Ability to work in a (relaxed) office setting in Overland, Park, Kan., during typical working hours (9 a.m. - 5 p.m.), Monday through Friday




How do I stand out from the rest of the pack?




Desire to grow your marketing skill set
Experience with Adobe Creative Suite and Canva
Professional video production experience
Experience using AP style
Previous internships or marketing and communications work experience
Passion for technology and staying on the leading edge of modern problem solving
Use or are familiar with Lucky Orange software or other conversion rate optimization (CRO) tools




What’s this gig pay?




Competitive salary plus quarterly bonuses




What about the extras?




Unlimited paid vacation/sick days
401(k) plan with 4% employer match
100 percent paid health insurance for employees
Fun company outings
No dress code
Nerf gun-friendly office environment
Monthly “flex days” that allow you to choose where you want to work (Note: Hans and Franz won’t make you flex to get this perk)
Company-sponsored lunches
Generous performance incentives
Company-sponsored vacations




Who is Lucky Orange?




Lucky Orange, located in Overland Park, Kan., started as a bootstrap analytics and usability software company and is now one of Kansas City’s hottest Software as a Service (SaaS) companies. For the fourth year running, we’ve also been recognized as one of Kansas City Business Journal’s “Best Places to Work.”




Our flagship product sheds new light on user behavior by allowing website owners a peek behind the digital curtain to watch recordings of users, engage with interactive heatmaps, see real-time analytics, provide exceptional support via live chat, analyze forms and create custom polls.




We think it’s a pretty stellar product, and so do our clients who have used Lucky Orange on more than 375,000 websites worldwide.




What matters the most at Lucky Orange?




We know that workplace culture defines a company. That’s why we had passionate discussions on the words we chose to articulate the Lucky Orange values: Moxie. Honesty. Delight. Creativity. Empathy. Motivation.




Our employees demonstrate these values through:




Superhero mentalities that dare to think innovatively and embrace new ideas and fresh approaches
Collaboration and respect for one another’s ideas
Putting people first – our customers and our coworkers
Slow claps to celebrate team member accomplishments
Continuous improvement – pushing ourselves to constantly be better in our work and finding new opportunities to grow the company
Our commitment to leveling the playing field for individuals to be successful in their chosen profession
Participating in a quarterly company-wide volunteer activity in support of our values




We look forward to working with you!




Lucky Orange is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, gender identity, sexual orientation, national origin, disability status, protected veteran status, or any other characteristic protected by law.




Powered by JazzHR




AhnQ9vwGz0
Show less ",1,0,0.2
4,Marketing,"Technology, Information and Internet",Internship,"Hiring NOW! in New York, NY

Pay Rate: $17.00 / Hourly; Non-exempt

MUST LOVE BEAUTY! Taylor & Pond is a leading 360 full-service digital marketing agency specializing in the beauty industry. Please visit taylorpond.com and our Instagram page @taylorandpond to get a sense of the work we do and who we are!

If you have a passion for beauty and everything digital, we are looking for you! You will have the opportunity to work in a fast-paced, creative environment with a collaborative team in the digital beauty category. This internship will be hands-on working with some of the biggest Beauty Brands in the world and include the following Digital Marketing tasks with a strong emphasis in content. This is a paid, 40 hour per week, 4-month long internship.

Account Management

Work with your team with day-to-day administrative and project-specific tasks
Monitor metrics for content, campaigns, and social media ad activations
Review aggregated data using social measurement tools and report on insights for client facing reports


Content Generation, Community Management and Social Listening

Actively monitor and engage with online community, maintaining brand voice and expertise
Monitor and engage in brand mentions and sentiment on all social platforms
Answer consumer questions on behalf of the brand
Assist in monitoring and measuring campaigns across client and agency social platforms (Facebook, Twitter, Instagram, Pinterest, LinkedIn, YouTube)
Participate in creative meetings contributing different points of view and inspiration based on each brands needs and aesthetic
Assist with the development and production of social media content calendars and scheduling of content
Draft content for social properties, blogs and more


Influencer Activations

Assist with maintaining our extensive influencer database
Monitor and track campaign metrics, metrics around influencer activations


Requirements

Candidate must be located in or willing to relocate to New York, NY for this position
Actively involved in digital/social media experience; must love the beauty space
Love to write: drafting content is your passion
Bachelor’s degree preferred
Agency experience a plus
Beauty industry experience preferred
Strong written communication, creative conceptualization and presentation skills
Positive and enthusiastic, can-do attitude


Candidates must be authorized to work in the US.

Benefits

Hybrid working schedule (remote + in-office)
Show less ",1,0,0.28
5,Education and Training,Spectator Sports,Internship,"Business Insights & Analytics Intern will join our Business Insights team to provide analysis, predict performance, and identify research trends using data from all departments of the LA Clippers Business Operations. As a BI Intern, you will participate in projects both long and short term that provide tools and insights for Marketing, Ticket Sales, Partnerships, and other departments as needed. Ideal candidates will be in school or a recent graduate with some experience (school projects OK) in data visualization, statistical software and scripting languages. To be considered for this role, you should be available for part-time work on a short term (6-9 month) basis. The job will have flexible hours to work around existing or future class schedule.




This is a part-time hybrid role based in our DTLA office. Typical workload of 16-24 hours per week. This role is not benefit-eligible.




The LA Clippers are committed to providing a safe and healthy workplace. New members of our team must be fully vaccinated for COVID-19 and will need to provide verification of vaccination for COVID-19 at least seven days prior to their start date.




Principal Duties and Responsibilities




Manipulate, visualize, and analyze large data sets
Design, improve, and maintain ongoing metrics, reports, analyses, dashboards, etc.
Develop models to analyze and forecast sales and revenue for various business departments
Support gathering of additional data for ad-hoc analysis as needed
Collaborate effectively on team projects and work autonomously on individual work as appropriate
Communicate results to the Business Operations staff through presentations, written reports, and tools




Characteristics / Qualifications




Experience with SQL Databases & Database Management
Experience with varied programming and scripting languages (Python Preferred)
Advanced Experience in MS office suite
Experience with dashboarding tools a plus (PowerBI, Tableau)
Experience with API Data Extraction or Data Scraping a plus
Able to work and excel in high-demands environments and meet hard deadlines
Effective interpersonal skills, both oral and written
Self-starter and entrepreneurial spirit with hands-on approach towards business




Compensation




$19.00 per hour




The LA Clippers are a proud equal opportunity employer. It is our desire and intent that all employees enjoy a professional business working environment that is free from discrimination and harassment. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment.
Show less ",1,0.26,0
6,Management and Manufacturing,Spectator Sports,Internship,"Baseball Operations—Data Entry Summer Internship

Responsibilities Include

Data entry into and creation of an on-field discipline data system in MLBPA’s current online database. This work includes scanning and uploading files from prior on-field discipline cases spanning decades and data entry of key information into MLBPA’s current database.
Coordinate with MLBPA’s IT Department in the creation of the on-field discipline data system and the inclusion of former players in that system.
Organize and upload backlogged information pertaining to player contracts and player-agent forms/agreements into MLBPA’s online database.
Obtain signatures and dues authorization forms on an as directed basis.
Assist various baseball-related projects as needed (such as counting player Major League Service days and days on optional assignment).
Requirements: Applicants should submit a cover letter, resume, and school transcript. Anyone who does not submit the above will not be considered. Qualifications:

High School level degree and currently enrolled in College/University.
Above average proficiency with Microsoft Office.
Understanding, sound knowledge, and familiarity with the rules of the game of baseball, baseball statistics, and players both past and present.
Bi-lingual in Spanish is preferred but not required.
Candidate must be organized, detail oriented, able to work independently, communicate effectively with MLBPA IT staff, and handle sensitive data in a trustworthy manner.

Reports to: Lisa Pepin-Senior Manager, Baseball Operations

Location: Hybrid- New York City Office (3 days per week; remaining 2 days remote)

Timing : Summer 2023 (May through August) with the potential to extend depending on the Candidate’s Fall availability.

Salary: Hourly Wage: $18.00 per hour (not eligible for overtime) ; 5 days per work week

The MLBPA, along with any of its current or future subsidiaries, including MLB Players Trust, highly value a diverse and inclusive workforce. The MLBPA encourages applications from all qualified individuals without regard to race, color, national origin, creed, religion, gender, sex, sexual orientation, gender identity or expression, age, citizenship, marital or domestic/civil partnership status, disability, veteran status or any other status or characteristic protected by applicable federal, state or local law. Additionally, the MLBPA will provide reasonable accommodations for qualified individuals with disabilities.
Show less ",1,0,0
7,Business Development and Sales,Internet Publishing,Internship,"As Sales Operations Analyst at Downeast Cider, you will report to the VP of Sales Strategy and collaborate cross departmentally to lead the team towards achieving Downeast’s mission of becoming the #1 hard cider company in America. (This role is expected to be hybrid: WFH + on-site at our Cider House in East Boston, MA.)




Your mission is to support the sales team by streamlining sales operations processes. This role is crucial in gaining new distribution, driving focus for the sales team, and providing analytical support.




We’re committed to developing our people along with our brand. We invest in your success through a comprehensive onboarding program and a well-defined path to promotion. We’re on a journey to become the #1 hard cider in the US and there will be plenty of growth opportunities available as we continue to grow. If you’re motivated, reliable, detail-oriented, and have a passion for craft cider, we want to hear from you!




What you’ll do:




Submit new item compliance to federal and state governments
Maintain our CRM and syndicated data base to reflect sales goals and priorities
Pull reports to unveil distribution opportunities to support sales
Perform ad hoc analysis to help drive sales results
Monitor coverage plan compliance to ensure sales rep visit routes are efficient and effective




Who you are:




Passionate about craft cider
Bachelor’s degree
1-2 years of experience in Sales or Operations/Logistics at a CPG company (internships count)
Proficient in Excel




Bonus points if you have…




Experience working in the alcohol / liquor / beer / wine industry
Experience with syndicated databases (IRI, Nielsen, SPINS, iDIG, etc.)
Comfortable using a CRM system




Don’t check all the boxes? We know there’s no such thing as a perfect candidate, so if this is a role you feel passionate about we encourage you to apply with a one-page cover letter explaining why this post speaks to you. Drop the “to whom it may concern” and give it to us straight - why you?




What we offer:




Unlimited paid time off
Paid holidays
401k with 4% company match
Health & dental insurance
Company-provided short term disability
Computer reimbursement
Company-wide celebrations, including a summer offsite and holiday party
Cider allowance (how big is your fridge?)




About Downeast Cider




We aspire to build an enduring company with a world-class brand, known as an extraordinary place to work. It’s been 12 years since our first batches of unfiltered cider were fermented in the dorms of Bates College, Maine, and while we’ve gained 120 new teammates and 1.3 million cases of tasty drinks - with a growing assortment beyond cider - we remain 100% founder-owned. We’re a scrappy team that enjoys the hard work of creating a company because we get to work on fun things with people we like.




We like to hire the way we like our cider, unfiltered. With the understanding that we can learn and grow from each other’s differences, we are proud to hire regardless of gender, race, nationality, religion, sexual orientation, disability, age, or anything else that makes us who we are.




Powered by JazzHR




ThW0s2pfcW
Show less ",1,0.2,0.2
8,"Marketing, Public Relations, and Writing/Editing",Higher Education,Internship,"Boston College Introduction

Founded in 1863, Boston College is a Jesuit, Catholic university located six miles from downtown Boston with an enrollment of 9,445 full-time undergraduates and 5,125 graduate and professional students. Ranked 35 among national universities, Boston College has 878 full-time and 1,201 FTE faculty, 2,750 non-faculty employees, an operating budget of $1.2 billion, and an endowment in excess of $2.8 billion.

Job Description

Compensation for this position is $600 per week for a maximum duration of 40 total weeks. Start date TBD.

The intern will administer athletic communications activities for several of BC's men's and women's varsity sports (to be assigned).

Responsibilities will include, but not limited to: arranging and supervising team media and photo days; creating and updating statistical records for teams; maintaining team biographical files; writing, editing, and maintaining sport information on the bceagles.com website; writing press releases, game recaps and preparing electronic media guides; managing communications game operations at home events as assigned; managing social media accounts and supervising work-study students in sports coverage.

This position is extremely hands-on and interns will be expected to produce publish-ready material.

Essential Functions

Home athletic event coverage
Maintaining and updating team biographies and stats
Writing press releases and preparing electronic media guides
Managing and posting to web and various social media accounts
Supervising work-study students in sports coverage
Receiving and responding to media questions
Arranging and supervising team media

Position Details

Department: 011001 - Athletics General

Position: 00014319 - Intern - Athletic Communications

Grade: 00

Requirements

Bachelor's degree required, Master's degree preferred
At least 2 years of experience/undergraduate involvement in intercollegiate athletics is required, preferably at a NCAA Division I institution.
A strong desire to pursue a career in the field of sports management and/or athletic administration is required.
Time and Resource Management
Strong written and verbal skills with the ability to work with time sensitive projects
Considerable organizational and supervisory skills required
Excellent writing and desktop publishing skills, plus proficiency in Adobe InDesign, Adobe Photoshop, MS Word, other publishing programs a plus
Requires ability to manage multiple tasks with very strong interpersonal, organizational, verbal and written communication skills
Ability to thrive in a diverse fast paced student-athlete service driven environment in a collegiate setting
Ability to take direction
Ability to foster and maintain working relationships with other departments in the university and the community
This position will be expected to perform all duties and responsibilities in compliance with all NCAA, ACC, and institutional rules.

Work Conditions/Demands

Evening and weekend work may be required. These demands are primarily centered on athletic competitions.
Holidays and early morning hours are frequently required for various athletic competitions and operational set up of athletic and other events.
Ability to maintain a flexible schedule is required.
The primary working conditions include both an indoor office setting and outdoor event locations. Some medium lifting will be required for event preparation and set up. In most cases, events will occur regardless of weather so exposure to elements is likely.

Interested candidates are highly encouraged to submit a cover letter with their application.

Closing Statement

Boston College offers a broad and competitive range of benefits depending on your job classification eligibility:

Tuition remission for Employees
Tuition remission for Spouses and Children who meet eligibility requirements
Generous Medical, Dental, and Vision Insurance
Low-Cost Life Insurance
Eligibility for both University-Funded 401k and Employer-Sponsored 403b Retirement Plans
Paid Holidays Annually
Generous Sick and Vacation Pay
Additional benefits can be found on https://www.bc.edu/employeehandbook

Boston College conducts pre-employment background checks as part of the hiring process and requires all employees to be fully vaccinated for COVID-19. Boston College is an affirmative action, equal opportunity employer. In concert with our Jesuit, Catholic mission, Boston College is dedicated to the goal of building a culturally diverse and pluralistic faculty and staff committed to teaching and working in a multicultural environment and strongly encourages applications for women, minorities, individuals with disabilities, and covered veterans. To learn more about how BC supports diversity and inclusion throughout the university please visit the Office for Institutional Diversity at https://www.bc.edu/offices/diversity .

Boston College's Notice of Nondiscrimination can be viewed at https://www.bc.edu/nondiscrimination .
Show less ",1,0.43,0.29
9,Business Development and Sales,Internet Publishing,Internship,"Company Description:




OGX, formerly Superfly X, works with the world’s largest intellectual property rights holders to create memorable location-based fan experiences such as Harry Potter: Magic at Play, The Friends Experience, and The Office Experience.




Job Description:




The International & Real Estate intern will work closely with the team’s Touring Coordinator, VP, associated Consultants, and partners focusing on overall international IP project development and management from inception to execution as well as OGX’s Market Touring & Real Estate Strategy.




Areas and tasks include but are not limited to: Market & Competitive Research, Vendor Development & Outreach, Planning & Production, Budgeting & Reporting, Scheduling and Calendar Management, among much more.




Tasks:




Maintaining and updating project documents, including workback schedules and project dashboards
Work in tandem with cross-departmental teams and partners to support company and project goals
Support in necessary research and identification of potential markets, venues, and vendors
Preliminary market and vendor outreach and vetting
Project drive organization and filing of project documents, including maintaining of team trackers
Scheduling & Participating in meetings inclusive of notetaking and distribution of meeting notes
Submitting check requests and tracking respective project costs




Requirements:




18 years or older
Enrolled in an associates and/or bachelors degree program at an accredited college/university.
Currently a Freshman (1st year) standing or above.




Internship Period: 8-10 Weeks




Hours Per Week: 20-40 hours, virtual/remote




Hourly rate: $18- $20 per hour.




Powered by JazzHR




280Dg5FI0X
Show less ",1,0,0.43
10,"Marketing, Public Relations, and Writing/Editing",Higher Education,Internship,"About The Department/Unit




The Color in the Court: Racial and Ethnic Disparities Initiative (REDI) Program Assessment, Training and Technical Assistance project is housed in the School of Public Affairs at American University. The goal of the project is to reduce racial and ethnic disparities in treatment courts through the implementation of research, policy development, and training and technical assistance (TTA).




Summary/Objective




The Communications Student Assistant is a remote part-time position for a current undergraduate or graduate student at American University (AU). The hired candidate will work on average 10 hours per week, however, weekly hours will vary depending on project needs. This position is supervised by the project director, but will also work closely with other team members. The grant is funded through September 2025.




Essential Functions




Responsibilities include, but are not limited to:




Assisting with justice-related research and administrative duties as they arise.
Creating content (e.g., presentation templates, graphics for flyers, blogs, etc.).
Providing editorial assistance for publications.
Managing and updating websites.
Supporting the facilitation of webinars.
Writing materials for training modules and fact sheets.




Salary Range




$16.10 - $18.00/hour; to commensurate with experience.




Required Education And Experience




Current undergraduate or graduate student at American University.




Preferred Education And Experience




Attention to detail and accuracy.
A strong interest in the criminal legal system.
Excellent research and writing skills.
Experience providing communications and/or research support.
Graduate student in the field of justice or communications.
Show less ",1,0,0
