,Job Function,Industry,Job Description
0,Administrative,Motor Vehicle Manufacturing,"Under the general direction of the Controller, this position supports the Accounting department needs including posting in the accounting computer system. IMMEDIATE HIRE!

Responsibilities (include but are not limited to):

Determine management and quality requirements by asking questions and listening
Attend company meetings as required
Maintain a follow-up system that encourages follow through with assigned projects
Establish personal performance goals that are consistent with company standards of productivity and devise a strategy to meet those goals
Review and analyze actions at the end of each day, week, month, and year to determine how to better utilize time and plans more effectively
Understand the terminology of the business and keep abreast of technology changes in products and services
Know and understand the federal, state and local requirements which govern the company’s business
Follow lawful directions from supervisors
Understand and follow work rules and procedures
Interact well with others and be a positive influence on employee morale
Uphold the company’s non-disclosure and confidentiality policies and agreements
Responsible for supply orders for all departments
Promotes positive customer service with external and internal departments
Make adjustments to accounts as needed
Responsible for ordering office supplies and maintaining supply inventory for the dealership
Assist accounting office
Data-entry
Other duties as assigned


Requirements:

Associate degree or equivalent; and six months or more related experience and/or training; or equivalent combination of education and experience
Prefer 2 or more years of work experience
Ability to read and comprehend instructions and information
Professional personal appearance
Office hours/work week Monday-Friday 8:00-5:30 with occasional overtime, required
Ability to meet company's production and quality standards
Strong attention to detail
Works well in a team environment
Able to work with a diverse group of people
Excellent interpersonal, verbal and written communication skills
Knowledge in MS Office Applications (Word, Excel, Outlook)
Must be a motivated, self-starter
Solid time-management skills
Automotive Title experience, a plus


Competencies:

Self-starter
Provide exceptional customer service to both internal and external customers
Effectively communicate and collaborate with fellow employees
Ability to multi-task


In return for your invaluable knowledge, skills, talent and ambition, Toyota of Clermont offers competitive salaries and benefits. Employment is contingent upon successful completion of a background investigation.

Toyota of Clermont is proud to be an Equal Opportunity Employer.
Show less "
1,Sales and Business Development,Motor Vehicle Manufacturing,"Tasks

About Us

Mercedes-Benz is USA is responsible for the sales, marketing and service of all Mercedes-Benz and Maybach products in the United States. In our people, you will find tremendous commitment to our corporate values. Our products and employees reflect this dedication. We are looking for diverse top-notch individuals to join the Mercedes-Benz Team and uphold these hallmarks.

Job Overview

The goal of our summer internship is to enhance a student’s education through a corporate employment relationship with MBUSA. This 8-10 week, paid program will provide exposure to all levels of leadership across various business units.

The MBUSA Vans division is seeking a STAR intern to support in the areas of Product Management and Marketing Communications. Individual would be working on a variety of projects across both departments, supporting 7-8 FTEs. Possible project types include Large Van Product and Option Portfolio & Pricing optimization, Launch of In-House (VPC) Van Vocational Upfit Dealer Program, Internal and external communication deployment, Marketing campaign and Event planning, etc.

Responsibilities


Proofing and editing communication materials
Assisting with project planning for both departments
Managing the marketing sponsorship proposal and submission database
Supporting documentation of internal processes and record keeping
Gather, compile overview of Sprinter competitor portfolio offering (base + options) & pricing
Define product portfolio recommendation based on sales volume and competitor offering
Derive feature based pricing recommendation for Sprinter platform from comparative analysis of competitor pricing
Document process for model system (SWT) set-up & make efficiency recommendations
Project management support for various teams


Qualifications

Qualifications / Education

Education

To qualify for this internship opportunity, you must be a rising junior, senior enrolled in in a Bachelor's program.


Program must be related to the business area of this internship


Qualifications


Knowledge of fundamental business practices and concepts that impact the success and profitability of the organization
Analytical skills to interpret data points and derive recommendations
Strong communication skills
Excellent Microsoft Office suite skills – particularly PowerPoint and Excel
Enrolled or graduated in/from an accredited four-year university
Proficient attention to detail – review and editing of communications materials
Valid driver’s license with a clean driving record


EEO Statement

Mercedes-Benz USA is committed to fostering an inclusive environment that appreciates and leverages the diversity of our team. We provide equal employment opportunity (EEO) to all qualified applicants and employees without regard to race, color, ethnicity, gender, age, national origin, religion, marital status, veteran status, physical or other disability, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local law.
Show less "
2,Management and Manufacturing,Motor Vehicle Manufacturing,"The largest GM Parts Distribution Center in West Michigan is looking for an additional Warehouse Picker/Stocker to join our eleven-time Dealer of the Year, award-winning team. We offer a team environment, great benefit options, career growth opportunities, and ongoing support.

This position is Monday – Friday with Saturday rotations.

If you align with our Cultural Behaviors (listed below), this may be the right opportunity for you. See why you should join our team:

JOB DESCRIPTION:

Pulls, loads, checks, and verifies inventory to meet store and customer orders
Stages routes and loads trucks for wholesale delivery drivers
Inventory maintenance
Cleaning and organizing the warehouse
Annual physical inventory
Returns processing
Lift and carry freight by hand weighing around 50+ pounds
Make deliveries as a backup for Delivery Drivers
Other responsibilities may be assigned through continued employment


BENEFITS:

Compensation – $15.00 - $18.00 an hour (compensation negotiable) depending on experience and yearly longevity bonus
Full-Time Benefits Package – Medical, Dental, Vision, FSA, Critical Illness, $10,000 life insurance policy paid by Berger, additional life insurance options, disability, 401k, paid time off, and paid holidays
Advancement Opportunities –We encourage promoting from within. Our average employee (out of 280) has been employed at Berger for six years - some for as long as 46 years!
Great Work Environment – A family-friendly & drug-free workplace. We have been named an eleven-time Dealer of the Year within the past 20 years because of our exceptional team.
EOE – We are an Equal Opportunity Employer
Additional Benefits – Membership with Working Advantage allows our team to enjoy discounts on theme parks, hotels, concert tickets, and more!


DESIRED SKILLS & QUALIFICATIONS:

High school diploma or equivalent required
Warehouse and hi-lo experience preferred
Reliable, trustworthy, organized, and efficient
Ability to operate an automobile with a valid driver’s license
Must allow a background, driving, and drug screening
Must comply with workplace health procedures as directed by the public health department


LOCATION:

2525 28th St SE, Grand Rapids, MI 49512. We are near great lunch spots, shopping centers and are only 15 minutes from the heart of Grand Rapids.

BERGER CULTURAL BEHAVIORS:

Customer Focused, Innovating, Looking Ahead, One Team, Speak Boldly, It’s On Me, and Integrity
Show less "
3,Other,Motor Vehicle Manufacturing,"VOSS Automotive, a leading global supplier to on-highway and off-road OEM's in the design and manufacture of Diesel Exhaust Fluid Lines, Coolant Lines, Air Suspension Lines and Fittings, Fuel Lines and Fittings and Quick Connect and Accessories, is expanding its workforce and has the following new position open at its North American Headquarters.




Title: Customer Service Coordinator




Reports to: Logistics Manager




This Customer Service Coordinator will support the Logistics Department by performing the following duties:




Job Duties




Enter customer orders accurately and timely.
Setup schedule agreements and perform maintenance on them.
Interface to the customer, answer phone calls, emails, and faxes on order inquiry and coordinate issues with rest of Supply Chain team.
Monitor customer websites for supplier performance ratings, orders, and alerts.
Troubleshoot any issues related to customer orders or delivery problems in a timely manner.
Run weekly open order, drop-in/out, and summary reports.
Provide support to prototype or pre-series orders.
Ability to communicate with customers as well as other VOSS locations worldwide.
Ability to collaborate in different project teams.
Management of activities, tasks, necessary documents using SAP R/3 Software.
Follow all Quality Management Systems, the Environmental Management Systems, and, when applicable, support VOSS Automotive Mexico in adhering to their systems as well.
Participate in plant recycling programs.
Contribute to the achievement of quality/management objectives by ensuring that company policies, procedures, and processes are followed.
Perform other duties as assigned.




Qualifications




Associate’s degree (AA/AS.); 3 years' experience and/or training; or equivalent combination of education and experience.
Strong working knowledge of MS Office Suite.




It’s a very exciting time right now at VOSS as we were recently awarded one of Indiana's Best Employers for eight years by the Indiana Chamber of Commerce.




In addition to our great environment, we offer a competitive salary, 100% employer paid benefit premiums, generous 401(k), on-site fitness center and other comprehensive benefits.




www.vossusa.com
Show less "
4,Management and Manufacturing,Motor Vehicle Manufacturing,"We are Titus-Will Ford in Tacoma! Titus-Will is a trusted, family-owned and operated business since 1938. Many of our employees have made a career of working on our team. Our Quicklane Tire and Auto Center is looking for entry-level Automotive Technicians/Mechanics looking for a fun, friendly, and professional working environment where they can learn and grow their careers.

What We Offer

$35,000 - $52,000/year depending on experience
Bonuses and incentives
1.0 hours Paid Time Off (PTO) earned for every 40.0 hours worked
Flexible schedules
7 Paid Holidays
Paid apprenticeship programs
Paid factory training
Tool assistance
Company supplied uniforms
Employee discounts
Direct deposit
Medical/Dental/Vision
401k retirement savings plan eligible after 90 days of employment
Highly productive shop with the newest technology and equipment
More benefit details available at: https://tituswilljobs.com/hourly-non-commissioned-full-time-benefits/


Qualifications

Automotive experience preferred
Valid driver's license
Willingness to learn and grow in your career


Responsibilities

Perform work specified on the repair order with efficiency and in accordance with the dealership
Test-drive vehicles, and test components and systems, using diagnostic tools and special service equipment
Diagnose, maintain, and repair vehicle automotive systems including engine, transmission, electrical steering, suspension, brakes, air conditioning, etc.
Communicate directly with the Service Advisor so that customers are informed if any additional service is needed. Provide an estimate of the time needed for additional repairs
Execute repairs under warranty to manufacturer specifications
Perform quality inspections


Titus-Will is a drug-free workplace and an equal opportunity employer and prohibits discrimination and harassment of any kind based on race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. To be considered for employment, you will be required to take a pre-employment drug screen (excluding marijuana). For positions involving driving company and/or customer vehicles, you will be required to provide a copy of your driving record (available at your local DMV).
Show less "
5,Management and Manufacturing,Motor Vehicle Manufacturing,"Braun Northwest, Inc. (BNW) is now hiring for a Welder/Fabricator in Chehalis, WA.

The schedule is Monday-Friday, 40hrs per week with a start time between 5:00am and 6:00am. This position is overtime eligible. The compensation for this position is \$18-\$26/hr DOE/DOQ.

BNW offers a benefit package to include medical/dental/vision, life insurance, paid holidays and vacation. BNW's 401(k)-retirement plan is available for all full-time employees after one year of service. We will match 50% of the employee contributions to a maximum of 5% of an employee's annual compensation. For specific information on all of our benefits, please see our careers website {rel=""nofollow""}. Job Details: If you are dependable, hardworking and wanting to enhance your trade, then Braun Northwest, Inc. has a job for you!

BNW is looking for a motivated individual to join our fast-paced team in the Fabrication Department. These positions are responsible for laying out, welding, and building the metal frame and component parts of the emergency response vehicle module. These tasks must be completed accurately in order to be moved to the Paint Department in a timely manner.

In order to be successful in this position, the candidate must have:

read and interpret engineering drawings and specifications.
use and read a tape measure accurately and perform the math calculations to layout the project being fabricated.
fit and weld metal components per drawing and specifications to required tolerances
regularly lift, carry and otherwise move and position objects weighing up to 50lbs, and on occasion 75lbs.
regularly push and pull large sheets of metal in order to place them in proper position for cutting and welding.
stand for long periods of time in order to complete the fabrication work.

Required Experience: Prior welding experience desirable; MIG and aluminum.

Braun Northwest adheres to a core set of values including; Integrity, Fiscal Responsibility and Accountability. We are successful because we place a high value on our employees, customers and product.

Braun Northwest, Inc. is an equal opportunity employer.

Benefits

401k Matching
Dental Insurance
Health Insurance
Health Savings Account
Life Insurance
Paid Time off
Tuition reimbursement
Vision insurance
Show less "
6,Management and Manufacturing,Motor Vehicle Manufacturing,"Auto req ID: 22486

Title: Senior Supply Chain Analyst (Remote)

Job Function: Materials and Procurement

Location: Remote

Company: Harley-Davidson Motor Company

Full or Part-Time: Full Time

At Harley-Davidson, we are building more than machines. It’s our passion and commitment to continue the evolution of this storied brand, and heighten the desirability of the Harley-Davidson experience. To keep building our legend and leading our industry through innovation, evolution, and emotion we need the best and brightest talent. We stand for the timeless pursuit of adventure. Freedom for the soul. Are you ready to join us?

We maximize employee flexibility and well-being through a virtual mindset that supports our highly distributed, global workforce. We take an outcome-focused, people-centered approach to winning, including welcoming the best talent - wherever they may be.

This remote role is not tightly linked to a physical location and provides flexibility in where, when and how you accomplish your work. Remote employees are expected to have a dedicated, quiet and distraction-free work space and an internet connection that’s sufficient for completing their job remotely.

Job Summary

The position will work directly with suppliers to ensure a consistent supply of parts to both Harley-Davidson final vehicle assembly plants in York, PA and Thailand.

Job Responsibilities

Able to work autonomously in a fast-paced environment with a sense of urgency and priority. This work directly ensures Harley-Davidson production lines are supported with material to meet production schedules.
Works collaboratively with suppliers on daily shipments to ensure continuity of supply. This includes reviewing open and past due orders with suppliers, developing ship plans, and working with Logistics providers to ensure timely shipments are met.
Interfaces with Suppliers, Receiving, 3PL, Operations, Logistics, Customs, Quality, Engineering, and Scheduling daily.
Develops deep understanding of supplier constraints inhibiting their ability to supply production parts to Harley-Davidson including raw material supply, internal and external capacity constraints, routing guides, and distribution bottlenecks.
Pro-actively identifies areas of potential supply chain risk and directly works with adjacent supply chain functions to minimize plant impacts.
Gather data and conducts analysis of overall supply chain performance to optimize inventory levels and manage inbound delivery timing and risk.
Working knowledge of Truckload, LTL, Intermodal and Parcel networks and industries
Ability to drive results with a low level of guidance and direction.
Effectively communicates complex information involving Supply Chain Operations impacts to affected stakeholders.

Education Requirements

Bachelor's Degree Preferred

Experience Requirements

Required-

Typically requires a minimum of 5 years of related experience
Able to work autonomously in a fast-paced environment with a sense of urgency and priority
Strong communication (verbal and written)
Understanding of MRP elements, Logistics, and Supplier Performance Management

Preferred-

SAP experience
CPIM, CSCP
Experience in a manufacturing environment

Harley-Davidson is an equal opportunity employer that continues to build a culture of inclusion, belonging and equity through our commitment to attracting and retaining diverse talent from all backgrounds, without regard to race, color, religion, sex, sexual orientation, national origin, gender identity, age, disability, veteran status or any other characteristic protected by law. We believe in fairness and providing a level playing field for all. We foster a culture that thrives on diverse perspectives and contributions to ignite the creativity and innovation to fuel our business and enhance the employee and customer experience.

The pay range shown represents the national average pay range for this role. Your pay may be more or less than the stated range and is dependent on your geographic location and level of experience.

We offer an inclusive compensation package for all full-time salaried employees including, but not limited to, annual bonus programs, health insurance benefits, a 401k program, onsite fitness centers and employee stores, employee discounts on products and accessories, and more. Learn more about Harley-Davidson here.

Applicants must be currently authorized to work in the United States.

Direct Reports: No

Travel Required: 0 - 10%

Pay Range: 78000 - 116000

Visa Sponsorship: This position is not eligible for visa sponsorship

Relocation: This position is not eligible for relocation assistance
Show less "
7,Management and Manufacturing,Motor Vehicle Manufacturing,"Start TODAY! New Jobs Available in Lakeland! FLAT RATE Car Washer Jobs




Are you a team player who is focused on providing exemplary customer service and who performs well in a fast paced work environment?




Teph Seal Auto Appearance, a privately-held company, operates detail/reconditioning centers in auto dealerships across the United States. Our strong team of dedicated professionals is our most powerful asset, allowing us to develop dynamic detail solutions for a wide variety of auto dealerships. Our culture of challenging the status quo makes each employee a key contributor to our success and a vital part of our thriving entrepreneurial-minded company culture.




The invididual in this position is required to be proficient in all aspects of the car washing duties and be flexible and willing to rotate between all stations. Duties include greeting guests, vacuuming their vehicle, pressure washing, cleaning windows drying, parking the vehicle.




Working Conditions




This physically demanding position requires frequent movement; i.e. bending, lifting, reaching, squatting, and getting into and out of various vehicles repeatedly during the work shift.
A portion of the work may be completed outside of the dealership, under varying climate conditions.
Will work with and move numerous vehicles during the course of the working day.
Must be flexible and willing able to carry out additional duties as assigned by management due to operational needs.




The ideal candidate will have




The ability to read and comprehend instructions and information.
A valid driver's license and a good driving record.
The ability to demonstrate good judgment.
Neat and professional appearance
The ability to drive both automatic and manual shift vehicles
We provide a collaborative work place with growth opportunities for career minded individuals.
We offer a comprehensive compensation and benefits package and all the tools necessary to be successful. Our offerings include Medical, Dental, Vision Plans, Life Insurance, Paid Time Off and 401(k) Retirement Plan with company match.
Teph Seal is a Drug-Free Workplace. All employment is contingent on successful completion of drug and background screening.
Show less "
8,Management and Manufacturing,Motor Vehicle Manufacturing,"Ready to join a winning team? Your next opportunity awaits at Mercedes-Benz of Ontario. We are hiring an Entry-level Automotive Technician to join our team.

Automotive Technicians – we’ve got your covered!

We offer free health insurance for you and your family
Competitive hourly rates
Relocation assistance available
Ability to flag over 200 hours per month
Parts and vehicles delivered to your stall
ASE and smog schooling reimbursement available
Largest specialty tool room in the Nation
Supportive Shop Foreman and Team Leaders


Benefits

Health insurance
Dental insurance
Vision insurance
Paid time off
401(k)
401(k) matching
Flexible spending account
Professional development assistance
Life insurance
Employee assistance plan
Disability insurance


Pay Scale Information

$18 - $20 / hour

Qualifications

Valid driver’s license and clean driving record
Degree or Certificate from a trade school preferred
Previous experience as an automotive technician preferred


Responsibilities

Perform maintenance and repairs with efficiency and in accordance with dealership and manufacturer standards.


At Fletcher Jones, we attract, nurture, and retain the most talented people in the industry by providing the highest quality work environment where productivity, creativity, and personal and professional growth can flourish. We believe our team sits behind the wheel of the Fletcher Jones brand that drives our company toward success.

We are an Equal Opportunity Employer
Show less "
9,Management and Manufacturing,Motor Vehicle Manufacturing,"Feldmann Imports is a family owned and operated Mercedes-Benz dealer. Our ability to perform at such a high level is directly related to the efforts of our talented team of professionals, and we're looking for more great people to join our team. We strive for excellence in everything we do while keeping a servant heart to leave a lasting legacy!

We are looking for a highly motivated Automotive Detailer to help provide customers with exceptional experiences. The ideal candidate will be a self-starter with strong work ethic who flourishes in a fast-paced and professional workplace. If this sounds like you, then apply to join our exciting team as an Automotive Detailer!

What We Offer

$16-$19/hr
Work/Life balance with schedules that get you home earlier!
401K Plan with Aggressive Employer Match Program
Closed Holidays: New Year's Day, Memorial Day, 4th of July, Labor Day, Thanksgiving, Christmas Eve and Christmas Day
Paid time off and vacation
Medical, Dental and Vision Insurance
Short/Long Term Disability
Growth opportunities
Paid Training
Employee vehicle purchase plans
Saturday Lunches
Long term job security
Health and wellness
Discounts on products and services


Responsibilities

Clean, wax, polish, refurbish and detail vehicles that were collision damaged, as well as old and new vehicles.
Inspect finished products to ensure the highest quality service.
Understand and deliver on specific customer requirements.
Maintain proper function of all service tools and equipment.
Directly report any damage to the supervising manager in a clear and timely fashion.
Coordinate and arrange work effectively with team members.
Maintain excellent standards and quality of service to positively represent the organization.
Other duties as assigned.


Qualifications

Positive attitude and can-do mentality
Hardworking personality, shown leadership qualities and eagerness to improve
Excellent communication and customer service skills
Valid driver's license and clean driving record


We are an equal opportunity employer and prohibit discrimination/harassment without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.
Show less "
