Job Title,Company Name,Date,Job Link
People & Culture Partner,Warner Bros. Discovery,3/25/23,https://www.linkedin.com/jobs/view/people-culture-partner-at-warner-bros-discovery-3555177935?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=znFL3CNoybV9RywAP%2BjSyQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
VP of Learning & Development,Dental Care Alliance,4/4/23,https://www.linkedin.com/jobs/view/vp-of-learning-development-at-dental-care-alliance-3555948760?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=EyT4eHgprx1Bw31w3IXFRw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Regional VP of Operations- West,Marketing.com,3/31/23,https://www.linkedin.com/jobs/view/regional-vp-of-operations-west-at-marketing-com-3552000505?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=HyUxXL66hzeg7WN47RgtMg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Regional VP of Operations- East,Marketing.com,3/31/23,https://www.linkedin.com/jobs/view/regional-vp-of-operations-east-at-marketing-com-3550797470?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=Ao3O4cDc2GZPoOMlrGAGzA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Regional VP of Operations- Central,Marketing.com,3/31/23,https://www.linkedin.com/jobs/view/regional-vp-of-operations-central-at-marketing-com-3552001211?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=YE6gh0LH0uAV4FrEvMKNTA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
General Warehouse,Compunnel Inc.,4/3/23,https://www.linkedin.com/jobs/view/general-warehouse-at-compunnel-inc-3555980456?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=WXD3wmxX1P%2FwOQOeWvXeYA%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Chief Human Resource Officer,Brightway Insurance,3/22/23,https://www.linkedin.com/jobs/view/chief-human-resource-officer-at-brightway-insurance-3550918120?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=TZPYZ3DX3h%2Br0GLPD1XXOw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Vice President Information Systems,Excess Telecom,4/5/23,https://www.linkedin.com/jobs/view/vice-president-information-systems-at-excess-telecom-3559030744?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=vTtZQMu3z7Z4Y0IJotuTMA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Head of Brand Marketing,NXT Wave Talent,4/4/23,https://www.linkedin.com/jobs/view/head-of-brand-marketing-at-nxt-wave-talent-3556854196?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=9mF4jNvlxUukUOo8WsqUIA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
General Manager,Crash Champions,4/4/23,https://www.linkedin.com/jobs/view/general-manager-at-crash-champions-3554724393?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=avEyt8Q3paAOse%2BAZQFhBQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
"Chief Operating Officer, Information Services - Remote | WFH",Get It Recruit - Healthcare,4/5/23,https://www.linkedin.com/jobs/view/chief-operating-officer-information-services-remote-wfh-at-get-it-recruit-healthcare-3551189968?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=5Td2oN9cKBYh4Mwr8mU53A%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
President/Partner,"MorCo, Ltd.",3/31/23,https://www.linkedin.com/jobs/view/president-partner-at-morco-ltd-3551258674?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=M7LzWCTgHzhp5blCDEzhzA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
"Chief Executive Officer-BHPG, Full-Time, Days (49169) BHC",Broward Health,3/10/23,https://www.linkedin.com/jobs/view/chief-executive-officer-bhpg-full-time-days-49169-bhc-at-broward-health-3556987074?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=oq9%2F6%2Bznpt1JYI44fucuTg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
VP of Real Estate and Construction,SNIPES,3/11/23,https://www.linkedin.com/jobs/view/vp-of-real-estate-and-construction-at-snipes-3551159452?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=%2BU5O9d3SDagohOizADsVkg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
"SVP, Sales and Marketing",Office Depot,4/5/23,https://www.linkedin.com/jobs/view/svp-sales-and-marketing-at-office-depot-3558555893?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=6BWzJ9nQlIVW9t0r1bIYjw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Vice President of Communications,Sanford Burnham Prebys,4/3/23,https://www.linkedin.com/jobs/view/vice-president-of-communications-at-sanford-burnham-prebys-3553053700?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=bXygHBzsEv%2BeBsd7kNe8sA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
VP of Business Development,Elmington,4/2/23,https://www.linkedin.com/jobs/view/vp-of-business-development-at-elmington-3553987845?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=j0F%2FcC%2BteNLwo%2FEgAI3yKQ%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
General Utility,Compunnel Inc.,4/3/23,https://www.linkedin.com/jobs/view/general-utility-at-compunnel-inc-3555953163?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=zXAzZ3YPeiYlfukVKwDWMQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Executive Director - Non-Profit Foundation,"Otter Inspirations, LLC",3/31/23,https://www.linkedin.com/jobs/view/executive-director-non-profit-foundation-at-otter-inspirations-llc-3550387018?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=7IfbAcLrJ8G1ZnuulWCbGw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Vice President Operations,Confidential,4/5/23,https://www.linkedin.com/jobs/view/vice-president-operations-at-confidential-3555474848?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=2bjC4CTGCIB7MES4JwR%2Fdg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Executive Director of Marketing & Communication,The Y (YMCA),3/31/23,https://www.linkedin.com/jobs/view/executive-director-of-marketing-communication-at-the-y-ymca-3556086574?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=uHaSnxJ0ecW1WK8GWF%2Bt%2FQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
Chief Customer Experience Officer,Valley Metro RPTA,3/31/23,https://www.linkedin.com/jobs/view/chief-customer-experience-officer-at-valley-metro-rpta-3550783108?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=q59QHNpmNS8nN94Y3l2b2A%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
"VP, Customer Experience",Ellsworth Adhesives,3/31/23,https://www.linkedin.com/jobs/view/vp-customer-experience-at-ellsworth-adhesives-3551365890?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=5X5qKfhcCXHAN8vwV9syIw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
General Interest,Big Rig Lending,3/10/23,https://www.linkedin.com/jobs/view/general-interest-at-big-rig-lending-3553075761?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=DiIVfify0Kyx2Fr0c7Hc5Q%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
General Manager/Operator,Biscuitville Fresh Southern,4/1/23,https://www.linkedin.com/jobs/view/general-manager-operator-at-biscuitville-fresh-southern-3552777696?refId=kV8AODVm59zs8k%2FP3%2F2GaA%3D%3D&trackingId=ObMinX5h%2BWDd55beoAZdgA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Chief Information Officer,Administration for Children and Families (ACF),3/28/23,https://www.linkedin.com/jobs/view/chief-information-officer-at-administration-for-children-and-families-acf-3554018211?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=de%2B%2FtNHPubNle%2BtGeuW8Lw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
Director of People,Cyberjin,3/31/23,https://www.linkedin.com/jobs/view/director-of-people-at-cyberjin-3551267590?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=sDyEyWuoTNdnXOLrnWs%2FDg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
Deputy Director of Athletics / Chief Revenue Officer,"California State University, Northridge",4/4/23,https://www.linkedin.com/jobs/view/deputy-director-of-athletics-chief-revenue-officer-at-california-state-university-northridge-3553560301?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=shwTtvngW73rs3MfE9wufQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
VP for Marketing & Communications,Bradley University,3/16/23,https://www.linkedin.com/jobs/view/vp-for-marketing-communications-at-bradley-university-3557457613?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=BG36oDz%2BPoUKgyDA%2BIL77w%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
"VP, Talent Acquisition and Management",Lucet (formerly New Directions + Tridiuum),4/3/23,https://www.linkedin.com/jobs/view/vp-talent-acquisition-and-management-at-lucet-formerly-new-directions-%2B-tridiuum-3551251113?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=J3HCX7euLZWoyceO77D2rA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
Chief People Officer,State of Massachusetts,3/15/23,https://www.linkedin.com/jobs/view/chief-people-officer-at-state-of-massachusetts-3555209796?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=1AAosBknkbMEC7VmnBuLTw%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
Training Program Owner II,CVS Health,3/31/23,https://www.linkedin.com/jobs/view/training-program-owner-ii-at-cvs-health-3550618454?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=gtMrA3V9zYS6mIsiSLVK%2BQ%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
"Vice President, Supply Chain",CelLink Corporation,3/11/23,https://www.linkedin.com/jobs/view/vice-president-supply-chain-at-cellink-corporation-3557426756?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=L%2FqnCvoz90qH%2F8qQoiw0mw%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
Chief Financial Officer,Salary.com,4/4/23,https://www.linkedin.com/jobs/view/chief-financial-officer-at-salary-com-3555949600?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=Kl72ioJQcc%2FZ4CP%2BblYXow%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
VP of Human Resources,Now Optics,3/13/23,https://www.linkedin.com/jobs/view/vp-of-human-resources-at-now-optics-3555286190?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=7YeLyiyYPyDlMX5q9IWMxw%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
VP of Learning Design,ThinkCERCA,4/4/23,https://www.linkedin.com/jobs/view/vp-of-learning-design-at-thinkcerca-3555405697?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=wLrrWTs4aNxnMKv%2BSnmzuQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
VP of Business Development,KemperSports,3/10/23,https://www.linkedin.com/jobs/view/vp-of-business-development-at-kempersports-3557033145?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=q5tgTqLvRXEszUlFkoeRSQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
Chief Technology Officer,Blueberry Pediatrics,4/1/23,https://www.linkedin.com/jobs/view/chief-technology-officer-at-blueberry-pediatrics-3552309698?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=b9bOQ%2B8qibhk7PwM%2BVbQfw%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
General Interest for Future Roles,AcuityMD,4/5/23,https://www.linkedin.com/jobs/view/general-interest-for-future-roles-at-acuitymd-3555270685?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=gnMjwN3zMZ6ePrZXdbnSFA%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
"VP, Business Management",Santander US,3/28/23,https://www.linkedin.com/jobs/view/vp-business-management-at-santander-us-3557612127?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=EZ8qBUeUbV7MdrahStmhJA%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
Chief Financial Officer,"Alpha Omega Construction Group, Inc.",4/1/23,https://www.linkedin.com/jobs/view/chief-financial-officer-at-alpha-omega-construction-group-inc-3552575654?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=angD2QK8yYG9y4%2BTpJEr1g%3D%3D&position=16&pageNum=1&trk=public_jobs_jserp-result_search-card
Admissions Representative,Brookline College,4/4/23,https://www.linkedin.com/jobs/view/admissions-representative-at-brookline-college-3554325220?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=1EGeFYYqowG7mbsfnCbCwg%3D%3D&position=17&pageNum=1&trk=public_jobs_jserp-result_search-card
Recruiter Sourcer CEO Search,Boys & Girls Clubs of America,3/11/23,https://www.linkedin.com/jobs/view/recruiter-sourcer-ceo-search-at-boys-girls-clubs-of-america-3555189091?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=m1aBBTKHyCN9GE%2BF%2B%2FcejA%3D%3D&position=18&pageNum=1&trk=public_jobs_jserp-result_search-card
"Vice President, Music & Entertainment Relations",Global Citizen,4/4/23,https://www.linkedin.com/jobs/view/vice-president-music-entertainment-relations-at-global-citizen-3556952821?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=dhSEpOo8tBzOzgYoirwNXQ%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
General Manager,True North Hotel Group,4/5/23,https://www.linkedin.com/jobs/view/general-manager-at-true-north-hotel-group-3555401452?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=pHmvhbQKlIIce5CQqmvilA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
Vice President Operations and Supply Chain,"Newton Baby, Inc.",4/2/23,https://www.linkedin.com/jobs/view/vice-president-operations-and-supply-chain-at-newton-baby-inc-3553991355?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=9dokwI5yWXHSRMcXVe7kJA%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
General Manager - Casino Resort,Monarch Casino Resort Spa - Black Hawk,4/4/23,https://www.linkedin.com/jobs/view/general-manager-casino-resort-at-monarch-casino-resort-spa-black-hawk-3556950319?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=2FiPln9MQlIJ287lkVsSMQ%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
General Manager/Operator,Biscuitville Fresh Southern,4/1/23,https://www.linkedin.com/jobs/view/general-manager-operator-at-biscuitville-fresh-southern-3553278430?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=ez5mT%2FRoCzCWUm%2B45tXh9w%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
General Manager/Operator,Biscuitville Fresh Southern,4/1/23,https://www.linkedin.com/jobs/view/general-manager-operator-at-biscuitville-fresh-southern-3552776464?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=RiW0YODcZAICYTFfY16L1Q%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
General Manager/Operator,Biscuitville Fresh Southern,4/1/23,https://www.linkedin.com/jobs/view/general-manager-operator-at-biscuitville-fresh-southern-3552775576?refId=eg7P6PPN2vY1l4qRD8UDVQ%3D%3D&trackingId=4rPpLsLXefoxMlfn3cdGJg%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
General Manager/Operator,Biscuitville Fresh Southern,4/1/23,https://www.linkedin.com/jobs/view/general-manager-operator-at-biscuitville-fresh-southern-3552774932?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=RB%2B07jTL6wKw1OSZOC8ftw%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
General Manager/Operator,Biscuitville Fresh Southern,4/1/23,https://www.linkedin.com/jobs/view/general-manager-operator-at-biscuitville-fresh-southern-3552773773?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=P1RbtdjrMakQ7Jc03%2BR%2FzQ%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
General Manager,Air Culinaire Worldwide,3/15/23,https://www.linkedin.com/jobs/view/general-manager-at-air-culinaire-worldwide-3553542131?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=wSDDiGxZp%2FDs%2F%2BEgtDX3bA%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
"Vice President, Technology",Professional Diversity Network,4/4/23,https://www.linkedin.com/jobs/view/vice-president-technology-at-professional-diversity-network-3556810668?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=zc7QKDyiZpjlpRDfea3oFw%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
Chief Operating Officer,Early Learning Neighborhood Collaborative,4/4/23,https://www.linkedin.com/jobs/view/chief-operating-officer-at-early-learning-neighborhood-collaborative-3556664225?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=6943tCkPro91Q9V53hL%2BNw%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
"VP of R&D, Cosmetics",Westman Atelier,4/1/23,https://www.linkedin.com/jobs/view/vp-of-r-d-cosmetics-at-westman-atelier-3550998860?refId=V5ZPQqOi3%2FA1gBxcxGgRgw%3D%3D&trackingId=OVFciuIRSb4H7FCHjEWYew%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
