Company,Industry Sub-Group,Employees Who Are Women,Executives Who Are Women
dashiell-careers-812320,Capital Goods,30%,-
nabholz-construction-careers-32234,Commercial & Professional Services,18%,13%
day-zimmermann-careers-21023,-,33%,20%
pella-careers-34531,Construction Materials,39%,31%
greenwood-careers-25234,Commercial & Professional Services,49%,24%
napster-careers-47050,Software & Services,44%,16%
clyde-companies-careers-19435,Commercial & Professional Services,57%,-
hill-construction-co-careers-26221,Commercial & Professional Services,14%,-
bl-harbert-international-careers-1023559,Capital Goods,21%,8%
pultegroup-careers-9479,Capital Goods,49%,19%
turner-construction-careers-1044921,Commercial & Professional Services,27%,14%
martin-marietta-careers-7137,Materials,22%,40%
champion-homes-careers-18786,Capital Goods,24%,-
sundt-construction-careers-41564,Commercial & Professional Services,19%,35%
hitt-contracting-careers-26295,Commercial & Professional Services,25%,15%
austin-industries-careers-15827,Capital Goods,17%,33%
meritage-homes-careers-7390,Independent Power and Renewable Electricity Producers,43%,41%
tate-global-careers-40460,-,39%,40%
ncc-careers-1232712,-,54%,40%
cupertino-electric-careers-20721,Capital Goods,35%,30%
sherwood-companies-careers-1079330,Capital Goods,44%,-
weeks-marine-careers-44215,Capital Goods,13%,-
new-enterprise-stone-lime-co-careers-32707,Capital Goods,27%,-
lehigh-hanson-careers-29367,Construction Materials,28%,-
benson-industries-careers-16634,Commercial & Professional Services,25%,-
carollo-engineers-careers-18227,Commercial & Professional Services,35%,-
armstrong-world-industries-inc-careers-940,Construction Materials,30%,45%
michels-careers-31386,Utilities,24%,-
technip-usa-careers-40569,-,30%,30%
lennar-careers-6760,Real Estate,45%,26%
walton-company-careers-804787,Capital Goods,49%,14%
hart-cooley-careers-25721,Construction Materials,28%,-
the-shaw-group-inc-careers-41521,-,25%,31%
shook-construction-careers-61841,Commercial & Professional Services,21%,-
cambria-careers-17884,Consumer Discretionary,46%,33%
turner-industries-careers-42552,Capital Goods,19%,10%
vulcan-materials-company-careers-12574,Materials,24%,43%
owens-corning-careers-8654,Construction Materials,29%,46%
sunbelt-rentals-careers-39987,Commercial & Professional Services,17%,-
taylor-morrison-careers-11214,Commercial & Professional Services,47%,38%
suffolk-construction-company-careers-39884,Capital Goods,29%,22%
morgan-careers-31882,Capital Goods,30%,18%
chiyoda-international-careers-1342768,Capital Goods,-,10%
goodfellow-bros-careers-24913,Capital Goods,26%,-
scott-equipment-careers-37816,Capital Goods,25%,-
zachry-holdings-careers-45232,Capital Goods,20%,32%
deem-careers-21123,Capital Goods,18%,-
jb-henderson-construction-careers-27834,Commercial & Professional Services,29%,-
moody-international-group-careers-152308,-,47%,-
cochran-careers-19532,Capital Goods,40%,-
argos-usa-careers-15307,Construction Materials,27%,-
bergelectric-careers-16648,Commercial & Professional Services,-,14%
tutor-perini-careers-11909,Capital Goods,27%,20%
skanska-careers-1035662,Capital Goods,19%,39%
key-construction-careers-957924,Capital Goods,16%,11%
bovis-lend-lease-americas-careers-29391,-,37%,30%
hutton-careers-1052620,Capital Goods,35%,-
bechtel-careers-16490,-,24%,18%
owens-illinois-careers-8656,Capital Goods,29%,29%
crowder-careers-1044566,-,21%,46%
hunter-roberts-construction-group-careers-1555134,Commercial & Professional Services,43%,17%
juniper-landscaping-careers-493777,Independent Power and Renewable Electricity Producers,60%,10%
winter-park-construction-wpc-careers-1040069,Commercial & Professional Services,38%,-
blattner-energy-careers-16921,Independent Power and Renewable Electricity Producers,12%,14%
mortenson-careers-30030,Commercial & Professional Services,26%,26%
cdm-smith-careers-18460,Commercial & Professional Services,34%,11%
the-layton-companies-careers-41248,Capital Goods,39%,-
holder-construction-careers-26357,Commercial & Professional Services,33%,18%
swinerton-careers-40214,Commercial & Professional Services,31%,29%
probuild-careers-35558,Capital Goods,28%,23%
construction-management-services-careers-20065,-,19%,-
ledcor-cmi-careers-29327,-,16%,-
richmond-american-homes-careers-6982,Capital Goods,47%,-
w-w-steel-company-careers-43893,Capital Goods,28%,-
dpr-construction-careers-21727,Commercial & Professional Services,26%,27%
smiths-detection-careers-38651,Capital Goods,31%,27%
nvr-careers-8377,Commercial & Professional Services,39%,24%
walbridge-careers-41622,Commercial & Professional Services,30%,12%
ernst-enterprises-careers-22741,Capital Goods,33%,-
cumming-careers-20703,-,48%,28%
patrick-industries-careers-8838,Construction Materials,39%,26%
cvc-holding-careers-20764,-,37%,23%
usg-careers-12236,Construction Materials,31%,36%
fluor-careers-4597,Commercial & Professional Services,21%,22%
v3-companies-careers-1578240,Commercial & Professional Services,32%,-
m-c-dean-careers-30033,Capital Goods,17%,27%
preston-pipelines-careers-692357,Capital Goods,46%,-
certainteed-careers-18715,Commercial & Professional Services,20%,-
the-roberts-company-field-services-careers-41486,Capital Goods,-,-
orion-group-holdings-careers-8613,Commercial & Professional Services,32%,28%
black-veatch-careers-16881,Media,31%,25%
gilbane-building-careers-24651,Commercial & Professional Services,34%,20%
mccarthy-holdings-careers-30706,-,39%,-
tampa-armature-works-careers-40405,Capital Goods,-,-
griffon-careers-5228,Construction Materials,34%,26%
national-gypsum-careers-63165,Construction Materials,15%,20%
railworks-careers-959971,Capital Goods,17%,9%
dynacast-careers-21927,Capital Goods,27%,-
united-steel-careers-1109557,Capital Goods,20%,38%
burns-mcdonnell-careers-17636,Commercial & Professional Services,27%,28%
