Company,Industry Sub-Group,Employees Who Are Women,Executives Who Are Women
kimberly-clark-careers-6520,Health Care Equipment & Services,40%,35%
pride-technologies-careers-35457,Commercial & Professional Services,-,-
graduate-school-usa-careers-1570730,Diversified Consumer Services,53%,-
artcenter-college-of-design-careers-679443,Diversified Consumer Services,42%,38%
lincoln-international-high-school-careers-1836237,Diversified Consumer Services,52%,-
new-york-university-careers-83410,Diversified Consumer Services,57%,54%
the-judge-rotenberg-educational-center-careers-1577949,Diversified Consumer Services,-,-
livingston-public-schools-careers-1277836,Diversified Consumer Services,58%,-
lsu-health-sciences-center-careers-775120,Diversified Consumer Services,69%,-
special-school-district-of-st-louis-county-careers-1556515,Diversified Consumer Services,68%,40%
roseman-university-of-health-sciences-careers-1417464,Diversified Consumer Services,65%,50%
interlochen-center-for-the-arts-careers-1574929,Consumer Durables & Apparel,58%,49%
touch-international-careers-42022,-,48%,-
the-university-of-chicago-careers-321070,Diversified Consumer Services,58%,30%
massachusetts-institute-of-technology-careers-1209810,Diversified Consumer Services,46%,39%
the-citadel-careers-1304212,Diversified Consumer Services,-,-
portland-public-schools-careers-650119,Diversified Consumer Services,58%,57%
the-cooper-union-careers-1416927,Diversified Consumer Services,39%,-
epson-america-careers-22692,Consumer Durables & Apparel,38%,22%
mount-vernon-primary-center-careers-338802,Diversified Consumer Services,54%,-
aspire-public-schools-careers-677087,Diversified Consumer Services,63%,62%
naval-postgraduate-school-careers-1278137,Diversified Consumer Services,28%,62%
delaware-technical-and-community-college-careers-742078,Diversified Consumer Services,62%,71%
western-university-of-health-sciences-careers-1417561,Diversified Consumer Services,48%,45%
college-board-careers-19597,Diversified Consumer Services,51%,40%
the-university-of-tulsa-careers-134333,Diversified Consumer Services,41%,38%
montgomery-county-public-schools-careers-1198503,Diversified Consumer Services,66%,-
sacramento-city-unified-school-district-careers-677424,Diversified Consumer Services,-,-
phacil-careers-34770,-,39%,-
thomas-jefferson-university-careers-155180,Diversified Consumer Services,67%,49%
university-of-texas-health-science-center-at-houston-careers-1417532,Diversified Consumer Services,65%,53%
hewlett-packard-enterprise-careers-5538,Software & Services,34%,31%
houston-isd-careers-814738,Diversified Consumer Services,-,-
hillsdale-college-careers-1218896,Diversified Consumer Services,53%,18%
national-board-of-medical-examiners-careers-32311,Diversified Consumer Services,39%,69%
the-rockefeller-university-careers-1278184,Diversified Consumer Services,-,45%
university-of-arkansas-for-medical-sciences-careers-650875,Diversified Consumer Services,71%,-
university-of-cincinnati-careers-120895,Diversified Consumer Services,49%,49%
massasoit-community-college-careers-1212914,Diversified Consumer Services,56%,29%
casa-systems-careers-1405614,Software & Services,32%,29%
midwestern-university-careers-339220,Diversified Consumer Services,61%,60%
avenues-the-world-school-careers-1490873,Diversified Consumer Services,71%,56%
creighton-university-careers-1258599,Diversified Consumer Services,53%,34%
medical-college-of-wisconsin-careers-1385545,Diversified Consumer Services,66%,32%
yale-university-careers-731621,Diversified Consumer Services,54%,54%
