Company,Industry,Employees Who Are Women,Executives Who Are Women
doctors-hospital-careers-311270,-,71%,-
st-mary-s-health-care-system-careers-39418,Health Care Equipment & Services,78%,-
henry-ford-health-system-careers-1224693,Health Care Equipment & Services,74%,44%
instrumentation-laboratory-careers-27345,-,29%,-
agilent-technologies-careers-293,Software & Services,35%,37%
norton-sound-health-careers-33250,Media,59%,-
bankers-healthcare-group-careers-86084,Diversified Financials,47%,25%
irhythm-technologies-careers-6243,Software & Services,53%,36%
chg-healthcare-careers-18955,Health Care Equipment & Services,48%,33%
blue-cross-and-blue-shield-of-florida-careers-16968,Health Care Equipment & Services,63%,-
amgen-careers-719,"Pharmaceuticals, Biotechnology & Life Sciences",43%,45%
samaritan-med-cent-careers-37484,-,74%,40%
carilion-clinic-careers-18153,Health Care Equipment & Services,74%,23%
main-line-hospitals-careers-30168,-,65%,40%
baxter-international-careers-1362,"Pharmaceuticals, Biotechnology & Life Sciences",41%,43%
hoag-careers-26326,Health Care Equipment & Services,65%,42%
ut-southwestern-medical-center-careers-1329173,Diversified Consumer Services,63%,48%
north-memorial-health-careers-33116,Health Care Equipment & Services,70%,50%
emd-serono-careers-22410,"Pharmaceuticals, Biotechnology & Life Sciences",51%,42%
nuvasive-careers-8365,"Pharmaceuticals, Biotechnology & Life Sciences",38%,35%
american-society-of-clinical-oncology-careers-1364491,-,48%,52%
regeneron-pharmaceuticals-careers-9714,"Pharmaceuticals, Biotechnology & Life Sciences",46%,30%
w-l-gore-and-associates-careers-43900,"Pharmaceuticals, Biotechnology & Life Sciences",38%,62%
medimpact-healthcare-systems-careers-62005,-,56%,40%
cleveland-clinic-careers-115388,Health Care Equipment & Services,68%,30%
interhealth-corp-careers-27466,Health Care Equipment & Services,-,-
ochsner-health-system-careers-33497,Health Care Equipment & Services,-,40%
varian-medical-systems-careers-12325,"Pharmaceuticals, Biotechnology & Life Sciences",30%,40%
alkermes-careers-62845,"Pharmaceuticals, Biotechnology & Life Sciences",37%,35%
tenet-healthcare-careers-11335,Health Care Equipment & Services,64%,39%
adirondack-medical-center-careers-13597,Health Care Equipment & Services,67%,-
cvs-health-careers-3155,Health Care Equipment & Services,63%,44%
washington-hospital-healthcare-system-careers-44070,Health Care Equipment & Services,-,-
insmed-careers-6014,"Pharmaceuticals, Biotechnology & Life Sciences",-,42%
grand-view-health-careers-25072,Health Care Equipment & Services,77%,25%
caresource-careers-18126,Health Care Equipment & Services,66%,37%
the-vascular-group-pllc-careers-82571,Health Care Equipment & Services,69%,-
cynosure-careers-20795,"Pharmaceuticals, Biotechnology & Life Sciences",40%,41%
teamhealth-careers-40534,Health Care Equipment & Services,76%,22%
glaukos-careers-4964,"Pharmaceuticals, Biotechnology & Life Sciences",-,32%
abiomed-careers-79,"Pharmaceuticals, Biotechnology & Life Sciences",41%,30%
onyx-pharmaceuticals-careers-33754,-,48%,-
aetna-careers-272,Health Care Equipment & Services,65%,47%
human-genome-sciences-careers-26798,-,46%,-
sarepta-therapeutics-careers-10105,"Pharmaceuticals, Biotechnology & Life Sciences",56%,43%
pharmacyclics-careers-34782,"Pharmaceuticals, Biotechnology & Life Sciences",58%,58%
oroville-hospital-careers-33884,Consumer Services,77%,80%
fibrogen-careers-4281,"Pharmaceuticals, Biotechnology & Life Sciences",44%,32%
