Company,Industry Sub-Group,Employees Who Are Women,Executives Who Are Women
medidata-solutions-careers-7322,Software & Services,42%,27%
united-data-technologies-careers-1565027,-,22%,-
ntt-data-international-careers-33344,-,39%,22%
hp-careers-5695,Software & Services,35%,48%
tsr-consulting-careers-11896,-,47%,-
odyssey-systems-careers-33520,Commercial & Professional Services,29%,-
mozilla-careers-32035,Software & Services,-,51%
pantheon-careers-34215,Commercial & Professional Services,-,43%
cisco-systems-careers-2480,Technology Hardware & Equipment,33%,29%
sas-institute-careers-37623,Software & Services,41%,40%
anritsu-careers-1101677,Consumer Durables & Apparel,23%,21%
square-careers-10755,Software & Services,44%,49%
dell-careers-21185,Software & Services,35%,32%
logitech-careers-29782,Software & Services,31%,42%
fico-careers-4191,Software & Services,37%,30%
medallia-careers-30869,Software & Services,-,53%
broadridge-financial-solutions-careers-1760,Commercial & Professional Services,36%,28%
general-dynamics-advanced-information-systems-careers-1563274,Software & Services,30%,8%
acumen-solutions-careers-620194,Commercial & Professional Services,46%,36%
google-careers-24972,Software & Services,40%,41%
eplus-careers-4007,Commercial & Professional Services,38%,30%
science-applications-international-careers-10153,Commercial & Professional Services,35%,38%
general-datatech-careers-24427,Software & Services,26%,-
ebay-careers-3708,Software & Services,46%,49%
travelport-careers-42229,Consumer Services,-,16%
synopsys-careers-11121,Software & Services,35%,36%
juniper-networks-careers-6411,Technology Hardware & Equipment,32%,27%
infineon-technologies-careers-382952,Technology Hardware & Equipment,30%,39%
ch2m-hill-companies-careers-18758,Diversified Financials,32%,29%
rapid7-careers-9623,Software & Services,35%,36%
intel-careers-6055,Software & Services,27%,40%
nice-systems-careers-222611,-,-,36%
pegasystems-careers-8899,Software & Services,-,40%
oberon-associates-careers-33464,-,26%,-
rsa-security-careers-37139,-,35%,13%
adt-security-services-careers-307590,-,46%,24%
ipc-systems-careers-27663,Software & Services,35%,15%
meta-careers-4188,Software & Services,44%,35%
arm-careers-1083593,-,39%,27%
booz-allen-hamilton-careers-1664,Commercial & Professional Services,39%,33%
bloomberg-careers-16946,Software & Services,33%,23%
mantech-international-careers-7066,Commercial & Professional Services,28%,26%
lmi-aerospace-careers-29727,Commercial & Professional Services,27%,17%
rockwell-automation-careers-9910,Software & Services,31%,30%
citrix-systems-careers-2511,Software & Services,34%,42%
mainline-information-systems-careers-30183,Commercial & Professional Services,33%,30%
openlink-financial-careers-33767,Software & Services,27%,-
oracle-careers-8576,Software & Services,32%,24%
dassault-falcon-jet-careers-20949,Capital Goods,20%,-
arrow-electronics-careers-951,Consumer Durables & Apparel,39%,36%
koniag-careers-28860,Diversified Financials,43%,50%
microsoft-careers-7480,Software & Services,34%,31%
vmware-careers-12537,Software & Services,31%,33%
micron-technology-careers-7472,Technology Hardware & Equipment,26%,25%
netapp-careers-8005,Software & Services,31%,24%
yulista-holding-careers-45217,-,38%,29%
roku-careers-1406115,Software & Services,-,21%
red-hat-careers-9680,Software & Services,38%,22%
kronos-careers-28917,Software & Services,41%,20%
software-ag-usa-careers-38723,-,40%,17%
veeva-systems-careers-12342,Software & Services,41%,25%
availity-careers-15889,Software & Services,-,40%
spok-careers-39169,Software & Services,33%,38%
western-digital-careers-12753,Software & Services,25%,36%
nvidia-careers-8376,Software & Services,-,29%
fireeye-careers-4343,Consumer Services,36%,24%
digital-management-careers-21448,Software & Services,38%,-
chenega-careers-18902,Software & Services,34%,24%
applied-materials-careers-838,Technology Hardware & Equipment,25%,27%
spectra-energy-enterprises-careers-39103,-,36%,17%
vse-careers-12570,Commercial & Professional Services,28%,27%
csg-careers-3111,Software & Services,43%,31%
cumberland-consulting-group-careers-1317064,Commercial & Professional Services,51%,19%
lexmark-international-careers-29467,Software & Services,-,33%
mission-essential-careers-31636,Commercial & Professional Services,22%,-
forsythe-technology-careers-23786,-,39%,18%
informatica-careers-27220,Software & Services,35%,36%
ultimate-software-group-careers-11538,Software & Services,43%,21%
apple-careers-825,Consumer Durables & Apparel,38%,40%
kbr-careers-6462,Commercial & Professional Services,19%,25%
salient-crgt-careers-37456,Software & Services,45%,11%
the-aerospace-careers-40834,Capital Goods,30%,43%
fortinet-careers-4655,Software & Services,-,24%
amd-careers-227,-,30%,37%
paypal-careers-8863,Diversified Financials,45%,40%
forcepoint-careers-23741,Software & Services,-,23%
burroughs-careers-17645,Software & Services,27%,-
commvault-careers-2755,Software & Services,30%,21%
adobe-careers-189,Software & Services,41%,44%
axon-careers-1205,Software & Services,34%,26%
gartner-careers-4838,Commercial & Professional Services,41%,29%
workday-careers-12904,Software & Services,44%,47%
blackline-careers-1586,Software & Services,37%,41%
salesforce-careers-10060,Software & Services,38%,26%
lockheed-martin-careers-6899,Commercial & Professional Services,29%,28%
intuit-careers-6190,Software & Services,45%,45%
cree-careers-3054,Consumer Durables & Apparel,37%,13%
sap-america-careers-37598,Software & Services,34%,42%
liveperson-careers-6888,Software & Services,33%,27%
northrop-grumman-careers-8276,Commercial & Professional Services,29%,25%
