,Job Function,Industry,Seniority,Job Description
16,Management and Manufacturing,Motor Vehicle Manufacturing,Associate,"As an independent group of companies, the BMW Group has a commitment to creativity and breakthrough ideas that goes well beyond the racetrack. In order to continuously create ultimate driving machines, we drive our growth and design excellence by staffing our teams with individuals who are innovative and always looking for the next great idea. If you share our vision and view yourself as an independent, creative thinker, we invite you to join our team in this exceptional role located in Nazareth, Pennsylvania.




The Regional Distribution Center Warehouse Associate is responsible for performing daily operational tasks assigned by Regional Distribution Center (RDC) management staff. They will be required to maintain a level of performance that meets or exceeds the requirement of the assigned department. The Unionized associate may be required to operate Material Handling Equipment (MHE) to perform the assigned task, and they must ensure compliance with all regulatory and safety standards.




Responsibilities include (but not limited to):




Responsible for performing assigned warehouse activities for picking, packing, shipping, receiving, reverse and inventory control, while achieving the highest standards of Quality, Productivity and Customer Service levels to BMW, MINI and Rolls-Royce retail centers.
Acting in accordance with BMW core values and guiding principles at all times. Maintains strict compliance with all established policies and work rules.
May be required to use powered industrial equipment in order to perform assigned tasks. Must be able to obtain/maintain required certifications and adhere to all Federal, State and locals laws.
May be required to process shipment of federally regulated Dangerous Goods. Must be able to obtain/maintain required certifications and adhere to all Federal, State and locals laws.
Responsible to meet/maintain required levels of performance (i.e. quality, productivity, etc.) within area of assignment.
Comply with the BMW Value Added Production System (VPS) within assigned area.
Required to maintain essential supplies on assigned equipment and/or work area.
Ensure a safe and clean environment is maintained at all times.




Position specifics:




The Warehouse Associate position is located in Nazareth, Pennsylvania at the Nazareth Regional Distribution Center (RDC). This shift is Monday to Friday, 3:30 p.m. to 12:00 a.m. EST.




Join the team at BMW of North America and enjoy a high-performance employment package which includes:




$20+ per hour and monthly eligible bonus
3% shift differential
Company sponsored Medical, Dental & Vision Insurance (no cost to low-cost benefits).
Employee car program.
401(k) Savings Plan with 6% employer match
Fully funded Retirement Income Account




Minimum Requirements




High School diploma or GED
Work experience, Leadership experience




Preferences




Previous logistics/distribution experience
OEM distribution experience
Ability to obtain all Dangerous Goods Certifications.
Language: Fluent English. Ability to speak or understand Spanish or German is a plus, however not required.
Familiar with Warehouse Management System functionality - SAP, BMW WM




BMW NA is an EEO employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, or protected veteran status.




Primary Location




US-Nazareth




Job




Aftersales




Organization




BMW of North America LLC.




Job Type




General




Job Level




Associate




Schedule




Full-time




Job Posting




14-Mar-2023
Show less "
22,"Design, Art/Creative, and Information Technology",Construction,Associate,"Grand Homes is a home building company that is expanding our marketing department. We are on the hunt for a part-time Junior Graphic Designer to join our team.

The Role:

We are looking for a Junior Graphic Designer to join our team. As a graphic designer at Grand Homes, you will be a central part of our marketing team, working closely with sales consultants, sales managers, executives, printing companies, architects, and sign companies.




About You:

The ideal candidate for this role will have the following:

1-2+ years of experience in graphic design
Proficiency in all Adobe suites (this is a requirement).
Photoshop & Illustrator
A razor-sharp eye for detail and high standards in the presented final work.
The ability to push the envelope creatively. Delivery of innovative and exciting designs.
Excellent written and verbal communication skills.
A love for working in a fast-paced environment with a close-knit team where new and creative ideas are encouraged.
Knowledge of social media / digital ad design (some HTML).

Core Responsibilities:

You will be responsible for developing assets for the following:

Marketing Campaigns – Grand Openings, Open Houses, Eblasts & Digital Newsletters
Signage – Create, design, and place orders for signage for all communities.
Design and Create neighborhood plat maps.
Floor plan brochures – Coordinate with the architecture department and create all floor plans, order renderings with artists, and design brochures of floor plans for the sales team.
Social Media Campaigns - Create graphics we can use for social media to support different campaigns.
Realtor Event Invitations – Coordinate themes and invitation designs for realtor events and open houses.
Ad-hoc design projects - we often get requests for more ad-hoc projects
Working closely with the in-house team to deliver new project work.

Why Work at Grand Homes:

Grand Homes is one of the fastest-growing homebuilders in the nation. We have been awarded multiple design and architectural awards and have been named America's Best Builder twice!

Our team is the driving force behind the continuing success and growth of Grand Homes. We seek enthusiastic, career-minded individuals to build on our 36-year success story. Grand team members are expected to be hard-working, and in turn, we strive to create an atmosphere that supports and rewards that dedication.

Voted Best Builder in America by Builder Magazine
Lee Evans Award for Business Management Excellence
Featured in D Magazine as one of Dallas' Top Business Leaders
Pacesetters Award by Dallas Business Journal
Named in Top 50 Builders to Work for by Professional Builder Magazine
Show less "
67,Management and Manufacturing,Wholesale Building Materials,Associate,"Company Description




A brand of Associated Materials, the opportunities with Alside are endless!




With new ownership and supportive leadership since 2022, Associated Materials is embarking on a transformation to maximize our potential through investments in people, operations, and brands. You will be part of the change, and your contributions will provide an immediate and lasting impact, helping us achieve what’s possible.




Job Description




$19.00 per hour




JOB TITLE:




Warehouse Associate




SUMMARY:




The individual in this position will be responsible for working in the warehouse including receiving, shipping and inventory. The position requires a high level of customer service while working in a safe and accurate manner.




KEY RESPONSIBILITIES WAREHOUSE EXECUTION:




Ensures warehouse operations and processes maximize efficiency and sales
Responsible for accurate receiving and pulling of product
Completes required paperwork and provides to the appropriate department
Maintains warehouse to company standards on appearance and functionality.
Follows practices of 5S in the warehouse
Operate in a safe manner and maintain a safe work environment




KEY RESPONSIBILITIES INVENTORY:




Reviews discrepancies from inventory and notifies Branch Manager
Accurate receiving and pulling of product to ensure accurate inventory
Ensures all merchandise is properly racked and tagged
Assist Warehouse Supervisor/ Branch Manager with inventory accuracy and quality
Qualifications




PHYSICAL REQUIRMENTS:




Lift or move up to 100 lbs
Standing frequently
Walking frequently
Talking frequently
Hearing frequently
Usage of hands and fingers
Reaching with hands and arms
Stooping, kneeling, crouching, or crawling occasionally
Ability to operate material handling equipment




EDUCATION AND EXPERIENCE:




High School diploma or general education degree (GED)
Ability to read and interpret documents such as safety rules, maintenance instructions, and procedure manuals
Reliable transportation to and from work
Basic Warehouse/Wholesale Operations
Safety policies and processes




Additional Information




A brand of Associated Materials, Alside has been a leading manufacturer of vinyl siding and accessories and vinyl windows and patio doors for the residential and commercial remodeling and new construction markets for more than seven decades.




With our strong vertical integration of manufacturing, distribution and installation, we provide a one-stop resource for high-quality building materials and streamlined operations. With headquarters in Cuyahoga Falls, Ohio, Alside owns and operates more than 100 supply centers and has seven manufacturing facilities across the U.S.




Associated Materials is an equal opportunity employer.




#Indeed3-Alside
Show less "
2,Education and Training,Higher Education,Associate,"Company Description




At Nearpod, we believe teaching is the most important job in the world. Every day, we reach students through our learning platforms on Nearpod.com and Flocabulary.com. We have diverse backgrounds, but a shared goal of putting teachers and students first in everything that we do. We have won numerous awards including EdTech Digest’s 2018 Company of the Year. Recently, we were acquired by Renaissance to support the shared mission of accelerating learning for all. We’re looking for people with a lot of hustle, a lot of empathy, and a desire to do something meaningful. We've adopted a remote-first culture, and our diverse team is based across the US.




Job Description




Nearpod is currently experiencing demand and growth across our portfolio of offerings. Part of that growth includes a suite of curriculum products including Nearpod Math, Nearpod EL, Nearpod Social Studies and others. This is an exciting opportunity where you can showcase your knowledge, drive demand, enable the sales team, all while building deep partnerships with District administrators.




A National Academic advisor will work alongside Enablement, Sales Leaders and Sales Reps to build pipeline and drive revenue in our Curriculum Programs, which include Math as the main priority (Social Studies, English Language Learning, and 21st Century). They will deliver customized presentations, demonstrating curriculum solutions that support their strategic initiatives. While each National Academic Advisor will focus on 1-2 curriculum solutions, it’s possible that we will ask you to adapt and cover other core subject areas as needed.




Primary Responsibilities:




Drive revenue growth through pre-sales product presentations with districts and passionate educators across the United States. This includes product presentations, trial kick offs, or major webinars.
Work with our enablement team, pulling from a deep understanding of curricular instruction across the K-12 spectrum, to provide internal presentations or enablement resources so that sales reps can run discovery, do presentations & nurture sales trials.
Support the strategic needs of sales and marketing, informing decision-making based on your interaction with customers, current knowledge of relevant state and federal legislation, and personal knowledge of best-practices for curriculum integration in a digital world.
Attend tradeshows, conferences, or other sales/marketing events




National Academic Advisors consistently exhibit exceptional skills in:




Implementing K-12 curriculum
Planning, preparing, and speaking publicly in multiple formats (verbal, written, via video/phone)
Listening and identifying customer needs to improve product positioning and facilitate solution selling
Reacting quickly to situations in context and adjusting presentations quickly
Building positive relationships with internal and external customers




Develop and/or maintain current knowledge of:




Educational initiatives and concerns including assessment, curriculum, and instruction.
Competitor features and comparisons
Product content, design, technical background, operation, and use cases
Current industry and pedagogical trends in K-12 math or social studies
State and federal legislation which may impact our go-to-market strategy as it relates to curriculum products
Go To Market strategies and initiatives
Qualifications




Required Skills & Experience:
Minimum 5 years of District Level experience with Curriculum and/or EdTech
Math background required
District Level coordinator, administrator, or director experience
English Language Learning Certification preferred
Ability to communicate persuasively with districts
Outstanding presentation and written/spoken communication skills
A compassionate approach to working with customers at various stages of the sales or post-sales journey
Masters degree preferred
Technical Skills:
A basic understanding of email, calendar, and chat software
Experience working with presentation software such as Microsoft PowerPoint, Google Slides
Experience working with remote communication tools such as Zoom, Microsoft Teams, Google Meet, or GoToMeeting preferred.
Ability to travel up to 50% of the time
Lives within 1 hour of a regional airport




Additional Information




Employment Requirements: Must be authorized to work in the U.S. without restrictions




We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.




$90,400 min to $135,700 max. This range is not including significant variable compensation and is based on national market data. The range may vary by experience and cost of living.




Benefits:




World Class Benefits: Medical, Prescription, Dental, Vision, Telehealth
Health Savings and Flexible Spending Accounts
401(k) and Roth 401(k) with company match
Paid Vacation and Sick Time Off
13 Paid Holidays
Parental Leave (20 total weeks with 14 weeks paid) & Milk Stork program
Tuition Reimbursement
Life & Disability Insurance
Well-being and Employee Assistance Programs




Frequently cited statistics show that some women, minorities, individuals with disabilities, and protected veterans, may only apply to roles if they meet 100% of the qualifications.




At Renaissance, we encourage all applications! Roles evolve over time, especially with innovation, and you may be just the person we need into the future. We hope you're open to learning new skills to grow with us. Make our team, your team!




Renaissance is an equal opportunity employer and does not discriminate with respect to any term, condition or privilege of employment based on race, color, religion, sex, sexual orientation, gender identity or expression, age, disability, military or veteran status, marital status, or status of an individual in any group or class protected by applicable federal, state, or local law.




At Renaissance our mission is: “To accelerate learning for all children and adults of all ability levels and ethnic and social backgrounds, worldwide.” Inherent in that guiding principle is dedication to serving all identities by recognizing the importance of Diversity, Equity, and Inclusion (DEI) in our organization, our work and our products.




Renaissance also provides reasonable accommodations for qualified individuals with disabilities in accordance with the Americans with Disabilities Act and applicable state and local laws. If an accommodation is needed to participate in the job application or interview process, please contact Talent Acquisition.
Show less "
42,"Training, Administrative, and Education","Research Services, Biotechnology Research, and Pharmaceutical Manufacturing",Associate,"GLOBAL biotech looking for a contract TRAINING COORDINATOR I at their manufacturing facility in RTP to assist the Boot Camp training for manufacturing associates.




Training Coordinator will function:

-Scheduling training events and meetings

-Coordinating with instructors

-Obtaining and distributing required materials

-Supporting new hires

-Tracking learning completion

-Purchase orders

-Recommendations for improvements

-Fielding questions/concerns

-Manage tickets submitted




Training Coordinator we are seeking:

Some previous experience as a Training Administrator, HR Assistant, Executive Assistant, or similar

Successful Project Management and attention to detail

Experience with Purchase Orders and Vendors

Working knowledge in MS Office (esp EXCEL); databases; ticketing systems, and Learning Management Systems (LMS) and ticketing systems are a plus

Collaboration, organization, attention to details and multitasking

Must be able to pass preliminary assessment on these skills

Onsite role, Mon-Fri, 8-5; Pay rate: $22.00/hour




APPLY TODAY - be a qualified applicant we want to prescreen and interview!

Show less "
9,Project Management and Administrative,Banking,Associate,"About Us: Piermont Bank is a tech-enabled digital commercial bank founded in 2019 to change the face and pace of banking. It provides an unprecedented experience that blends the best of banking and agile Fintechs. At Piermont, we are purpose-driven, focused on creating and delivering banking products relevant to today’s digital economy. We are the go-to Bank for the SMBs, including Commercial Real Estate and the fintech ecosystem. For more information, visit www.piermontbank.com.




We are seeking an Executive Assistant/Project Manager to be a proactive business partner to our CEO and Founder while scheduling meetings; reviewing documents, prioritizing deliverables, responding to emails; answering and returning phone calls; organizing documents; maintaining records; taking notes at meetings, and any other administrative tasks that help the executive perform their job. Serve as a liaison between the CEO and clients, and internal partners.




As an Executive Assistant/Project Manager supporting the Founder and CEO, you will be playing a primary role in the efficient organization and operation of Piermont Bank!




About the Role:

Providing onsite and virtual administrative support for CEO, including managing and maintaining calendar, booking rooms and resources, preparing materials, coordinating logistics for speaking engagements, and reporting expenses.
Establish production pipeline meetings, weekly one-on-ones with the CEO’s direct reports, monthly and quarterly meetings with senior executives, the Board of Directors, meetings with Regulators (FDIC, DFS), External auditors, and meeting materials submission.
Coordinate and plan all aspects of the logistical organization of Senior Leadership Meetings, conferences, and all-hands town halls: develop agendas and materials.
Scheduling and coordinating agenda and logistics for complex external client and partner meetings involving executives from multiple organizations, including coordinating catering and room setup needs and being the onsite coordinator for events.
Maintaining calendar and daily schedules in a proactive, forward-thinking fashion for the supported executive.
Working under specific direction and independently to fulfill and anticipate scheduling and workflow needs for the supported executive.
Greeting guests of the supported executives, including business partners, and interviewing candidates.
Assisting in the creation, formatting, and distribution of agendas, PowerPoint presentations, capturing notes and key takeaways, and other materials for both internal and external meetings
Supporting the creation of written communications and campaigns, including newsletters, business updates, employee recognition, and other.
Lead and coordinate all projects across the various departments, acting as the point of contact and ensure all projects and responsible parties stay on the outlined timeline.
Assistance with specific team project work, reporting as needed.




About You:

Bachelor’s Degree or equivalent work experience.
At least five years of experience in an administrative role in an office environment.
Excellent organizational skills with keen attention to detail.
Strong time-management skills and an ability to organize and coordinate multiple concurrent projects from start to finish.
Excellent written and verbal communication skills.
Advanced proficiency with Microsoft Office Suite (Outlook, Word, PowerPoint, Excel, and Teams).
Ability to multitask, prioritize, adapt to change, and work well in an entrepreneurial environment.
Hard-working and reliable.




The hiring range for this position is $70,000 to $110,000 per year. The base pay actually offered will take into account internal equity and also may vary depending on the candidate’s job-related knowledge, skills, and experience, among other factors. A bonus and/or long-term incentive units may be provided as part of the compensation package, in addition to the full range of medical, financial, and/or other benefits, dependent on the level and position offered.




Piermont Bank is an equal-opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. We do not discriminate based upon race, religion, color, national origin, political affiliation, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability or other applicable legally protected characteristics.

Show less "
55,"Human Resources, Sales, and Consulting","Staffing and Recruiting, Insurance, and Financial Services",Associate,"Who is hiring? Financial Services Recruitment Agency in New York




Candid Eight is proud to be partnered with an established global recruiting firm based in the heart of Manhattan. Their growth has increased year on year and due to their lucrative markets, they continued to hire throughout the recent pandemic and previous recessions.




Background of the Company and Team




One of the best financial services recruitment teams in New York
Lucrative, and stable markets - multiple $1,000,000 revenue generators
Hybrid working schedule within their large New York office space (3-4 days)
Part of a wider co-working space offering exclusive memberships for a tonne of amenities including private rooftop spaces!
No threshold, no draw commission structure (earn on every deal)
Employee promotions are at a record-high
Upskilling: World class Learning and Development team




This is a RECRUITING ONLY position, working with a five-times global top biller.




The Recruitment Delivery Role




Develop new recruiting strategies to help feed the candidate pipeline
Proactively headhunt passive talent on the market by selling them exciting new positions
Share top talent with the senior team, for them to present to the client
Keep on top of industry trends and sharing with candidates and colleagues
Build a strong senior network placing the very best senior talent on the market




Is this you?




A minimum of 2+ years of agency recruiting* experience
Natural communicator over phone, video, and face-to-face
Ability to build trust with candidates and colleagues
Strong negotiation skills
Naturally inquisitive, always connecting the dots while thinking commercially




* Also considering those with experience recruiting within the Financial Services sector

Show less "
86,Human Resources and Administrative,"Banking, Financial Services, and Investment Banking",Associate,"Client is seeking an HR Specialist to join the HR Employee Solutions team. This function provides operational and advisory support to our HR Business partner teams, as well as to employees and managers across the firm on a number of processes across the employee lifecycle. In addition, the function partners closely with HR product areas within the department to drive efficiencies and best practices in our HR processes. The HR specialist will primarily focus on HR generalist processes.




Responsibilities include the following:

Working with employees, managers and HR Business Partners on a range of sensitive employee matters, including medical accommodations, leaves of absence, work arrangements, background check escalations, and visa/immigration.
Partnering closely with Employment Law and Employee Relations teams on developing consistent solutions across all businesses.
Collaborating with HR Process Optimization team and HR Business Partner teams across the Firm to develop consistent practices on HR generalist processes.
Documenting appropriate case notes in a centralized system and escalating matters when needed.




Qualifications:

2+ years of HR generalist experience.
Excellent interpersonal skills with demonstrated patience, tact, and respect.
Ability to quickly evaluate alternatives and decide on a plan of action.
Excellent judgement; knows when the escalate.
Ability to navigate multiple stakeholders.
Experience dealing with sensitive matters.
Show less "
88,Administrative and Analyst,"Advertising Services, Banking, and Financial Services",Associate,"We are currently seeking a Project Coordinator for our financial services client in NYC.

Responsibilities

Help prepare senior management for client engagements via written client briefings.
Assist with the creation of client-facing materials (e.g., PowerPoint presentations).
Note take and document key meetings and related takeaways.
Help track and manage multiple clients and prospects simultaneously.
Keep track of open requests and report progress to Client leadership.




Qualifications

1+ years of experience in related field
1+ years creating PowerPoint presentations in a professional setting
Excellent verbal and written communication skills, problem solving skills, and attention to detail
Ability to prioritize and multi-task
Expertise in Microsoft Office Suite - especially PowerPoint
Show less "
94,Business Development and Sales,Banking and Financial Services,Associate,"FI Credit Executive Assistant

New York City

As a Barclays Fixed Income (FI) Credit Executive Assistant, you’ll join a team of five and provide administrative support to our FI Credit Trading & Sales personnel. This is a great opportunity for you to assist several members of the Sales & Trading team in processing invoices and arranging travel and day-to-day administrative issues like IT problems and provisioning of equipment. You will also have the chance to work closely with Business Management on projects affecting the staff covered. Lastly, this position is eligible for overtime pay.

Salary / Rate Minimum: $90,000

Salary / Rate Maximum: $110,000

The minimum and maximum salary/rate information above include only base salary or base hourly rate. It does not include any another type of compensation or benefits that may be available.

Barclays is one of the world's largest and most respected financial institutions, with 329 years of success, quality, and innovation behind us. We've helped millions of individuals and businesses thrive, creating financial and digital solutions that the world now takes for granted. An important and growing presence in the USA, we offer careers providing endless opportunity.

Working Flexibly

We’re committed to providing a supportive and inclusive culture and environment for you to work in. This environment recognizes and supports ways to balance your personal needs, alongside the professional needs of our business. Providing the opportunity for all our employees, globally to work flexibly empowers each of us to work in a way that suits our lives as well as enabling us to better service our customers’ and clients’ needs. Whether you have family commitments or you’re a carer, or whether you need study time or wish to pursue personal interests, our approach to working flexibly is designed to help you balance your life. If you would like some flexibility, then please discuss this with the hiring manager, and your request will be reviewed subject to business needs.

We are currently in the early stages of implementing a hybrid working environment, which means that many colleagues spend part of their working hours at home and part in the office, depending on the nature of the role they are in. Please discuss the detail of the working pattern options for the role with the hiring manager.

What will you be doing?


Handling diary management, including requesting and organising meetings, conference calls, video conferences as well as booking meeting rooms/hospitality/VC facilities
Screening of calls and acting on information received, while answering calls in a professional manner and messages are taken accurately and passed on immediately
Scheduling of client meetings actively and organising client events, and ensuring communication to all involved regarding logistics
Organising internal meetings and tracking of acceptances and declines for internal meetings actively, and then taking the necessary follow up steps
Booking travel and arranging all logistics in association with any travel, arranging visas where necessary and working within the T&E policy, ensuring guidelines are followed
Processing invoices and all expenses, both credit card and cash receipts, within the T&E guidelines and deadlines
Onboarding new team members, including arrangement of equipment and phone installation and access to various software applications
Managing team distributions lists on behalf of the team as well as liaising both internally and externally via email and telephone with other EA’s


What We’re Looking For


Administrative experience with travel, expenses, organizing meetings
Substantial time management skills with the ability to work to deadlines and to manage and prioritize tasks with a good attention to detail
Excellent written and verbal communications skills as well as excellent interpersonal skills
Adaptability, resilience, ownership of tasks, and the ability to maintain confidential information


Skills That Will Help You In The Role


Excellent computer skills (Outlook, Excel, Word, PowerPoint)


Where will you be working?

You will be working at our Americas Headquarters at 745 Seventh Avenue. This 32-story office tower is located in Times Square in the heart of Manhattan and features a cafeteria, fitness center and state-of-the-art LED signage on the facade of the building.


Show less "
