,Job Function,Industry,Seniority,Job Description
1,Sales and Business Development,Motor Vehicle Manufacturing,Internship,"Tasks

About Us

Mercedes-Benz is USA is responsible for the sales, marketing and service of all Mercedes-Benz and Maybach products in the United States. In our people, you will find tremendous commitment to our corporate values. Our products and employees reflect this dedication. We are looking for diverse top-notch individuals to join the Mercedes-Benz Team and uphold these hallmarks.

Job Overview

The goal of our summer internship is to enhance a student’s education through a corporate employment relationship with MBUSA. This 8-10 week, paid program will provide exposure to all levels of leadership across various business units.

The MBUSA Vans division is seeking a STAR intern to support in the areas of Product Management and Marketing Communications. Individual would be working on a variety of projects across both departments, supporting 7-8 FTEs. Possible project types include Large Van Product and Option Portfolio & Pricing optimization, Launch of In-House (VPC) Van Vocational Upfit Dealer Program, Internal and external communication deployment, Marketing campaign and Event planning, etc.

Responsibilities


Proofing and editing communication materials
Assisting with project planning for both departments
Managing the marketing sponsorship proposal and submission database
Supporting documentation of internal processes and record keeping
Gather, compile overview of Sprinter competitor portfolio offering (base + options) & pricing
Define product portfolio recommendation based on sales volume and competitor offering
Derive feature based pricing recommendation for Sprinter platform from comparative analysis of competitor pricing
Document process for model system (SWT) set-up & make efficiency recommendations
Project management support for various teams


Qualifications

Qualifications / Education

Education

To qualify for this internship opportunity, you must be a rising junior, senior enrolled in in a Bachelor's program.


Program must be related to the business area of this internship


Qualifications


Knowledge of fundamental business practices and concepts that impact the success and profitability of the organization
Analytical skills to interpret data points and derive recommendations
Strong communication skills
Excellent Microsoft Office suite skills – particularly PowerPoint and Excel
Enrolled or graduated in/from an accredited four-year university
Proficient attention to detail – review and editing of communications materials
Valid driver’s license with a clean driving record


EEO Statement

Mercedes-Benz USA is committed to fostering an inclusive environment that appreciates and leverages the diversity of our team. We provide equal employment opportunity (EEO) to all qualified applicants and employees without regard to race, color, ethnicity, gender, age, national origin, religion, marital status, veteran status, physical or other disability, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local law.
Show less "
21,Other,Motor Vehicle Manufacturing,Internship,"Bobcat of the Rockies is seeking candidates for our departmental trainee program! Trainees will spend 2 months training within each department of Service, Parts, and Rental, learning the ins and outs of our business operations. Training will take place within our stores located in Parker, Henderson, and Golden and candidates must be willing to travel to each store for training. Compensation: Full Time Position, $39,000-46,000 negotiable based on qualifications. Details:

Trainee will move between (3) different locations throughout a branch rotation of 6 months.
Online course work from Berry University will include leadership and soft skills training.
Identifying and spreading Bobcat of the Rockies’ culture will be emphasized.
This position has additional earning potential through approved overtime and bonuses.


Completion:

Successful completion of this program will prepare the trainee to be a staff member until a permanent role in the department becomes available to apply for or be assigned to by BOTR management.
BOTR will do its best to accommodate a trainee’s wishes and match their attributes to available roles but reserves the right to assign an available position within any of BOTR’s branches.


Qualifications:

High school diploma.
Good customer service skills.
Ability to Lift items 50 lbs. or less routinely.
Willingness to travel to store locations in Parker, Golden, and Henderson
Reliable transportation
Must be able to pass a drug screen.


Benefits

Health, Vision, and Dental Insurance
Critical Care and Accident Insurance
401K Plan
Profit Sharing
Bonus Program
Short and Long-term Disability
Company Paid Life Insurance
Employee Assistance Program
Christmas Savings Program
Paid Vacation and Flex Time
Paid Training
Many opportunities for advancement (We prefer to promote from within)
Family friendly company


Bobcat of the Rockies is a full-service Bobcat dealership division. We provide new and used compact equipment for sale and rental. We also provide genuine Bobcat parts, and complete service. Bobcat of the Rockies is your dealer for all your decorative concrete products and supplies. We are an equal opportunity employer and prohibit discrimination/harassment without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.
Show less "
30,Engineering and Information Technology,Motor Vehicle Manufacturing,Internship,"Stokes Automotive is looking for an Entry Level Apprentice Technician to join our growing team! This position is designed to be the starting point for a long and successful career as a Service Technician, and we’re offering the following benefits to help you take the first step in your career:

Paid tuition (Toyota E.L. Program)
Sign on bonus
Tool purchasing assistance (up to $2500)
Ongoing training (Toyota University)
ASE Testing paid for


The ideal candidate will be:

Interested in starting and growing their career as an automotive service technician
Motivated to learn and expand their technical knowledge
Coachable and willing to take feedback from senior team members


If you’re looking to be successful within the in-demand profession of Service Technicians, we’re interested in talking to you!
Show less "
52,Marketing and Sales,Motor Vehicle Manufacturing,Internship,"Live the Exceptional With Soul. This is the singular purpose of Jaguar Land Rover.

At the core of these experiences are the products themselves. The Jaguar and Land Rover brands have undergone a dramatic transformation over the past years.

The Jaguar Land Rover Internship Program is an opportunity for personal growth and development from a business and learning perspective. Working at JLR means opportunity, teamwork, and growth. That’s why working here is so much more than a job.

Details Of The Program

The program is open to students at a Junior or Senior level in their Bachelor’s degree program or enrolled in a Master’s Program
The Internship is for a full year, June 12, 2023 to May 24, 2024
29 hours per week during business hours (Business Hours: Monday- Friday 8:30am-5:00pm)
Paid internship - $18/hour

Location: Mahwah, New Jersey (Hybrid Ways of Working schedule offered)

Department: Marketing

What You Will Be Doing

Supporting the optimization of the Jaguar and Land Rover websites and digital media ecosystems
Conversion rate optimization (CRO) of the Jaguar and Land Rover websites in particular
Obtaining technical training/certification (e.g., Adobe Experience Manager, Decibel)
Making daily adjustments and learnings to optimize the customer journey and make our websites best in class.
Perform other duties as required

What You Will Need

Bachelor’s Degree in progress (Junior or Senior), or pursuing a graduate studies degree ( Pursuing a degree in marketing, communications, or similar.)
3.0 GPA or higher.
Intermediate to advanced Excel and PowerPoint skills (SharePoint experience a plus);
High level of professionalism.
Detail-oriented, self-starter, strong work ethic, team player, ability to build rapport, and communicate confidently.
Strong written and verbal communication skills and have a desire to learn more about corporate operations.

So Why Us?

As a people-first company, working at JLR means opportunity, teamwork, and growth. That’s why working here is so much more than a job.
Be part of an international, inclusive, and open-minded company
You are never just a number. We take pride in taking care of our employees doing everything we can to make sure that our teammates thrive both in and out of the office.
Quarterly Chair Massages
Complimentary lunch
And more!

Thank you for your interest in working for us, we love it here and think you will too!

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential job functions.

Jaguar Land Rover North America, LLC provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Jaguar Land Rover North America, LLC complies with applicable state and local laws governing nondiscrimination in employment. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.
Show less "
58,Marketing and Sales,Motor Vehicle Manufacturing,Internship,"Live the Exceptional With Soul. This is the singular purpose of Jaguar Land Rover.




At the core of these experiences are the products themselves. The Jaguar and Land Rover brands have undergone a dramatic transformation over the past years.




The Jaguar Land Rover Internship Program is an opportunity for personal growth and development from a business and learning perspective. Working at JLR means opportunity, teamwork, and growth. That’s why working here is so much more than a job.




Details of the program:




The program is open to students at a Junior or Senior level in their Bachelor’s degree program or enrolled in a Master’s Program
The Internship is for a full year, June 12, 2023 to May 24, 2024
29 hours per week during business hours (Business Hours: Monday- Friday 8:30am-5:00pm)
Paid internship - $18/hour




Location: Mahwah, New Jersey (Hybrid Ways of Working schedule offered)




Department: Marketing




What you will be doing:




Supporting the optimization of the Jaguar and Land Rover websites and digital media ecosystems
Conversion rate optimization (CRO) of the Jaguar and Land Rover websites in particular
Obtaining technical training/certification (e.g., Adobe Experience Manager, Decibel)
Making daily adjustments and learnings to optimize the customer journey and make our websites best in class.
Perform other duties as required




What you will need:




Bachelor’s Degree in progress (Junior or Senior), or pursuing a graduate studies degree ( Pursuing a degree in marketing, communications, or similar.)
3.0 GPA or higher.
Intermediate to advanced Excel and PowerPoint skills (SharePoint experience a plus);
High level of professionalism.
Detail-oriented, self-starter, strong work ethic, team player, ability to build rapport, and communicate confidently.
Strong written and verbal communication skills and have a desire to learn more about corporate operations.




So Why Us?




As a people-first company, working at JLR means opportunity, teamwork, and growth. That’s why working here is so much more than a job.
Be part of an international, inclusive, and open-minded company
You are never just a number. We take pride in taking care of our employees doing everything we can to make sure that our teammates thrive both in and out of the office.
Quarterly Chair Massages
Complimentary lunch
And more!




Thank you for your interest in working for us, we love it here and think you will too!




Reasonable accommodations may be made to enable individuals with disabilities to perform the essential job functions.




Jaguar Land Rover North America, LLC provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Jaguar Land Rover North America, LLC complies with applicable state and local laws governing nondiscrimination in employment. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.
Show less "
67,Engineering and Information Technology,Motor Vehicle Manufacturing,Internship,"When we say 'the best or nothing' we aren't just talking about our cars. We are seeking qualified candidates with drive and passion who want a career in the automotive industry to join our exceptional team of technicians. A Mercedes-Benz Apprentice/Express Technician will work under the supervision of an experienced master or senior technician where they can increase their knowledge and skills to progress to a Mercedes-Benz Technician. Our dealership prides itself on providing an exceptional experience to its external customer and is equally committed to providing an exceptional experience to its internal customers – its team members. Our ownership has crafted a core management team who share in the belief that the success of Mercedes-Benz of Westminster is created within each of its people. Mercedes-Benz of Westminster actively seeks to develop talent in order to promote within.

ESSENTIAL DUTIES:

Learns to perform quality vehicle service maintenance and repairs under the supervision of a master or senior Mercedes-Benz Technician utilizing all tools available in order to do so.
Performs safety inspections, oil changes, lubrication work, basic maintenance, and minor repairs as directed under the supervision of a master or senior Mercedes-Benz Technician.
Works with Service Consultants to communicate vehicle needs and proper vehicle repairs.
Works with Team Leads as required to complete assigned work.
Perform at a high efficiency to complete client’s vehicles and operates by utilizing lean production methods in order to do so.
Keeps work areas neat, clean and free of all clutter; operating in a high professional environment.
Helps maintain shop equipment and tools; returning them once complete.
Attends training classes and departmental meetings.
Operates all tools and equipment in a safe manner.


SKILLS / REASONING ABILITY / PERFORMANCE EXPECTATIONS: Ability to learn new technology and repair and service procedures and specifications. Continually demonstrating professional and inter-personal skills with customers, vendors and co-workers which ultimately results in high customer satisfaction. Social skills that produce an environment of support and achieving goals together as a team. Ability to maintain a positive and cooperative atmosphere. Skills to problem solve in complex, real world or ill-defined situations.

Experience, Education, Certificates, Licenses, Etc.

Basic knowledge of automobiles
Must be Customer oriented
Familiar with auto industry and Mercedes-Benz products is recommend (not required)
Detail oriented and excels in a fast-paced, results driven team environment
Valid driver’s license and good driving record
Professional appearance and work ethic


BENEFITS:

Production Bonus
Paid holidays
Paid vacation after one year
401(k) with 50% company match of first 4% of contribution
Insurance – Medical, Dental, Vision
Team Member auto purchase discount
Team Member Parts & Service discount
Exceptional commitment to Team Member engagement including monthly Team Committee meetings
Quarterly community involvement opportunities
Strong Advancement and Career Development Opportunities
Culture of Coaching and Mentoring
Many long-tenured employees including seven Team Members employed since day one – 15 years
Monthly Catered Lunch and Team Recognition


Show less "
43,"Marketing, Public Relations, and Writing/Editing",Higher Education,Internship,"Position Summary




The Student Success Coach is a key function in the institutions retention efforts and focuses on creating an academically, socially and physically accessible environment for all students by removing barriers to learning. The Student Success Coach provides academic resources that aid success behaviors and habits, while also increasing access to success resources at Columbia College and in the community. This position collaborates with all campus constituency groups to plan and implement the Orientation and First-Year Experience programs. The Student Success Coach also oversees the peer-mentoring program to ensure all first-year students have a mentor available throughout their first-year at Columbia College who can assist with creating a sense of belonging. Ongoing communication with students and parents is required to ensure students have the resources needed to begin and successfully complete their first-year.




Essential Job Functions




The essential functions of this position include, but are not limited to:




Participating in the creation, implementation, and coordination of retention efforts while promoting college completion
Creating workshops that assist first-year students with transitioning to college
Providing educational assistance and advising to students with undeclared majors
Collaborating with the faculty lead of the first-year experience course
Teaching at least one section of the first-year experience course each semester
Planning and implementation of all Orientation programs as Chair of the Orientation Committee
Overseeing the peer mentoring program
Assisting in the development, implementation, and growth of first-year experience program
Implementing a summer bridge program for high-risk students
Partnering with the Offices of Admissions and Student Affairs to provide resources for parents and families
Connecting students with available campus resources




Management retains the discretion to add or change the duties of the position at any time.




Requirements




Masters degree required
3-5 years higher education experience in student success, orientation, retention or related fields
Strong written and oral communication skills
Strong attention to detail and follow through
Proficiency in Microsoft Office. Experience with Jenzabar, EAB Navigate a plus




T his position is classified as non-exempt and requires the ability to work some evenings and weekend hours.




If interested in applying for this position, submit resume with cover letter through the online submission website at: www.columibasc.edu/about/employment




If you have any additional questions regarding this position, please contact Sharon Hoffman, Registrar, via email to : shoffman@columbiasc.edu




Columbia College is an Equal Opportunity Employer. The College does not discriminate in access to its educational programs and activities, or with respect to hiring or the terms and conditions of employment, on the basis of race, color, national origin, religion, sex, gender identity and expression, political affiliation, age, disability, veteran status, genetic information or sexual orientation.




EOE M/F/D/V
Show less "
65,Education and Training,Primary and Secondary Education,Internship,"Job Description




Boulder Valley School District is committed to create challenging, meaningful, and engaging learning opportunities so that all children thrive and are prepared for successful, civically engaged lives. Our comprehensive and innovative approach to education ensures that each student meets expectations relative to intellectual growth, physical development and social emotional well-being. The district covers approximately 500 square miles and serves the communities of Boulder, Erie, Louisville, Lafayette, Superior, Broomfield, Nederland, Ward, Jamestown and Gold Hill. Website: BVSD .




Location: US:CO:BOULDER




School: Human Resources




Position Title: Student Teacher




Position Start Date: August 3, 2023




Closing Date: January 15, 2024




General Description




Licensed Student Teacher & Interns (Only Candidates That Have Been Approved To Student Teach Or Intern In BVSD Will Be Considered). Only apply to this vacancy if you have been accepted to student teach or intern in BVSD.




Application And Selection Procedure




External Candidates: Apply on-line at jobs.bvsd
Current BVSD Employees: Must apply through the INFOR portal
If you do not have internet access, a computer is available in the Human Resources Division, Education Center, 6500 E. Arapahoe, Boulder, Colorado.
Applications are reviewed to match candidates with position qualifications, with a limited number selected for interviews. For the final selection, employment is contingent upon successful completion of the post-offer screening process, including a background check and possible medical examination.




The Boulder Valley School District is an equal opportunity educational institution and does not unlawfully discriminate on the basis of race, color, ethnicity, sex, gender identity/expression, national origin, creed, religion, age, sexual orientation, disability or veteran status in admission or access to, and treatment and employment in its educational programs or activities. Inquiries or complaints: BVSD Legal Counsel - 720-561-5903; Office for Civil Rights - http://www2.ed.gov/about/offices/list/ocr/addresses.html
Show less "
81,"Marketing, Public Relations, and Writing/Editing",Higher Education,Internship,"Position Summary




The Student Success Coach works directly with undergraduate students to help them identify challenges that affect learning and empower them to find solutions. This position plays an integral role in supporting student success through identification of resources (i.e., academic tutoring, effective study strategies), promoting self-advocacy, and teaching accountability.




This position collaborates with all campus constituency groups to assist with planning and implementing the New Student Orientation and First-Year Experience programs. The Student Success Coach also oversees the peer-mentoring program to ensure all first-year students have a mentor available throughout their first-year at Columbia College who can assist with creating a sense of belonging. Ongoing communication with students and parents is required to ensure students have the resources needed to begin and successfully complete their first-year and beyond.




Essential Job Functions




The essential functions of this position include, but are not limited to:




Meeting with students to support their holistic development and academic success
Connecting students with available campus resources
Creating workshops and opportunities that assist undergraduate students with transitioning to college
Providing educational assistance and advising to students
Assists with student intervention and follow-up based on submitted early alerts
Collaborating with the faculty lead of the first-year experience course
Teaching at least one section of the first-year experience course each semester
Assist with planning and implementation of all New Student Orientation programs
Oversees the peer mentoring program
Assists in the development, implementation, and assessment of first-year experience program
Contributing to efforts to support high-risk students
Partnering with campus offices such as Admissions and Student Affairs to provide resources for parents and families




Management retains the discretion to add or change the duties of the position at any time.




Requirements




Masters degree required
Teaching experience preferred
3-5 years higher education experience
Strong written and oral communication skills
Strong attention to detail and follow through
Proficiency in Microsoft Office. Experience with Jenzabar, EAB Navigate a plus
Experience working with learners of all ages and backgrounds
Must be able to work some evening hours and occasional weekends




This position is classified as non-exempt and requires the ability to work some evenings and weekend hours.




The Student Success Coach is a key function in the institutions retention efforts and focuses on creating an academically, socially and physically accessible environment for all students by removing barriers to learning. The Student Success Coach provides academic resources that aid success behaviors and habits, while also increasing access to success resources at Columbia College and in the community.




If interested in applying for this position, submit resume with cover letter through the online submission website at: www.columibasc.edu/about/employment




Columbia College is an Equal Opportunity Employer. The College does not discriminate in access to its educational programs and activities, or with respect to hiring or the terms and conditions of employment, on the basis of race, color, national origin, religion, sex, gender identity and expression, political affiliation, age, disability, veteran status, genetic information or sexual orientation.




EOE M/F/D/V
Show less "
11,Other,Banking,Internship,"Job Details

Description

General Purpose

The Officer Trainee position is designed for individuals interested in to moving towards a position as a Bank Lending Officer or similar. The program lasts approximately a year and requires on-going dedication and learning on behalf of the participant.

Essential Duties/Responsibilities

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions .

Note: Only those individuals who successfully complete all phases of the program will be promoted to a banking officer.

Regular and Reliable on-site attendance is required as an essential function of this position.
Actively participates in all elements of the Officer training program. The steps of the program are:
The Officer Trainee learns how to run teller transactions and return to their location to work the teller line.
Attends New Accounts training and returns to their location and opens new accounts.
Attends training at Central Operations to learn all of Alpine Bank’s back office and departmental functions including Bookkeeping, Compliance, Audit, Fraud, Wires Collections and Consumer loans.
Travels to Grand Junction to gain an understanding of the department located there such as Electronic Banking and the Call Center.
Travels to the Bank’s Loan Operations center to gain an understanding of Loan Operations, Mortgage, Loan Administrators and Credit Analyst.
For the last step, the trainee will learn the Bank’s lending functions.
Will cultivate communication skills as a leader within the organization and grow to be a member of the Alpine Bank team.
Carries out bank’s vision, mission and values.
Helps the bank achieve its growth and development goals.
Practices exceptional service with customers while participating in Alpine Bank’s Officer Trainee program and subject to the training program’s measurement tools.
Performs other duties as assigned.

Employees are held accountable for all duties of this job .

Job Qualifications

Knowledge, Skills, and Ability :

Willingness to participate in a minimum of a year-long (1 year) training program.
Highly motivated with the ability for growth potential.
Ability and willingness to travel to various bank locations.
Ability and willingness to relocate if necessary.
Receives mentoring in a mature and open manner.
Demonstrates outstanding oral and written communication skills
Works under pressure and with deadlines; is results oriented with efficient time management skills.
Leadership skills; understands business implications of decisions; demonstrates knowledge of the market, competition, profitability and aligns the department’s work with strategic initiatives and goals.
Demonstrates self-motivation to seek knowledge and is curious.
Good interpersonal skills; ability to provide a superior level of interpersonal relations.
Demonstrates the ability to work as a team player.
Proficient in Microsoft Office programs, including (but not limited to) Excel, Word, and Outlook.

Education Or Formal Training

A Bachelor of Arts or Bachelor of Science Degree (BA or BS) with a 3.0 grade point average (GPA) or above is required.
A BA or BS in Accounting, Finance, Business or similar is preferred.
Possession of, or ability to obtain, a valid State of Colorado Drivers’ License, required.

Experience

No experience is required; however, applicant must review the Knowledge, Skills and Abilities section of the description to ensure ability to meet these measures.

Working Conditions

Working Environment

This job operates in a professional office environment. This role routinely uses standard office equipment such as computers, phones, photocopiers. Travel to conferences, meetings and branch locations on a regular basis is necessary.

Physical Activities

These are representative of those which must be met to successfully perform the essential functions of this job .

While performing the duties of this job, the employee is regularly required to talk or hear. This is largely a sedentary role. Specific vision abilities required by this job include close vision, distance vision, color vision, and ability to adjust focus. Employee also may have to lift up to 25 pounds.

Note: This job description is not intended to be an exhaustive list of all duties, responsibilities, or qualifications associated with the job.

Starting Rate of Pay is from $26.44 to $31.44 per hour, depending on experience.

For an overview of our employee benefits please visit: Alpine Bank Careers Page
Show less "
