,Job Function,Industry,Seniority,Job Description,Segment,female,male
6,Management and Manufacturing,Motor Vehicle Manufacturing,Mid-Senior level,"Auto req ID: 22486

Title: Senior Supply Chain Analyst (Remote)

Job Function: Materials and Procurement

Location: Remote

Company: Harley-Davidson Motor Company

Full or Part-Time: Full Time

At Harley-Davidson, we are building more than machines. It’s our passion and commitment to continue the evolution of this storied brand, and heighten the desirability of the Harley-Davidson experience. To keep building our legend and leading our industry through innovation, evolution, and emotion we need the best and brightest talent. We stand for the timeless pursuit of adventure. Freedom for the soul. Are you ready to join us?

We maximize employee flexibility and well-being through a virtual mindset that supports our highly distributed, global workforce. We take an outcome-focused, people-centered approach to winning, including welcoming the best talent - wherever they may be.

This remote role is not tightly linked to a physical location and provides flexibility in where, when and how you accomplish your work. Remote employees are expected to have a dedicated, quiet and distraction-free work space and an internet connection that’s sufficient for completing their job remotely.

Job Summary

The position will work directly with suppliers to ensure a consistent supply of parts to both Harley-Davidson final vehicle assembly plants in York, PA and Thailand.

Job Responsibilities

Able to work autonomously in a fast-paced environment with a sense of urgency and priority. This work directly ensures Harley-Davidson production lines are supported with material to meet production schedules.
Works collaboratively with suppliers on daily shipments to ensure continuity of supply. This includes reviewing open and past due orders with suppliers, developing ship plans, and working with Logistics providers to ensure timely shipments are met.
Interfaces with Suppliers, Receiving, 3PL, Operations, Logistics, Customs, Quality, Engineering, and Scheduling daily.
Develops deep understanding of supplier constraints inhibiting their ability to supply production parts to Harley-Davidson including raw material supply, internal and external capacity constraints, routing guides, and distribution bottlenecks.
Pro-actively identifies areas of potential supply chain risk and directly works with adjacent supply chain functions to minimize plant impacts.
Gather data and conducts analysis of overall supply chain performance to optimize inventory levels and manage inbound delivery timing and risk.
Working knowledge of Truckload, LTL, Intermodal and Parcel networks and industries
Ability to drive results with a low level of guidance and direction.
Effectively communicates complex information involving Supply Chain Operations impacts to affected stakeholders.

Education Requirements

Bachelor's Degree Preferred

Experience Requirements

Required-

Typically requires a minimum of 5 years of related experience
Able to work autonomously in a fast-paced environment with a sense of urgency and priority
Strong communication (verbal and written)
Understanding of MRP elements, Logistics, and Supplier Performance Management

Preferred-

SAP experience
CPIM, CSCP
Experience in a manufacturing environment

Harley-Davidson is an equal opportunity employer that continues to build a culture of inclusion, belonging and equity through our commitment to attracting and retaining diverse talent from all backgrounds, without regard to race, color, religion, sex, sexual orientation, national origin, gender identity, age, disability, veteran status or any other characteristic protected by law. We believe in fairness and providing a level playing field for all. We foster a culture that thrives on diverse perspectives and contributions to ignite the creativity and innovation to fuel our business and enhance the employee and customer experience.

The pay range shown represents the national average pay range for this role. Your pay may be more or less than the stated range and is dependent on your geographic location and level of experience.

We offer an inclusive compensation package for all full-time salaried employees including, but not limited to, annual bonus programs, health insurance benefits, a 401k program, onsite fitness centers and employee stores, employee discounts on products and accessories, and more. Learn more about Harley-Davidson here.

Applicants must be currently authorized to work in the United States.

Direct Reports: No

Travel Required: 0 - 10%

Pay Range: 78000 - 116000

Visa Sponsorship: This position is not eligible for visa sponsorship

Relocation: This position is not eligible for relocation assistance
Show less ",1,0,0.15
25,Sales and Business Development,Motor Vehicle Manufacturing,Mid-Senior level,"For 35 years, Avondale Group has grown to become one of the most respected family-owned automotive groups in the world. We pride ourselves on creating an elevated client experience from purchase, to service, to collision repair, to subscription and beyond. The sincere and endless commitment to our employees drives our success and the inclusive culture makes Avondale Mercedes-Benz Grapevine a truly special place!




We feel honored that we attract, nurture, respect and retain the most talented people in the industry! We do so by providing a world-class, high-quality work environment where productivity, innovation, and personal and professional growth lead to success and lasting, meaningful relationships. It would be our sincere pleasure to show you this, first-hand.




EXCELLENT MEDICAL INSURANCE AND LIFE BENEFITS FOR YOU AND YOUR FAMILY!




Your Choice of Medical Plans (we reduced employee healthcare expense through our self-insured plans for our employees and their families for 2022)




Dental




Vision




FREE Company Paid Life Insurance




FREE Employee Assistance Program Support for all employees




401K Retirement Plan




Paid Holidays/Vacation/Paid Time Off




Our Avondale Mercedes-Benz Grapevine Parts Managers ensure an elevated client experience while creating client advocates. They run efficient parts department for internal and external clients while maximizing profitability.




Performs perpetual inventory




Participates in Operational Store & Department Planning




Creates annual budgets




Reconciles daily parts invoices




Tracks the gross sales of the parts department on a daily basis




Reconciles and report shortages and/or damages




Reconciles parts/warranty returns report




Provides on the job training for parts department members




Compiles and analyzes monthly management reports




Maintains tight control over parts inventory




Ensures the quality of customer service provided by the parts department




Coordinates parts marketing




Calculates and submits the obsolescence report on a monthly basis




Knows and understands the Client Concern Resolution (CCR) process, and use the program to achieve client satisfaction




Knows and understands the Avondale Privacy and Information Security Policies, and adhere to the requirements




Holds weekly department meetings




Attends weekly manager meetings




EDUCATION And/or EXPERIENCE




High school diploma or general education degree (GED); and one year dealership warehouse experience and/or training; or equivalent combination of education and experience.




CERTIFICATES, LICENSES, REGISTRATIONS (Including Driver's License)




None required.




PHYSICAL DEMANDS




The employee must frequently lift and/or move up to 25 pounds and occasionally lift and/or move up to 50 pounds.
Show less ",1,0,0
34,"Consulting, Information Technology, and Sales",Motor Vehicle Manufacturing,Mid-Senior level,"Are you energetic, engaging and hard-working? Are you interested in selling? Are you competitive and self-motivated? We're seeking driven individuals to join our fast-pacedt eam, as a BDC Call Center Representative for the Service Department.

Benefits

Full-time employees are offered Medical, Vision & Dental
401K retirement and saving plans are offered to employees after working at the dealership for 6 months or more
Paid Vacation time, selected holiday pay, sick pay


Responsibilities

Adapt in computer database programs (Xtime, TIS, ADP, Spark, OnRamp, Premier, GSM, etc.)
Keep log of complete appointment confirmations, no shows, and first time customers
Track outbound appointments, open recalls, Toyota Care, any open campaigns and overdue services
Verify with all websites, that customer is up to date on any services they may have
85 calls are to be completed by the end of the day (inbound and outbound)
Call Rater must be at 90% or better
Be able to follow scripts for phone usage with customers
Verbal conversations on the phone must be understandable to customer. Must be able to go into detail to explain different situations to customers
Sitting for long periods of time
Be able to make frequent trips to service drive when needed for clarification on services for customer
Able to stay calm under pressure
Exceptional Communication Skills
Saturday's you will assist the Service Advisors by greeting and checking out customers


Qualifications

High School Diploma or GED
Ability to work independently
Call center experience is desired
Experience with customer service
Needs to be responsible and organized, and have good communication skills.
Willingness to submit to a pre-employment drug screen and background check
Valid Texas Driver's License
Punctuality is required
Ability to multitask and perform under pressure
Ability to work Saturdays


We are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status. We are committed to providing a safe, drug-free work environment. Applicants must be willing to submit to a pre-employment background check and drug test. Interested candidates must possess a valid driver's license and have a satisfactory driving record.
Show less ",1,0,0
51,Sales and Business Development,Motor Vehicle Manufacturing,Mid-Senior level,"Employer Description: RPM Ventures LLC / Take 5 Oil Change Franchisee for Mississippi and Alabama Job Description A successful District Manager creates a productive working atmosphere in our stores and hires store managers who are committed to the company’s success. Responsible for creating the overall vision for each store in their district, establishing benchmarks for store management teams and implementing policies and programs that will help those teams achieve their goals. Responsibilities Leadership Skills:

Keeps employees motivated, makes hard decisions and resolves conflicts.
Planning & Organization skills: Establishes a systematic course of action for self and others in order to accomplish objectives; determines priorities and allocates resources effectively.
Communicates clearly, concisely, and accurately in order to ensure effective operations at the store and district level.
Supports and motivates the store management team within the district to implement change that aligns with company objectives. Employee Development & Team Building:
Provides employees with coaching, feedback, and developmental opportunities.
Develops and maintains positive relationships with employees in the district by understanding and addressing individual motivation, needs, and concerns.
Manages district-wide store management team by regularly conducting performance assessments, providing feedback, and setting challenging goals to improve performance.
Constantly monitors and manages district-wide management staffing levels. Business Requirements:
Regularly utilizes management information tools and analyzes financial reports to identify and address trends and issues in district performance.
Expected to create, keep and maintain budgets. Monitor P&L reports for each store and develop effective ways to fill in any gaps between actual performance and company projections.
Constantly reviews store environments and key performance indicators within the district to identify problems, concerns, and opportunities for improvement Qualifications:
This position requires a high level of travel.
Must be located in South Mississippi
Must be computer literate and have the ability to manage technology at a high level.
Demonstrate a high level of professionalism and business acumen related to Take 5.
Willingness to be opened minded in learning new methodologies and processes for executing management task.
Self-motivated, high energy, and a results driven individual willing to do what it takes to achieve goals and exceed expectations.


Show less ",1,0,0
53,Purchasing and Supply Chain,Motor Vehicle Manufacturing,Mid-Senior level,"Job Title: MRO Buyer Company: Aisin World Corp. of America Department: Purchasing Location: Clinton, TN (AACT) Position Responsibilities The MRO Buyer is responsible for executing and coordinating buying activities in order to procure MRO products from a variety of suppliers. He/she is responsible for ensuring that assigned work activities are performed effectively, in an accurate and timely manner. The incumbent is expected to perform the following functions that the company has determined are essential to this position: * Evaluate approved purchase requisitions for complete and accurate. * Responsible for the processing and management of purchase orders. * Maintain communication and relationships with suppliers to ensure timely delivery of quality products. * Conduct cost-savings activities to reach department goals and deadlines (as required). * Successfully negotiate contracts/pricing with suppliers to achieve desired results. * Resolve delivery non-conformances from receiving department and invoicing issues from finance department. * Assist other departments with obtaining supplier quotations and inquiries to support their requirements. * Provide internal customer service needs in a fast-paced manufacturing environment. * Accuracy and timeless of all purchase orders. * Reduce cost * Successfully negotiate agreements according to schedule and within price reduction expectation. * Invoice closure * Maintains professional working relationships with internal and external customers * Responsive to customer needs. * Other duties as assigned. Required Skills and Abilities Essential Skills and Experience: * Advanced in Windows, MS Word, Excel, and PowerPoint. Microsoft AX is a plus. * Possess an assertive disposition - demonstrating a self-starter mentality and a history of taking ownership and driving change. * Working knowledge of the legal aspects of purchasing and contracts. * Experience with order processing, RFQs, and invoicing. * Proven effectiveness in meeting deadlines and achieving expected results. * Strong organizational skills with the ability to perform multiple tasks while working as part of a larger team. Beneficial Skills and Experience * Knowledge of Oracle or other MRP systems Education/Training/Certifications * High School Diploma, but college degree preferred. Work Environment Requirements * Must be able to operate a personal computer, telephone and other office equipment. * Must perform job duties onsite, except those duties that are customarily or by their nature performed offsite (for example, offsite customer visits). * Must be able to work effectively in a fast paced environment where constructive criticism is encouraged. * Must be able to work on multiple assignments at once, and complete assignments within deadline and budget (if applicable) with satisfactory quality. * Must be able to operate as an effective team member. * Must be committed to a high standard of safety, and be willing and able to comply with all safety laws and all company safety policies. Attendance/Work Hour Requirements * Must maintain an acceptable attendance record. * Must be willing and available to work such weekends and holidays as necessary and desirable to meet business needs. Travel Requirements * Approximately 20% * Must be willing and available to travel to such locations and with such frequency as is necessary and desirable to meet business needs. Bonus Overview * An incentive pay program offers payouts based on individual performance, job level, and company performance. Benefit Overview * Aisin World Corp. of America offers a variety of health and wellbeing benefit programs. Benefit options include Medical, Dental, Vision, Health Savings Account, Flexible Spending Accounts, retirement savings plan, sickness and accident benefits, life insurance, paid vacation and holidays, tuition assistance programs, employee assistance program, vehicle discounts and more. Candidates applying for positions with Aisin must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Aisin is an Equal Opportunity Employer. Company Description A $35 billion company, AISIN is the largest manufacturer of automatic transmissions in the world and employs more than 120,000 team members at 216 consolidated companies. Chances are that the vehicle you're riding in is equipped with an Aisin product.




A $35 billion company, AISIN is the largest manufacturer of automatic transmissions in the world and employs more than 120,000 team members at 216 consolidated companies. Chances are that the vehicle you're riding in is equipped with an Aisin product.
Show less ",1,0.3,0.15
59,Other,Motor Vehicle Manufacturing,Mid-Senior level,"TOYOTA EXPRESS MAINTENANCE SERVICE ADVISOR

STATUS: Full-Time FLSA Salary-Exempt

PAY RANGE: $40,000 - $55,000

ABOUT US:

In 1908, O.D. Smart opened the doors to Smart Motors. It has remained a family-owned business that focuses on quality, customer satisfaction, and looking for continuous improvement. Smart Motors has stayed in the Madison area for over a century and is committed to helping the community by partnering with various organizations. Today we service more than 7,000 vehicle every month!

JOB SUMMARY:

The Toyota Express Maintenance Service Advisor is responsible for running a smooth, organized and customer focused service bay and write-up experience. You will also help in developing and implementing procedures to improve satisfaction, customer retention and customer pay labor dollars. COMMUNICATING ACCURATE AND COMPLETE REPAIR INFORMATION IS VITAL TO THIS POSITION. The scope of work includes, but is not limited to: Constant customer contact, required positive interactions with technicians and parts teams, use of and the understanding of multiple computer or web-based systems, repair order/work order generation, tracking, review and completion. Compliance with all applicable laws, rules and regulations is vital as an individual punctuality, dependability, cooperation and the ability to take direction.

WORK ENVIRONMENT:

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Duties are performed primarily in a dealership sales and service environment. Compliance with applicable safety rules and regulations will be required.

While performing the duties of this job, the team member will be occasionally required to work near moving mechanical parts, exposed to fumes or airborne particles, welder’s arc, potential of low voltage shock, and moderate heat during the summer months. The noise level is moderate to high.

BENEFITS:

We offer great, competitive benefits such as:

Health, Dental, and Vision Insurance
Competitive Paid Time Off for Full and Part Time
7 Paid Holidays
Parts and Services Discount
401K Matching
Company Profit Sharing
Air-Conditioned Shop
Available Tool Support Program


REQUIREMENTS:

High School Diploma/GED or Equivalent
Valid Driver's license and an acceptable driving record
Bilingual applicants are encouraged


Employees must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire.

Successful completion of a drug/alcohol test and background check are required for all positions, post-offer and acceptance of the position.

Smart Motors, Inc. is an Equal Opportunity employer.

The above statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an all-encompassing list of responsibilities, duties and skills required of personnel so classified.
Show less ",1,0,0
68,Other,Motor Vehicle Manufacturing,Mid-Senior level,"We are Titus-Will Ford in Tacoma, one of the largest Ford dealerships in the Northwest! Titus-Will is a trusted, family-owned and operated business since 1938. Many of our employees have made a career of working on our team. We are currently looking for Automotive Service Advisors to join our incredible service department. Candidates need to have at least 1 year of experience in writing service.

What We Offer

Base salary of $2,000 - $3,000/month based on experience plus 2.0% - 2.5% commission of payable parts and labor sales
Medical/Dental/Vision
401-K retirement savings plan eligible after 90 days of employment
1.0 hours Paid Time Off (PTO) earned for every 40.0 hours worked
7 Paid Holidays
Supplied Uniforms
Direct deposit
More benefit information available at: https://tituswilljobs.com/service-advisor/service-advisor-additional-information/


Qualifications

At least 3 years of Service Advisor/Writer experience is required
Valid driver’s license and clean driving record
Excellent phone skills
High School Diploma or GED (required)


Responsibilities

Greet every customer and begin the write-up process
Write up and manage all repair orders and purchase orders
Answer phones and set appointments
Advise customers on maintenance and repairs recommended
Liaison between customers and technicians
Keep in constant contact with customers
Open and close purchase orders and sublet billing
Work closely with the parts department
Collect payment and close repair orders


At Titus-Will, you have the ability to work on all makes and models, including Ford, Toyota, General Motors, and Hyundai. We also service other makes at our dealerships and at our dedicated service center in Downtown Tacoma. Please visit tituswilljobs.com to see all of our current openings!

Titus-Will is a drug-free workplace and an equal opportunity employer and prohibits discrimination and harassment of any kind based on race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. To be considered for employment, you will be required to take a pre-employment drug screen (excluding marijuana). For positions involving driving company and/or customer vehicles, you will be required to provide a copy of your driving record (available at your local DMV).
Show less ",1,0,0
70,Other,Motor Vehicle Manufacturing,Mid-Senior level,"Ready to join a winning team? Your next opportunity awaits at Mercedes-Benz of Ontario. We are hiring a Service Advisor to join the team.

The Service Advisor is responsible for ensuring an exemplary experience for the service customer by providing a prompt and friendly greeting, listening to their description of problems or services needed, preparing repair orders and being proactive, accurate and thorough in communication. The Service Advisors serves as a liaison between customer and technician ensuring the customer’s needs are understood by the technician and the recommended service and/or repairs are understood by the customer.

Benefits

Health insurance
Dental insurance
Vision insurance
Paid time off
401(k)
401(k) matching
Flexible spending account
Professional development assistance
Life insurance
Employee assistance plan
Disability insurance


Pay Scale Information

Employees in this position will primarily be paid commissions, but they will also be paid minimum wage for non-sales work and for rest periods. Commission amounts vary based on performance, but the expected average hourly earnings from commissions are approx. $15.50 - $90 / hour.

Qualifications

Valid in-state driver’s license and clean driving record
Previous experience as a Service Advisor preferred


Responsibilities

Prepare accurate Repair Orders showing time, cost and labor estimates, verifying warranty and service contracts and reviewing with clients. Help to identify mechanical problems with fact-finding questions and performing and interactive visual inspection arranging road test if necessary
Promote the sale of labor, parts and accessories by providing explanation of estimates and obtaining approval for work that is sold
Follow the progress of service repairs and provide customers with timely updates
Maintain appropriate levels of customer service and client retention by resolving customer complaints or concerns immediately and appropriately; assume ownership of the customer's experience by carrying out those additional assignments that allow the dealership to leave a positive impression with the customer


At Fletcher Jones, we attract, nurture, and retain the most talented people in the industry by providing the highest quality work environment where productivity, creativity, and personal and professional growth can flourish. We believe our team sits behind the wheel of the Fletcher Jones brand that drives our company toward success.

We are an Equal Opportunity Employer
Show less ",1,0,0
80,Human Resources,Motor Vehicle Manufacturing,Mid-Senior level,"At Kia, we’re creating award-winning products and redefining what value means in the automotive industry. It takes a special group of individuals to do what we do, and we do it together. Our culture is fast-paced, collaborative, and innovative. Our people thrive on thinking differently and challenging the status quo. We are creating something special here, a culture of learning and opportunity, where you can help Kia achieve big things and most importantly, feel passionate and connected to your work every day.

Kia provides team members with competitive benefits including premium paid medical, dental and vision coverage for you and your dependents, 401(k) plan matching of 100% up to 6% of the salary deferral, and time off starting at 14 days per year. Kia also offers company lease and purchase programs, company-wide holiday shutdown, paid volunteer hours, and premium lifestyle amenities at our corporate campus in Irvine, California.

Status

Exempt

Summary

This position is focused on making substantive contributions to the design and framework for financial and non-financial rewards that reflect the organization’s strategy to attract, motivate and retain team members. Responsible for ensuring the company’s traditional compensation and benefits offerings are compliant, competitive, compelling and differentiate Kia America as an employer of choice. Partnering with the Director, Human Resources and General Affairs this role establishes the overall total rewards strategy and ensures effective delivery of all pay and benefits programs across the organization.

Major Responsibilities

1st Priority - 30%

In support of the management of the organization’s human resources activities, partner in the development of strategies and policies to meet business needs. Plan, implement, administer, analyze, and review activities relating to compensation, benefits and HR systems. Align rewards and programs with organization goals

2nd Priority - 25%

Manage and monitor the benefits programs including all annual health insurance renewal activities.

Lead the health and wellness program for the organization through strategic partnerships and creative programs to incentivize consumerism and accountability.

Oversee the leave of absence and workers’ compensation programs to ensure compliance with company policy as well as all federal, state, and local regulations.

Support the plan administrator for the company sponsored 401(k) retirement plan. Coordinate internal administrative committee activities with recordkeeper and plan co-fiduciary.

3rd Priority - 25%

Lead the compensation function including the annual merit/promotion budgeting, corporate and VP bonus planning process, job grading/market pricing, organization salary structure and internal equity evaluation. Recommend enhancements to current pay programs through research and analysis.

Identify survey resources and opportunities to further refine the organization’s market compensation analysis.

4th Priority - 20%

Manage the HRIS/Payroll systems.

Provide leadership and direction to staff regarding the day to day responsibilities of the function.

Ensure system practices support data integrity of HRIS and payroll systems.

Monitor system readiness for reporting requirements of configured modules and interfaces including payroll, benefits, annual goal setting, annual compensation planning and annual performance appraisal activities.

Education/Certification

Bachelor’s degree in Business Administration, Finance, Human Resources Administration required or equivalent work experience.

Overall Experience

Prior leadership experience required.

Directly Related Experience

10 years’ experience in the human resources preferred, including significant experience in the design and implementation of compensation and benefits program.
Fluency and prior experience with HRIS and payroll systems
Knowledge of ERISA, HIPPA, COBRA and emerging regulatory issues preferred

Skills

Ability to interface and communicate effectively in a clear and concise manner to all levels of team members, management, vendors, etc.

Clearly understands fellow team members and efficiently conveys one’s thoughts using adequate communication channels and methods.

Effectively applies ideas and material resources by clarifying the priorities, activity sequences, and planning of projects/tasks.

Exceptional skills with Excel and PowerPoint required in order to produce various proposals.

Identifies and analyzes various issues related to present/future business and propose directional changes for the best interest of the company.

Strong analytical and organizational skills.

Strong collaborative leadership skills with experience to continually elevate and improve the company’s total rewards program

Strong project management skills which includes handling multiple projects simultaneously.

Uses prompt judgment and action based on professional experience to find solutions in unexpected situations.

Utilizes various persuasive methods to acquire desired objectives from opposing negotiators; negotiating and agreeing to conditions that mutually satisfy and benefit the negotiating parties from a long-term perspective.

Competencies

CUSTOMER - Serving Customers

GLOBALITY - Showing Community and Social Responsibility

PEOPLE - Interacting with People at Different Levels

CHALLENGE - Solving Complex Problems

COLLABORATION - Building and Supporting Teams

Pay Range

$95,200.00 - $128,500.00

Pay will be based on several variables that are unique to each candidate, including but not limited to, job-related skills, experience, relevant education or training, etc.

Equal Employment Opportunities

KUS provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, ancestry, national origin, sex, including pregnancy and childbirth and related medical conditions, gender, gender identity, gender expression, age, legally protected physical disability or mental disability, legally protected medical condition, marital status, sexual orientation, family care or medical leave status, protected veteran or military status, genetic information or any other characteristic protected by applicable law. KUS complies with applicable law governing non-discrimination in employment in every location in which KUS has offices. The KUS EEO policy applies to all areas of employment, including recruitment, hiring, training, promotion, compensation, benefits, discipline, termination and all other privileges, terms and conditions of employment.

Disclaimer: The above information on this job description has been designed to indicate the general nature and level of work performed by employees within this classification and for this position. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.
Show less ",1,0,0.11
104,Purchasing and Supply Chain,Motor Vehicle Manufacturing,Mid-Senior level,"Position Summary The purpose of this position is to provide planning, leadership and direction to the Purchasing and Receiving departments in order to maximize cost savings in raw material, equipment, and supply procurement for the company. Technical Skill Requirements: * BS degree in business, management or a technical field or equivalent professional experience * 4-6 years experience in Purchasing or experience negotiating pricing and contracts * Experience developing business planning models and forecasting * Previous professional experience in automotive components industry is preferred * Excellent interpersonal and negotiating skills * Mathematical aptitude * Proficient in Excel., Word, Outlook etc. Performance Skill Requirements: * Financial Acumen: Able to understand the full meaning and interrelationship of key financial indicators; uses financial analysis to evaluate and identify desired strategic directions. * Negotiating: Able to obtain agreement from multiple parties; earns trust while working a deal; uses good timing and carefully calculated strategies when bargaining; communicates high value of services, looks for win-win. * Influence/Persuasion: Able to convince others in both positive and negative circumstances; uses tact when expressing ideas or opinions; presents innovative ideas to authority figures; responds to objections successfully. * Problem Solving: Able to apply systems thinking to generate solutions; focuses on process rather than isolated events; obtains multiple assessments of a situation and identifies trouble spots; evaluates alternative solutions. * Decisiveness: Able to stand by a decision, despite second guessing or disagreement from others; takes quick action in a high-risk crisis; con assess a situation and make an optimal decision despite limited information. * Results Orientation: Able to manage progress toward operational effectiveness; can implement preventative measures and establish clear accountability for action; confronts problems head on and takes decisive action. Other Key Competencies: * Communication: Able to clearly present information through the spoken or written word; reads and interprets complex information; talks with customers or clients; listens well * Develop Others: Able to appraise the strengths and weaknesses of subordinates in order to maximize chance of success; formulates an improvement action plan and creates a learning climate; empowers others to take action * Energizing Others: Able to exhibit a ""can-do"" approach and inspires associates to excel; uses competition to encourage others; develops performance standards and confronts negative attitudes; develops team spirit. Essential Duties and Responsibilities Collect data, conduct analyses, and generate reports to aid in decision making and maximizing cost savings regarding procurement of raw materials. Development of forecasting models, creation of planning/inventory control sheets, checking of bills of materials, and creation of purchase orders * Negotiate with suppliers to achieve pricing increase/decrease goals and meet monthly targets * Place purchase orders with multiple vendors * Ensure monthly purchasing reports are completed accurately and in a timely manner Creation of usage reports, profit reports, cost savings action reports, overhead/labor action reports, vendor evaluation reports and profit summaries * Manage raw materials inventory to minimize space usage within the facilities and to achieve monthly inventory dollar targets * Manage importing of raw materials for four facilities and resolve all relevant issues * Visit supplier companies, as necessary to address quality, functionality, delivery, etc. * Evaluate and recommend suppliers and vendors * Attend meetings between buyers and suppliers, as available to assist in negotiating price, delivery, quality, etc. * Participate in barcode scanning training for Purchasing and Receiving Other Duties and Responsibilities * Administer company policy, as needed * Other projects and duties, as assigned * Develop and evaluate subordinates Supervisory Responsibilities This position has direct supervisory responsibilities over the following positions: buyers, purchasing clerk and receiving. Duties include planning work for subordinates, observing performance, appraising, developing, coaching, and holding subordinates accountable for results. Job Complexity Work requires an elevated level of judgment, analytic ability and creativity, such as investigating moderately complex problems or situation, analyzing information and recommending solutions Supervision Received Receives moderate supervision; objectives or goals are established in advance, but little in the way of a course of action is generally specified or recommended Frequency of Independent Judgment Exercised Occasionally Position's Type of Job Tasks Performs moderately complex tasks requiring moderate knowledge of department's work Environment and Conditions Contacts The incumbent spen




We are a tier 1 automotive exterior parts supplier.
Show less ",1,0,0
