Company,Industry,Employees Who Are Women,Executives Who Are Women
victory-automotive-careers-43644,Automobiles & Components,31%,27%
sgc-holding-company-inc-careers-38138,-,32%,23%
agero-careers-13836,Software & Services,65%,33%
volvo-cars-of-north-america-careers-43839,Automobiles & Components,34%,-
r-h-sheppard-co-careers-36062,Automobiles & Components,21%,-
roush-careers-37078,Automobiles & Components,23%,13%
luther-automotive-group-careers-41272,Automobiles & Components,54%,-
donlen-careers-333896,Commercial & Professional Services,42%,-
pierce-manufacturing-careers-34912,Automobiles & Components,18%,-
interstate-batteries-careers-27572,Automobiles & Components,21%,31%
jm-family-enterprises-careers-28124,Automobiles & Components,39%,36%
general-assembly-careers-24414,-,34%,32%
donaldson-company-careers-3524,Capital Goods,35%,36%
penske-automotive-group-careers-8922,Automobiles & Components,37%,21%
pines-ford-lincoln-careers-1911676,-,-,-
general-motors-careers-4883,Automobiles & Components,34%,25%
continental-tire-the-americas-careers-20117,Materials,26%,-
stoneridge-careers-10882,Transportation,49%,23%
hp-pelzer-automotive-systems-careers-26688,Automobiles & Components,36%,-
old-world-industries-careers-411401,Automobiles & Components,39%,20%
meritor-careers-7391,Automobiles & Components,29%,23%
volvo-trucks-north-america-careers-43842,Automobiles & Components,30%,23%
cummins-careers-3138,Automobiles & Components,31%,43%
reese-products-careers-36387,-,-,-
mazda-motor-of-america-careers-30658,Automobiles & Components,33%,25%
kia-motors-america-careers-28628,-,36%,-
oshkosh-careers-8628,Automobiles & Components,26%,21%
toyota-motor-manufacturing-texas-careers-42074,Automobiles & Components,30%,-
la-mesa-rv-careers-29016,Automobiles & Components,42%,-
adesa-careers-13589,Automobiles & Components,45%,17%
k-n-engineering-careers-28328,Automobiles & Components,32%,-
volkswagen-group-of-america-careers-43830,Automobiles & Components,36%,-
flex-n-gate-careers-23580,Automobiles & Components,31%,-
navistar-international-careers-7963,Automobiles & Components,27%,27%
borgwarner-careers-1669,Automobiles & Components,34%,27%
adac-plastics-careers-13557,Commercial & Professional Services,44%,-
allison-transmission-careers-435,Automobiles & Components,30%,37%
denso-international-america-careers-21260,-,33%,-
adient-us-careers-13594,-,-,33%
bosch-automotive-service-solutions-careers-1445090,Consumer Durables & Apparel,37%,-
valeo-electrical-systems-careers-43302,-,24%,20%
ghost-careers-1448045,Automobiles & Components,28%,-
fca-us-careers-23154,-,-,14%
nexteer-automotive-careers-8165,Automobiles & Components,36%,35%
sage-automotive-interiors-careers-37370,Automobiles & Components,36%,-
porsche-careers-212202,-,39%,-
pirelli-tire-careers-35003,Automobiles & Components,25%,44%
inalfa-roof-systems-careers-27108,Automobiles & Components,39%,-
inteva-products-careers-27604,Automobiles & Components,-,32%
north-american-lighting-careers-33077,Automobiles & Components,39%,-
