Company,Industry,Employees Who Are Women,Executives Who Are Women
3m-careers-35,-,36%,42%
tasc-total-administrative-services-corporation-careers-41988,Commercial & Professional Services,48%,42%
hsbc-north-america-careers-26715,-,50%,28%
mastercard-careers-7164,Software & Services,41%,43%
gfi-group-careers-24613,Diversified Financials,34%,-
goldman-sachs-careers-11457,Diversified Financials,38%,37%
invesco-careers-860334,Diversified Financials,43%,30%
depository-trust-clearing-careers-59819,Diversified Financials,33%,36%
dodge-cox-careers-838663,Diversified Financials,28%,46%
greenhill-co-careers-5201,Diversified Financials,-,16%
deutsche-bank-careers-59781,Diversified Financials,37%,27%
bridgewater-associates-careers-846158,Commercial & Professional Services,-,46%
city-national-bank-careers-19248,Commercial & Professional Services,62%,34%
paramount-group-careers-627136,Independent Power and Renewable Electricity Producers,35%,25%
ocwen-financial-careers-8436,Diversified Financials,54%,27%
first-republic-bank-careers-4494,Commercial & Professional Services,42%,31%
comerica-careers-2685,Diversified Financials,59%,45%
scotiabank-careers-37806,Banks,51%,44%
houlihan-lokey-careers-5681,Diversified Financials,-,15%
usaa-careers-42941,Commercial & Professional Services,52%,38%
state-street-careers-10823,Diversified Financials,39%,37%
ventas-careers-58324,Commercial & Professional Services,47%,33%
ironwood-payments-careers-1581144,Diversified Financials,45%,-
kkr-co-careers-59845,Commercial & Professional Services,44%,29%
neuberger-berman-careers-904643,Diversified Financials,43%,17%
frost-bank-careers-3132,Banks,55%,46%
warburg-pincus-careers-1481151,Diversified Financials,-,20%
starwood-capital-group-careers-846092,Diversified Financials,54%,-
credit-agricole-cib-careers-20497,-,29%,41%
btg-pactual-careers-1532235,Diversified Financials,-,-
federal-reserve-bank-of-dallas-careers-595143,Banks,48%,48%
putnam-investments-careers-875988,Diversified Financials,41%,35%
instinet-careers-27334,Diversified Financials,27%,20%
american-financial-group-careers-571,Insurance,49%,37%
ellie-mae-careers-3818,Software & Services,36%,39%
tower-research-capital-careers-735781,Diversified Financials,32%,-
federal-reserve-bank-of-cleveland-careers-41062,Banks,-,39%
wellington-management-careers-45487,Diversified Financials,40%,46%
tradeweb-careers-42109,Commercial & Professional Services,-,27%
berkadia-commercial-mortgage-careers-16663,-,49%,36%
homebridge-financial-services-careers-26451,Software & Services,62%,17%
william-blair-company-careers-44619,Diversified Financials,40%,25%
homestreet-careers-5642,Diversified Financials,62%,22%
citigroup-careers-2493,Diversified Financials,50%,31%
vw-credit-careers-43880,Automobiles & Components,34%,-
payment-alliance-international-careers-1562186,Diversified Financials,48%,7%
brown-advisory-careers-847850,-,-,36%
charles-schwab-careers-11417,Diversified Financials,37%,33%
new-mountain-capital-careers-90152,Diversified Financials,63%,11%
providence-equity-partners-careers-919476,Diversified Financials,29%,21%
