Company,Industry Sub-Group,Employees Who Are Women,Executives Who Are Women
dana-careers-3236,Automobiles & Components,34%,15%
old-world-industries-careers-411401,Automobiles & Components,39%,20%
dakkota-integrated-systems-careers-20872,Automobiles & Components,37%,36%
meritor-careers-7391,Automobiles & Components,29%,23%
braunability-careers-40898,-,34%,-
faurecia-automotive-seating-careers-23134,-,36%,34%
indiana-mills-manufacturing-careers-27152,Automobiles & Components,34%,20%
kia-motors-america-careers-28628,-,36%,-
nexteer-automotive-careers-8165,Automobiles & Components,36%,35%
saab-careers-1950630,-,34%,-
borgwarner-careers-1669,Automobiles & Components,34%,27%
fca-us-careers-23154,-,-,14%
flex-n-gate-careers-23580,Automobiles & Components,31%,-
cascade-die-casting-group-careers-430917,Automobiles & Components,21%,-
donlen-careers-333896,Commercial & Professional Services,42%,-
continental-tire-the-americas-careers-20117,Materials,26%,-
k-n-engineering-careers-28328,Automobiles & Components,32%,-
general-motors-careers-4883,Automobiles & Components,34%,25%
copart-careers-2931,Automobiles & Components,43%,26%
detroit-diesel-remanufacturing-careers-21313,Automobiles & Components,31%,-
graham-group-careers-366575,Commercial & Professional Services,-,-
visteon-careers-12511,Automobiles & Components,28%,30%
hp-pelzer-automotive-systems-careers-26688,Automobiles & Components,36%,-
subaru-of-america-careers-39864,Automobiles & Components,31%,-
eci-careers-238211,Capital Goods,44%,-
mercedes-benz-usa-careers-31064,Automobiles & Components,36%,-
yazaki-north-america-careers-45109,Automobiles & Components,41%,13%
autoliv-careers-1103330,Automobiles & Components,-,29%
toyota-motor-manufacturing-texas-careers-42074,Automobiles & Components,30%,-
jm-family-enterprises-careers-28124,Automobiles & Components,39%,36%
sage-automotive-interiors-careers-37370,Automobiles & Components,36%,-
jim-koons-management-co-careers-28108,Automobiles & Components,36%,-
porsche-careers-212202,-,39%,-
federal-mogul-careers-23190,-,36%,25%
adac-plastics-careers-13557,Commercial & Professional Services,44%,-
dexter-axle-careers-62711,-,37%,8%
dealer-tire-careers-21080,Automobiles & Components,20%,32%
volvo-trucks-north-america-careers-43842,Automobiles & Components,30%,23%
anderson-automotive-group-careers-14949,Software & Services,35%,-
paccar-careers-8672,Automobiles & Components,30%,23%
pirelli-tire-careers-35003,Automobiles & Components,25%,44%
interstate-batteries-careers-27572,Automobiles & Components,21%,31%
endurance-careers-1558723,Automobiles & Components,39%,9%
la-mesa-rv-careers-29016,Automobiles & Components,42%,-
victory-automotive-careers-43644,Automobiles & Components,31%,27%
volkswagen-group-of-america-careers-43830,Automobiles & Components,36%,-
reese-products-careers-36387,-,-,-
oshkosh-careers-8628,Automobiles & Components,26%,21%
agero-careers-13836,Software & Services,65%,33%
sgc-holding-company-inc-careers-38138,-,32%,23%
faurecia-emissions-control-technologies-usa-careers-23135,-,20%,-
ti-automotive-careers-41786,-,37%,17%
volvo-cars-of-north-america-careers-43839,Automobiles & Components,34%,-
cox-automotive-careers-20393,Diversified Financials,42%,33%
tenneco-careers-11340,Automobiles & Components,31%,20%
stoneridge-careers-10882,Transportation,49%,23%
adient-us-careers-13594,-,-,33%
brose-north-america-careers-17486,-,-,-
adesa-careers-13589,Automobiles & Components,45%,17%
vip-tires-service-careers-43699,Automobiles & Components,44%,-
bmw-careers-17021,-,33%,37%
karma-automotive-careers-1437836,Automobiles & Components,19%,27%
mitsubishi-electric-automotive-america-careers-31670,-,28%,10%
r-h-sheppard-co-careers-36062,Automobiles & Components,21%,-
daimler-trucks-north-america-careers-20861,Automobiles & Components,32%,26%
cummins-careers-3138,Automobiles & Components,31%,43%
lou-bachrodt-chevy-careers-259198,Automobiles & Components,-,-
don-davis-auto-group-careers-21650,Retailing,27%,-
pierce-manufacturing-careers-34912,Automobiles & Components,18%,-
auto-trader-group-careers-305352,-,-,42%
autopart-international-careers-15873,Automobiles & Components,22%,-
michelin-careers-31383,-,26%,33%
yokohama-rubber-company-careers-45147,Capital Goods,19%,-
inalfa-roof-systems-careers-27108,Automobiles & Components,39%,-
tower-international-careers-11706,Automobiles & Components,34%,19%
suzuki-motor-of-america-careers-48789,Automobiles & Components,24%,-
north-american-lighting-careers-33077,Automobiles & Components,39%,-
ford-motor-company-careers-4626,Automobiles & Components,34%,35%
pines-ford-lincoln-careers-1911676,-,-,-
navistar-international-careers-7963,Automobiles & Components,27%,27%
donaldson-company-careers-3524,Capital Goods,35%,36%
roush-careers-37078,Automobiles & Components,23%,13%
fisher-company-careers-23497,Automobiles & Components,41%,28%
harley-davidson-careers-5376,Automobiles & Components,38%,33%
inteva-products-careers-27604,Automobiles & Components,-,32%
mazda-motor-of-america-careers-30658,Automobiles & Components,33%,25%
east-penn-mfg-careers-22054,Automobiles & Components,27%,-
general-assembly-careers-24414,-,34%,32%
penske-automotive-group-careers-8922,Automobiles & Components,37%,21%
tesla-careers-11363,Independent Power and Renewable Electricity Producers,22%,45%
valeo-electrical-systems-careers-43302,-,24%,20%
allison-transmission-careers-435,Automobiles & Components,30%,37%
asbury-automotive-group-careers-976,Automobiles & Components,35%,8%
ghost-careers-1448045,Automobiles & Components,28%,-
denso-international-america-careers-21260,-,33%,-
srg-global-careers-39231,Automobiles & Components,-,-
trw-automotive-careers-1190170,-,31%,-
cooper-tire-rubber-company-careers-2928,Automobiles & Components,22%,21%
bosch-automotive-service-solutions-careers-1445090,Consumer Durables & Apparel,37%,-
luther-automotive-group-careers-41272,Automobiles & Components,54%,-
