Company,Industry Sub-Group,Employees Who Are Women,Executives Who Are Women,Original Industry
gree-careers-372277,Software & Services,-,15%,Internet
allegiance-health-services-careers-14185,-,75%,-,Internet
equinix-careers-52724,Software & Services,31%,35%,Internet
linkedin-careers-29662,Software & Services,43%,44%,Internet
internet-corporation-for-assigned-names-and-numbers-careers-2242863,Software & Services,42%,-,Internet
godaddy-careers-5054,Software & Services,25%,38%,Internet
dun-bradstreet-careers-11437,Software & Services,43%,22%,Internet
datalot-careers-1422701,Software & Services,46%,-,Internet
sailthru-careers-1398430,Software & Services,52%,19%,Internet
match-group-careers-7169,Consumer Discretionary,54%,47%,Internet
twitter-careers-11916,Software & Services,44%,56%,Internet
gilt-com-careers-24668,Software & Services,55%,32%,Internet
grubhub-careers-5241,Software & Services,-,27%,Internet
dena-careers-473669,Software & Services,-,-,Internet
uber-careers-172372,Software & Services,28%,43%,Internet
elevate-careers-3807,Software & Services,47%,29%,Internet
catalina-marketing-careers-18322,Software & Services,49%,22%,Internet
sapient-careers-37603,Software & Services,32%,33%,Internet
westerman-careers-1165482,Software & Services,42%,-,Internet
snapfish-careers-693817,Software & Services,36%,-,Internet
gogo-careers-5056,Software & Services,50%,33%,Internet
harland-clarke-careers-25659,Software & Services,57%,23%,Internet
fareportal-careers-23088,Software & Services,36%,18%,Internet
billie-careers-107110,Software & Services,60%,-,Internet
zocdoc-careers-45302,Software & Services,33%,35%,Internet
fuze-careers-4794,-,40%,11%,Internet
monster-com-careers-31829,-,45%,27%,Internet
dataminr-careers-1397114,Software & Services,30%,27%,Internet
comdata-careers-19720,Software & Services,54%,45%,Internet
careerbuilder-careers-48319,Software & Services,42%,35%,Internet
limelight-networks-careers-6840,Software & Services,29%,17%,Internet
rubicon-project-careers-11520,Software & Services,41%,42%,Internet
glassdoor-careers-24710,Software & Services,45%,32%,Internet
gn-hearing-care-careers-24816,Software & Services,57%,-,Internet
groupon-careers-5234,Software & Services,47%,50%,Internet
quantcast-careers-35963,Software & Services,52%,25%,Internet
backcountry-careers-16034,-,33%,-,Internet
philosophy-careers-644957,-,62%,-,Internet
yext-careers-13049,Software & Services,38%,28%,Internet
driver-careers-72850,Software & Services,29%,-,Internet
docusign-careers-21605,Software & Services,31%,35%,Internet
angie-s-list-careers-776,-,40%,31%,Internet
houzz-careers-26665,Software & Services,68%,27%,Internet
activate-careers-793420,-,41%,45%,Internet
the-knot-worldwide-careers-45549,Software & Services,61%,-,Internet
shutterstock-careers-10380,Software & Services,48%,42%,Internet
nextdoor-careers-1403675,Software & Services,-,48%,Internet
lava-careers-396298,Software & Services,42%,-,Internet
modcloth-careers-1407650,Consumer Durables & Apparel,59%,45%,Internet
mailchimp-careers-1420941,Software & Services,-,18%,Internet
affirm-careers-1468642,Software & Services,39%,42%,Internet
endurance-international-group-careers-3890,Software & Services,35%,41%,Internet
airbnb-careers-13934,Software & Services,54%,41%,Internet
intent-media-careers-1448340,Software & Services,36%,-,Internet
zefr-careers-1405249,Software & Services,40%,33%,Internet
pubmatic-careers-1420952,Media,47%,43%,Internet
hotwire-careers-978092,Consumer Services,40%,-,Internet
arc-document-solutions-careers-881,Software & Services,41%,30%,Internet
port-authority-of-new-york-and-new-jersey-careers-795580,Software & Services,35%,42%,Internet
truecar-careers-11883,Software & Services,38%,29%,Internet
shutterfly-careers-10379,Software & Services,49%,57%,Internet
forward-careers-23820,Retailing,46%,-,Internet
audible-careers-65163,-,32%,35%,Internet
liveintent-careers-1403737,Software & Services,40%,21%,Internet
bankrate-careers-1321,Software & Services,41%,29%,Internet
hulu-careers-26793,-,49%,48%,Internet
dhi-group-careers-3379,Software & Services,-,37%,Internet
doordash-careers-1465882,Software & Services,34%,33%,Internet
eventbrite-careers-1406815,Software & Services,-,57%,Internet
heartland-catfish-careers-25984,Software & Services,59%,-,Internet
cresta-careers-1501811,Software & Services,41%,50%,Internet
twilio-careers-11911,Technology Hardware & Equipment,21%,46%,Internet
palo-alto-networks-careers-8747,Technology Hardware & Equipment,47%,37%,Internet
gwynnie-bee-careers-1403380,Consumer Staples,61%,-,Internet
sgs-careers-282028,Software & Services,32%,25%,Internet
telenav-careers-11303,Software & Services,33%,-,Internet
webmd-careers-146012,Media,49%,-,Internet
conviva-careers-1405890,Software & Services,-,29%,Internet
surveymonkey-careers-40146,Software & Services,50%,43%,Internet
squarespace-careers-39220,Software & Services,-,40%,Internet
align-technology-careers-387,Software & Services,58%,33%,Internet
openx-careers-33771,Software & Services,38%,17%,Internet
shipt-careers-1404321,Retailing,64%,43%,Internet
yahoo-careers-52306,Software & Services,39%,43%,Internet
pinterest-careers-34972,Software & Services,55%,49%,Internet
acoustic-careers-2178146,Software & Services,31%,-,Internet
thumbtack-careers-1399204,Software & Services,-,32%,Internet
css-careers-20655,Software & Services,40%,52%,Internet
quotient-careers-9570,Software & Services,37%,33%,Internet
tivo-careers-11645,Software & Services,35%,27%,Internet
mpower-holding-careers-32050,Software & Services,49%,24%,Internet
outreach-careers-1573830,Software & Services,71%,38%,Internet
box-careers-1694,Software & Services,39%,33%,Internet
chewy-careers-18950,Software & Services,42%,23%,Internet
1010data-careers-1406858,Software & Services,35%,38%,Internet
pandora-careers-8761,Software & Services,72%,52%,Internet
corporation-for-supportive-housing-careers-2240873,Software & Services,55%,80%,Internet
livingsocial-careers-29709,Software & Services,55%,48%,Internet
akamai-technologies-careers-336,Software & Services,36%,27%,Internet
