Company,Industry Sub-Group,Employees Who Are Women,Executives Who Are Women
scotiabank-careers-37806,Banks,51%,44%
tower-research-capital-careers-735781,Diversified Financials,32%,-
tasc-total-administrative-services-corporation-careers-41988,Commercial & Professional Services,48%,42%
homestreet-careers-5642,Diversified Financials,62%,22%
goldentree-asset-management-careers-1568973,Commercial & Professional Services,32%,25%
morgan-stanley-careers-7713,Diversified Financials,37%,43%
general-atlantic-careers-847698,Diversified Financials,47%,26%
goldman-sachs-careers-11457,Diversified Financials,38%,37%
northern-trust-careers-8267,Diversified Financials,42%,49%
frost-bank-careers-3132,Banks,55%,46%
the-carlyle-group-careers-57355,Diversified Financials,42%,34%
tudor-investments-careers-847522,-,43%,8%
wintrust-financial-careers-12870,Diversified Financials,47%,39%
colony-capital-careers-57122,Commercial & Professional Services,-,23%
drw-careers-21797,Commercial & Professional Services,51%,-
hsbc-north-america-careers-26715,-,50%,28%
citigroup-careers-2493,Diversified Financials,50%,31%
mitsubishi-corp-americas-careers-31668,Commercial & Professional Services,35%,13%
invesco-careers-860334,Diversified Financials,43%,30%
new-mountain-capital-careers-90152,Diversified Financials,63%,11%
council-of-federal-home-loan-banks-careers-23176,Banks,41%,24%
paramount-group-careers-627136,Independent Power and Renewable Electricity Producers,35%,25%
payment-alliance-international-careers-1562186,Diversified Financials,48%,7%
warburg-pincus-careers-1481151,Diversified Financials,-,20%
sei-investments-careers-37944,Diversified Financials,30%,27%
suntrust-banks-careers-11031,Diversified Financials,-,44%
cuna-mutual-group-careers-19444,Insurance,50%,42%
berkadia-commercial-mortgage-careers-16663,-,49%,36%
federal-reserve-bank-of-cleveland-careers-41062,Banks,-,39%
vw-credit-careers-43880,Automobiles & Components,34%,-
usaa-careers-42941,Commercial & Professional Services,52%,38%
neuberger-berman-careers-904643,Diversified Financials,43%,17%
fis-careers-4300,Commercial & Professional Services,58%,29%
instinet-careers-27334,Diversified Financials,27%,20%
3m-careers-35,-,36%,42%
american-financial-group-careers-571,Insurance,49%,37%
the-bank-of-new-york-mellon-careers-11407,Commercial & Professional Services,43%,38%
nuveen-careers-45444,-,38%,22%
homebridge-financial-services-careers-26451,Software & Services,62%,17%
pine-river-capital-management-careers-1561946,Diversified Financials,43%,-
btg-pactual-careers-1532235,Diversified Financials,-,-
mastercard-careers-7164,Software & Services,41%,43%
wedbush-securities-careers-829007,Diversified Financials,35%,18%
umpqua-holdings-careers-11995,Commercial & Professional Services,61%,39%
blackstone-group-careers-344156,Commercial & Professional Services,-,26%
depository-trust-clearing-careers-59819,Diversified Financials,33%,36%
valley-national-bank-careers-12288,Diversified Financials,62%,33%
deutsche-bank-careers-59781,Diversified Financials,37%,27%
pacific-investment-management-company-careers-1471966,-,35%,11%
westpac-careers-757016,Banks,42%,-
cowen-execution-services-careers-20390,Diversified Financials,42%,33%
fifth-third-bank-careers-4308,Commercial & Professional Services,59%,33%
gfi-group-careers-24613,Diversified Financials,34%,-
houlihan-lokey-careers-5681,Diversified Financials,-,15%
charles-schwab-careers-11417,Diversified Financials,37%,33%
federal-reserve-bank-of-dallas-careers-595143,Banks,48%,48%
jpmorgan-chase-careers-6398,Diversified Financials,52%,37%
greenhill-co-careers-5201,Diversified Financials,-,16%
ellie-mae-careers-3818,Software & Services,36%,39%
fortress-investment-group-careers-59690,Commercial & Professional Services,33%,25%
capital-group-companies-careers-52674,Diversified Financials,45%,48%
third-point-careers-1489069,Diversified Financials,-,-
kkr-co-careers-59845,Commercial & Professional Services,44%,29%
ironwood-payments-careers-1581144,Diversified Financials,45%,-
credit-agricole-cib-careers-20497,-,29%,41%
providence-equity-partners-careers-919476,Diversified Financials,29%,21%
credit-suisse-careers-20501,Diversified Financials,35%,33%
berkshire-partners-careers-776692,Diversified Financials,36%,13%
first-republic-bank-careers-4494,Commercial & Professional Services,42%,31%
foss-co-careers-838840,Commercial & Professional Services,33%,24%
perella-weinberg-partners-careers-1576769,Diversified Financials,-,20%
lazard-careers-29272,Diversified Financials,45%,29%
brown-advisory-careers-847850,-,-,36%
u-s-bank-careers-11937,Banks,60%,55%
tradeweb-careers-42109,Commercial & Professional Services,-,27%
golub-capital-careers-1760463,-,-,14%
comerica-careers-2685,Diversified Financials,59%,45%
legg-mason-careers-58674,-,43%,42%
wellington-management-careers-45487,Diversified Financials,40%,46%
ubs-careers-904130,Diversified Financials,38%,-
options-clearing-careers-41385,Diversified Financials,39%,36%
william-blair-company-careers-44619,Diversified Financials,40%,25%
vanguard-group-careers-45475,Diversified Financials,39%,31%
moody-s-careers-7702,Commercial & Professional Services,37%,46%
citadel-securities-careers-19196,-,32%,30%
starwood-capital-group-careers-846092,Diversified Financials,54%,-
putnam-investments-careers-875988,Diversified Financials,41%,35%
state-street-careers-10823,Diversified Financials,39%,37%
kennedy-wilson-careers-6477,Commercial & Professional Services,53%,47%
dodge-cox-careers-838663,Diversified Financials,28%,46%
city-national-bank-careers-19248,Commercial & Professional Services,62%,34%
moelis-company-careers-7653,Diversified Financials,32%,29%
ally-financial-careers-441,-,50%,33%
loomis-sayles-company-careers-876195,Diversified Financials,37%,17%
ventas-careers-58324,Commercial & Professional Services,47%,33%
bridgewater-associates-careers-846158,Commercial & Professional Services,-,46%
flagstar-bancorp-careers-4560,Diversified Financials,60%,24%
evercore-careers-4091,Diversified Financials,46%,42%
investors-bank-careers-6204,Banks,45%,33%
ocwen-financial-careers-8436,Diversified Financials,54%,27%
