Company,Industry Sub-Group,Employees Who Are Women,Executives Who Are Women
gree-careers-372277,Software & Services,-,15%
allegiance-health-services-careers-14185,-,75%,-
equinix-careers-52724,Software & Services,31%,35%
linkedin-careers-29662,Software & Services,43%,44%
internet-corporation-for-assigned-names-and-numbers-careers-2242863,Software & Services,42%,-
godaddy-careers-5054,Software & Services,25%,38%
dun-bradstreet-careers-11437,Software & Services,43%,22%
datalot-careers-1422701,Software & Services,46%,-
sailthru-careers-1398430,Software & Services,52%,19%
match-group-careers-7169,Consumer Discretionary,54%,47%
twitter-careers-11916,Software & Services,44%,56%
gilt-com-careers-24668,Software & Services,55%,32%
grubhub-careers-5241,Software & Services,-,27%
dena-careers-473669,Software & Services,-,-
uber-careers-172372,Software & Services,28%,43%
elevate-careers-3807,Software & Services,47%,29%
catalina-marketing-careers-18322,Software & Services,49%,22%
sapient-careers-37603,Software & Services,32%,33%
westerman-careers-1165482,Software & Services,42%,-
snapfish-careers-693817,Software & Services,36%,-
gogo-careers-5056,Software & Services,50%,33%
harland-clarke-careers-25659,Software & Services,57%,23%
fareportal-careers-23088,Software & Services,36%,18%
billie-careers-107110,Software & Services,60%,-
zocdoc-careers-45302,Software & Services,33%,35%
fuze-careers-4794,-,40%,11%
monster-com-careers-31829,-,45%,27%
dataminr-careers-1397114,Software & Services,30%,27%
comdata-careers-19720,Software & Services,54%,45%
careerbuilder-careers-48319,Software & Services,42%,35%
limelight-networks-careers-6840,Software & Services,29%,17%
rubicon-project-careers-11520,Software & Services,41%,42%
glassdoor-careers-24710,Software & Services,45%,32%
gn-hearing-care-careers-24816,Software & Services,57%,-
groupon-careers-5234,Software & Services,47%,50%
quantcast-careers-35963,Software & Services,52%,25%
backcountry-careers-16034,-,33%,-
philosophy-careers-644957,-,62%,-
yext-careers-13049,Software & Services,38%,28%
driver-careers-72850,Software & Services,29%,-
docusign-careers-21605,Software & Services,31%,35%
angie-s-list-careers-776,-,40%,31%
houzz-careers-26665,Software & Services,68%,27%
activate-careers-793420,-,41%,45%
the-knot-worldwide-careers-45549,Software & Services,61%,-
shutterstock-careers-10380,Software & Services,48%,42%
nextdoor-careers-1403675,Software & Services,-,48%
lava-careers-396298,Software & Services,42%,-
modcloth-careers-1407650,Consumer Durables & Apparel,59%,45%
mailchimp-careers-1420941,Software & Services,-,18%
affirm-careers-1468642,Software & Services,39%,42%
endurance-international-group-careers-3890,Software & Services,35%,41%
airbnb-careers-13934,Software & Services,54%,41%
intent-media-careers-1448340,Software & Services,36%,-
zefr-careers-1405249,Software & Services,40%,33%
pubmatic-careers-1420952,Media,47%,43%
hotwire-careers-978092,Consumer Services,40%,-
arc-document-solutions-careers-881,Software & Services,41%,30%
port-authority-of-new-york-and-new-jersey-careers-795580,Software & Services,35%,42%
truecar-careers-11883,Software & Services,38%,29%
shutterfly-careers-10379,Software & Services,49%,57%
forward-careers-23820,Retailing,46%,-
audible-careers-65163,-,32%,35%
liveintent-careers-1403737,Software & Services,40%,21%
bankrate-careers-1321,Software & Services,41%,29%
hulu-careers-26793,-,49%,48%
dhi-group-careers-3379,Software & Services,-,37%
doordash-careers-1465882,Software & Services,34%,33%
eventbrite-careers-1406815,Software & Services,-,57%
heartland-catfish-careers-25984,Software & Services,59%,-
cresta-careers-1501811,Software & Services,41%,50%
twilio-careers-11911,Technology Hardware & Equipment,21%,46%
palo-alto-networks-careers-8747,Technology Hardware & Equipment,47%,37%
gwynnie-bee-careers-1403380,Consumer Staples,61%,-
sgs-careers-282028,Software & Services,32%,25%
telenav-careers-11303,Software & Services,33%,-
webmd-careers-146012,Media,49%,-
conviva-careers-1405890,Software & Services,-,29%
surveymonkey-careers-40146,Software & Services,50%,43%
squarespace-careers-39220,Software & Services,-,40%
align-technology-careers-387,Software & Services,58%,33%
openx-careers-33771,Software & Services,38%,17%
shipt-careers-1404321,Retailing,64%,43%
yahoo-careers-52306,Software & Services,39%,43%
pinterest-careers-34972,Software & Services,55%,49%
acoustic-careers-2178146,Software & Services,31%,-
thumbtack-careers-1399204,Software & Services,-,32%
css-careers-20655,Software & Services,40%,52%
quotient-careers-9570,Software & Services,37%,33%
tivo-careers-11645,Software & Services,35%,27%
mpower-holding-careers-32050,Software & Services,49%,24%
outreach-careers-1573830,Software & Services,71%,38%
box-careers-1694,Software & Services,39%,33%
chewy-careers-18950,Software & Services,42%,23%
1010data-careers-1406858,Software & Services,35%,38%
pandora-careers-8761,Software & Services,72%,52%
corporation-for-supportive-housing-careers-2240873,Software & Services,55%,80%
livingsocial-careers-29709,Software & Services,55%,48%
akamai-technologies-careers-336,Software & Services,36%,27%
verisign-careers-12371,Technology Hardware & Equipment,36%,38%
