Company,Industry Sub-Group,Employees Who Are Women,Executives Who Are Women
casey-s-general-stores-careers-2109,Retailing,64%,36%
usana-health-sciences-careers-12228,Health Care Equipment & Services,47%,27%
belk-careers-16547,Retailing,70%,38%
tate-lyle-careers-62407,"Food, Beverage & Tobacco",27%,48%
save-mart-supermarkets-careers-41509,Retailing,44%,29%
blue-nile-careers-60888,Retailing,50%,26%
harris-teeter-careers-25709,"Food, Beverage & Tobacco",52%,-
darcars-automotive-group-careers-30334,Automobiles & Components,-,-
pricesmart-careers-9324,Retailing,55%,26%
franklin-collection-service-careers-1242615,Technology Hardware & Equipment,52%,-
gulf-states-toyota-trucking-careers-25385,Automobiles & Components,30%,-
pvh-careers-9492,Consumer Durables & Apparel,58%,44%
ahold-usa-careers-13880,-,45%,35%
kmart-careers-28772,Retailing,62%,-
mbi-careers-30667,Commercial & Professional Services,40%,16%
phonak-careers-34856,Software & Services,49%,-
lord-taylor-careers-29828,Retailing,67%,17%
duty-free-americas-careers-246070,Consumer Discretionary,58%,40%
panasonic-corporation-of-north-america-careers-34198,-,36%,26%
calvin-klein-careers-17876,Consumer Durables & Apparel,55%,58%
pet-supermarket-careers-34710,Retailing,-,-
pernod-ricard-usa-careers-34690,Consumer Staples,47%,54%
chegg-careers-2363,Software & Services,46%,46%
blyth-careers-17003,-,52%,-
radioshack-careers-60612,-,35%,38%
unilever-careers-42793,Consumer Discretionary,42%,45%
neiman-marcus-group-careers-32596,Consumer Discretionary,63%,32%
winn-dixie-stores-careers-47251,"Food, Beverage & Tobacco",54%,23%
giorgio-armani-careers-24673,Software & Services,60%,-
diesel-careers-189442,-,34%,-
michael-kors-careers-31372,Consumer Staples,69%,-
lakeshore-learning-careers-29100,Retailing,67%,-
altria-careers-470,Consumer Staples,43%,39%
phe-careers-533485,Software & Services,74%,-
wedge-community-co-op-careers-523145,Retailing,35%,-
performance-bicycle-careers-34671,Consumer Discretionary,26%,-
southeastern-grocers-careers-38891,Retailing,51%,41%
the-hinckley-company-careers-41569,-,32%,-
deckers-outdoor-careers-3307,Consumer Durables & Apparel,53%,39%
tech-data-careers-11234,Software & Services,38%,26%
hni-careers-5600,Consumer Discretionary,34%,38%
acme-markets-careers-13487,Retailing,46%,-
hy-vee-careers-47484,"Food, Beverage & Tobacco",53%,18%
nike-careers-8189,Consumer Staples,44%,43%
bealls-careers-47239,Retailing,73%,33%
r-j-reynolds-tobacco-company-careers-36077,Consumer Staples,39%,28%
herbalife-international-of-america-careers-26093,Health Care Equipment & Services,52%,30%
kenny-ross-ford-south-careers-28533,Consumer Discretionary,36%,-
toys-r-us-careers-42082,Retailing,51%,-
hsn-careers-5701,Consumer Discretionary,60%,42%
lorillard-careers-29834,-,35%,-
philip-morris-international-careers-9031,Consumer Staples,41%,36%
mattress-firm-careers-30589,Retailing,28%,22%
tiffany-co-careers-11605,Retailing,61%,41%
instacart-careers-1552052,Retailing,54%,45%
gifttree-careers-950581,Consumer Staples,62%,-
gap-careers-11454,Retailing,61%,59%
payless-shoesource-careers-47724,Consumer Durables & Apparel,76%,-
amway-careers-14906,Insurance,42%,46%
tory-burch-careers-41973,Consumer Durables & Apparel,62%,41%
santa-clara-careers-37584,"Food, Beverage & Tobacco",-,-
costco-wholesale-careers-2996,Retailing,40%,28%
saks-careers-37437,Retailing,64%,-
chanel-careers-18801,Consumer Durables & Apparel,71%,-
the-coca-cola-company-careers-11426,"Food, Beverage & Tobacco",25%,40%
walmart-careers-116506,Retailing,55%,37%
abercrombie-fitch-careers-74,Retailing,52%,41%
safeway-careers-37354,Retailing,49%,11%
raley-s-careers-46809,Retailing,53%,27%
forever-living-products-careers-185575,Health Care Equipment & Services,50%,-
coach-careers-2597,Consumer Durables & Apparel,69%,40%
novus-careers-33300,Consumer Staples,47%,-
publix-careers-35803,Retailing,49%,18%
dollar-general-careers-3515,Retailing,66%,33%
warnaco-careers-44022,-,52%,-
von-maur-careers-43848,Retailing,76%,-
wawa-careers-44155,Retailing,57%,14%
sterling-jewelers-careers-39689,Consumer Durables & Apparel,62%,-
netflix-careers-8010,Media,47%,47%
young-s-holdings-careers-45198,-,47%,-
the-rogers-company-careers-50983,Commercial & Professional Services,40%,29%
david-s-bridal-careers-20998,Consumer Durables & Apparel,88%,40%
spartannash-careers-10684,"Food, Beverage & Tobacco",38%,45%
zulily-careers-45327,Software & Services,-,39%
gamestop-careers-4821,Retailing,28%,18%
the-home-depot-careers-11469,Retailing,40%,34%
5-11-tactical-careers-1565579,Consumer Durables & Apparel,42%,-
lowe-s-careers-6930,Retailing,41%,36%
autozone-careers-1143,Retailing,27%,26%
stitch-fix-careers-39742,Software & Services,69%,65%
pc-connection-careers-8869,Software & Services,35%,15%
ralph-lauren-careers-9602,Consumer Durables & Apparel,53%,45%
tom-ford-careers-2114615,Consumer Durables & Apparel,44%,-
big-lots-careers-1490,Retailing,54%,36%
for-eyes-careers-23736,Consumer Staples,-,-
brixton-careers-1565662,Consumer Staples,46%,18%
men-s-wearhouse-careers-41305,Consumer Staples,44%,-
pohanka-chevrolet-careers-941975,-,31%,-
ascena-retail-group-careers-977,Retailing,53%,37%
smart-final-careers-10512,Retailing,40%,9%
