Company,Industry Sub-Group,Employees Who Are Women,Executives Who Are Women
cable-wireless-communications-careers-1566214,Telecommunication Services,36%,53%
subcom-careers-1420192,Technology Hardware & Equipment,29%,-
harmonic-careers-5379,Software & Services,33%,33%
hotwire-communications-careers-987099,Technology Hardware & Equipment,37%,-
communications-test-design-careers-19778,Technology Hardware & Equipment,37%,11%
aero-communications-careers-13748,-,34%,-
acacia-communications-careers-88,Software & Services,51%,26%
lifesize-careers-1403203,Telecommunication Services,28%,38%
u-s-cellular-careers-12103,Technology Hardware & Equipment,50%,37%
hughes-communications-careers-26781,Technology Hardware & Equipment,36%,24%
kratos-defense-security-solutions-careers-6578,Software & Services,36%,39%
tessco-technologies-careers-11364,Technology Hardware & Equipment,36%,55%
fab-com-careers-22977,Software & Services,-,18%
echostar-careers-3719,Telecommunication Services,41%,32%
wideopenwest-careers-12825,Telecommunication Services,31%,28%
costar-group-careers-2995,Software & Services,43%,16%
vocera-communications-careers-12543,Software & Services,47%,38%
sbc-global-services-careers-37664,-,40%,-
b-b-holding-careers-16427,-,45%,20%
granite-telecommunications-careers-25091,Technology Hardware & Equipment,37%,20%
atn-international-careers-1076,Telecommunication Services,47%,50%
atlantic-broadband-careers-15688,-,44%,27%
brightpoint-careers-17383,-,47%,52%
amdocs-careers-506,Software & Services,39%,32%
rcn-careers-36270,-,38%,21%
radio-frequency-systems-careers-36106,-,28%,30%
liberty-global-careers-29504,Telecommunication Services,57%,41%
at-t-careers-1041,Technology Hardware & Equipment,45%,41%
telecommunication-systems-careers-40617,-,28%,25%
tracfone-wireless-careers-42097,Telecommunication Services,35%,-
neustar-careers-32655,Software & Services,35%,25%
switch-careers-40230,Software & Services,33%,43%
calix-careers-1937,Software & Services,28%,21%
netgear-careers-8015,Technology Hardware & Equipment,23%,38%
windstream-holdings-careers-12857,Telecommunication Services,42%,8%
viasat-careers-12414,Technology Hardware & Equipment,-,19%
syniverse-careers-40275,Software & Services,-,23%
verizon-careers-12380,-,43%,43%
db-careers-73419,-,35%,26%
map-communications-careers-61590,Telecommunication Services,-,-
iridium-communications-careers-6246,Technology Hardware & Equipment,34%,46%
qwest-careers-61119,-,39%,33%
kvh-industries-careers-6597,Technology Hardware & Equipment,30%,22%
ge-power-electronics-inc-careers-24363,-,25%,-
acxiom-careers-166,Software & Services,38%,26%
interdigital-careers-6091,Technology Hardware & Equipment,-,28%
bt-group-careers-1544785,Commercial & Professional Services,31%,34%
cricket-wireless-careers-20536,-,53%,-
dialogic-careers-812384,-,29%,-
oclaro-careers-8430,-,36%,44%
industrial-products-co-careers-482886,-,22%,-
marsh-creek-careers-149787,Independent Power and Renewable Electricity Producers,-,-
ciena-careers-2451,Software & Services,31%,26%
commscope-careers-2722,Telecommunication Services,26%,35%
gtt-communications-careers-5253,Telecommunication Services,38%,33%
cable-one-careers-1867,Software & Services,-,45%
globe-wireless-careers-987092,Telecommunication Services,30%,-
neophotonics-careers-7991,Technology Hardware & Equipment,27%,53%
twitch-interactive-careers-1461889,Software & Services,26%,44%
spectrum-careers-2344,Telecommunication Services,43%,29%
mblox-careers-1406016,-,40%,-
cox-communications-careers-20402,Technology Hardware & Equipment,42%,44%
gtl-careers-691846,Capital Goods,-,-
knight-transportation-careers-6555,Telecommunication Services,17%,22%
prime-communications-l-p-careers-937688,Consumer Discretionary,37%,-
deutsche-telekom-careers-61428,Telecommunication Services,34%,-
globalstar-careers-5036,Software & Services,40%,29%
zenith-electronics-careers-1124335,-,40%,-
spirent-communications-careers-39161,Telecommunication Services,26%,32%
american-stock-transfer-trust-company-careers-14744,Commercial & Professional Services,40%,50%
hawaiian-telcom-careers-5412,Technology Hardware & Equipment,34%,21%
frontier-communications-careers-4741,Telecommunication Services,49%,37%
imobile-careers-27083,-,31%,-
altice-usa-careers-465,Telecommunication Services,36%,20%
virgin-mobile-careers-1524540,Commercial & Professional Services,48%,33%
tellabs-careers-40650,Software & Services,26%,20%
goodman-networks-careers-24920,Technology Hardware & Equipment,28%,-
inmarsat-careers-27273,Technology Hardware & Equipment,38%,38%
seachange-international-careers-10185,Telecommunication Services,27%,30%
zayo-group-careers-13078,Technology Hardware & Equipment,33%,24%
consolidated-communications-careers-2859,Software & Services,50%,30%
infinera-careers-5936,Telecommunication Services,27%,23%
nokia-networks-careers-32997,-,-,52%
tigo-bolivia-careers-1526910,Telecommunication Services,32%,-
acme-packet-careers-13489,-,29%,-
idea-s-careers-126395,-,46%,-
finisar-careers-4337,-,28%,8%
csc-holdings-careers-20640,-,41%,-
qualcomm-careers-9518,Technology Hardware & Equipment,28%,39%
globecomm-systems-careers-61442,Software & Services,16%,-
purple-communications-careers-35838,Telecommunication Services,46%,30%
intercom-online-careers-74633,-,37%,39%
general-communication-careers-4873,Telecommunication Services,40%,43%
motorola-solutions-careers-7733,Software & Services,30%,31%
brightstar-careers-17385,-,67%,31%
mitel-careers-31661,Telecommunication Services,36%,22%
convergeone-careers-20146,Software & Services,-,24%
vonage-careers-12558,Software & Services,39%,24%
nokia-careers-64048,-,30%,43%
cincinnati-bell-careers-2459,Telecommunication Services,34%,35%
