Company,Industry Sub-Group,Employees Who Are Women,Executives Who Are Women
atlas-air-careers-1072,Transportation,32%,22%
direct-transport-services-careers-981965,Commercial & Professional Services,35%,-
the-kenan-advantage-group-careers-41226,Transportation,31%,-
skynet-holding-careers-38574,-,32%,-
xojet-careers-978533,-,-,19%
universal-weather-and-aviation-careers-43043,Capital Goods,38%,-
crete-carrier-careers-20530,Transportation,21%,-
amtrak-careers-32415,-,34%,43%
union-pacific-railroad-careers-12027,Transportation,16%,32%
septa-careers-165471,Transportation,35%,-
port-of-oakland-careers-35204,Transportation,35%,71%
ceva-logistics-careers-18733,Transportation,36%,21%
parsec-careers-34318,-,16%,-
honda-logistics-north-america-careers-26485,-,37%,32%
kirby-careers-6534,Transportation,40%,23%
emirates-careers-22440,Transportation,41%,-
menasha-careers-31035,Materials,36%,-
amsted-rail-careers-14893,Transportation,14%,-
total-transportation-services-careers-994318,-,30%,-
jacobs-engineering-group-careers-6311,Commercial & Professional Services,26%,41%
boeing-careers-11409,Capital Goods,27%,32%
uta-careers-43246,Transportation,29%,-
crowley-holdings-careers-20586,-,37%,13%
page-international-careers-988319,Transportation,51%,-
metropolitan-washington-airports-authority-careers-31313,Transportation,44%,35%
solairus-aviation-careers-1573409,Transportation,50%,-
ttx-company-careers-42511,Transportation,17%,30%
hilco-transport-careers-1001756,Transportation,-,-
heartland-express-careers-5469,Transportation,14%,8%
paramount-careers-840192,-,47%,38%
ryder-system-careers-10007,Transportation,30%,23%
pcc-airfoils-careers-34445,Capital Goods,32%,-
postmates-careers-1402936,Software & Services,-,39%
lb-foster-co-careers-919384,Transportation,-,12%
pilot-freight-services-careers-34933,Commercial & Professional Services,-,19%
transcore-careers-42159,Commercial & Professional Services,44%,18%
marten-transport-careers-7134,Transportation,17%,14%
duncan-aviation-careers-21868,Capital Goods,14%,33%
the-scoular-company-careers-41513,Software & Services,44%,18%
nj-transit-careers-32728,-,40%,29%
union-pacific-distribution-services-careers-1568647,Transportation,14%,-
westrock-careers-12791,Materials,30%,35%
rocktenn-careers-62536,Materials,31%,-
annett-holdings-careers-15006,Commercial & Professional Services,12%,-
supershuttle-international-careers-40119,Transportation,51%,-
tetra-pak-careers-40738,Materials,32%,-
coyote-logistics-careers-20418,Transportation,31%,23%
uber-technologies-careers-42678,Software & Services,30%,49%
panasonic-avionics-careers-34196,Capital Goods,30%,25%
frontier-airlines-careers-24041,Transportation,53%,17%
old-dominion-freight-line-careers-8463,Transportation,20%,24%
trimet-careers-1011242,Transportation,39%,-
lufthansa-careers-29936,Transportation,44%,39%
progress-rail-careers-1089838,Transportation,14%,-
panalpina-careers-34194,-,52%,-
psa-airlines-careers-35747,Transportation,48%,25%
didi-careers-1523676,Transportation,-,56%
williams-international-careers-44635,Capital Goods,45%,-
groendyke-transport-careers-25268,Transportation,23%,-
wr-systems-careers-1357519,Transportation,-,-
jetblue-airways-careers-6348,Transportation,44%,31%
packaging-corporation-of-america-careers-8721,Materials,27%,28%
omnitrax-careers-33688,Transportation,42%,27%
werner-enterprises-careers-12716,Commercial & Professional Services,17%,20%
delta-air-lines-careers-3331,Transportation,46%,26%
schindler-group-careers-37708,Capital Goods,28%,-
p-wave-holdings-careers-34034,-,50%,20%
forward-air-careers-4670,Transportation,20%,40%
qantas-careers-61062,-,45%,-
western-express-careers-44404,Transportation,12%,-
aviation-technical-services-careers-15928,Capital Goods,23%,9%
bnsf-railway-careers-17038,Transportation,17%,42%
canadian-pacific-railway-careers-61276,-,18%,31%
lord-careers-29829,-,37%,-
lawson-products-careers-6698,Transportation,38%,21%
associated-careers-553426,-,53%,12%
maersk-line-careers-30111,-,40%,42%
stoughton-trailers-careers-39731,Transportation,29%,-
c-r-england-careers-17745,Transportation,17%,-
hub-group-careers-5703,Commercial & Professional Services,-,28%
bird-careers-1562,Software & Services,41%,20%
pelican-products-careers-34530,Consumer Services,23%,10%
mbta-careers-54760,Transportation,36%,-
pactiv-careers-34130,Materials,34%,24%
hexcel-careers-5539,Capital Goods,27%,22%
spirit-airlines-careers-10713,Transportation,52%,16%
h-n-s-management-company-careers-25462,Transportation,47%,-
ansaldo-sts-usa-careers-15013,-,24%,-
graphic-packaging-international-careers-5145,Materials,28%,43%
linx-careers-322855,Consumer Discretionary,34%,-
livingston-international-careers-29711,Commercial & Professional Services,-,32%
maher-terminals-careers-791623,-,16%,14%
csx-careers-3119,Transportation,18%,24%
kansas-city-southern-careers-6445,Transportation,16%,25%
central-pennsylvania-transportation-careers-1012864,Transportation,56%,-
b-e-aerospace-careers-16015,,28%,38%
great-lakes-dredge-and-dock-company-careers-5165,,-,-
hornbeck-offshore-services-careers-5671,,15%,-
trac-intermodal-careers-42092,,38%,-
crown-equipment-careers-20600,,26%,13%
