,Job Function,Industry,Seniority,Job Description,Segment,female,male
31,Sales and Business Development,Motor Vehicle Manufacturing,Not Applicable,"▪ Responsible for ordering parts from preferred vendors with a constant sense of urgency, confirming orders with vendors beginning, mid and end of each day holding them accountable to times and delivery

▪ Confirm orders with vendors each day holding them accountable to times and delivery

▪ Check in, tag and distribute parts

▪ Inspects all parts for damage and quality/accuracy, Mirror matching new parts to old parts within two hours of receipt.

▪ Verify correct parts with mirror match

▪ Return and re-order incorrect or damaged parts

▪ Track incomplete order status (outstanding orders, backorders, and credits) and follow up as necessary

▪ Maintain pending credits

Requirements2+ YEARS PARTS EXPERIENCE PREFERRED

BenefitsHealth | Dental | Vision | PTO and more…


Show less ",1,0,0
40,Other,Motor Vehicle Manufacturing and Manufacturing,Not Applicable,"This is an accelerated graduate program designed for high potential, highly-mobile, and candidates with strong interest in the automotive industry, including automotive finance. The selected individual will rotate through three placements in Corporate Communications, Product Communications and Public Relation Events over an exciting 18 month period. This program is not a shadow experience and individuals will be exposed to hands on training in all aspects of the business.




This position is part of the Audi Communications team, which develops and executes Public Relation (PR) strategies that drive brand preference and premium positioning as we transform to an all-electric future. Working across the team, the Graduate Analyst will experience the full spectrum of Audi PR as they rotate from Corporate Communications, Product Communications and PR Events.




Within each rotation, the Graduate Analyst with be supervised on a day-to-day basis by a senior specialist-manager with oversight and mentorship opportunities from the teams’ directors. They will get a diverse and in-depth look into how we build and protect the Audi brand while providing needed support with research, content development and other project execution tasks.




Day To Day Responsibilities Include




Research industry trends
Assist with the writing of communications (e.g., press releases, newsletters, key messages, pitches)
Conduct competitive and innovation audits
Weekly dashboard reporting assistance
Media list development and management
Research partners and vendors
Project and event management




Hybrid




Primary Location




United States-Virginia-Herndon




Required Qualifications




Bachelor’s Degree (Preferred Degree in Communications or Marketing
Solid GPA
Graduation Date no earlier than Fall 2021




Required Skills




Openness and curiosity to learn, analytical thinker, collaborative and team player




Desired Skills




Strong writing skills
Organized and accurate attention to detail
Computer proficient (including spreadsheet, word processing and database applications)
Proven research skills and an understanding of how the news media works
Proficiency with Associated Press writing style
A previous Public Relations internship is a plus




Work Flexibility




We require an individual who is willing and able to learn quickly, adapt, travel and potentially relocate.
Show less ",1,0,0.3
42,Quality Assurance,Motor Vehicle Manufacturing,Not Applicable,"Company Description




Oetiker Tool Corporation, a subsidiary of Oetiker, is a world leader in the design and manufacture of quality hand tools serving as the internal hand tool center of competency for Oetiker as well as engaging customers directly across a variety of industries. Our tools are used by professionals in the electrical, electronic, datacom, automotive, and plumbing industries. We specialize in constantly improving designs and introducing new, innovative hand tools based on our customers' and engineers' extensive trade knowledge.




Oetiker provides customers with the peace of mind that their mission-critical components are reliably connected. We are a global leader in high-end connecting solutions for the vehicle industry and for high-value applications in industrial segments. Our expertise in high-quality clamps, rings, straps and quick-connectors ranges from powertrain and drivetrain applications to medical applications. We offer engineering, prototyping and testing support to quickly create comprehensive solutions for overcoming clamping and connecting challenges. With 1800+ employees in more than 30 countries and over 75 years of experience, we are the trusted, global, long-term partner for the world’s leading OEMs.




Job Description




Click here for job summary or copy & paste link below




https://vizi.vizirecruiter.com/Oetiker-2964/219447/index.html




Salary Range: $88000 - $95000




Implements corrective actions and continuous improvements of quality requirements to consistently achieve customer satisfaction and support a zero defect culture. Quality Engineer assists production personnel with product quality issues. They are the first contact in investigating customer issues and assist in developing and maintaining the OTC Quality Management System. QE is also involved in the development of and ensuring compliance with health, safety, and environmental regulations.




Responsible for internal quality issue fast response
Documents, tracks, facilitates, and completes customer or internal corrective actions with cross-functional team
Support robust problem solving methodology
Drives initiatives to foster a zero defect culture in the plant
Is responsible for the timely and accurate reporting of customer and/or internal quality performance indicators
Assist with analysis of customer part returns or internal non-conformances to determine root cause
Supports customer or internal non-conforming product containment and sorting activities.
Works directly with both management and employee level on continual improvements of our quality system
Supports PPE in PFMEA audits (reverse, high RPN)
Supports customer visit / audits
Participates / Drives Scrap reduction improvement
Qualifications




Bachelor’s degree in Quality Engineering or related equivalent.
Prefer a minimum of three (3) years of quality assurance experience
Proficiency in 8D problem solving, 5 Why Analysis
Effective communication skills in English capable of inspiring a quality driven culture
3+ years quality management and / or quality engineering experience with strong supervisory skills within a manufacturing facility
Able to read and interpret AutoCAD, SolidWorks drawings
Proficiency with precision measuring tools
Excellent communication and follow-through skills and attention to detail
Proven ability to promote transparency and effective reporting methods for audiences ranging from the “shop-floor"" to the management / customer level
High integrity, fair, emotionally mature, self-aware
Familiarity with and/or working knowledge of ISO9001 standards
Show less ",1,0,0.2
62,"Research, Analyst, and Information Technology",Motor Vehicle Manufacturing and Manufacturing,Not Applicable,"This is an accelerated graduate program designed for high potential, highly-mobile, and candidates with strong interest in the automotive industry, including automotive finance. The selected individual will rotate through three placements over an exciting 18 month period. This program is not a shadow experience and individuals will be exposed to hands on training in all aspects of the business.




Audi Product Management is responsible for the strategy and planning of Audi’s future portfolio of Audi vehicles and connected services. The candidate in this role will have an opportunity to learn from and contribute to each of the 3 primary Product Management teams: Product Launch, Connected Services, and Product Planning – User Experience.




Day To Day Responsibilities




Support Product Management team members on assigned tasks related to:




Quantitative and qualitative research on assigned topics
Analytics for reporting, business case development, and options assessments
Collaborating with global planning teams and local development organizations
Working across teams to formulate requests and identifying options/solutions
Developing impactful messaging based on an understanding of technical details




Rotation 1 Key Responsibilities




Product Launch
Gain exposure to Audi’s Products & Services and cross-functional teams/processes
Support the Launch & EV Programs team on Digital topics




Rotation 2 Key Responsibilities




Connected Services
Learn about Audi Connected Services and support team with competitive assessments, market/regulatory trends, customer insights, and Customer Journeys
Support Service Line Managers on analytics, planning, and message development




Rotation 3 Key Responsibilities




Product Planning
Learn about vehicle product and portfolio management
Support User Experience Research and Market Requirements implementation




Hybrid




Primary Location




United States-Virginia-Herndon




Required Qualifications




Bachelor’s Degree in Business, Technology, or Finance/Economics with Minor in Strategy, Innovation Entrepreneurship or related topics
Solid GPA
Graduation Date no earlier than Fall 2021




Required Skills




Teamwork, Problem-solving, Communication, Adaptability, Critical Thinking, Time Management, and Quantitative Analysis skills.
Fast learner with the ability to collaborate across organizational boundaries
Highly proficient in Microsoft Office applications




Desired Skills




Perspectives from a new generation of mobility consumers that can help shape how Audi plans it’s products and services in the future




Work Flexibility




We require an individual who is willing and able to learn quickly, adapt, travel and potentially relocate.
Show less ",1,0,0.27
69,Other,Motor Vehicle Manufacturing,Not Applicable,"We are Titus-Will Lube Center in Olympia! Titus-Will is a trusted, family-owned and operated business since 1938. Many of our employees have made a career of working on our team. We are seeking fun, friendly, career-oriented individuals with a long-term goal of becoming certified technicians. Lube or Maintenance Tech experience is preferred but not required.

What We Offer

$35,360 - $45,760/year depending on experience
Bonuses and incentives availabe
1.0 hours Paid Time Off (PTO) earned for every 40.0 hours worked
Flexible schedules
7 Paid Holidays
Paid apprenticeship programs
Paid factory training
Tool assistance
Company supplied uniforms
Employee discounts
Direct deposit
Medical/Dental/Vision
401k retirement savings plan eligible after 90 days of employment
Highly productive shop with the newest technology and equipment
More benefit details available at: https://tituswilljobs.com/hourly-non-commissioned-full-time-benefits/


Qualifications

No experience is needed!
Valid driver’s license
Willingness to learn and grow in your career


At Titus-Will, you have the ability to work on all makes and models, including Ford, Toyota, General Motors, and Hyundai. We also service other makes at our dealerships and at our dedicated service center in Downtown Tacoma. Please visit tituswilljobs.com to see all of our current openings!

Titus-Will is a drug-free workplace and an equal opportunity employer and prohibits discrimination and harassment of any kind based on race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws. To be considered for employment, you will be required to take a pre-employment drug screen (excluding marijuana). For positions involving driving company and/or customer vehicles, you will be required to provide a copy of your driving record (available at your local DMV).
Show less ",1,0,0
15,Information Technology,Construction,Not Applicable,"Universal Engineering Sciences is looking to fill an IT Support Specialist position in the Western Region. As part of a US-wide technical support team, this hands-on position is an escalation point for the Tier 1 Service Desk. You will analyze, triage, and manage service requests, and incident tickets, to keep our colleagues across the nation operating smoothly. You will resolve problems of varying complexity, manage multiple tasks, participate in IT projects, and generate innovative solutions to technical problems, with strong collaboration from your peers.




Based out of Sacramento Office, you will schedule regular visits, and attend to any immediate or emergency issues in the region when necessary.




Travel is required >15%.




Job Responsibilities:




Answer to internal customer needs via IT ticketing system
Always provide superior customer service
Install, configure, maintain, and support systems of varying levels of complexity for end-users
Work with Vendors to solve issues of varying complexity
Provide advice and basic technical training to end users
Produce SOP (Standard Operating Procedure) documentation for both IT team and end users
Participate in the review, evaluation, and recommendation of solutions relating to hardware and software solutions for internal customers
Maintain records for network users, security, hardware inventory, and licenses
Analyze and solve problems of low and medium complexity on computer applications and systems for end-users and staff across the country
Provide a wide range of in-depth technical assistance to departmental users and/or support staff
Maintain a broad knowledge of technology, equipment, and/or systems
Knowledge of mainstream mobile device platforms: Android and iOS


Required Qualifications:




4 years or more of technical support experience
Experience with the following: Active Directory, Email management (Outlook\O365) and associated Microsoft applications. Phone systems – including cloud-hosted voice, collaboration technologies including Teams, Zoom,
PC/laptop hardware support, imaging/scanning/MFD devices
Cybersecurity awareness and best-practices
Ability to collaborate with and mentor those around you
Understanding business and technology needs
Experience with ServiceNow or Connectwise


Preferred Qualifications:




Experience working within the ITIL framework
Experience working on servers and network infrastructure
Excellent Problem Solving and Analytical Skills
A good understanding of LAN/WAN technology
Formally trained and/or certified in IT diagnosis and repair
Experience in the AEC industry


About UES




Universal Engineering Sciences (UES) is a national leader in Geotechnical Engineering, Construction Materials Testing and Inspection, Building Code Compliance, Environmental Consulting, Occupational Health & Safety, Virtual Design Consulting, and Building Envelope. With over 3,400 team members across 70+ branches in the United States, UES provides essential engineering services to some of the most prominent and significant projects in the country. As the #1 fastest growing AEC firm on The Zweig Group’s Hot Firm list in 2021 and 2022, UES is poised to lead our industry into the future.




Our Team Members




Our team members bring unique skill sets, licenses and certifications, and experience to our firm, which diversifies our team and allows us to provide a wide variety of services uniquely grounded in excellence. Our team STRIVES to uphold our core values of safety, teamwork, responsiveness, integrity, value, and excellence to ensure we meet client expectations, support our communities, and build a strong, reliable team. Our UES team members are kind, passionate, and driven, which creates collaborative workspaces and a sense of camaraderie among our team members. At UES, we are eager to hire, teach, and train the next generation of industry leaders and learn from the expertise of each team member who walks through our doors. To learn more about UES, visit teamues.com




Our Benefits




We understand that our team members are the glue that holds our business together. We value the individual contributions of each person, and we show this by offering comprehensive benefits, including medical insurance options, PTO, paid holidays, tuition reimbursement, and so much more. If you have additional questions about our benefits, please contact our Recruitment team at westcareers@teamues.com




Check out our website: UES




Follow us on social media: LinkedIn | Facebook | Instagram | Twitter | YouTube




#GroundedInExcellence




EEO/AA/Disability/Veteran Universal Engineering Sciences is a Drug-Free Workplace. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of the job.
Show less ",1,0,0
64,Administrative,Construction,Not Applicable,"Company Description




Mount Valley Foundation Services, a Groundworks Company, is growing rapidly and seeks a proven Office Manager. We serve the communities of South Carolina and over the border in North Carolina & Georgia since 1986! Whether you have a crack in your foundation, bowing walls, or uneven floors, we can help repair the damage and prevent it from getting worse. We here at Mount Valley Foundation Services are dedicated to finding an Office Manager that would be a great fit for our company, and most importantly our customers!




Job Description




Duties and responsibilities




Serve as MVFS's customer advocate and insure that, at ALL TIMES, MVFS's is fully engaged and connected with our customers.
Support Production Manager and Superintendents with job costing, scheduling and day to day operations office support.
Work closely with Production, Call Center, Field Sales, Production, and Sales Operations to provide MVFS's customers with direct to homeowner assistance and customer service, insuring the customer’s experience with MVFS's is very positive.
Communicating and working with Accounting and Human Resources to deal with the day to day needs of employee administration support such as hiring and timekeeping.
Manage Production Administrative support team.
All other duties as necessary.
Qualifications




Post high school education, technical degree and 2-4 years of work experience with direct customer service and interaction preferred.
Ability to process information and take detailed notes.
Ability to communicate clearly with customers (internal & external) using courtesy, tact and diplomacy.
Be a problem solver and strongly interact with all departments to rapidly deal with customer concerns, problems.
Ability to work varied hours/days, or extended hours as business dictates including evenings and weekends as needed.
Track and monitor progress and improvements and report routinely to Production Team and General Manager and Executive.
Capable of handling multiple customer interactions and insuring thorough follow-thru and resolution of any issue or problems.




Additional Information




#ZR




#INDGW
Show less ",1,0,0
0,Other,Education Administration Programs,Not Applicable,"Duty Days 187




Salary Range: From/To Teacher Salary Schedule




Endorsements




Spanish




Additional Job Information




This position is for the 23/24 school year.




Job Attachment View Attachment




This position is for the 23/24 school year.
Show less ",1,0,0
16,Other,Education Administration Programs,Not Applicable,"Reports To Principal




Salary Range: From/To State Salary Matrix




Additional Job Information




Pickens County is in West Central Alabama approximately 50 miles west of the University of Alabama, Tuscaloosa, Alabama.




Applicant will need to include transcripts, Alabama Teacher Certification, and a Resume reflecting required experience. All required documents must be attached to the applicants Teach-In Alabama application.




Job Attachment View Attachment




Pickens County is in West Central Alabama approximately 50 miles west of the University of Alabama, Tuscaloosa, Alabama.




Applicant will need to include transcripts, Alabama Teacher Certification, and a Resume reflecting required experience. All required documents must be attached to the applicants Teach-In Alabama application.
Show less ",1,0,0
86,Administrative,Higher Education,Not Applicable,"At MU, the Health Sciences and Pharmacy Administrative Assistant will serve as primary administrative support to Health Sciences and Pharmacy faculty.

If you are interested in joining the team responsible for providing a high level of customer service, professionalism, and communication to those interacting with Health Sciences and Pharmacy faculty via in-person, telephone, and email, you can apply for the position at www.manchester.edu/human-resources/. Even if you feel like you do not meet every requirement of the position, please apply through ADP. We appreciate the opportunity to work with individuals who bring diverse experience to our MU team!

Find out why you should start a career at Manchester University:

People choose to work at Manchester University for many reasons, and there are even more reasons why they stay for a career. Employees of Manchester apply their talents in a vibrant educational environment committed to faith, service, and learning. There's an excitement that comes with being part of a lively academic community, surrounded by people whose ideas are helping to shape tomorrow's views and news.

The Fort Wayne campus, home to Manchester's graduate and professional programs in the health sciences, is in the dynamic healthcare corridor on the north side of Fort Wayne, Indiana’s second-largest city.

Benefits:

· Employer HSA contributions!

· Retirement employer match of 5% - 7%!

· Undergraduate tuition remission for a traditional MU degree for yourself, your spouse, and your dependents!

· Graduate Loan Assistance Programs!

· Generous PTO!

· Seven paid holidays plus an extended break from Christmas Eve through New Year’s Day!

· Paid Caregiver leave!

· Free financial planning through Millennium Advisory Services!

· Employee Assistance Programs offering mental health, financial wellness, and life assistance!

· and more!

Our Mission:

Manchester University respects the infinite worth of every individual and graduate’s persons of ability and conviction who draw upon their education and faith to lead principled, productive, and compassionate lives that improve the human condition.

If you are interested in joining the Manchester Community, please submit your application today!

Show less ",1,0,0
