,Job Function,Industry,Seniority,Job Description
0,Education and Training,Civic and Social Organizations,Entry level,"Missions




Finalité du poste :




Au sein de l’équipe pluridisciplinaire et rattaché(e) Chef de Service et au Directeur, vous mettez en oeuvre la dynamique impulsée par le projet personnalisé d’accompagnement et de soins du résidant (PPAS) et plus globalement par le projet institutionnel de l’établissement.




Vous travaillez ainsi en lien avec tous les professionnels de l’équipe pluridisciplinaire et paramédicale.




Le FAM est, avant tout, le lieu de vie des résidents. Chaleureux et accueillant, il défend des valeurs d’inclusion et de technicité dans la prise en charge de nos résidents. La mission du futur Educateur Spécialisé s’inscrira dans ces objectifs : garantir un accompagnement à la vie quotidienne adapté aux besoins de chacun, un accompagnement à la santé personnalisée, un planning individualisé d'activités, dans le respect des recommandations de bonnes pratiques.




Principales Missions




 Participation à l’élaboration, la coordination, au suivi des projets et du parcours des résidants




 Participation à la coordination des activités individuelles et collectives et à l’intervention des professionnels : activités, ateliers, sorties, RDV extérieurs




 Apporter son expertise et soutenir les équipes de vie quotidienne dans l’accompagnement des résidents et le développement d’une communication et d’outils adaptés et alternatifs




 Participation au développement de partenariats et du réseau visant à garantir le projet et le parcours du résidant




 Soutenir et accompagner les familles




Présentation De L’établissement




Le FAM des Batignolles contribue à cette action en accueillant des 46 résidants adultes polyhandicapées nécessitant un accompagnement dans les actes de la vie quotidienne, d’une surveillance et de soins constants. Pour réaliser cet accompagnement, une équipe pluri professionnelle et des équipements sont mis à la disposition des résidents. Le FAM dispose de places d’accueil de jour et de places d’accueil temporaire.




Présentation De La Fédération




La Fédération APAJH, premier acteur généraliste dans le secteur du handicap, s’engage par son action militante pour une réelle société inclusive. Présente dans le débat citoyen, la Fédération APAJH intervient à tous les niveaux de l’Etat pour promouvoir ses valeurs. La Fédération APAJH fédère 92 associations sur le territoire dont tous les DOM. Elle est aussi gestionnaire de 171 structures en gestion directe employant 4000 salariés. Au total, l’APAJH gère 700 établissements et services, tous types de handicap, tous les âges de la vie.




Diplômes / Autres Critères




Titulaire du Diplôme d’Etat d’Educateur Spécialisé (D.E.E.S)
Esprit d’analyse et de synthèse.
Travailler en équipe en associant réflexion et action.
Coordonner, faire le lien, transmettre.
Connaissance des personnes en situation de handicap et plus particulièrement des adultes en situation de polyhandicap.
Maîtriser les outils éducatifs diversifiés.
Utiliser les outils informatiques : Word, Excel, Outlook…




Il s’agit d’un poste avec des horaires de jour !




18 jours/an de congés annuels supplémentaires




Soft Skills (compétences Comportementales) Indispensables à Ce Poste




Adaptabilité Capacité à ajuster ses attitudes / comportements en fonction des caractéristiques de l'environnement, des enjeux de la situation, de l'interlocuteur et à évoluer de manière appropriée en mobilisant ses compétences et ses connaissances pour répondre aux besoins spécifiques des personnes et / ou à des situations complexes ou inhabituelles
Diplomatie Capacité à trouver des compromis acceptables avec ses interlocuteurs
Dynamisme Capacité à agir avec allant et énergie
Gestion du stress Être apte à maîtriser ses réactions et à mobiliser pleinement ses ressources physiques et nerveuses en situation de stress (surcharges, situations difficiles à gérer…)
Pédagogie Savoir rendre des informations accessibles au plus grand nombre et les présenter de manière attrayante. Savoir enseigner une connaissance ou une expérience par des méthodes adaptées à un individu ou un groupe d'individus.




Clôture des candidatures le : 31/05/2023
Show less "
1,"Sales, Advertising, and Marketing",Retail,Not Applicable,"New York, NY, United States

Full time Schedule

$50,880-$84,960Annually*




* based on job, location, and schedule.







About:

Macy’s is proudly America’s Department Store. For more than 160 years, Macy’s has served generations at every stage of their lives. Customers come to us for fashion, value and celebration. Now is an exciting time to join Macy’s, Inc. The face of retail is changing, and change requires innovation.




Macy's is the largest NYC based digital retailer and has driven more than ten consecutive years of double-digit growth. We’re building a new type of customer-centric shopping experience - at the intersection of content, commerce, and technology - to help customers find and buy products they love.




Do you want to collaborate with a smart and talented team in a fun work environment? This is a unique opportunity to join an established company that is investing in development and growing digital business at scale. Gain first-hand experience defining the future of online and physical commerce. With a constant influx of exciting and challenging problems to solve - you'll never have a boring day at the office. We also offer many roles with the freedom to build and lead a team. Join Macy’s Digital to grow your career and help shape the future of an iconic brand.




Job Overview:




Armed with an analytical mindset and a technical understanding of e-commerce, the Macy's Site Production team partners closely with business and technical teams to ensure a flawless customer experience across all Macy’s digital channels. As champions of site performance and customer experience, we analyze site performance to identify processes for mitigating risks and increase efficiencies across all channels. The Site Production team works cross-functionally across the entire organization to understand all aspects of our customer experience delivery teams. We look for customer and product-centric leaders who are excited about solving technical and customer experience problems. This position requires the colleague to be highly technical as well as extremely organized, highly collaborative, and results-driven with well-developed verbal and written communication skills. Solid execution and negotiation skills, along with a proven track record of leadership in e-commerce production are critical to the success of this role.




Essential Functions:

Accountable for onsite and offsite 24X7 support model.
Responsible for Launch call support, which can include after-hours as needed.
Assistants will work closely with Associates and Director on driving and supporting operational efficiency across the organization, recommending, and implementing changes within the online brand teams; communicating project status, issues (risks and solutions) as well as informs and enforces process / workflow for Macys.com and Bloomingdales.com; escalates critical issues to management when necessary; identifies and recommends solutions to cross-functional teams to help ensure business needs and financial targets are met.
Partner closely with internal and external cross-functional teams (product, marketing, merchants, third-party vendors, engineering teams, etc.) that aim to improve operational efficiencies, effectiveness, and customer experience.
Driven by operational processes and challenges, with a knack for figuring out how to make things work, with a lean team.
Monitor key metrics on a daily, weekly, and monthly basis and dig into root causes to understand and address emerging trends.
Rapidly execute on solutions when problems or challenges have been identified.
Quantitative and data-driven, able to draw insights from data, but also make decisions based on imperfect data.
Strategic thinking and creativity will be critical, as well as, relationship building across a multitude of disciplines, organizational hierarchy and multiple campuses. This position requires the need to be extremely organized, highly collaborative and results-driven. Strong negotiation skills and a proven track record in ecommerce production is critical to success of this role.
Perform other duties as assigned.
Consistently demonstrate regular, dependable attendance & punctuality.




Qualifications and Competencies:

BS/BA Degree or equivalent work experience
2+ years detailed task planning and project execution experience
2+ years digital project management experience with a strong preference for e-commerce
2+ years SCRUM/Agile experience preferred
Solid understanding of digital production and release process, including direct experience with CMS and other digital tools.
Proven project management skills.
Excellent written and verbal communication skills. Ability to comfortably work with cross-functional multi-level teams. Candidate should have strong interpersonal skills
Basic math functions such as addition, subtraction, multiplication, division, and analytical skills
Must be able to work independently within a multi-functional, multi-campus team with minimal supervision. Candidate should be self-motivated and able to escalate issues as needed.
Ability to work a flexible schedule based on department and company needs, especially during holiday and peak periods.
Responsibility will be to participate in the decision-making of projects by providing a thorough explanation of options open to stakeholders. Can help guide teams by making recommendations based off previous executions or new technology available to the team. While we do not manage cross-functional partners, we do manage the workload and need to ensure that project continuously moves forward.

Show less "
2,Business Development and Sales,Real Estate,Internship,"About Opendoor




Founded in 2014, Opendoor’s mission is to empower everyone with the freedom to move. We believe the traditional real estate process is broken and our goal is simple: build a digital, end-to-end customer experience that makes buying and selling a home simple, certain and fast. We have assembled a dedicated team with diverse backgrounds to support more than 100,000 homes bought and sold with us and the customers who have selected Opendoor as a trusted partner in handling one of their largest financial transactions. But the work is far from over as we continue to grow in new markets. Transforming the real estate industry takes tenacity and dedication. It takes problem solvers and builders. It takes a tight knit community of teammates doing the best work of their lives, pushing one another to transform a complicated process into a simple one. So where do you fit in? Whether you’re passionate about real estate, people, numbers, words, code, or strategy -- we have a place for you. Real estate is broken. Come help us fix it.




About The Team




Opendoor is looking for motivated students to join our Summer 2023 Internship Program. Interning with the Employer Brand and People Experience team you will have the opportunity to positively impact the culture of a leading real estate disruptor that is quickly scaling across the country. You will get to create campaigns, develop content, build processes and experiences that amplify Opendoor and OS National’s (affiliate company) purpose to attract the talent we need and engage our current team members. We are just starting to develop the foundation of different initiatives, so this role is a great opportunity to come in and build company-wide processes and programs from the ground up.




Internship Goals:




Gain an understanding of the business impact of employer brand, recruitment marketing and diversity, equity, inclusion and belonging
Build experience in creating scalable programs and processes and compelling storytelling through leading initiatives from start to finish with cross functional partners




Role Responsibilities:




Reporting: create dashboards for reporting on current state and relevant market trends
Social Media: draft copy, source stories internally, and monitor channels externally for relevant moments for us to participate in
Knowledge Sharing: manage, update and further build out intranet pages
Process: help create processes, content and resources with a focus on diversity, equity and inclusion for our employee resource groups and recruiters for both Opendoor and OS National (affiliate company)
Events: manage our global events calendar, support each employee resource group with planning and communication across the company
Globalization: support the TA Operations team in globalizing content, communication, candidate and employee experiences
Innovation: bring your ideas! Help us push the envelope externally and internally with our campaigns, content, social media, resource development and process.




Skills Needed:




First year MBA student with a concentration in strategy, marketing, operations, communications or project management
Demonstrated experience in project management
Relevant experience in event coordination and/or management
Leadership role at a club, society, or organization
Experience with data and reporting in excel and/or google sheets




Bonus Points if:




Previous work or intern experience at consulting firms, agencies or working on in-house marketing, social, comms, customer experience, recruiting or operations teams
Working knowledge of business intelligence tools




Location:




Remote roles in the US are available in all states EXCEPT Hawaii, Alaska, Montana, or any US Territories.




Compensation:




The hourly rate for this position in Colorado, Connecticut, Washington, and New Jersey is $28 - $35/hour, and in California and New York City is $28 - $35/hour. Hourly rate may vary depending on relevant experience, skills, geographic location, and business needs.




More About Us




To learn how we are reinventing the Real Estate industry check out our website, to hear about our culture directly from team members visit The Muse and to discover what we are building for our customers read our blog posts.




Opendoor Values Openness




Our team celebrates our diverse backgrounds. We believe that being open about who we are and what we do allows us to be better. Individuals seeking employment at Opendoor are considered without regards to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, sexual orientation, gender identity or other protected status under all applicable laws, regulations, and ordinances. For California residents: for more information about the categories of personal information that we collect for recruiting purposes, please see our personnel Privacy Policy.




Show less "
3,Health Care Provider,Hospitals and Health Care,Mid-Senior level,"YVFWC has a compulsory vaccination policy including the Covid-19 primary series, the organization does not mandate the Covid-19 booster although it is offered through our employee health department. Medical and religious exemptions to the primary series will be considered and for those approved, the employee should anticipate following appropriate guidance around masking and other protective equipment offered.

Provides direct nursing care for patients. Performs diagnostic tests, analyzes results, administers medications, records patient's symptoms and medical histories. Provides support and assistance to the providers during outpatient office procedures.

What We Offer

Sign-on bonus of$5,000on first paycheck and$2,000at 12 months of employment.
$35-$43/hour DOE with ability to go higher for highly experienced candidates.
100% employer-paid health insurance for employees including Medical, Dental, Vision, Rx, 24/7 telemedicine; profit sharing, 403(b) retirement plan, generous paid time off, paid holidays, and more.

Essential Functions/Responsibilities/Duties

Provides care during patient visits, discussing chief complaint and obtaining vital signs and complete health history for the patient. Develops a baseline physical assessment.
Performs phone triage with patients to determine chief complaint and assessment of next steps and follow up care needed.
Documents health history, assessments, actions and medications in the Electronic Medical Record (EMR) system.
Assists providers in diagnostic procedures and treatments.
Performs IV Starts when ordered. Provides information to patient regarding the procedure, including site selection and possible complications.
Communicates with patient to collect information on allergies and preexisting conditions.
Provides information to patient regarding the procedure, including site selection and possible complications.
Identifies the purpose, side effects, and onset of action for each class of drug being given to patient. Explains medication, usage and possible side effects to patient/guardian and obtains consent.
Collaborates with other healthcare providers in developing patient plan of care. Coordinates and plans interagency referrals related to patient care as directed by the provider.
Collaborates with provider in implementing the patient plan of care including providing education and identifying additional services needed for the patient. Initiates follow-up care plan as needed.
Collaborates with ancillary staff to process patients based on providers’ schedule, maintaining smooth patient flow.
Performs clinical responsibilities in alignment with The Joint Commission (TJC), Health Resources and Services Administration (HRSA), and YVFWC requirements.

Qualifications

Education: Associate’s Degree in Nursing. Bachelor of Science Degree in Nursing preferred.
Experience: One year’s experience providing clinical or outpatient care as an Registered Nurse (RN) preferred.
Professional Licenses/Certificates/Registration: RN license for the state of practice. Cardiopulmonary Resuscitation (CPR) certification within three months of employment. BCLS (Basic Cardiac Life Support) certification. ACLS (Advanced Cardiac Life Support) preferred. PALS (Pediatric Advanced Life Support) preferred.
Knowledge/Skills/Abilities: English/ Spanish bilingual proficiency in written and verbal communication is preferred. Must demonstrate the ability to communicate at level 10 on the ALTA language proficiency scale to receive bilingual differential pay. Training in Early Periodic Screening & Development Testing and Women’s Health Exams preferred. Knowledge of established professional nursing concepts and all nursing procedures. Knowledge of the uses and effects of medications. Effective verbal, written and listening communication skills. Ability to prioritize work and handle a variety of tasks simultaneously, with frequent interruptions. Ability to effectively interact with a variety of patients, patients’ families and employees in a professional manner. Ability to understand, assess and react effectively to the unique needs of patients in all age groups. Basic proficiency with a variety of computer programs including Word, Excel, and EMR.

About YVFWC

We serve more than 181,000 patients across 25 medical clinics, 14 dental clinics, 10 pharmacies, and 64 program sites in two states. We are Level 3 Certified as a Patient-Centered Medical Home (PCMH). With integrated services including medical, dental, pharmacy, orthodontia, primary care nutritional counseling, autism screening, and primary care behavioral health, YVFWC’s patient-centered model of care offers patients the full spectrum of care and shelter assistance, energy assistance, weatherization, HIV and AIDS counseling and testing, home visits, and four mobile medical/dental clinics.

Working at YVFWC

Working in our organization means being the passionate champion for those who have no voice. It means having the opportunity to work with underserved populations and with peers committed to the same work.

At Farm Workers Clinic

We will consistently trust one another to work for the common good.
We will foster integrity by demonstrating ethical behavior and insisting on doing what we say we will do.
We will demonstrate transparency by being candid and truthful no matter the risk.
We will create partnerships to strengthen ourselves and our community.
We will fight for just treatment for all individuals.
We will let joy in.
We have the courage to be an agent of change and refuse anything short of excellence.

Our mission celebrates diversity. We are committed to equal opportunity employment.
Show less "
4,Management and Manufacturing,Real Estate,Entry level,"We are a property management company that has been providing unsurpassed property management services to a large and diversified portfolio of properties in California, Texas, and Louisiana for over 30 years.




We believe that our associates are our greatest asset, which is why we are dedicated to providing excellent benefits, competitive pay, amazing perks and advancement opportunities




Join us in the rewarding career of providing “The Home You Deserve, Service you Trust.”




Email or call us for emplo yment opportunities




$1,000 Sign-on bonus




Job Title: Maintenance Technician/Porter




Reports To: Property Manager and Lead Maintenance




RCMI Property: Americana South Bay




General Purpose Of Job




This position is primarily responsible for assisting and carrying out the maintenance processes of the property including corrective, preventative, routine, emergency and cosmetic maintenance as well as the make-ready process in a manner consistent with the property’s operational objectives.




General Purpose Of Job




Performs daily porter cleaning duties and basic maintenance and repair tasks. May assist other skilled workers with HVAC, carpentry, electrical, plumbing or general building/facility maintenance projects.




Essential Duties And Responsibilities




The Porter/ Maintenance Technician will assist with the responsibility of repairs and/or replacement(s) of the following:
Daily porter and cleaning duties of the property(s).
Basic Plumbing – Assist with Interior and exterior repairs
Appliances – Basic troubleshooting and / or replacement of parts and units
Basic Electrical –light switches and wall receptacles
Air Conditioner/Heating – Basic troubleshooting
Exterior –any exterior problem which requires maintenance attention
Helps to maintain key control
Strong Customer Service skills with a focus on a Tenant Relation Program, exhibiting a professional appearance and attitude
On-call support
Additional projects as assigned by Lead Maintenance, Property Manager or Regional Maintenance Supervisor or Regional Supervisor




How much noise is typical for the work environment of this job?




Moderate noise




Does this job have any special vision requirements?




Clear vision




Work Environment




AMOUNT OF TIME:




NONE




UNDER 1/3




1/3-2/3




OVER 2/3




Wet or humid conditions (non-weather)




X




Work near moving mechanical parts




X




Work in high, precarious places




X




Fumes or airborne particles




X




Toxic or caustic chemicals




X




Outdoor weather conditions




X




Extreme cold (non-weather)




X




Extreme heat (non-weather)




X




Risk of electrical shock




X




Work with explosives




X




Risk of radiation




X




Vibration




X




Physical Demands




AMOUNT OF TIME:




NONE




UNDER 1/3




1/3-2/3




OVER 2/3




Stand




X




Walk




X




Sit




X




Use hands to finger, handle, or feel




X




Reach with hands and arms




X




Climb or balance




X




Stoop, kneel, crouch, or crawl




X




Talk or hear




X




Amount Of Time




LIFTING OR FORCE EXERTED:




NONE




UNDER 1/3




1/3-2/3




OVER 2/3




Up to 10 pounds




X




Up to 25 pounds




X




Up to 50 pounds




X




Up to 100 pounds




X




More than 100 pounds




X




EDUCATION And / Or EXPERIENCE




HVAC Certification
High school or GED equivalent
Valid driver’s license




Computer & Equipment Skills




Microsoft Office




CONTACT INFORMATION




Phone Number: 310.207.2737




Company Website: www.rcmi.com
Show less "
5,Administrative,Hospitals and Health Care,Associate,"Vista Springs is looking for a Part Time Data Entry Clerk to work alongside our Success Center team! Hours can be adjusted, but it would be for less than 30 hours/ week. Schedule could potenially be Monday thru Thursday 9:00 am to 3:00 pm. Willing to be flexible with the schedule.

The data entry clerk that we are seeking should have knowledge in the Sage Accounting Sytem, be able to pay close attention to detail, and work in multiple different accounts.

This person will be maintaining multiple databases by entering new and updating resident costumer information. Prepares source data for computer entry by compiling and sorting information. Establishes entry priorities. Processes resident and account source documents by reviewing data for deficiencies.

This position is not a remote position, applicants must be willing to work in an office setting.
Show less "
6,Management and Manufacturing,Automotive,Executive,"Gerber Collision & Glass, PA Charleroi




WELCOME TO GERBER COLLISION & GLASS




Our Team Members Drive Us! Gerber Collision & Glass is one of the largest collision repair companies in North America. With $2+ billion in sales, over 800 locations and growing, our 10,000+ team members across the United States and Canada are passionate about delivering our goal to WOW Every Customer and Be the Best!




We invite you to join our team. Gerber offers a great place to launch and grow careers. As we continue to grow, we have endless opportunities for you to grow with us.




Gerber Collision & Glass recognizes, values and welcomes all applicants with unique talents and abilities from all backgrounds and characteristics. All qualified individuals are encouraged to apply, including individuals with disabilities and Protected Veterans.




Job Description:




Position Overview




Are you someone with automotive industry or management experience that would like to grow your career? Gerber is looking for the next General Manager to lead one of our collision repair centers. This is a great opportunity for candidates with a few years of automotive industry, retail, leadership or management experience who can help us WOW our customers and motivate our team members to provide safe, high quality repairs.




Job Responsibilities




Lead team to WOW all external and internal customers through consistent execution of proprietary WOW (Wow Operating Way) Operating Way process
Meet or exceed Key Performance Indicators including CSI, profitability, cycle time, etc
Coach, manage and develop on-site team members
Foster relationships with insurance partners and preferred vendors
Manage and maintain the operating budget for designated collision center
Forecast, target and track monthly sales, profit and expense objectives
Maintain a clean and organized facility
Monitor shop facilities, equipment and resources
Direct daily production meetings/walks to confirm through-put and delivery dates
Facilitate monthly Health & Safety and staff meetings
Participate in monthly leadership and manager meetings.
Attend ongoing training, information sessions and workshops
Ensure all Team Members participate and keep current on all trainings including I-CAR, KPA Safety training, etc




Qualifications




2+ years of experience in a similar management/leadership role; automotive industry experience a plus
Exceptional problem-solving and communication skills
Proficiency with estimating systems and insurance direct repair guidelines
Ability to lead and motivate staff to reach common goals
Experience managing a budget or monthly sales a plus
I-CAR or ASE Certifications are a bonus




Keywords




Automotive, growth, advancement, collision repair, collision center, auto body, autobody, body shop, I-CAR, ICAR, dent repair, DRP, adjuster, appraiser, service advisor, writer, customer, manager, leader, management, career, potential, manager, trainer




Benefits That Drive Your Success




Gerber offers the comprehensive benefits you expect from an industry leader, including:




Competitive Pay Plans
Medical, Prescription Drug, Dental & Vision Insurance
401(k) Retirement Plan with company match
Employer Paid Short-Term Disability & Life Insurance
Paid Vacation & Holidays
Continuing Education Opportunities




Gerber Collision & Glass is proud to be an equal opportunity employer committed to an inclusive and diverse workplace. All qualified candidates will receive consideration for employment, regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability, age, pregnancy, genetic information, creed, marital status, or any other consideration, prohibited by law or by contract.




About Us




Gerber Collision & Glass has been WOWing customers with our collision repair services for over 80 years. Please visit gerbercareers.com to learn more about our company.
Show less "
7,"Other, Information Technology, and Management",Security and Investigations,Entry level,"Overview




Join one of the fastest-growing and largest privately-held security companies in the U.S.! Since 1998, Sunstates Security has established a reputation for providing excellent customer service and quality work environments while being recognized by Forbes as one of America’s Best Employers in 2021 and 2022. At Sunstates Security, we're committed to hiring, developing and retaining a diverse and exceptionally qualified workforce.




As a result, our employees are skilled, knowledgeable and dedicated to providing clients with flawless security service and the peace of mind that comes with it. We work hard to recruit and to retain the best and the brightest people for each client and every site location. We instill in our employees the Sunstates promise to provide a safe, disciplined and friendly work environment with an opportunity for career advancement.




If you're searching for a career with challenging and rewarding opportunities, we invite you to explore the possibilities at Sunstates Security. As a proactive security partner for some of the country's leading companies and organizations, we provide careers for talented people to become part of a successful, growing company.




Job Skills / Requirements




HIRING IMMEDIATELY




Sunstates Security is hiring full-time and part-time Security Officers in Mossville, IL. All days and shifts are available, including weekends, with a starting pay rate of $17.50/hr - paid weekly .




Industry-leading employee benefits that include weekly pay, 401k savings plan with a company match, affordable medical, dental & vision benefits, employee referral bonuses, paid time off, premium holiday pay, tuition reimbursement, and more available for qualified candidates!




Requirements




Valid PERC Card preferred
Valid driver's license
Prior security, military or law enforcement experience preferred
Customer service skills
Professional appearance
Good communication skills




A Security Officer may perform a multitude of duties as specified by the Post Orders and Standard Operating Procedures (SOP). The Shift Supervisor must read and become extremely knowledgeable of Post Orders and SOP, and will be able to act quickly and efficiently according to such directives. Sun123




Education Requirements (Any)




High School diploma or equivalent




Certification Requirements (Any)




Drivers License




Additional Information / Benefits




Only candidates who meet our rigorous employment standards and who are excellent matches for open positions(as personally verified by Site Managers) are invited to join our security team.




We are proud to be an Equal Opportunity Employer and supporter of our military veterans!




Illinois License #122.001562




Benefits: Medical Insurance, Life Insurance, Dental Insurance, Vision Insurance, 401K/403b Plan, Educational Assistance
Show less "
8,"Other, Information Technology, and Management",Security and Investigations,Entry level,"Overview




Join one of the fastest-growing and largest privately-held security companies in the U.S.! Since 1998, Sunstates Security has established a reputation for providing excellent customer service and quality work environments while being recognized by Forbes as one of America’s Best Employers in 2021 and 2022. At Sunstates Security, we're committed to hiring, developing and retaining a diverse and exceptionally qualified workforce. As a result, our employees are skilled, knowledgeable and dedicated to providing clients with flawless security service and the peace of mind that comes with it.




We work hard to recruit and to retain the best and the brightest people for each client and every site location. We instill in our employees the Sunstates promise to provide a safe, disciplined and friendly work environment with an opportunity for career advancement.




If you're searching for a career with challenging and rewarding opportunities, we invite you to explore the possibilities at Sunstates Security. As a proactive security partner for some of the country's leading companies and organizations, we provide careers for talented people to become part of a successful, growing company.




Job Skills / Requirements




HIRING IMMEDIATELY




Sunstates Security is currently hiring for FULL TIME Security Officers in the Tarrytown, NY area. Afternoons Shifts Available!




Weoffer a pay range of $17.50 - $22.00




Shift Available




4pm-12am




Due to site requirements for this job opening, proof of being fully COVID-19 vaccinated is mandatory. Sunstates Security will consider reasonable accommodations for disability and religious based reasons.




Requirements




NY State Security Guard License
Prior security experience
Good customer service skills
Professional appearance




A Security Officer may perform a multitude of duties as specified by the Post Orders and Standard Operating Procedures (SOP). The Security Officer will read and become extremely knowledgeable of Post Orders and SOP, and will be able to act quickly and efficiently according to such directives. Sun123




Education Requirements (Any)




High School diploma or equivalent




Certification Requirements (All)




Drivers License




NY State Security Guard License




Additional Information / Benefits




Only candidates who meet our rigorous employment standards and who are excellent matches for open positions(as personally verified by Site Managers) are invited to join our security team.




Sunstates offers full benefits and 401k for all Fulltime employees.




We also offer tuition reimbursement and PTO.




We are proud to be an Equal Opportunity Employer and supporter of our military veterans!




Benefits: Medical Insurance, Life Insurance, Dental Insurance, Vision Insurance, Paid Vacation, Short Term Disability, 401K/403b Plan, Educational Assistance
Show less "
9,Human Resources,Staffing and Recruiting,Associate,"Direct Hire Portland, Maine




Location: Portland, Maine
Type: Direct Hire
Job #18232




Our client, a well-known credit union in Greater Portland, is seeking a Director of Training & Development to lead their training team. They will direct the design, planning, and implementation of company training programs aligned with the objectives and strategy of the organization. They will collaborate with functional management teams to assess ongoing and future training and development needs as well as effectiveness of established programs.




The Director of Training & Development will actively search for, creatively design, and implement effective methods for enhancing performance. They will develop a program delivery schedule that provides training as needed and in locations that work for the trainees. The Director also will provide engaging communications about program information to encourage participation and highlight the value and benefits of training. Additionally, The Director of Training & Development approves new training techniques and suggests enhancements to existing training programs, while working with company leadership.




The Director of Training & Development reports directly to the Vice President of Branch Operations.




Responsibilities:




Plan, organize and lead training programs, ensuring proper execution at all levels.
Ensure consistency in the delivery and application of training standards.
Oversee the planning, prioritization and development of new training programs and initiatives.
Provide leadership and mentoring to the training department team.
Follow up with the leadership and management of all departments in order to ensure that the parties involved in training programs have completed them. Plan any additional training needed.
Conducts follow-up studies of all completed training to evaluate and measure results.
Develop budgets, policies, and procedures to support the functional infrastructure of the training department and the institution.
Oversee and established relationships with vendors to provide additional outside training programs.




Required Skills/Abilities:




Excellent verbal and written communication skills.
Strong presentation skills.
Adept with a variety of multimedia training platforms and methods.
Ability to evaluate and research training options and alternatives.
Ability to design and implement effective training and development.




Education and Experience:




Bachelor's degree in relevant field.
Five years of experience designing and implementing employee development programs within a financial services organization.
Certified Professional in Learning and Performance (CPLP) credential preferred.
5+ years of Managerial experience.




Salary Will Depend On Experience. Compensation Includes Full Benefits.




ProSearch is proud to be an affirmative action / equal opportunity employer. All qualified applicants will receive consideration without regard to race, creed, gender/sex, marital status, sexual orientation, citizenship status, color, religion, national origin, age, disability, veteran status, or any other status protected under local, state, or federal laws.




See All Jobs
Show less "
